"","32150056_BLymphocytes","32150091_BLymphocytes","32150099_BLymphocytes","32150229_BLymphocytes","32150762_BLymphocytes","32150940_BLymphocytes","32151137_BLymphocytes","32151412_BLymphocytes","32151567_BLymphocytes","32151572_BLymphocytes","32151668_BLymphocytes","32151872_BLymphocytes","32152113_BLymphocytes","32152115_BLymphocytes","32152153_BLymphocytes","32152155_BLymphocytes","32152160_BLymphocytes","32152162_BLymphocytes","32152165_BLymphocytes","32152294_BLymphocytes","32152295_BLymphocytes","32152297_BLymphocytes","32152299_BLymphocytes","32152300_BLymphocytes","32160215_BLymphocytes","32160221_BLymphocytes","32160509_BLymphocytes","32161284_BLymphocytes"
"32150056_BLymphocytes",0,59.2524686420151,71.6241979209539,74.3780818249843,71.305589581544,77.7735885317186,65.9279780607874,64.5533057975799,65.3275197480813,68.5775613170739,70.2124933880243,56.217374700348,75.5908471002962,65.6314420015127,82.0621143702669,68.5732682644533,68.2121198861743,63.132185438518,81.6011928014654,62.4369031409081,70.8014772772186,60.2764806504764,63.8572358422754,70.5101120947431,70.5229860557275,72.9351921797652,76.1514939509709,82.6199784172803
"32150091_BLymphocytes",59.2524686420151,0,58.7906217457557,63.4199478757326,62.4550387047797,69.8325943688323,57.8650268191752,55.2947940002169,55.8098154358395,55.6698236052223,59.5020377970587,49.6554654611863,64.4018545914159,58.4569275493139,71.6040175905965,54.9163962023214,56.3939523957168,53.924478263427,73.429219054563,53.9923824460865,62.9362791725046,51.7491256576979,51.8295842039767,61.2271142352963,60.3416260767004,57.0893436634395,67.3508561440209,69.1653940254284
"32150099_BLymphocytes",71.6241979209539,58.7906217457557,0,62.3907829432521,62.6420903507321,53.0417382406734,61.3484544666562,63.337163984092,57.0125415275449,49.9600043356348,58.1571034646826,56.4878040422431,72.8952125538211,70.6390092948027,58.2008966182184,55.7647515412072,51.220322304871,55.6388271256914,75.7081880062254,56.9170660967144,52.2833903941001,56.2853560356063,60.8513471038233,58.4553309247988,60.6689166108872,51.936857540139,69.5302616750821,59.589091355384
"32150229_BLymphocytes",74.3780818249843,63.4199478757326,62.3907829432521,0,62.7457155369117,67.4339945020933,56.5283775269962,65.899130852464,64.0231142375934,58.1602039755269,58.1103468026544,64.1809507613572,72.5767954667241,69.3257633521876,65.3744275163567,59.6963305132141,60.6551016789629,64.7470899855139,69.3609910114269,59.772692134404,60.1418830772446,59.4173509849343,58.8134215009419,61.8870708484706,60.3617281053309,63.1217646801728,74.2618376167735,66.1496327305467
"32150762_BLymphocytes",71.305589581544,62.4550387047797,62.6420903507321,62.7457155369117,0,63.5377287240482,53.3802547857011,61.8140372218325,60.9104002034511,54.5294707177835,60.221656011968,61.6366170548617,81.1545898026536,72.2228132301295,60.0136265469354,60.8954701758775,55.1946505503772,59.8222291443408,80.6740507272849,58.1274158006222,59.8316194082703,57.9837411946881,57.845818741154,54.259423115286,56.5699168975196,61.5898837176401,74.7566440596386,72.9216463861798
"32150940_BLymphocytes",77.7735885317186,69.8325943688323,53.0417382406734,67.4339945020933,63.5377287240482,0,64.2554384195149,67.3949135087605,62.7506458757348,59.3553342133628,61.8054756454851,67.5732472495214,82.0328660365458,77.8637294602625,59.5493297419969,63.8631420354746,59.2987231370033,62.5572979029676,82.267950356983,59.4447303740532,54.5830299907612,65.8188027054281,67.4205657272299,57.9539513317142,63.2144952063938,61.6802685893966,83.4468718807079,61.6296756165063
"32151137_BLymphocytes",65.9279780607874,57.8650268191752,61.3484544666562,56.5283775269962,53.3802547857011,64.2554384195149,0,58.4113577119676,58.0819846551609,55.1681979334579,56.3317641763325,57.4187083636671,74.9327380308084,65.8277290507923,65.945129956358,55.9952348172998,55.2129352810265,59.1552770698923,73.2462237770586,53.0819471616644,58.5527549584071,54.9134877978178,54.8513515857252,55.2032578391263,52.1236909713417,61.7043940513295,72.4041164103802,68.4849095596035
"32151412_BLymphocytes",64.5533057975799,55.2947940002169,63.337163984092,65.899130852464,61.8140372218325,67.3949135087605,58.4113577119676,0,58.6374520169277,60.9299945120383,54.401133644057,53.7263466137774,72.1127643161196,60.2364466545629,78.6380020937436,58.9431678386928,62.747714292243,59.7134358196172,78.3497328998086,52.6341377788772,68.5115987704548,59.2669984627198,57.627639270077,66.9579206703028,63.3329287125457,59.7355547865815,81.1872376712541,71.3556103597234
"32151567_BLymphocytes",65.3275197480813,55.8098154358395,57.0125415275449,64.0231142375934,60.9104002034511,62.7506458757348,58.0819846551609,58.6374520169277,0,55.1599006936034,57.9608413613888,53.5844919789265,75.7597830799132,64.1422172123373,69.1593272469341,56.0967625697203,55.9292017681813,56.7043977232838,80.1822546409129,54.8869162737758,58.5946764966287,55.4110913154449,61.1168597754508,60.0079174848166,57.6110649072984,57.6317707595655,73.5655793551411,66.4689114546699
"32151572_BLymphocytes",68.5775613170739,55.6698236052223,49.9600043356348,58.1602039755269,54.5294707177835,59.3553342133628,55.1681979334579,60.9299945120383,55.1599006936034,0,54.7454490004848,54.0282208589276,70.8909307510909,66.364787249927,58.8481374819182,51.4401348251784,47.5196764766964,52.5465756389314,73.2740948211818,53.9602622390288,55.4921368321877,54.1881405857237,56.9736494348841,56.46854607776,55.9707954510777,48.5360503043992,63.4680983552813,60.0797868230609
