"","32150229_BLymphocytes","32150762_BLymphocytes","32150940_BLymphocytes","32151137_BLymphocytes","32152153_BLymphocytes","32152155_BLymphocytes","32152160_BLymphocytes","32152162_BLymphocytes","32152165_BLymphocytes","32152294_BLymphocytes","32152295_BLymphocytes","32152297_BLymphocytes","32152299_BLymphocytes","32152300_BLymphocytes"
"ENSG00000000003",0,0,3,2,0,1,0,0,4,4,5,4,4,2
"ENSG00000000005",1,0,1,2,0,0,0,2,0,0,0,2,1,0
"ENSG00000000419",161,321,201,222,267,241,232,277,99,259,199,221,263,267
"ENSG00000000457",219,505,311,370,385,432,564,418,167,555,382,350,385,374
"ENSG00000000460",90,191,104,154,116,203,176,157,57,180,149,173,118,128
"ENSG00000000938",1106,3304,1672,1322,4188,1693,2022,1874,789,1735,2290,2491,1432,2310
"ENSG00000000971",2,5,0,2,3,3,1,7,6,1,1,6,11,3
"ENSG00000001036",75,215,70,136,188,121,164,110,59,93,117,117,103,131
"ENSG00000001084",314,433,313,312,394,259,388,306,162,272,229,313,400,320
"ENSG00000001167",279,435,368,467,339,574,638,513,198,578,383,330,388,366
"ENSG00000001460",46,94,51,27,66,34,79,52,21,32,55,44,43,73
"ENSG00000001461",342,662,471,449,551,539,709,456,228,473,528,442,413,556
"ENSG00000001497",272,381,495,456,565,459,521,388,211,418,527,387,397,505
"ENSG00000001561",338,372,139,304,273,418,309,239,170,211,237,338,369,255
"ENSG00000001617",2,0,0,1,0,0,0,0,0,0,0,0,4,0
"ENSG00000001626",1,0,4,0,1,1,0,1,2,0,0,2,5,3
"ENSG00000001629",650,1222,752,888,884,1072,1099,756,476,817,774,843,867,890
"ENSG00000001630",258,544,223,317,361,406,467,355,182,295,324,470,404,332
"ENSG00000001631",463,923,578,563,609,718,744,681,301,656,564,480,619,679
"ENSG00000002016",113,242,165,198,181,233,172,196,69,188,176,177,184,152
"ENSG00000002079",2,3,1,1,0,0,0,1,4,1,0,0,2,0
"ENSG00000002330",49,110,169,81,203,108,128,119,35,101,126,104,63,135
"ENSG00000002549",232,421,245,266,332,398,462,570,157,240,270,333,389,409
"ENSG00000002586",148,242,238,155,368,242,296,177,92,148,150,184,182,185
"ENSG00000002587",66,139,137,103,135,214,99,156,46,120,122,128,164,73
"ENSG00000002726",0,0,2,0,0,0,0,0,0,1,1,0,0,0
"ENSG00000002745",89,358,109,122,404,79,80,158,88,93,92,226,133,322
"ENSG00000002746",3,0,1,0,1,1,2,7,5,3,2,9,8,2
"ENSG00000002822",314,611,734,424,739,658,727,699,184,554,610,618,484,542
"ENSG00000002834",998,2120,1715,1464,2481,1608,1970,1389,703,1214,1819,1448,1386,2166
"ENSG00000002919",181,422,292,255,402,326,402,343,115,344,313,236,299,341
"ENSG00000002933",0,3,0,2,0,7,0,3,2,1,2,5,4,0
"ENSG00000003056",892,2065,1217,1381,1662,1576,1884,1513,597,1256,1251,1335,1498,1706
"ENSG00000003096",8,3,3,9,3,1,3,6,6,7,0,2,8,3
"ENSG00000003137",1,0,0,0,0,1,1,4,5,0,0,0,1,1
"ENSG00000003147",4,1,0,0,2,4,4,5,4,3,1,10,10,2
"ENSG00000003249",82,211,237,128,47,114,174,255,37,222,113,189,129,87
"ENSG00000003393",100,128,214,193,162,167,235,167,117,154,148,160,144,198
"ENSG00000003400",421,810,389,450,839,610,791,562,367,364,470,463,565,622
"ENSG00000003402",1871,2883,2276,1961,3264,2365,2981,1857,1594,1693,2595,1791,2121,2522
"ENSG00000003436",3,1,0,0,3,7,0,4,16,3,0,11,8,8
"ENSG00000003509",179,317,233,246,248,271,268,286,115,236,194,226,224,230
"ENSG00000003756",1767,3856,3161,2674,2884,3359,2996,2965,1272,2944,2721,2669,2608,2776
"ENSG00000003987",3,1,0,1,0,0,0,1,7,3,0,7,6,3
"ENSG00000003989",3,0,6,1,2,2,0,7,8,4,2,2,4,1
"ENSG00000004059",297,730,554,458,732,631,732,682,213,511,716,620,545,812
"ENSG00000004139",206,290,356,233,422,253,272,271,153,286,367,238,213,374
"ENSG00000004142",208,465,417,331,509,469,528,479,169,337,399,381,368,594
"ENSG00000004399",41,36,31,20,33,15,21,14,26,13,38,30,24,31
"ENSG00000004455",634,1389,1051,1151,1277,1266,1462,1114,476,1067,1014,1036,1021,1303
"ENSG00000004468",263,199,428,321,164,962,950,804,242,617,478,574,423,267
"ENSG00000004478",283,762,485,584,755,604,519,490,202,512,516,478,464,611
"ENSG00000004487",536,1108,771,762,960,974,994,871,328,740,835,759,818,893
"ENSG00000004534",1705,4617,2227,1905,2782,3681,2887,2159,1253,2264,2415,1748,2686,2660
"ENSG00000004660",17,59,61,60,106,56,72,64,34,63,76,57,56,53
"ENSG00000004700",886,1636,726,1257,1289,1397,1247,977,534,903,1064,1259,1242,1128
"ENSG00000004766",336,645,397,551,455,614,587,566,219,605,431,474,499,510
"ENSG00000004776",0,0,0,5,0,2,1,0,1,0,3,1,0,0
"ENSG00000004777",21,55,73,33,40,36,31,35,9,25,45,20,18,53
"ENSG00000004779",137,301,196,206,240,230,335,311,82,226,269,240,226,259
"ENSG00000004799",39,31,23,17,28,129,268,141,19,92,46,10,24,27
"ENSG00000004809",0,0,1,2,1,0,0,3,2,1,1,1,2,1
"ENSG00000004838",9,15,12,7,14,4,6,6,1,6,8,14,6,11
"ENSG00000004846",0,0,1,1,0,0,1,4,8,0,4,7,7,3
"ENSG00000004848",0,0,0,0,0,0,0,1,0,3,1,2,0,1
"ENSG00000004864",121,193,146,161,164,167,214,147,93,152,171,131,138,181
"ENSG00000004866",33,73,44,33,113,59,62,38,52,29,57,56,40,96
"ENSG00000004897",635,1235,778,867,1007,1034,954,841,467,915,737,1004,962,961
"ENSG00000004939",0,0,0,0,0,6,1,2,8,0,0,0,1,0
"ENSG00000004948",2,0,0,0,0,0,0,1,0,0,0,3,0,1
"ENSG00000004961",76,220,91,141,121,88,140,147,47,100,84,91,104,124
"ENSG00000004975",300,589,534,412,676,448,615,472,189,418,544,461,386,608
"ENSG00000005001",0,0,0,0,0,0,0,0,2,0,0,1,0,0
"ENSG00000005007",634,1262,1263,793,1357,982,1166,916,372,840,1030,780,908,1058
"ENSG00000005020",763,1147,799,1511,1148,1225,1108,884,544,828,994,848,1158,945
"ENSG00000005022",822,1866,1098,1163,1802,1318,1950,1216,565,1037,1144,1158,1215,1459
"ENSG00000005059",518,1133,567,919,897,1073,1015,773,463,819,807,928,783,1007
"ENSG00000005073",3,0,2,0,0,0,0,0,2,0,0,6,0,2
"ENSG00000005075",106,173,186,176,282,189,245,205,63,191,239,145,143,262
"ENSG00000005100",87,164,168,143,183,161,191,191,71,158,139,93,131,162
"ENSG00000005102",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"ENSG00000005108",0,0,2,0,0,0,0,5,11,3,2,9,12,0
"ENSG00000005156",143,295,288,301,320,381,398,297,146,290,239,233,250,260
"ENSG00000005175",411,687,483,610,483,607,609,496,194,568,474,570,570,488
"ENSG00000005187",73,58,84,65,38,80,92,87,26,62,57,75,26,82
"ENSG00000005189",0,11,1,3,2,2,7,13,6,5,3,9,2,5
"ENSG00000005194",162,316,183,218,274,306,286,261,86,244,235,264,266,288
