Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Defense Response To Virus (GO:0051607),28/189,2.92871639469892e-29,1.50069846092918e-26,0,0,30.3162754905733,1991.79153114532,IFITM1;IFI6;DDX60L;IFIT1;DDX60;USP18;IFIT3;IFI44L;IFIT2;OASL;GBP2;GBP5;RSAD2;STAT1;MX2;MX1;EIF2AK2;ISG15;MID2;NT5C3A;PLSCR1;AIM2;IFI27;OAS1;OAS2;OAS3;IRF7;TLR7
Defense Response To Symbiont (GO:0140546),26/148,3.18958227615128e-29,1.50069846092918e-26,0,0,36.576051318603,2399.94045056508,IFITM1;IFI6;DDX60L;IFIT1;DDX60;IFIT3;IFI44L;IFIT2;OASL;GBP2;GBP5;RSAD2;STAT1;MX2;MX1;EIF2AK2;ISG15;NT5C3A;PLSCR1;AIM2;IFI27;OAS1;OAS2;OAS3;IRF7;TLR7
Negative Regulation Of Viral Process (GO:0048525),13/61,2.97262669418954e-16,9.32413906410785e-14,0,0,41.9178059895833,1498.64185840308,IFITM1;RSAD2;STAT1;MX1;EIF2AK2;ISG15;IFIT1;MID2;OASL;PLSCR1;OAS1;OAS2;OAS3
Negative Regulation Of Viral Genome Replication (GO:0045071),11/53,8.51777424909906e-14,2.00380639210055e-11,0,0,39.924358974359,1201.48510557652,IFITM1;PLSCR1;RSAD2;OAS1;OAS2;OAS3;MX1;EIF2AK2;ISG15;IFIT1;OASL
Regulation Of Viral Genome Replication (GO:0045069),11/67,1.32078202678612e-12,2.48571177441147e-10,0,0,29.9221153846154,818.453551224016,IFITM1;PLSCR1;RSAD2;OAS1;OAS2;OAS3;MX1;EIF2AK2;ISG15;IFIT1;OASL
Interleukin-27-Mediated Signaling Pathway (GO:0070106),5/5,1.62144027862437e-11,2.54295883697588e-09,0,0,99295,2466996.31032766,OAS1;OAS2;STAT1;MX1;OASL
Regulation Of Ribonuclease Activity (GO:0060700),4/5,1.1769696729902e-08,1.58218351754825e-06,0,0,579.795620437956,10585.756347343,OAS1;OAS2;OAS3;OASL
Response To Cytokine (GO:0034097),10/125,1.95667864147253e-08,2.30154325203206e-06,0,0,13.1058745436442,232.621832666812,IFITM1;PLSCR1;STAT1;LAMP3;MX2;MX1;EIF2AK2;ISG15;IL6ST;XAF1
Antiviral Innate Immune Response (GO:0140374),7/46,3.16989210544859e-08,3.30443792788224e-06,0,0,26.5480290853425,458.404372018004,OAS1;MX1;EIF2AK2;IFIT1;USP18;IFIT3;IFIT2
Regulation Of Nuclease Activity (GO:0032069),4/6,3.51162372782385e-08,3.30443792788224e-06,0,0,289.883211678832,4975.7300166713,OAS1;OAS2;OAS3;OASL
Response To Interferon-Beta (GO:0035456),6/29,4.58533484851575e-08,3.92254553859393e-06,0,0,38.3304347826087,647.700695853552,IFITM1;PLSCR1;AIM2;OAS1;STAT1;XAF1
Positive Regulation Of Interferon-Beta Production (GO:0032728),6/36,1.80551915043187e-07,1.41582793379699e-05,0,0,29.3762962962963,456.133022713597,OAS1;OAS2;OAS3;IRF7;ISG15;TLR7
Positive Regulation Of Type I Interferon Production (GO:0032481),7/64,3.31041491436381e-07,2.39623110339719e-05,0,0,18.1479444880859,270.785881096681,OAS1;OAS2;STAT1;OAS3;IRF7;TLR7;ISG15
Regulation Of Interferon-Beta Production (GO:0032648),6/50,1.35840014591278e-06,9.13038955217088e-05,0,0,20.0151515151515,270.388743172119,OAS1;OAS2;OAS3;IRF7;TLR7;ISG15
Cellular Response To Cytokine Stimulus (GO:0071345),12/308,1.94838966681006e-06,0.000122228978431218,0,0,6.14802011313639,80.8372875745205,GBP5;AIM2;OAS1;STAT1;ZC3H12A;IFIT1;IL6ST;GBP2;GBP1;TNFRSF21;LILRA4;GBP4
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),4/15,3.04171453052916e-06,0.000178890835826746,0,0,52.6821499668215,669.226050867576,OAS1;OAS3;ISG15;USP18
Response To Interferon-Alpha (GO:0035455),4/17,5.24568303871204e-06,0.000290363984672237,0,0,44.5727119595733,541.919716505483,IFITM1;MX2;LAMP3;EIF2AK2
Cellular Response To Type I Interferon (GO:0071357),5/38,6.75067944644404e-06,0.000352910519950214,0,0,22.0877896613191,262.974294853793,IFITM1;IFI27;STAT1;OAS2;IFIT1
Response To Type II Interferon (GO:0034341),6/80,2.16015617189615e-05,0.000969400863843521,0,0,11.8828828828829,127.654780011233,GBP5;IFITM1;STAT1;GBP2;GBP1;GBP4
Positive Regulation Of Immune Response (GO:0050778),6/80,2.16015617189615e-05,0.000969400863843521,0,0,11.8828828828829,127.654780011233,GBP5;PLSCR1;ITGAM;RSAD2;IFI35;IL6ST
Cellular Response To Tumor Necrosis Factor (GO:0071356),7/119,2.16338131144675e-05,0.000969400863843521,0,0,9.21035447761194,98.9307480809769,AIM2;TRAF4;STAT1;ZC3H12A;GBP2;GBP1;TNFRSF21
Response To Type I Interferon (GO:0034340),3/9,2.7930702497252e-05,0.00119467232045064,0,0,71.9311594202899,754.254602439332,MX1;ISG15;IFIT1
Regulation Of Interferon-Alpha Production (GO:0032647),4/26,3.13661818440529e-05,0.00128328596153277,0,0,26.3264764432648,272.999775651936,STAT1;IRF7;TLR7;LILRA4
Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),4/33,8.26288349277888e-05,0.00323973890279372,0,0,19.9647621444752,187.691760513841,OAS1;OAS3;ISG15;USP18
Cytokine-Mediated Signaling Pathway (GO:0019221),9/257,8.89361544850691e-05,0.003347556854818,0,0,5.39158724340176,50.2905250198359,AIM2;TRAF4;OAS1;OAS2;STAT1;MX1;IL6ST;LILRA4;OASL
Cellular Response To Type II Interferon (GO:0071346),5/66,0.000102606825145882,0.00371357778701057,0,0,11.932256509161,109.593075987034,GBP5;STAT1;GBP2;GBP1;GBP4
Type I Interferon-Mediated Signaling Pathway (GO:0060337),4/37,0.000130480644102784,0.00454749207780443,0,0,17.5412519354125,156.89396820143,IFITM1;IFI27;STAT1;OAS2
Defense Response To Protozoan (GO:0042832),3/15,0.000146667586334066,0.00492907852644129,0,0,35.9547101449275,317.384517541058,GBP2;GBP1;GBP4
Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),4/39,0.000160733035934294,0.00521550989014381,0,0,16.5372262773723,144.465334602153,RSAD2;IFI35;DDX60;OASL
Interferon-Mediated Signaling Pathway (GO:0140888),4/49,0.000392069220317913,0.0122979045439719,0,0,12.855798864558,100.841813856438,IFITM1;IFI27;OAS2;STAT1
Positive Regulation Of Interferon-Alpha Production (GO:0032727),3/21,0.00041563962335457,0.012616673728279,0,0,23.9625603864734,186.565113817753,STAT1;IRF7;TLR7
Cellular Response To Interferon-Beta (GO:0035458),3/22,0.000478790424052386,0.0140536572289965,0,0,22.7002288329519,173.526169420963,AIM2;OAS1;STAT1
Negative Regulation Of Innate Immune Response (GO:0045824),4/52,0.000492848765735264,0.0140536572289965,0,0,12.0504866180049,91.76816948616,OAS1;OAS3;ISG15;USP18
Positive Regulation Of Chemokine Production (GO:0032722),4/53,0.000530187147631761,0.0146737089976908,0,0,11.8039624608968,89.028795950658,OAS1;OAS3;EIF2AK2;TLR7
Defense Response To Bacterium (GO:0042742),7/204,0.000618664974689639,0.0166332497480843,0,0,5.21380407606637,38.5193064522482,OAS1;OAS2;OAS3;ISG15;GBP2;GBP1;GBP4
