Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Cellular Response To Oxidative Stress (GO:0034599),4/117,0.000150150218952801,0.0599099373621676,0,0,16.7222924568057,147.220960886333,ZC3H12A;MGAT3;AGAP3;WNT16
Positive Regulation Of Potassium Ion Transport (GO:0043268),2/15,0.000533125215503212,0.0771501555869835,0,0,69.7237762237762,525.490965769041,KCNH2;KCNN4
Positive Regulation Of Potassium Ion Transmembrane Transport (GO:1901381),2/17,0.000688505054220343,0.0771501555869835,0,0,60.4212121212121,439.926114291837,KCNH2;KCNN4
Positive Regulation Of Cation Transmembrane Transport (GO:1904064),2/18,0.000773435143729158,0.0771501555869835,0,0,56.6420454545455,405.821492396118,KCNH2;KCNN4
Cellular Response To Xenobiotic Stimulus (GO:0071466),2/26,0.0016237998940067,0.120157825489718,0,0,37.7462121212121,242.443401927687,KCNH2;AIM2
Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874),3/105,0.00181155042702886,0.120157825489718,0,0,13.578659370725,85.7298464635956,TRAF4;ZC3H12A;WNT16
Cellular Response To Tumor Necrosis Factor (GO:0071356),3/119,0.00258742712698376,0.120157825489718,0,0,11.9314354450682,71.076650098667,AIM2;TRAF4;ZC3H12A
Regulation Of Potassium Ion Transmembrane Transport (GO:1901379),2/33,0.00261119630199777,0.120157825489718,0,0,29.2126099706745,173.755050269421,KCNH2;KCNN4
Potassium Ion Transport (GO:0006813),3/122,0.00277647963250917,0.120157825489718,0,0,11.6288841117842,68.4542574750268,KCNH2;KCNC4;KCNN4
Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),2/38,0.00345135483406612,0.120157825489718,0,0,25.1489898989899,142.569332499524,AIM2;TRAF4
Potassium Ion Transmembrane Transport (GO:0071805),3/137,0.00384894781541902,0.120157825489718,0,0,10.3193335647345,57.3750350249847,KCNH2;KCNC4;KCNN4
Negative Regulation Of Tumor Necrosis Factor Production (GO:0032720),2/47,0.00523790183287352,0.120157825489718,0,0,20.110101010101,105.614917746693,ZC3H12A;LILRA4
