Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Defense Response To Symbiont (GO:0140546),25/148,2.32866869710218e-32,1.54390734617875e-29,0,0,57.4390243902439,4183.71070267594,IFITM1;IFI6;DDX60L;IFIT1;DDX60;IFIT3;IFI44L;IFIT2;OASL;GBP2;GBP5;RSAD2;STAT1;MX2;MX1;EIF2AK2;ISG15;NT5C3A;PLSCR1;OAS1;IFI27;OAS2;OAS3;IRF7;TLR7
Defense Response To Virus (GO:0051607),26/189,3.33322819375383e-31,1.1049651462294e-28,0,0,45.6381257224149,3202.71008410375,IFITM1;IFI6;DDX60L;IFIT1;DDX60;USP18;IFIT3;IFI44L;IFIT2;OASL;GBP2;GBP5;RSAD2;STAT1;MX2;MX1;EIF2AK2;ISG15;NT5C3A;PLSCR1;OAS1;IFI27;OAS2;OAS3;IRF7;TLR7
Negative Regulation Of Viral Process (GO:0048525),12/61,9.24859022392453e-17,2.04393843948732e-14,0,0,58.5866732235063,2162.98924372637,IFITM1;PLSCR1;RSAD2;OAS1;OAS2;STAT1;OAS3;MX1;EIF2AK2;ISG15;IFIT1;OASL
Negative Regulation Of Viral Genome Replication (GO:0045071),11/53,9.88541450841964e-16,1.63850745477056e-13,0,0,61.9311224489796,2139.7389280168,IFITM1;PLSCR1;RSAD2;OAS1;OAS2;OAS3;MX1;EIF2AK2;ISG15;IFIT1;OASL
Regulation Of Viral Genome Replication (GO:0045069),11/67,1.57898870071782e-14,2.09373901715182e-12,0,0,46.4156037414966,1475.06034957802,IFITM1;PLSCR1;RSAD2;OAS1;OAS2;OAS3;MX1;EIF2AK2;ISG15;IFIT1;OASL
Interleukin-27-Mediated Signaling Pathway (GO:0070106),5/5,2.17310877417682e-12,2.40128519546539e-10,0,0,99525,2672730.17625576,OAS1;OAS2;STAT1;MX1;OASL
Response To Cytokine (GO:0034097),10/125,4.075423138898e-10,3.86000791584196e-08,0,0,20.2455242966752,437.72597747699,IFITM1;PLSCR1;STAT1;LAMP3;MX2;MX1;EIF2AK2;ISG15;IL6ST;XAF1
Antiviral Innate Immune Response (GO:0140374),7/46,2.0052848600154e-09,1.66187982773776e-07,0,0,40.5192307692308,811.49807215469,OAS1;MX1;EIF2AK2;IFIT1;USP18;IFIT3;IFIT2
Regulation Of Ribonuclease Activity (GO:0060700),4/5,2.37923203961973e-09,1.7527009358532e-07,0,0,874.901098901099,17372.4632360506,OAS1;OAS2;OAS3;OASL
Regulation Of Nuclease Activity (GO:0032069),4/6,7.11185516924085e-09,4.71515997720668e-07,0,0,437.428571428571,8206.81732532374,OAS1;OAS2;OAS3;OASL
Positive Regulation Of Interferon-Beta Production (GO:0032728),6/36,1.69921493637757e-08,1.0241631843803e-06,0,0,44.6629213483146,799.042637603324,OAS1;OAS2;OAS3;IRF7;ISG15;TLR7
Positive Regulation Of Type I Interferon Production (GO:0032481),7/64,2.17142062178722e-08,1.19970989353744e-06,0,0,27.6985645933014,488.749457614655,OAS1;OAS2;STAT1;OAS3;IRF7;TLR7;ISG15
Regulation Of Interferon-Beta Production (GO:0032648),6/50,1.31417133701972e-07,6.7022738188006e-06,0,0,30.4305413687436,482.168560724375,OAS1;OAS2;OAS3;IRF7;TLR7;ISG15
Response To Interferon-Beta (GO:0035456),5/29,2.35881356508533e-07,1.11706670975112e-05,0,0,46.0208333333333,702.275012061264,IFITM1;PLSCR1;OAS1;STAT1;XAF1
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),4/15,6.26336752350904e-07,2.768408445391e-05,0,0,79.4965034965035,1135.47858268099,OAS1;OAS3;ISG15;USP18
Cellular Response To Type I Interferon (GO:0071357),5/38,9.63922685698076e-07,3.9942546288614e-05,0,0,33.4545454545455,463.420886085141,IFITM1;IFI27;STAT1;OAS2;IFIT1
Response To Interferon-Alpha (GO:0035455),4/17,1.0841549192128e-06,4.22820418492993e-05,0,0,67.2595097210482,923.789843996692,IFITM1;MX2;LAMP3;EIF2AK2
Response To Type II Interferon (GO:0034341),6/80,2.21654310340207e-06,8.16426709753095e-05,0,0,18.0665047069541,235.217973392147,GBP5;IFITM1;STAT1;GBP2;GBP1;GBP4
Response To Type I Interferon (GO:0034340),3/9,8.54196781324796e-06,0.000298069718957021,0,0,108.146739130435,1262.12859042222,MX1;ISG15;IFIT1
Cellular Response To Type II Interferon (GO:0071346),5/66,1.54538211506194e-05,0.000504148119566309,0,0,18.0728597449909,200.204891772228,GBP5;STAT1;GBP2;GBP1;GBP4
Cellular Response To Cytokine Stimulus (GO:0071345),9/308,1.5968492474951e-05,0.000504148119566309,0,0,6.86217624640274,75.792002371529,GBP5;OAS1;STAT1;IFIT1;IL6ST;GBP2;GBP1;TNFRSF21;GBP4
Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),4/33,1.7586437244459e-05,0.000529991267867105,0,0,30.1265630920803,329.837138073706,OAS1;OAS3;ISG15;USP18
Type I Interferon-Mediated Signaling Pathway (GO:0060337),4/37,2.79749883131299e-05,0.000806409445721962,0,0,26.4695304695305,277.511843977617,IFITM1;IFI27;STAT1;OAS2
Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),4/39,3.45872474564942e-05,0.000955472710985653,0,0,24.9544740973312,256.332994627742,RSAD2;IFI35;DDX60;OASL
Positive Regulation Of Immune Response (GO:0050778),5/80,3.94496116556167e-05,0.00104620370110696,0,0,14.6888888888889,148.952477343261,GBP5;PLSCR1;RSAD2;IFI35;IL6ST
Defense Response To Protozoan (GO:0042832),3/15,4.53216089580868e-05,0.00115570102843121,0,0,54.0570652173913,540.663988198473,GBP2;GBP1;GBP4
Defense Response To Bacterium (GO:0042742),7/204,5.36206509983804e-05,0.00131668487451578,0,0,7.95777572681126,78.2533946626964,OAS1;OAS2;OAS3;ISG15;GBP2;GBP1;GBP4
Interferon-Mediated Signaling Pathway (GO:0140888),4/49,8.59193560094632e-05,0.00203444760836693,0,0,19.3992673992674,181.617908913483,IFITM1;IFI27;OAS2;STAT1
Negative Regulation Of Innate Immune Response (GO:0045824),4/52,0.000108595379493918,0.00248271505532646,0,0,18.1840659340659,165.982002625077,OAS1;OAS3;ISG15;USP18
Positive Regulation Of Chemokine Production (GO:0032722),4/53,0.000117035084302142,0.00258647536307733,0,0,17.8120654855349,161.253284365294,OAS1;OAS3;EIF2AK2;TLR7
Positive Regulation Of Interferon-Alpha Production (GO:0032727),3/21,0.000129768109909876,0.00277536312484669,0,0,36.0271739130435,322.434612968762,STAT1;IRF7;TLR7
Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),4/59,0.000177988917591739,0.00368770788635385,0,0,15.8641358641359,136.96760600685,OAS1;OAS3;ISG15;USP18
Regulation Of Interferon-Alpha Production (GO:0032647),3/26,0.000249353413549307,0.00500973676312698,0,0,28.1880907372401,233.86642242508,STAT1;IRF7;TLR7
Regulation Of Innate Immune Response (GO:0045088),4/78,0.000520762598619084,0.0101548706730721,0,0,11.7796257796258,89.056518649111,GBP5;PLSCR1;IFI35;PARP9
Positive Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071639),2/8,0.000613586182064546,0.0116230753916798,0,0,71.3225806451613,527.515345447086,OAS1;OAS3
Apoptotic Process (GO:0006915),6/228,0.000767618504359596,0.0140924624436521,0,0,5.97722441542666,42.8699546735682,PLSCR1;IFI27;MX1;IFI6;TNFRSF21;IFIT2
Positive Regulation Of RIG-I Signaling Pathway (GO:1900246),2/9,0.000786457180113315,0.0140924624436521,0,0,61.1305683563748,436.959608105148,DDX60;OASL
Regulation Of RNA Metabolic Process (GO:0051252),4/91,0.000930974665076005,0.0162430579722471,0,0,10.0128836680561,69.882703643887,OAS1;OAS2;OAS3;OASL
Positive Regulation Of Response To Biotic Stimulus (GO:0002833),3/41,0.000970996633174966,0.0165069427639744,0,0,17.0483409610984,118.267538783814,GBP5;PLSCR1;IFI35
Regulation Of B Cell Proliferation (GO:0030888),3/44,0.00119401884299587,0.0193097284410125,0,0,15.7985153764581,106.330809471635,CD38;TNFRSF21;TNFSF13B
Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071637),2/11,0.00119411593677453,0.0193097284410125,0,0,47.5412186379928,319.96900136532,OAS1;OAS3
Positive Regulation Of Innate Immune Response (GO:0045089),3/45,0.00127492749621856,0.0201256411903073,0,0,15.4215838509317,102.7827893761,GBP5;PLSCR1;IFI35
Cytokine-Mediated Signaling Pathway (GO:0019221),6/257,0.00142160301900199,0.0215250820529394,0,0,5.27883969739021,34.6079155221118,OAS1;OAS2;STAT1;MX1;IL6ST;OASL
Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000341),2/12,0.00142851223277426,0.0215250820529394,0,0,42.7849462365591,280.289392845244,OAS1;OAS3
Regulation Of ERBB Signaling Pathway (GO:1901184),2/13,0.00168302776094278,0.0242575522935883,0,0,38.8934506353861,248.418725958488,MVB12B;IFI6
Endolysosomal Toll-Like Receptor Signaling Pathway (GO:0140894),2/13,0.00168302776094278,0.0242575522935883,0,0,38.8934506353861,248.418725958488,OAS1;TLR7
Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224),3/53,0.00204786142294354,0.0288879175193951,0,0,12.9489130434783,80.1661928372895,EIF2AK2;TLR7;IFI35
Regulation Of Monocyte Differentiation (GO:0045655),2/15,0.00225164845488082,0.0311008942830413,0,0,32.9065343258892,200.601283173228,CDK6;IRF7
Cellular Response To Tumor Necrosis Factor (GO:0071356),4/119,0.00250052731455333,0.0333498480845687,0,0,7.56426182513139,45.319411220421,STAT1;GBP2;GBP1;TNFRSF21
Regulation Of Nucleocytoplasmic Transport (GO:0046822),2/16,0.00256537292958221,0.0333498480845687,0,0,30.5545314900154,182.277684148777,IFI27;MX2
Negative Regulation Of Chemokine Production (GO:0032682),2/16,0.00256537292958221,0.0333498480845687,0,0,30.5545314900154,182.277684148777,OAS1;OAS3
Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901532),2/17,0.00289845523849149,0.0362960619577291,0,0,28.5161290322581,166.636206016138,MYB;EIF2AK2
