pathway,pval,padj,log2err,ES,NES,size,leadingEdge,absNES
GOBP_RESPONSE_TO_VIRUS,4.46542278069911e-14,2.3269318110223e-10,0.965327754226083,0.579505217509428,1.91050345756105,417,IFI44L|USP18|IFI44|RSAD2|EIF2AK2|STAT1|HERC5|IFIT3|PLSCR1|IFITM1|IFIT1|MX1|IFIT2|OASL|OAS3|DDX60|OAS2|IFI6|TLR7|DDX60L|LGALS9|ISG15|GBP5|PARP9|CDK6|NT5C3A|OAS1|TRIM25|IFI27|GBP1|IRF7|MX2|SAMHD1|DTX3L|BST2|GBP2|ISG20|PPM1B|ADAR|NMI|DNAJC3|JAK2|TRIM22|RIOK3|RIGI|ZMPSTE24|AZI2|ZBP1|DHX58|APOBEC3A|TNFSF4|IRF9|UBE2W|RTP4|STAT2|IFIT5|TRIM38|MOV10|NCK1|BNIP3L|TRIM5|IFNGR1|ZNFX1|FMR1|IFIH1|CREBZF|IFI16|GBP7|SLFN13|IL15|ERBIN|RNASE6|TRIM13|DHX36|ELMOD2|SLFN11|IFNAR1|PTPRC|STING1|TSPAN32|HIF1A|IFITM2|ATG12|MORC3|ATF2|MICA|IL12B|SMAD3|USP29|TLR8|NPC2|EXOC1|IFITM3|CHRM2|LGALS8|ADARB1|GBP3|NLRP9|TRIM34|KCNJ8|TOMM70|TREX1|MEFV,1.91050345756105
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,2.36355329319008e-13,6.15823810540677e-10,0.932595211336209,0.607296658250811,1.96366536286207,327,IFI44L|USP18|RSAD2|EIF2AK2|STAT1|HERC5|IFIT3|PLSCR1|IFITM1|IFIT1|MX1|IFIT2|OASL|OAS3|DDX60|OAS2|IFI6|TLR7|DDX60L|ISG15|GBP5|PARP9|NT5C3A|OAS1|TRIM25|IFI27|GBP1|IRF7|MX2|SAMHD1|DTX3L|BST2|GBP2|ISG20|PPM1B|ADAR|DNAJC3|TRIM22|RIOK3|RIGI|ZMPSTE24|AZI2|ZBP1|DHX58|APOBEC3A|IRF9|UBE2W|RTP4|STAT2|IFIT5|TRIM38|MOV10|NCK1|BNIP3L|TRIM5|ZNFX1|IFIH1|IFI16|GBP7|SLFN13|IL15|ERBIN|RNASE6|TRIM13|DHX36|ELMOD2|SLFN11|PTPRC|STING1|TSPAN32|IFITM2|ATG12|MORC3|MICA|IL12B|USP29|TLR8|EXOC1|IFITM3|ADARB1|GBP3|NLRP9|TRIM34|KCNJ8|TOMM70|TREX1|MEFV,1.96366536286207
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.02747845429709e-10,3.52173007511405e-07,0.826657301178302,0.753157359825096,2.11214324523518,83,RSAD2|EIF2AK2|PLSCR1|IFITM1|IFIT1|MX1|OASL|OAS3|OAS2|ISG15|OAS1|BST2|ISG20|ADAR|APOBEC3A|PKN2|IFIT5|TRIM38|ZNFX1|IFIH1|FAM111A|IFI16|GBP7|SLPI|IFITM2|N4BP1|IFITM3|ADARB1,2.11214324523518
GOBP_REGULATION_OF_VIRAL_PROCESS,2.72505309660713e-10,3.55006292160493e-07,0.814035837847908,0.657345056115605,2.01839797268032,162,RSAD2|LAMP3|EIF2AK2|STAT1|PLSCR1|IFITM1|IFIT1|MX1|OASL|OAS3|OAS2|LGALS9|ISG15|OAS1|TRIM25|BST2|ISG20|ADAR|TRIM22|STOM|APOBEC3A|PKN2|TRIM14|IFIT5|TRIM38|LY6E|TRIM5|ZNFX1|FMR1|IFIH1|FCN1|FAM111A|IFI16|GBP7|TRIM58|TRIM13|SLPI|IFITM2|ATG12|HMGB1|N4BP1|IFITM3|ADARB1|TRIM34|TSG101,2.01839797268032
GOBP_VIRAL_LIFE_CYCLE,3.8642598948557e-10,4.02733166241861e-07,0.814035837847908,0.566886088113693,1.82822089690682,316,RSAD2|LAMP3|EIF2AK2|PLSCR1|IFITM1|IFIT1|MX1|OASL|OAS3|SCARB2|OAS2|LGALS9|ISG15|OAS1|TRIM25|IFI27|MVB12B|BST2|SIGLEC1|CCR5|ISG20|ADAR|ITGA5|TRIM22|CTSL|CHMP5|STOM|APOBEC3A|ARL8B|CHMP2B|PKN2|IFIT5|TRIM38|LY6E|RAB43|SLAMF1|CD55|TMEM41B|CLDN1|TRIM5|ZNFX1|VPS4B|VPS37A|FMR1|IFIH1|FCN1|FAM111A|IFI16|GBP7|TRIM58|NEDD4|CR2|LDLR|SELPLG|SLPI|IFITM2|SPCS1|CDK1|NUCKS1|HMGB1|RAB1A|N4BP1|CHMP1B|IFITM3|KPNA3|ADARB1|CDHR3|CTBP2|TRIM34|NECTIN4|TSG101|NCAM1|VAPA|NECTIN3|CAV1|SMC5|CD46|GYPA|FKBP6|LRRC15|NOTCH1|TASOR|EPS15|FCN3|XPR1|LTF|STAU1|TOP2A|CD4|UVRAG|PPIB|GPR15|CD28|RFPL3|ATG16L1,1.82822089690682
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,1.25016130648757e-09,1.08576509468445e-06,0.788186810800237,0.806610037136808,2.15301359251373,53,RSAD2|EIF2AK2|PLSCR1|IFITM1|IFIT1|MX1|OASL|OAS3|OAS2|ISG15|OAS1|BST2|ISG20|APOBEC3A|IFIT5|ZNFX1|IFIH1|FAM111A|IFI16|SLPI|IFITM2|N4BP1|IFITM3,2.15301359251373
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,2.08257444618254e-09,1.55032791986532e-06,0.774939030136436,0.730070287445565,2.05520762682317,85,USP18|STAT1|IFITM1|IFIT1|MX1|OAS3|OAS2|ISG15|OAS1|IFI27|IRF7|SAMHD1|ADAR|SP100|AZI2|ZBP1|UBE2K|STAT2|YTHDF3|IFIH1|IFNAR1|STING1|HDAC4|IFITM2|USP29|IFITM3,2.05520762682317
GOBP_VIRAL_PROCESS,3.85358897281671e-09,2.51013151716848e-06,0.761460801445585,0.523119424841958,1.72529104091596,419,RSAD2|LAMP3|EIF2AK2|STAT1|PLSCR1|IFITM1|IFIT1|MX1|OASL|OAS3|SCARB2|OAS2|LGALS9|ISG15|PARP9|OAS1|TRIM25|GFI1|IFI27|MVB12B|IRF7|BST2|SIGLEC1|CCR5|ISG20|ADAR|ITGA5|TRIM22|CTSL|CHMP5|STOM|LIG4|APOBEC3A|ARL8B|CANX|CHMP2B|PKN2|SPCS3|TRIM14|IFIT5|TRIM38|LY6E|RAB43|SLAMF1|CD55|TMEM41B|CLDN1|TRIM5|ZNFX1|VPS4B|VPS37A|FMR1|IFIH1|FCN1|HCFC2|ST6GALNAC3|FAM111A|IFI16|GBP7|TRIM58|MGAT5|NEDD4|CR2|TRIM13|LDLR|SELPLG|SLPI|IFITM2|SPCS1|CDK1|ATG12|NUCKS1|HMGB1|PARP10|RAB1A|CCNT2|N4BP1|CHMP1B|IFITM3|KPNA3|ADARB1|CDHR3|GALNT1|TARDBP|CTBP2|TRIM34|NECTIN4|CSF1R|TSG101|NCAM1|VAPA|NECTIN3|REST|CAV1|MAN2A1|SMC5|LEF1|CD46|GYPA|FKBP6|MGAT4C|LRRC15|NOTCH1|TASOR|EPS15|FCN3|XPR1|LTF|DENR|STAU1|TOP2A|POU2F3|CSNK1A1|CD4|UVRAG|PPIB|GPR15|CD28|RFPL3|ATG16L1|GSK3B,1.72529104091596
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY,1.53785637051929e-08,8.39738269823794e-06,0.73376198835648,0.691594902725005,1.98973826794749,100,USP18|STAT1|IFITM1|OAS3|OAS2|ISG15|PARP9|OAS1|IFI27|IRF7|SAMHD1|ADAR|JAK2|SP100|AZI2|ZBP1|UBE2K|STAT2|IFNGR1|YTHDF3|IFIH1|IFNAR1|STING1|HDAC4|IFITM2|USP29|IFITM3|PARP14|HPX|TREX1|WNT5A|LSM14A|IL10RB|PPARG|IRGM|TBK1|ARG1|DCST1|TANK,1.98973826794749
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,1.61147240419074e-08,8.39738269823794e-06,0.73376198835648,0.722406339562255,2.03940242053274,88,RSAD2|EIF2AK2|STAT1|PLSCR1|IFITM1|IFIT1|MX1|OASL|OAS3|OAS2|ISG15|OAS1|TRIM25|BST2|ISG20|APOBEC3A|TRIM14|IFIT5|LY6E|TRIM5|ZNFX1|IFIH1|FCN1|FAM111A|IFI16|TRIM13|SLPI|IFITM2|N4BP1|IFITM3,2.03940242053274
