pathway,pval,padj,log2err,ES,NES,size,leadingEdge,absNES
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,6.77045224149205e-08,3.52688179582355e-05,0.704975715167238,0.494895299815157,1.65391746993925,490,USP18|RSAD2|EIF2AK2|STAT1|HERC5|PLSCR1|OASL|OAS3|DDX60|TLR7|LGALS9|ISG15|GBP5|PARP9|OAS1|TRIM25|IFI35|GFI1|IRF7|SAMHD1|DTX3L|GBP2|PPM1B|ADAR|NMI|TRIM22|RIOK3|RIGI|ZMPSTE24|ALPK1|ZBP1|USP15|DHX58|UBE2K|TLR1|CD300LF|CLEC7A|STAT2|NOD2|TRIM38|CD36|SLC46A2|NEK7|CD55|PPP6C|TRIM5|TYROBP|USP38|CARD16|PIK3R1|YTHDF3|ZNFX1|RAB11FIP2|IFIH1|MAPK8|NFE2L2|FCN1|IL18RAP|CD14|IFI16|MAP3K7|IRF4|SERPINB9|IL15|ERBIN|DAPK1|FFAR2|ELMOD2|TRIB1|KLRD1|STMP1|BIRC2|PUM2|MNDA|STING1|TSPAN32|ATG12|EMILIN1|HLA-F|HMGB1|MICA|HAVCR2|NAIP|IL12B|AURKB|USP29|N4BP1|TLR8|BIRC3|NINJ1|TIFA|CRTAM|PARP14|LY96|WDFY1|HPX|SLC15A2|MAP2K6|PJA2|CLEC4E|KCNJ8|TOMM70|TREX1|MEFV|KLRB1|ZNRF1|PRKCE|TLR2|RNF31|WNT5A|CAV1|SLC15A4|CHUK|PLA2G5|PPP2CA|XIAP|LILRA2|KLRK1|LSM14A|RPS6KA3|NOD1|PPARG|OTUD4|ERAP1|REG3G|FBXO38|IRGM|TBK1|TLR3|RFTN1|DTX4|FCN3|EPG5|ARG1|DCST1|IRAK3|LTF|FPR2|SPN|IL4I1|MMRN2|CSNK1A1|CARD8|BTK,1.65391746993925
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY,5.51457541430576e-06,0.00114945809935789,0.610526878385931,0.461573512240427,1.54299776922033,488,RSAD2|EIF2AK2|PLSCR1|OASL|OAS3|DDX60|TLR7|LGALS9|GBP5|OAS1|TRIM25|IFI35|GFI1|GBP1|IRF7|TNFRSF21|GBP2|CD38|NMI|RIOK3|RIGI|STAP1|VAV3|IGHD|ALPK1|USP15|DHX58|CMTM3|TLR1|PIK3CA|FCGR3A|FYB1|CD300LF|CLEC7A|MEF2C|NOD2|PLEKHA1|ELF1|CD36|SLC46A2|NEK7|FCER2|RC3H1|IGHM|TYROBP|CD8B|BTLA|PIK3R1|TRGC2|RAB11FIP2|IFIH1|MAPK8|FCN1|RC3H2|CD14|MAP3K7|IRF4|ERBIN|CR2|FFAR2|PTK2|BRAF|KLRD1|STMP1|YES1|BIRC2|PUM2|PTPRC|ZAP70|MNDA|STING1|ITK|IGHG3|PAWR|DENND1B|CD8A|HMGB1|HAVCR2|NAIP|MALT1|LGALS3|CD3D|PLCL2|THEMIS|MAPK9|TLR8|BIRC3|NINJ1|TIFA|LIPA|SOS1|CD47|LY96|CLEC4D|WDFY1|SLC15A2|MAP2K6|CD33|SKAP1|MAPK1|PJA2|CLEC4E|KCNJ8|MEFV|LAT|ZNRF1|PRKCE|FCER1G|PSG9|C5AR1|TLR2|RNF31|TRDC|CAV1|SLC15A4|CHUK|NFAM1|FCER1A|BTNL3|FPR1|PPP2CA|XIAP|LILRA2|KLRK1|LSM14A|RPS6KA3|BMX|FER|NOD1|OTUD4|REG3G|IRGM|TBK1|PRAM1|TLR3|RFTN1|IGLC7|FCN3|EPG5|FCGR1A|IRAK3|IGHG1|GCSAM|LTF|FPR2|PRKCQ|IGLC3|C3AR1|CD22|CSNK1A1|IGKC|CARD8|BTK,1.54299776922033
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,3.22585522268454e-07,0.000120070939752922,0.674962860011025,-0.415554717711178,-1.55485976976717,480,HSP90AB1|TSR1|NLE1|PRPF19|EIF3L|HSP90AA1|FBL|PRPF3|ISG20L2|EXOSC6|PDCD11|SF3B2|RPS4X|RPP25|EIF2S3|NOP53|EIF3F|REXO4|RSL1D1|PRMT7|RRP7BP|PRPF6|RNU5A-1|EIF3B|DDX51|NOP2|PWP2|EIF3D|RPS16|RPS14|RNU5B-1|NSUN4|RPS12|HABP4|LSG1|YBEY|LAS1L|FDXACB1|NSUN5P2|DDX54|MTERF4|RBFA|NOP9|KRI1|DDX56|EIF2D|RNU4ATAC|ERCC2|ERAL1|RRP8|EIF3A|RPUSD4|MDN1|MPHOSPH10|UTP15|SF3B4|FTSJ3|RPL10|SART3|CUL4A|RRP12|DKC1|RRP7A|RPL13A|PRPF8|NOB1|SBDS|GNL2|RPSA|RNU6-1|TRAF7|DDX23|GEMIN4|PUF60|SIRT7|GEMIN7|METTL25B|EIF5|ERI3|SNRNP200|SURF6|KHDC4|RPS23|NSA2|TBL3|RPLP0|RPL6|SNRPF|C1QBP|RPS8|NOP58|PPAN|DDX27|RPS21|RPS6|RBMX2|LSM2|IMP3|RPL5|PELP1|NOC2L|DHX9|MRTO4|EXOSC2|MPV17L2|TSR3|RPL23A|NOA1|EIF3I|USP36|PRMT5|CD2BP2|NGRN|DDX3X|NSUN5P1|RRP1|URB2|ZNF593|SF3A3|WDR55|EIF3K|RPLP0P6|EXOSC10|BYSL|NOLC1|ERI2|RPS27|RPL7A|RPS15A|RRP36|NOP14|RPL11|SF1|PRKRA|PTGES3|NAT10|RPL7|UTP14A|MYBBP1A|MRM2|PAK1IP1|MRPS2|RPS5|RPL10A|NOPCHAP1|RIOX2|SFSWAP|METTL15P1|RPL7L1|GTF2H5|RPL27|UTP4|RPS3A|ZRSR2|NPM1|RNU4-1|DDX21|BUD13|URB1|EIF3C|RNU6ATAC|EMG1|TRMT112|LSM4|LTV1|SRSF5|RPS11|SF3A2|IMP4|TRMT2B|NOP56|EIF3G|POP7,1.55485976976717
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,2.25063180900976e-07,9.7733686306249e-05,0.690132458796796,0.488645347534669,1.62896488407533,455,RSAD2|EIF2AK2|IL6ST|PLSCR1|OASL|OAS3|DDX60|TLR7|LGALS9|GBP5|PARP9|OAS1|TRIM25|IFI35|GFI1|MGST2|IRF7|GBP2|PIK3CG|NMI|RIOK3|RIGI|STAP1|ALPK1|ZBP1|USP15|DHX58|TNFSF4|UBE2K|TLR1|CD300LF|CLEC7A|MEF2C|SNX4|NOD2|VAMP7|CD36|SLC46A2|NEK7|TRIM5|TYROBP|PIK3R1|ZNFX1|RAB11FIP2|IFIH1|MAPK8|FCN1|IL18RAP|CD14|IFI16|MAP3K7|IRF4|IL15|ERBIN|FFAR2|LDLR|KLRD1|STMP1|BIRC2|PUM2|MNDA|STING1|ZP3|EMILIN1|HLA-F|HMGB1|HAVCR2|NAIP|IL12B|NKG7|USP29|TLR8|BIRC3|NINJ1|TIFA|TNFRSF1A|CRTAM|CD47|LY96|WDFY1|HPX|SLC15A2|MAP2K6|CCN4|PJA2|CLEC4E|KCNJ8|TOMM70|MEFV|LILRA5|ZNRF1|PRKCE|TLR2|RNF31|WNT5A|CAV1|SLC15A4|CHUK|NLRP12|PLA2G5|PENK|NEAT1|PPP2CA|XIAP|LILRA2|KLRK1|PLA2G7|LSM14A|RPS6KA3|NOD1|OTUD4|REG3G|IRGM|TBK1|IL18|TLR3|PTGER3|RFTN1|FCN3|EPG5|FCGR1A|ARG1|IRAK3|LTF|FPR2|S100A9|MMRN2|CSNK1A1|CARD8|BTK|TNFRSF11A|CD28|AP1G1|MDK|IL17A|IRAK4|S100A8|PUM1|MATR3|CCR7|PTGS2|NLRP3|GSDMD|PAK2,1.62896488407533
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,1.94286381410716e-06,0.000562459074184022,0.627256739718528,0.478223364174178,1.59380792619081,445,RSAD2|LGALS9|IGHV4-34|IGHV2-26|IRF7|RAB27A|BST2|IGHV3-13|PIK3CG|RIGI|STAP1|STX7|IGHD|LIG4|IGHV4-61|ARL8B|TNFSF4|IGHV3-7|IGHV5-51|FCGR3A|CLEC7A|IGHV3-11|IGHV3-53|SNX4|NOD2|IGHV4-59|TAP2|IGHV1-24|STXBP3|VAMP7|IGHV4-39|SLAMF1|FCER2|SCNN1B|CD55|IGHV3-21|IGHM|TYROBP|IGHV3-33|CX3CR1|IGHV1-18|IGLL5|PPP3CB|PTGDR|IL18RAP|C1QA|IGHV3-20|TNFSF13|MAP3K7|SERPINB9|CR2|C4BPB|DHX36|HPRT1|KLRD1|GZMB|IL2RB|PTPRC|SNX6|IGHG3|ZP3|IGHV1-69|DENND1B|CD8A|HLA-F|IL21R|IGHV3-23|HMGB1|SMAD7|IGHV2-5|MICA|SANBR|HAVCR2|IL12B|IGHV4-28|B2M|MALT1|NKG7|TLR8|IL7R|CAMK4|C17orf99|RAB44|ATAD5|RIF1|BCL6|CRTAM|IL10|IGHV6-1|HPX|EXO1|TREX1|LAT|KLRB1|IGHV4-31|IGHV3-74|FCER1G|TRPM4|SLC15A4|FCER1A|PRF1|JAG1|NBN|CD2|KLRK1|CD46|C1QB|SHLD1|CD1A|FER|EBAG9|FBXO38|KIF5B|GATA2|PRAM1|IL18|TLR3|CHGA|RFTN1|IGHV1-58|IGLC7|FCGR1A|IL1R1|ARG1|IGHV3-48|IGHG1|GATA1|SLAMF7|MSH2|SPN|IL4R|IL4I1|IGLC3|IGKC|BTK|CLC|IGLC2|CD28|AP1G1|CD96|IGLC1|ANXA3|IRAK4|CD177,1.59380792619081
GOBP_VIRAL_PROCESS,2.58729789567869e-09,1.9049553491217e-06,0.774939030136436,0.521455323673815,1.73266363037699,419,RSAD2|LAMP3|EIF2AK2|STAT1|PLSCR1|IFITM1|IFIT1|MX1|OASL|OAS3|SCARB2|OAS2|LGALS9|ISG15|PARP9|OAS1|TRIM25|GFI1|IFI27|MVB12B|IRF7|BST2|SIGLEC1|CCR5|ISG20|ADAR|ITGA5|TRIM22|CTSL|CHMP5|STOM|LIG4|APOBEC3A|ARL8B|CANX|CHMP2B|PKN2|SPCS3|TRIM14|IFIT5|TRIM38|LY6E|RAB43|SLAMF1|CD55|TMEM41B|CLDN1|TRIM5|ZNFX1|VPS4B|VPS37A|FMR1|IFIH1|FCN1|HCFC2|ST6GALNAC3|FAM111A|IFI16|GBP7|TRIM58|MGAT5|NEDD4|CR2|TRIM13|LDLR|SELPLG|SLPI|IFITM2|SPCS1|CDK1|ATG12|NUCKS1|HMGB1|PARP10|RAB1A|CCNT2|N4BP1|CHMP1B|IFITM3|KPNA3|ADARB1|CDHR3|GALNT1|TARDBP|CTBP2|TRIM34|NECTIN4|CSF1R|TSG101|NCAM1|VAPA|NECTIN3|REST|CAV1|MAN2A1|SMC5|LEF1|CD46|GYPA|FKBP6|MGAT4C|LRRC15|NOTCH1|TASOR|EPS15|FCN3|XPR1|LTF|DENR|STAU1|TOP2A|POU2F3|CSNK1A1|CD4|UVRAG|PPIB|GPR15|CD28|RFPL3|ATG16L1|GSK3B,1.73266363037699
GOBP_RESPONSE_TO_VIRUS,5.23270778713599e-14,2.26022098367793e-10,0.965327754226083,0.578425518763398,1.92415571002676,417,IFI44L|USP18|IFI44|RSAD2|EIF2AK2|STAT1|HERC5|IFIT3|PLSCR1|IFITM1|IFIT1|MX1|IFIT2|OASL|OAS3|DDX60|OAS2|IFI6|TLR7|DDX60L|LGALS9|ISG15|GBP5|PARP9|CDK6|NT5C3A|OAS1|TRIM25|IFI27|GBP1|IRF7|MX2|SAMHD1|DTX3L|BST2|GBP2|ISG20|PPM1B|ADAR|NMI|DNAJC3|JAK2|TRIM22|RIOK3|RIGI|ZMPSTE24|AZI2|ZBP1|DHX58|APOBEC3A|TNFSF4|IRF9|UBE2W|RTP4|STAT2|IFIT5|TRIM38|MOV10|NCK1|BNIP3L|TRIM5|IFNGR1|ZNFX1|FMR1|IFIH1|CREBZF|IFI16|GBP7|SLFN13|IL15|ERBIN|RNASE6|TRIM13|DHX36|ELMOD2|SLFN11|IFNAR1|PTPRC|STING1|TSPAN32|HIF1A|IFITM2|ATG12|MORC3|ATF2|MICA|IL12B|SMAD3|USP29|TLR8|NPC2|EXOC1|IFITM3|CHRM2|LGALS8|ADARB1|GBP3|NLRP9|TRIM34|KCNJ8|TOMM70|TREX1|MEFV,1.92415571002676
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,5.26293214503686e-07,0.00018283426271858,0.659444398037935,0.496070296867623,1.6462835608713,407,USP18|RSAD2|EIF2AK2|PLSCR1|OASL|OAS3|DDX60|TLR7|LGALS9|ISG15|GBP5|PARP9|OAS1|TRIM25|IFI35|GFI1|IRF7|SAMHD1|GBP2|ADAR|NMI|RIOK3|RIGI|ALPK1|ZBP1|USP15|DHX58|UBE2K|TLR1|CD300LF|CLEC7A|STAT2|NOD2|CD36|SLC46A2|NEK7|PPP6C|TRIM5|TYROBP|USP38|PIK3R1|YTHDF3|ZNFX1|RAB11FIP2|IFIH1|MAPK8|NFE2L2|FCN1|IL18RAP|CD14|IFI16|MAP3K7|IRF4|SERPINB9|ERBIN|FFAR2|KLRD1|STMP1|BIRC2|PUM2|MNDA|STING1|ATG12|HLA-F|HMGB1|MICA|HAVCR2|NAIP|IL12B|AURKB|USP29|N4BP1|TLR8|BIRC3|NINJ1|TIFA|CRTAM|PARP14|LY96|WDFY1|HPX|SLC15A2|MAP2K6|PJA2|CLEC4E|KCNJ8|TOMM70|TREX1|MEFV|KLRB1|ZNRF1|PRKCE|TLR2|WNT5A|CAV1|SLC15A4|CHUK|PLA2G5|PPP2CA|XIAP|LILRA2|KLRK1|LSM14A|RPS6KA3|NOD1|PPARG|OTUD4|ERAP1|REG3G|IRGM|TBK1|TLR3|RFTN1|DTX4|FCN3|EPG5|ARG1|DCST1|IRAK3,1.6462835608713
GOBP_VESICLE_ORGANIZATION,5.26139101000991e-06,0.00114945809935789,0.610526878385931,0.489276186903406,1.60992220210839,361,SCARB2|SAMD9|INSIG1|RAB27A|TMED10|CHMP5|FBXO5|VAV3|SEC24A|STX7|BET1|BLOC1S2|ARL8B|PI4K2B|RAB12|ATP6V1H|KNL1|CHMP2B|VAMP4|TMF1|VAMP7|SLAMF1|CREB1|PPP6C|SERPINE2|ATP6V1A|SEC23A|ATP6V1C1|ANXA1|VPS4B|VPS37A|AQP11|TFG|RAB14|TBPL1|WASHC4|ATP6V1G1|RAB22A|STAM|BLOC1S6|ZFYVE16|SDCBP|RAB8B|WASL|SRGN|DTNBP1|PICALM|PLEKHF2|KCNE1|STX6|YIPF4|AGFG1|STAM2|RAB1A|SNX10|SDC1|CHMP1B|ATP6V1D|TRAPPC2|SEC24D|SYT4|YIPF5|HOOK3|CPLX1|VTA1|TMED2|GARIN1B|SAR1B|USO1|ANKFY1|TRAPPC11|TSG101|PTPRN|F2R|VPS41|VAPA|SAR1A|AP1S2|TRAPPC8|CAV1|ZNF385A|PLA2G5|ARFGEF2|PAFAH1B1|ATP6AP2|STX19|DNAJC13|ARFGAP3|ATP6V1B2|CLN3|EPS15|SEC31A|CUL3|PHETA1|RAB13|SPG11|VIPAS39|TRAPPC2L|TBC1D4|PLEKHA3|STX16|USP8|UVRAG|DNM1|STX17|VPS36|CRYZL2P-SEC16B|STX12|AP1G1|TRAPPC6B|ATP6V0A1|GOLPH3L|ACRBP|F2RL3|SYP|C2CD5|TRAPPC13|SLC35D3|PDCD6IP|SHROOM2|SORT1,1.60992220210839
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,1.92761867656962e-06,0.000562459074184022,0.627256739718528,0.50020679017531,1.64563162783259,360,RSAD2|TNFSF13B|IGHV4-34|IGHV2-26|IRF7|RAB27A|IGHV3-13|JAK2|STX7|BACH2|IGHD|LIG4|IGHV4-61|TNFSF4|IGHV3-7|IGHV5-51|FCGR3A|CLEC7A|IGHV3-11|MEF2C|IGHV3-53|SEMA4A|NOD2|IGHV4-59|TAP2|IGHV1-24|IGHV4-39|SLAMF1|FCER2|CD55|RC3H1|IGHV3-21|IGHM|PLA2G4A|IGHV3-33|IGHV1-18|IGLL5|PPP3CB|ANXA1|EPHB2|C1QA|IGHV3-20|RC3H2|TNFSF13|MAP3K7|IRF4|CR2|C4BPB|HPRT1|KLRD1|IL2RB|PTPRC|IGHG3|ZP3|IGHV1-69|DENND1B|CD8A|HLA-F|IL21R|IGHV3-23|HMGB1|SMAD7|IGHV2-5|MICA|SANBR|STAT4|HAVCR2|IL12B|IGHV4-28|B2M|MALT1|TLR8|IL7R|C17orf99|ATAD5|RIF1|BCL6|CRTAM|IL10|IGHV6-1|HPX|EXO1|TREX1|IGHV4-31|IGHV3-74|FCER1G|PSG9|TRPM4|SLC15A4|FCER1A|PRF1|JAG1|NBN|LEF1|CD46|C1QB|SHLD1|CD1A|EBAG9|FBXO38|IL18|NOTCH1|RFTN1|IGHV1-58|IGLC7|FCGR1A|IL1R1|ARG1|IGHV3-48|IGHG1|MSH2|SPN|IL4R|PRKCQ|IL4I1|IGLC3|CD4|IGKC|BTK|CLC|ADA|IGLC2|CD28,1.64563162783259
