"Contributeur","Factor20","abs_Value"
"THOC6",0.968831300291673,0.968831300291673
"GDE1",0.915049382484207,0.915049382484207
"ZBTB11",0.869018874950533,0.869018874950533
"ZNF623",0.834404989501957,0.834404989501957
"CD74",0.831556330338429,0.831556330338429
"SSB",0.819359397214446,0.819359397214446
"DDX49",0.797686113543758,0.797686113543758
"OSBP",0.797319117156697,0.797319117156697
"CDC5L",0.790823739135533,0.790823739135533
"HEATR1",0.785284841869788,0.785284841869788
"DCAF1",0.782475859538746,0.782475859538746
"HLA-DMB",0.779359882726047,0.779359882726047
"ZNF322",0.771212104903484,0.771212104903484
"NFKB1",0.767890472705087,0.767890472705087
"ZNF529",0.764075141622818,0.764075141622818
"LAMC1",0.758025197594061,0.758025197594061
"ZNF594",0.755313374836941,0.755313374836941
"GEMIN4",0.749121212551483,0.749121212551483
"IMPA2",0.744367492891377,0.744367492891377
"ZFP62",0.740508992499304,0.740508992499304
"C1orf43",0.738639257551996,0.738639257551996
"RIT1",0.737599587131927,0.737599587131927
"DHX9",0.73532552636786,0.73532552636786
"PHC1",0.732209549555161,0.732209549555161
"CHMP2A",0.711318351788881,0.711318351788881
"SLC7A6OS",0.70469386661439,0.70469386661439
"TBC1D20",0.702455646683131,0.702455646683131
"SEC23IP",0.700684617160362,0.700684617160362
"PJA2",0.694047478912307,0.694047478912307
"CD48",0.693423871322937,0.693423871322937
"MYNN",0.689398877094112,0.689398877094112
"ACOX1",0.685314911526961,0.685314911526961
"JMJD1C",0.676716031593064,0.676716031593064
"COPS3",0.674839998735838,0.674839998735838
"ELP1",0.672907456450525,0.672907456450525
"NEU1",0.657498761029358,0.657498761029358
"NDUFS5",0.64336172812816,0.64336172812816
"ZNF841",0.637831018145309,0.637831018145309
"ZNF860",0.636377460536151,0.636377460536151
"KLHL12",0.630570329561611,0.630570329561611
"PRKD3",0.624577582005658,0.624577582005658
"ATG13",0.621053500630249,0.621053500630249
"NUP153",0.620791965607457,0.620791965607457
"BIN3",0.620499227303707,0.620499227303707
"SCAF4",0.614860136016533,0.614860136016533
"RNF114",0.613327969040849,0.613327969040849
"DCTN5",0.612893814032568,0.612893814032568
"RUBCNL",0.612654951485482,0.612654951485482
"PPWD1",0.60463044093614,0.60463044093614
"PPIL4",0.599163912380729,0.599163912380729
"NOLC1",0.597814785568763,0.597814785568763
"LINC00494",0.595388544399578,0.595388544399578
"TUBA1B",0.595316290196696,0.595316290196696
"PMPCB",0.593013545315638,0.593013545315638
"LYN",0.587355961074794,0.587355961074794
"LARP7",0.586558187649318,0.586558187649318
"ZBTB34",0.584406478098846,0.584406478098846
"KAT5",0.577751820210474,0.577751820210474
"YTHDF1",0.576169269955443,0.576169269955443
"HDAC3",0.574009373122078,0.574009373122078
"STRAP",0.573215950979817,0.573215950979817
"YTHDF3",0.571948410728157,0.571948410728157
"LSP1",0.564833604639659,0.564833604639659
"BIN2",0.564081233419321,0.564081233419321
"ADPRH",0.562964270468436,0.562964270468436
"IMMT",0.562526336714204,0.562526336714204
"MLX",0.559471277866534,0.559471277866534
"BUD23",0.559174989831738,0.559174989831738
"XKRX",0.557440316425315,0.557440316425315
"ZNF418",0.555582776521758,0.555582776521758
"SLC31A1",0.555415939162648,0.555415939162648
"WDR46",0.553814266162956,0.553814266162956
"RRP12",0.551801969436587,0.551801969436587
"SRSF6",0.550773062717106,0.550773062717106
"MCL1",0.547774914073607,0.547774914073607
"GGA2",0.542406575659196,0.542406575659196
"POLR1B",0.541845889915283,0.541845889915283
"CIITA",0.539391766181277,0.539391766181277
"C11orf54",0.537325192922157,0.537325192922157
"MFN2",0.535526051819661,0.535526051819661
"EMC3",0.535415437620004,0.535415437620004
"RBM25",0.534460445461474,0.534460445461474
"TMCO1",0.532570557202427,0.532570557202427
"CEP44",0.532202072218477,0.532202072218477
"CDK5RAP1",0.528124118292611,0.528124118292611
"TSR1",0.527547344251543,0.527547344251543
"ZNF510",0.526737776558401,0.526737776558401
"DEDD2",0.526356466739707,0.526356466739707
"YKT6",0.525451514338165,0.525451514338165
"OXCT1",0.525415272729271,0.525415272729271
"PUM1",0.525348514884137,0.525348514884137
"HSPA1L",0.521722865397863,0.521722865397863
"HIPK1",0.519769998039632,0.519769998039632
"RFWD3",0.516749749457693,0.516749749457693
"PLPP5",0.515364037514474,0.515364037514474
"PAIP2B",0.512243995687191,0.512243995687191
"DNAJC8",0.510272864390197,0.510272864390197
"ATXN7L3B",0.510258436451112,0.510258436451112
"MFAP1",0.509384572823076,0.509384572823076
"SRA1",0.50919374615255,0.50919374615255
"URB2",0.509132885441248,0.509132885441248
"SIPA1L3",0.508205604086359,0.508205604086359
"NOMO1",0.506411558565524,0.506411558565524
"ZNF766",0.502661553985226,0.502661553985226
"HMGCR",0.501421610029754,0.501421610029754
