"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Peptide Biosynthetic Process (GO:0043043)","7/158",6.04039094207963e-09,9.10712266805154e-07,0,0,35.3316352521651,668.644028414411,"RPL7A;RPL41;RPL3;RPS15A;RPS7;RPL31;GSPT1"
"Cytoplasmic Translation (GO:0002181)","6/93",8.59162515853918e-09,9.10712266805154e-07,0,0,50.7790549169859,943.09287659614,"RPL7A;RPL41;RPL3;RPS15A;RPS7;RPL31"
"Macromolecule Biosynthetic Process (GO:0009059)","7/183",1.67228273242122e-08,1.11756555558366e-06,0,0,30.2746940559441,542.113541037834,"RPL7A;RPL41;RPL3;RPS15A;RPS7;RPL31;GSPT1"
"Gene Expression (GO:0010467)","8/296",2.10861425581822e-08,1.11756555558366e-06,0,0,21.8655555555556,386.466036318229,"RPL7A;RNASEL;RPL41;RPL3;RPS15A;RPS7;RPL31;GSPT1"
"Translation (GO:0006412)","7/234",9.04528391419489e-08,3.83520037961863e-06,0,0,23.4124025753982,379.712581725269,"RPL7A;RPL41;RPL3;RPS15A;RPS7;RPL31;GSPT1"
"Regulation Of Translation (GO:0006417)","3/202",0.00443078801616279,0.112028648723547,0,0,9.93366834170854,53.8323152379452,"BZW1;GSPT1;GCN1"
"Regulation Of Translational Initiation (GO:0006446)","2/65",0.00514605250238963,0.112028648723547,0,0,20.3830005120328,107.408738164281,"CDC123;BZW1"
"Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255)","1/5",0.00822354796912648,0.112028648723547,0,0,155.9609375,748.730022278245,"RPS7"
"Chitin Catabolic Process (GO:0006032)","1/5",0.00822354796912648,0.112028648723547,0,0,155.9609375,748.730022278245,"CHIA"
"Chitin Metabolic Process (GO:0006030)","1/5",0.00822354796912648,0.112028648723547,0,0,155.9609375,748.730022278245,"CHIA"
"Negative Regulation Of ERAD Pathway (GO:1904293)","1/5",0.00822354796912648,0.112028648723547,0,0,155.9609375,748.730022278245,"USP25"
"Ribosomal Small Subunit Biogenesis (GO:0042274)","2/84",0.00845794397326213,0.112028648723547,0,0,15.6451612903226,74.6688659539297,"RPS15A;RPS7"
"Regulation Of Translational Termination (GO:0006449)","1/6",0.00986037774269364,0.112028648723547,0,0,124.7625,576.306782745311,"GSPT1"
"ncRNA Processing (GO:0034470)","2/100",0.0118145960439168,0.112028648723547,0,0,13.0803159973667,58.0559303610333,"RPS7;RPP30"
"Glucosamine-Containing Compound Catabolic Process (GO:1901072)","1/8",0.0131261847028175,0.112028648723547,0,0,89.1071428571429,386.114278489562,"CHIA"
"Translational Termination (GO:0006415)","1/8",0.0131261847028175,0.112028648723547,0,0,89.1071428571429,386.114278489562,"GSPT1"
"Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902253)","1/8",0.0131261847028175,0.112028648723547,0,0,89.1071428571429,386.114278489562,"RPS7"
"Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667)","1/8",0.0131261847028175,0.112028648723547,0,0,89.1071428571429,386.114278489562,"RPS7"
"Negative Regulation Of Chromosome Organization (GO:2001251)","1/8",0.0131261847028175,0.112028648723547,0,0,89.1071428571429,386.114278489562,"SUB1"
"Protein Deubiquitination (GO:0016579)","2/112",0.0146551091964616,0.112028648723547,0,0,11.6463343108504,49.182076774108,"USP25;USP32"
"Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane (GO:0031629)","1/9",0.0147551697178424,0.112028648723547,0,0,77.96484375,328.712393486967,"STX3"
"Phosphatidylcholine Catabolic Process (GO:0034638)","1/9",0.0147551697178424,0.112028648723547,0,0,77.96484375,328.712393486967,"PNPLA8"
"Aminoglycan Metabolic Process (GO:0006022)","1/9",0.0147551697178424,0.112028648723547,0,0,77.96484375,328.712393486967,"CHIA"
"Arachidonate Transport (GO:1903963)","1/9",0.0147551697178424,0.112028648723547,0,0,77.96484375,328.712393486967,"PNPLA8"
"Arachidonic Acid Secretion (GO:0050482)","1/9",0.0147551697178424,0.112028648723547,0,0,77.96484375,328.712393486967,"PNPLA8"
"Neurotransmitter Receptor Transport To Postsynaptic Membrane (GO:0098969)","1/9",0.0147551697178424,0.112028648723547,0,0,77.96484375,328.712393486967,"STX3"
"Protein Modification By Small Protein Removal (GO:0070646)","2/114",0.0151545374147407,0.112028648723547,0,0,11.4372119815668,47.9156882681332,"USP25;USP32"
"Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)","2/118",0.016175229143783,0.112028648723547,0,0,11.0406006674082,45.5344652817358,"ARHGEF12;ARHGAP28"
"Ribonucleoprotein Complex Biogenesis (GO:0022613)","2/118",0.016175229143783,0.112028648723547,0,0,11.0406006674082,45.5344652817358,"RPS15A;RPS7"
"TORC1 Signaling (GO:0038202)","1/10",0.0163815476907073,0.112028648723547,0,0,69.2986111111111,284.928149930553,"LAMTOR3"
"Regulation Of ERAD Pathway (GO:1904292)","1/10",0.0163815476907073,0.112028648723547,0,0,69.2986111111111,284.928149930553,"USP25"
