"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Vesicle-Mediated Transport (GO:0016192)","10/411",4.37949754280279e-05,0.0252290934745215,0,0,5.34323531829766,53.6246640414655,"VPS18;AP1G2;DTX3L;HGS;LRRK2;INPPL1;RILP;CSNK1G2;EPN1;VPS16"
"Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088)","5/81",5.61895177606269e-05,0.0252290934745215,0,0,13.5848410087719,132.95185484114,"BRMS1;IRAK1;LRRK2;NLRC5;CACTIN"
"Lysosomal Transport (GO:0007041)","5/105",0.000192464117408988,0.0442373966992603,0,0,10.3119791666667,88.2251774624353,"VPS18;DTX3L;HGS;RILP;VPS16"
"Endosome To Lysosome Transport (GO:0008333)","4/57",0.000197048537635903,0.0442373966992603,0,0,15.4413538222136,131.746564636807,"VPS18;DTX3L;RILP;VPS16"
"Osteoclast Differentiation (GO:0030316)","3/25",0.000265179031025502,0.0476261539721802,0,0,27.6581632653061,227.76788886669,"SBNO2;SLC4A2;GAB2"
"Regulation Of Neurotransmitter Secretion (GO:0046928)","3/38",0.000927436304327373,0.099378354936447,0,0,17.3737609329446,121.322474389954,"VPS18;MCTP1;LRRK2"
"Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)","5/149",0.000957171003832504,0.099378354936447,0,0,7.14518229166667,49.6699383030885,"BRMS1;IRAK1;LRRK2;NLRC5;CACTIN"
"Cellular Response To Chemical Stress (GO:0062197)","4/89",0.00107666608394471,0.099378354936447,0,0,9.61261370527592,65.6915059513146,"RPTOR;G6PD;LRRK2;VRK2"
"Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001959)","3/40",0.00107827708340109,0.099378354936447,0,0,16.4329840044126,112.276568807637,"SHARPIN;IRAK1;VRK2"
"Endosomal Vesicle Fusion (GO:0034058)","2/10",0.00110666319528337,0.099378354936447,0,0,50.229797979798,341.884394406395,"VPS18;VPS16"
"Regulation Of SNARE Complex Assembly (GO:0035542)","2/12",0.00161244812021867,0.131634401086943,0,0,40.179797979798,258.356168645548,"VPS18;VPS16"
"Positive Regulation Of Protein Binding (GO:0032092)","3/59",0.00331048162170765,0.203677804221767,0,0,10.8471209912536,61.9442372624847,"DTX3L;LRRK2;B2M"
"Cellular Response To Lipopolysaccharide (GO:0071222)","4/124",0.00361695873935281,0.203677804221767,0,0,6.79690721649485,38.2130397824369,"UPF1;SBNO2;IRAK1;CACTIN"
"Regulation Of Synaptic Vesicle Exocytosis (GO:2000300)","2/18",0.00366489823810201,0.203677804221767,0,0,25.104797979798,140.811674869744,"VPS18;LRRK2"
"Negative Regulation Of ERBB Signaling Pathway (GO:1901185)","2/18",0.00366489823810201,0.203677804221767,0,0,25.104797979798,140.811674869744,"PTPN18;MVP"
"Protein Polymerization (GO:0051258)","3/63",0.00398547832122722,0.203677804221767,0,0,10.1219387755102,55.9247031130285,"RNF135;PREX1;WAS"
"Regulation Of Protein-Containing Complex Disassembly (GO:0043244)","2/19",0.0040826285924185,0.203677804221767,0,0,23.6268568033274,129.971675607347,"UPF1;TECPR1"
"Establishment Of Epithelial Cell Polarity (GO:0090162)","2/19",0.0040826285924185,0.203677804221767,0,0,23.6268568033274,129.971675607347,"FBF1;SIPA1"
"Myeloid Leukocyte Differentiation (GO:0002573)","3/71",0.00557191974132381,0.234181007443962,0,0,8.92752100840336,46.3339735448271,"SBNO2;SLC4A2;GAB2"
"Phosphorylation (GO:0016310)","7/429",0.00607961334368469,0.234181007443962,0,0,3.43700211757588,17.5383831416204,"RPTOR;IRAK1;LRRK2;COQ8B;VRK2;PKN1;CSNK1G2"
"Protein-Containing Complex Assembly (GO:0065003)","6/328",0.00640125254500887,0.234181007443962,0,0,3.83988231448186,19.3962500744748,"GSDMD;LRRK2;HSF1;ADRM1;WAS;CYBA"
"Positive Regulation Of Cellular Catabolic Process (GO:0031331)","4/146",0.0064384555779149,0.234181007443962,0,0,5.73747640482068,28.9482454811453,"RPTOR;UPF1;DTX3L;LRRK2"
"Regulation Of Neuroblast Proliferation (GO:1902692)","2/24",0.00648227173093109,0.234181007443962,0,0,18.2525252525253,91.9687115910082,"SMARCD3;LRRK2"
"Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining (GO:2001032)","2/25",0.00702289056165793,0.234181007443962,0,0,17.4580588493632,86.5671881666956,"HSF1;WAS"
"Negative Regulation Of Intracellular Protein Transport (GO:0090317)","2/25",0.00702289056165793,0.234181007443962,0,0,17.4580588493632,86.5671881666956,"LRRK2;RANGAP1"
"Negative Regulation Of Protein Modification Process (GO:0031400)","3/78",0.00723061584479177,0.234181007443962,0,0,8.09142857142857,39.8861393792677,"G6PD;LRRK2;CACTIN"
"Cellular Response To Interleukin-1 (GO:0071347)","3/81",0.00802157565456994,0.234181007443962,0,0,7.77904238618524,37.538705714814,"UPF1;IRAK1;CACTIN"
"Peptidyl-Serine Phosphorylation (GO:0018105)","4/158",0.00846274098732783,0.234181007443962,0,0,5.28718703976436,25.2308909705334,"LRRK2;VRK2;PKN1;CSNK1G2"
"Response To Lipopolysaccharide (GO:0032496)","4/159",0.00864814033740694,0.234181007443962,0,0,5.25281010974393,24.9530067741549,"UPF1;SBNO2;IRAK1;CACTIN"
"Response To Interleukin-1 (GO:0070555)","3/85",0.00915265762136875,0.234181007443962,0,0,7.39808362369338,34.7244664201548,"UPF1;IRAK1;CACTIN"
"Peptidyl-Serine Modification (GO:0018209)","4/166",0.0100207107970156,0.234181007443962,0,0,5.02405498281787,23.1262337615073,"LRRK2;VRK2;PKN1;CSNK1G2"
"Protein Modification By Small Protein Conjugation (GO:0032446)","6/364",0.0104002105738955,0.234181007443962,0,0,3.44739782416936,15.7405744774718,"CUL9;RNF135;VPS18;FBXW5;TRIM69;RANGAP1"
"Actin Filament Polymerization (GO:0030041)","2/31",0.0106737744444136,0.234181007443962,0,0,13.8418669453152,62.8415988385954,"PREX1;WAS"
"Toll-Like Receptor Signaling Pathway (GO:0002224)","2/31",0.0106737744444136,0.234181007443962,0,0,13.8418669453152,62.8415988385954,"IRAK1;CTSS"
"Positive Regulation Of Binding (GO:0051099)","3/91",0.0110160438633556,0.234181007443962,0,0,6.89158163265306,31.0700241081715,"DTX3L;LRRK2;B2M"
"Superoxide Metabolic Process (GO:0006801)","2/34",0.0127517722391139,0.234181007443962,0,0,12.542297979798,54.7105701076013,"PREX1;CYBA"
"Regulation Of Regulated Secretory Pathway (GO:1903305)","2/35",0.0134805194510855,0.234181007443962,0,0,12.1616161616162,52.3741172293868,"VPS18;LRRK2"
"Phosphate-Containing Compound Metabolic Process (GO:0006796)","4/184",0.0141775566334508,0.234181007443962,0,0,4.51752577319588,19.2270192328086,"RPTOR;NT5C;G6PD;LRRK2"
"Lytic Vacuole Organization (GO:0080171)","2/36",0.0142269806187648,0.234181007443962,0,0,11.8033273915627,50.1950079839893,"VPS18;LRRK2"
"Activation Of GTPase Activity (GO:0090630)","3/102",0.0149636973088466,0.234181007443962,0,0,6.12244897959184,25.7273154530091,"RANGAP1;SIPA1;ARHGAP45"
"Type I Interferon-Mediated Signaling Pathway (GO:0060337)","2/37",0.0149909619581817,0.234181007443962,0,0,11.4655122655123,48.1586805493669,"IRAK1;TYK2"
