"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Regulation Of Platelet Activation (GO:0010543)","6/28",8.06344910778314e-08,0.000112485115053575,0,0,34.8686217008798,569.521030905987,"LYN;FCER1G;TXK;FLNA;PLA2G4A;PRKCA"
"Regulation Of Cell Population Proliferation (GO:0042127)","21/766",9.48919682260427e-07,0.000661871478376648,0,0,3.84442953020134,53.3143245023077,"CD86;LYN;CSF1R;CTBP2;TGFBR1;DPP4;BST1;HHEX;PAK1;CCND2;CDK6;FES;ADAMTS1;CLMN;BCL2;STAT4;CYP1B1;EMILIN2;IGFBP7;EPHA1;CD33"
"Positive Regulation Of Cell Population Proliferation (GO:0008284)","16/483",1.89605035893655e-06,0.000881663416905495,0,0,4.57730192719486,60.3093290806058,"CD86;LYN;CSF1R;GRN;PID1;CSF2RA;TGFBR1;DPP4;TGFBR3;BST1;PAK1;CCND2;CDK6;PIM1;BCL2;EPHA1"
"Positive Regulation Of Cell Motility (GO:2000147)","10/221",1.25650440026641e-05,0.00367687512083942,0,0,6.16050971407049,69.5188379266919,"CSF1R;GRN;PAK1;SPOCK2;ADAM9;PRKCA;ITGA6;EPHA1;SYNE2;TGFBR1"
"Protein Phosphorylation (GO:0006468)","15/500",1.31787638739764e-05,0.00367687512083942,0,0,4.09984465470979,46.0695600672539,"LYN;CSF1R;TXK;CAD;PRKCA;IRAK3;CSF2RA;TGFBR1;TGFBR3;PAK1;CDK6;FES;PIM1;EPHA1;PDK1"
"Positive Regulation Of Response To Biotic Stimulus (GO:0002833)","5/41",1.88336999320594e-05,0.00437883523420382,0,0,17.6308760683761,191.821511667189,"GRN;EMILIN2;TLR8;PRKCA;CD1D"
"Cytokine-Mediated Signaling Pathway (GO:0019221)","10/257",4.57160703085855e-05,0.00893631498764601,0,0,5.25296940772716,52.4932420100176,"LYN;CSF1R;IL4R;FCER1G;STAT4;IRAK3;LILRA1;LILRB2;CD300LF;CSF2RA"
"Protein Autophosphorylation (GO:0046777)","8/162",5.12476845169664e-05,0.00893631498764601,0,0,6.68364315423139,66.0266421472912,"LYN;CSF1R;PAK1;FES;TXK;CAD;PIM1;EPHA1"
"Positive Regulation Of Cytokine Production (GO:0001819)","11/320",5.86302486440892e-05,0.00908768853983382,0,0,4.63495145631068,45.1641711789299,"CD86;CSF1R;KAT2A;FCER1G;IRF4;TXK;NFAM1;CYP1B1;TLR8;CD14;LILRB2"
"Response To Cytokine (GO:0034097)","7/125",6.91996829172808e-05,0.00931665276540367,0,0,7.59668721109399,72.7649769129479,"CSF1R;PID1;BCL2;ADAM9;PRKCA;IRAK3;MEFV"
"Positive Regulation Of Cell Migration (GO:0030335)","10/272",7.34646454619644e-05,0.00931665276540367,0,0,4.94843536727162,47.1027028145045,"SHTN1;CSF1R;GRN;PAK1;ADAM9;PRKCA;ITGA6;EPHA1;SYNE2;TGFBR1"
"Pattern Recognition Receptor Signaling Pathway (GO:0002221)","5/56",8.7107334349356e-05,0.0101262276181126,0,0,12.4358974358974,116.255363941361,"TLR8;CD14;CLEC4E;MEFV;CTSS"
"Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628)","4/33",0.000137981572911081,0.0137512768968361,0,0,17.403909510213,154.692742410629,"DPP4;LYN;CYP1B1;ADAM9"
"Negative Regulation Of Interleukin-12 Production (GO:0032695)","3/13",0.000138005646276491,0.0137512768968361,0,0,37.65,334.641330841178,"TLR8;IRAK3;MEFV"
"Regulation Of Cell Migration (GO:0030334)","12/434",0.000212022965876076,0.019718135826475,0,0,3.70565221540125,31.3454301001978,"CSF1R;GRN;PAK1;CYP1B1;ADAM9;EMILIN2;FLNA;PRKCA;ITGA6;EPHA1;SYNE2;TGFBR1"
"Regulation Of Angiogenesis (GO:0045765)","8/205",0.000261491146259894,0.0208053631014061,0,0,5.21336385654092,43.0056126136472,"HHEX;GRN;ADAMTS1;STAB1;CYP1B1;EMILIN2;PRKCA;EPHA1"
"Positive Regulation Of Response To External Stimulus (GO:0032103)","7/155",0.00026387216213957,0.0208053631014061,0,0,6.04760442260442,49.8325374613509,"GPRC5B;GRN;EMILIN2;TLR8;PRKCA;CD1D;MEFV"
"Positive Regulation Of Multicellular Organismal Process (GO:0051240)","11/387",0.000308683699356052,0.0208053631014061,0,0,3.79597517730496,30.6836016212628,"KAT2A;IL4R;NUMA1;IRF4;TXK;NFAM1;ZNF516;PRKCA;LILRB2;PPARGC1B;TGFBR1"
"Negative Regulation Of Leukocyte Activation (GO:0002695)","3/17",0.000320450250119619,0.0208053631014061,0,0,26.8874321880651,216.330458780089,"GRN;CD300LF;CD33"
"Positive Regulation Of Leukocyte Proliferation (GO:0070665)","3/17",0.000320450250119619,0.0208053631014061,0,0,26.8874321880651,216.330458780089,"LYN;CSF1R;CSF2RA"
"Positive Regulation Of Lymphocyte Proliferation (GO:0050671)","5/74",0.000327003857741846,0.0208053631014061,0,0,9.18338907469342,73.701643403741,"CD86;BST1;BCL2;CD1D;LILRB2"
"Positive Regulation Of Cellular Process (GO:0048522)","14/594",0.000328113253212139,0.0208053631014061,0,0,3.1623973727422,25.3692315388592,"CD86;LYN;CSF1R;GRN;NUMA1;PRKCA;TGFBR1;DPP4;BST1;PAK1;CCND2;SPOCK2;BCL2;EPHA1"
