"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cytoplasmic Translation (GO:0002181)","17/93",5.68832270917049e-27,2.15587430677562e-24,0,0,111.098355263158,6713.82715590757,"RPS9;RPL10;RPS5;RPLP0;RPL8;RPL9;RPS18;RPS29;RPL36;RACK1;RPL35;RPL13;RPS11;RPL29;RPL39;RPS10;UBA52"
"Translation (GO:0006412)","17/234",7.39677214585447e-20,1.40168832163942e-17,0,0,38.6338709677419,1701.84744306291,"RPS9;RPL10;RPS5;RPLP0;RPL8;RPL9;RPS18;RPS29;RPL36;RACK1;RPL35;RPL13;RPS11;RPL29;RPL39;RPS10;UBA52"
"Peptide Biosynthetic Process (GO:0043043)","15/158",2.45006311302649e-19,3.0952463994568e-17,0,0,49.4505494505495,2119.10454307795,"RPS9;RPL10;RPS5;RPLP0;RPL8;RPL9;RPS18;RPS29;RPL36;RPL35;RPL13;RPS11;RPL29;RPL39;RPS10"
"Macromolecule Biosynthetic Process (GO:0009059)","15/183",2.32494661024227e-18,2.20288691320455e-16,0,0,42.0386904761905,1706.88999614036,"RPS9;RPL10;RPS5;RPLP0;RPL8;RPL9;RPS18;RPS29;RPL36;RPL35;RPL13;RPS11;RPL29;RPL39;RPS10"
"Gene Expression (GO:0010467)","16/296",1.18472058410253e-16,8.98018202749718e-15,0,0,27.4048780487805,1004.98770135779,"RPS9;RPL10;RPS5;RPLP0;RPL8;RPL9;EXOSC5;RPS18;RPS29;RPL36;RPL35;RPL13;RPS11;RPL29;RPL39;RPS10"
"Ribosome Assembly (GO:0042255)","3/50",0.000391159088955103,0.024708215785664,0,0,23.5177304964539,184.52943128485,"RPL10;RPS5;RPLP0"
"protein-RNA Complex Assembly (GO:0022618)","4/150",0.000881771137034883,0.0471912910930993,0,0,10.2336521064875,71.9791904944065,"SNRPD2;RPL10;RPS5;RPLP0"
"Ribosome Biogenesis (GO:0042254)","4/155",0.000996122239432176,0.0471912910930993,0,0,9.89229039110334,68.3719556721254,"RPS9;EXOSC5;RPS5;RPS11"
"Ribosomal Small Subunit Biogenesis (GO:0042274)","3/84",0.00177571070786814,0.0673528655342647,0,0,13.6227709190672,86.2805625663374,"RPS9;RPS5;RPS11"
"Ribosomal Large Subunit Assembly (GO:0000027)","2/22",0.00177712046264551,0.0673528655342647,0,0,36.2236363636364,229.395629548493,"RPL10;RPLP0"
"Regulation Of RNA Metabolic Process (GO:0051252)","3/91",0.00223235573170299,0.0769148020286756,0,0,12.5347222222222,76.5206920405033,"KAT2A;FUS;PCBP2"
"Ribonucleoprotein Complex Biogenesis (GO:0022613)","3/118",0.00464604873530564,0.14673770589007,0,0,9.57874396135266,51.4545044137392,"RPS9;RPS5;RPS11"
"Ribosomal Large Subunit Biogenesis (GO:0042273)","2/54",0.0103853216772487,0.187985838460817,0,0,13.9097902097902,63.5310451033211,"RPL10;RPLP0"
"Proton Motive Force-Driven ATP Synthesis (GO:0015986)","2/60",0.0127064083672871,0.187985838460817,0,0,12.4670846394984,54.426913307041,"ATP5MC2;NDUFV1"
"Positive Regulation Of Activin Receptor Signaling Pathway (GO:0032927)","1/5",0.014170289742456,0.187985838460817,0,0,89.0133928571429,378.895100372194,"ACVR2B"
"Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455)","1/5",0.014170289742456,0.187985838460817,0,0,89.0133928571429,378.895100372194,"CD81"
"Embryonic Brain Development (GO:1990403)","1/5",0.014170289742456,0.187985838460817,0,0,89.0133928571429,378.895100372194,"RPL10"
"Lipid Droplet Disassembly (GO:1905691)","1/5",0.014170289742456,0.187985838460817,0,0,89.0133928571429,378.895100372194,"PLIN2"
"RNA Processing (GO:0006396)","3/183",0.0153598526181318,0.187985838460817,0,0,6.09969135802469,25.4722998052255,"EXOSC5;SNRPD2;FUS"
"Positive Regulation Of Gastrulation (GO:2000543)","1/6",0.016980593412106,0.187985838460817,0,0,71.2071428571429,290.217823580862,"RACK1"
"Positive Regulation Of Membrane Depolarization (GO:1904181)","1/6",0.016980593412106,0.187985838460817,0,0,71.2071428571429,290.217823580862,"RACK1"
"Polyadenylation-Dependent snoRNA 3'-End Processing (GO:0071051)","1/6",0.016980593412106,0.187985838460817,0,0,71.2071428571429,290.217823580862,"EXOSC5"
"Receptor-Mediated Virion Attachment To Host Cell (GO:0046813)","1/6",0.016980593412106,0.187985838460817,0,0,71.2071428571429,290.217823580862,"CD81"
"Negative Regulation Of Centriole Replication (GO:0046600)","1/6",0.016980593412106,0.187985838460817,0,0,71.2071428571429,290.217823580862,"KAT2A"
"Negative Regulation Of Protein Binding (GO:0032091)","2/71",0.0174870916169268,0.187985838460817,0,0,10.4737812911726,42.3799805078165,"ADAM15;RACK1"
"7-Methylguanosine Cap Hypermethylation (GO:0036261)","1/7",0.0197830271154542,0.187985838460817,0,0,59.3363095238095,232.772243623705,"SNRPD2"
"ATP Synthesis Coupled Electron Transport (GO:0042773)","1/7",0.0197830271154542,0.187985838460817,0,0,59.3363095238095,232.772243623705,"NDUFV1"
"Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342)","1/7",0.0197830271154542,0.187985838460817,0,0,59.3363095238095,232.772243623705,"RACK1"
"RNA Capping (GO:0036260)","1/7",0.0197830271154542,0.187985838460817,0,0,59.3363095238095,232.772243623705,"SNRPD2"
"U4 snRNA 3'-End Processing (GO:0034475)","1/7",0.0197830271154542,0.187985838460817,0,0,59.3363095238095,232.772243623705,"EXOSC5"
"Regulation Of Golgi To Plasma Membrane Protein Transport (GO:0042996)","1/7",0.0197830271154542,0.187985838460817,0,0,59.3363095238095,232.772243623705,"RACK1"
"Immunological Synapse Formation (GO:0001771)","1/7",0.0197830271154542,0.187985838460817,0,0,59.3363095238095,232.772243623705,"CD81"
"Lipoxygenase Pathway (GO:0019372)","1/7",0.0197830271154542,0.187985838460817,0,0,59.3363095238095,232.772243623705,"GPX4"
"AMP Biosynthetic Process (GO:0006167)","1/8",0.0225776122579709,0.187985838460817,0,0,50.8571428571429,192.789077705365,"APRT"
