"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cytoplasmic Translation (GO:0002181)","10/93",1.24817500532711e-13,3.46992651480937e-11,0,0,49.8468875502008,1481.04692057991,"RPS15A;RPL32;RPL10;RPS29;RPL35A;RPS3A;RPS11;RPL39;RPS21;RPL7"
"Peptide Biosynthetic Process (GO:0043043)","10/158",2.67690256585245e-11,3.72089456653491e-09,0,0,27.8631756756757,678.294897707531,"RPS15A;RPL32;RPL10;RPS29;RPL35A;RPS3A;RPS11;RPL39;RPS21;RPL7"
"Macromolecule Biosynthetic Process (GO:0009059)","10/183",1.14634048690404e-10,1.06227551786441e-08,0,0,23.8065992292871,544.915826255645,"RPS15A;RPL32;RPL10;RPS29;RPL35A;RPS3A;RPS11;RPL39;RPS21;RPL7"
"Translation (GO:0006412)","10/234",1.2657291341208e-09,8.79681748213954e-08,0,0,18.3389136904762,375.720648876394,"RPS15A;RPL32;RPL10;RPS29;RPL35A;RPS3A;RPS11;RPL39;RPS21;RPL7"
"Gene Expression (GO:0010467)","10/296",1.20726621473133e-08,6.71240015390618e-07,0,0,14.3181818181818,261.053705188615,"RPS15A;RPL32;RPL10;RPS29;RPL35A;RPS3A;RPS11;RPL39;RPS21;RPL7"
"Ribonucleoprotein Complex Biogenesis (GO:0022613)","5/118",2.34341177951377e-05,0.00108578079117471,0,0,16.554516613792,176.492958871487,"RPS15A;RPL35A;RPS3A;RPS11;RPL7"
"Ribosome Biogenesis (GO:0042254)","5/155",8.6230966835086e-05,0.0034246012543077,0,0,12.4477987421384,116.492490519405,"RPS15A;RPL35A;RPS3A;RPS11;RPL7"
"Ribosomal Large Subunit Biogenesis (GO:0042273)","3/54",0.000516835737699903,0.0179600418850716,0,0,21.2737967914438,160.99552995199,"RPL10;RPL35A;RPL7"
"Ribosomal Small Subunit Biogenesis (GO:0042274)","3/84",0.00186693097872135,0.0576674235649485,0,0,13.3744107744108,84.0375668884737,"RPS15A;RPS3A;RPS11"
"Activation Of Phospholipase C Activity (GO:0007202)","2/27",0.00276900787127779,0.0769784188215225,0,0,28.4528571428571,167.566449641633,"TXK;S1PR4"
"Positive Regulation Of Phospholipase C Activity (GO:0010863)","2/36",0.0048876172516927,0.123523417815506,0,0,20.9117647058824,111.272553196819,"TXK;S1PR4"
"Detection Of Virus (GO:0009597)","1/5",0.0144174503390076,0.166578409487184,0,0,87.4473684210526,370.717026091757,"SERINC5"
"Embryonic Brain Development (GO:1990403)","1/5",0.0144174503390076,0.166578409487184,0,0,87.4473684210526,370.717026091757,"RPL10"
"Dense Core Granule Cytoskeletal Transport (GO:0099519)","1/6",0.0172763407705116,0.166578409487184,0,0,69.9543859649123,283.904090140679,"TANC2"
"Regulation Of Phospholipid Transport (GO:2001138)","1/6",0.0172763407705116,0.166578409487184,0,0,69.9543859649123,283.904090140679,"TSPO"
"7-Methylguanosine Cap Hypermethylation (GO:0036261)","1/7",0.0201270821818301,0.166578409487184,0,0,58.2923976608187,227.671976244605,"SNRPD2"
"Negative Regulation Of Lipid Kinase Activity (GO:0090219)","1/7",0.0201270821818301,0.166578409487184,0,0,58.2923976608187,227.671976244605,"PIK3IP1"
"Thyroid Hormone Transport (GO:0070327)","1/7",0.0201270821818301,0.166578409487184,0,0,58.2923976608187,227.671976244605,"SLC16A10"
"RNA Capping (GO:0036260)","1/7",0.0201270821818301,0.166578409487184,0,0,58.2923976608187,227.671976244605,"SNRPD2"
