"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Defense Response To Virus (GO:0051607)","22/189",3.26172765844638e-32,1.26228860381875e-29,0,0,96.5287203371036,6998.37720337081,"RTP4;GBP5;RSAD2;MX1;IFIT5;IFI6;EIF2AK2;ISG15;IFIT1;DDX60;USP18;IFI44L;IFIT3;IFIT2;OASL;IFIH1;BST2;MOV10;OAS1;OAS2;OAS3;DHX58"
"Defense Response To Symbiont (GO:0140546)","20/148",1.50775589601352e-30,2.91750765878617e-28,0,0,106.804956896552,7333.96854223225,"RTP4;GBP5;RSAD2;MX1;IFIT5;IFI6;EIF2AK2;ISG15;IFIT1;DDX60;IFI44L;IFIT3;IFIT2;OASL;IFIH1;BST2;MOV10;OAS1;OAS2;OAS3"
"Negative Regulation Of Viral Genome Replication (GO:0045071)","12/53",2.6894338560108e-21,3.46936967425393e-19,0,0,157.495056031641,7459.74643756314,"IFIH1;BST2;RSAD2;OAS1;OAS2;OAS3;MX1;IFIT5;EIF2AK2;ISG15;IFIT1;OASL"
"Negative Regulation Of Viral Process (GO:0048525)","12/61",1.73240616104238e-20,1.6761029608085e-18,0,0,131.728626585769,5993.94107084716,"IFIH1;BST2;RSAD2;OAS1;OAS2;OAS3;MX1;IFIT5;EIF2AK2;ISG15;IFIT1;OASL"
"Regulation Of Viral Genome Replication (GO:0045069)","12/67",5.90304728872768e-20,4.56895860147523e-18,0,0,117.32285012285,5194.61386617733,"IFIH1;BST2;RSAD2;OAS1;OAS2;OAS3;MX1;IFIT5;EIF2AK2;ISG15;IFIT1;OASL"
"Antiviral Innate Immune Response (GO:0140374)","9/46",1.50252688804701e-15,9.69129842790318e-14,0,0,121.098648648649,4133.29404055412,"IFIH1;OAS1;DHX58;MX1;EIF2AK2;IFIT1;USP18;IFIT3;IFIT2"
"Interleukin-27-Mediated Signaling Pathway (GO:0070106)","4/5",1.58629973787832e-10,7.67372498198635e-09,0,0,1773.33333333333,40014.2857202884,"OAS1;OAS2;MX1;OASL"
"Regulation Of Ribonuclease Activity (GO:0060700)","4/5",1.58629973787832e-10,7.67372498198635e-09,0,0,1773.33333333333,40014.2857202884,"OAS1;OAS2;OAS3;OASL"
"Regulation Of Nuclease Activity (GO:0032069)","4/6",4.75044082344801e-10,2.04268955408264e-08,0,0,886.622222222222,19033.6631971643,"OAS1;OAS2;OAS3;OASL"
"Negative Regulation Of Innate Immune Response (GO:0045824)","6/52",2.94377523400827e-09,1.1392410155612e-07,0,0,60.3791708796764,1186.06265001744,"OAS1;OAS3;DHX58;SERPING1;ISG15;USP18"
"Positive Regulation Of Type I Interferon Production (GO:0032481)","6/64",1.06038362619757e-08,3.730622393986e-07,0,0,47.8580593424218,878.772078060145,"IFIH1;OAS1;OAS2;OAS3;DHX58;ISG15"
"Positive Regulation Of Interferon-Beta Production (GO:0032728)","5/36",2.54761298883818e-08,8.21605188900314e-07,0,0,73.0205278592375,1276.80218551069,"IFIH1;OAS1;OAS2;OAS3;ISG15"
"Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208)","5/39",3.86948235953333e-08,1.15191513318415e-06,0,0,66.567513368984,1136.1450286812,"RSAD2;DHX58;IFI35;DDX60;OASL"
"Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339)","4/15",4.25372108900349e-08,1.17585004388882e-06,0,0,161.131313131313,2734.86350447704,"OAS1;OAS3;ISG15;USP18"
"Regulation Of Interferon-Beta Production (GO:0032648)","5/50",1.39552950544916e-07,3.60046612405884e-06,0,0,50.2676767676768,793.466316755397,"IFIH1;OAS1;OAS2;OAS3;ISG15"
"Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960)","5/59",3.24351781616386e-07,7.84525871784634e-06,0,0,41.8707912457912,625.609796423541,"OAS1;OAS3;ISG15;PARP14;USP18"
"Response To Interferon-Beta (GO:0035456)","4/29",7.2174961278949e-07,1.64304176558549e-05,0,0,70.848,1001.90319508898,"BST2;PNPT1;OAS1;XAF1"
"Positive Regulation Of RIG-I Signaling Pathway (GO:1900246)","3/9",1.14882022863178e-06,2.33996541305526e-05,0,0,216.79347826087,2965.03563021422,"DHX58;DDX60;OASL"
"Response To Type I Interferon (GO:0034340)","3/9",1.14882022863178e-06,2.33996541305526e-05,0,0,216.79347826087,2965.03563021422,"MX1;ISG15;IFIT1"
"Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338)","4/33",1.2345702112582e-06,2.38889335878462e-05,0,0,61.063601532567,830.757332332546,"OAS1;OAS3;ISG15;USP18"
"Defense Response To Protozoan (GO:0042832)","3/15",6.15880436452169e-06,0.000113497966146185,0,0,108.364130434783,1300.11251422218,"BATF2;GBP1;GBP4"
"Cellular Response To Cytokine Stimulus (GO:0071345)","7/308",9.46749661307589e-06,0.000166541872239108,0,0,10.8803986710963,125.860600545977,"GBP5;MT2A;PNPT1;OAS1;IFIT1;GBP1;GBP4"
