"Contributeur","Value","Factor12_abs"
"HGS",-0.997508295700704,0.997508295700704
"EDF1",-0.856674978347378,0.856674978347378
"DNAJC4",-0.855045363722162,0.855045363722162
"HSF1",-0.845434652626597,0.845434652626597
"SIRT7",-0.831706983937081,0.831706983937081
"CLPTM1",-0.830900137783432,0.830900137783432
"LRCH4",-0.794535294344469,0.794535294344469
"TMEM259",-0.781286887424297,0.781286887424297
"IRF3",-0.774804773344766,0.774804773344766
"OTUB1",-0.765288626972144,0.765288626972144
"MRPS2",-0.741706358813034,0.741706358813034
"NAGK",-0.739251068162543,0.739251068162543
"HEXB",-0.730461671761693,0.730461671761693
"TNIP2",-0.725393528740788,0.725393528740788
"PARS2",-0.706700450594674,0.706700450594674
"UBA52",-0.678785165910207,0.678785165910207
"MRPL55",-0.67333301811759,0.67333301811759
"DEF8",-0.673238245712241,0.673238245712241
"FAAP20",-0.671282292797166,0.671282292797166
"RPLP0",-0.66526794872709,0.66526794872709
"CDK16",-0.664071421149255,0.664071421149255
"TRIM21",-0.658913143963437,0.658913143963437
"ASB6",-0.658158079956758,0.658158079956758
"TFEB",-0.657300490068177,0.657300490068177
"ZGPAT",-0.652791566543555,0.652791566543555
"RNF130",-0.650593040576366,0.650593040576366
"USP36",-0.63194226041394,0.63194226041394
"CXXC1",-0.626945837051137,0.626945837051137
"ALYREF",-0.617040216936736,0.617040216936736
"MAP2K7",-0.605235687341889,0.605235687341889
"RPL29",-0.60083164343312,0.60083164343312
"IDH3G",-0.583939933263335,0.583939933263335
"RFNG",-0.582256113529727,0.582256113529727
"ATG4D",-0.582137249965092,0.582137249965092
"MAP3K14",-0.57885600637945,0.57885600637945
"MAP1S",-0.576345506822263,0.576345506822263
"HNMT",-0.566599040659577,0.566599040659577
"MAD2L2",-0.564409133512305,0.564409133512305
"KDM4B",-0.549448004390129,0.549448004390129
"RAB5C",-0.545652123798376,0.545652123798376
"SBDSP1",-0.542730066936732,0.542730066936732
"ANKRD13D",-0.542374549268601,0.542374549268601
"SNRPD2",-0.531284377928538,0.531284377928538
"EIF4EBP1",-0.530213602048524,0.530213602048524
"SLC49A3",-0.529107762455354,0.529107762455354
"FBXO44",-0.526557699399514,0.526557699399514
"ARL6IP4",-0.526461230921169,0.526461230921169
"TPCN1",-0.52554479768376,0.52554479768376
"SLC15A2",-0.521147122702159,0.521147122702159
"PUSL1",-0.515774655726604,0.515774655726604
"SH3BGRL3",-0.515645234972914,0.515645234972914
"SIRT2",-0.513625454331227,0.513625454331227
"PLD3",-0.513516455680955,0.513516455680955
"CYHR1",-0.513020198567919,0.513020198567919
"YPEL3",-0.512433599607563,0.512433599607563
"FASTK",-0.510296339950626,0.510296339950626
"SSR4",-0.509657924229566,0.509657924229566
"BRI3",-0.508255583385767,0.508255583385767
"SDF2L1",-0.508154857418066,0.508154857418066
"ATP6V0B",-0.505855224732095,0.505855224732095
"N6AMT1",-0.500444924944616,0.500444924944616
