"Contributeur","Factor20","abs_Value"
"DEDD2",0.836380952642884,0.836380952642884
"SH2D3C",0.830827472267158,0.830827472267158
"CAMK1",0.829603232773923,0.829603232773923
"NOL4L",0.73374784980047,0.73374784980047
"9-Sep",0.724388913420321,0.724388913420321
"KBTBD6",0.720771996811694,0.720771996811694
"MID1IP1",0.718202360455335,0.718202360455335
"WDR89",0.703045602432585,0.703045602432585
"IL21R",0.68494292539753,0.68494292539753
"MAP4K2",0.667792933224991,0.667792933224991
"SLC9A3R1",0.655454061127729,0.655454061127729
"AIP",0.652064766937442,0.652064766937442
"ADA",0.649335975828164,0.649335975828164
"ZDHHC1",0.639021531922759,0.639021531922759
"NOP53",0.637471528199016,0.637471528199016
"OAZ2",0.636627334912046,0.636627334912046
"PPP1R14B",0.635021312189322,0.635021312189322
"PITPNM1",0.623330132626789,0.623330132626789
"ST3GAL5",0.62241928107359,0.62241928107359
"SESN3",0.619564845284427,0.619564845284427
"MBD3",0.618158290728617,0.618158290728617
"TRAPPC6A",0.615558618345672,0.615558618345672
"NSMF",0.613339281672863,0.613339281672863
"SPN",0.605853724840033,0.605853724840033
"ARHGEF10L",0.595719569470109,0.595719569470109
"TPPP3",0.595249234244168,0.595249234244168
"RGS14",0.587347660349137,0.587347660349137
"ITPKB",0.5871166724483,0.5871166724483
"PPTC7",0.584374817476856,0.584374817476856
"MXD3",0.574702167464817,0.574702167464817
"AC008878.3",0.570936301114713,0.570936301114713
"FAM110A",0.56980900923018,0.56980900923018
"STK32C",0.569497684005222,0.569497684005222
"EIF1AX",0.565677680431297,0.565677680431297
"ZNF775",0.565394581833733,0.565394581833733
"RBM38",0.565380794211891,0.565380794211891
"MRPL38",0.564981423622257,0.564981423622257
"MFSD12",0.563848812104099,0.563848812104099
"CCDC12",0.560906367138242,0.560906367138242
"SLC25A36",0.559316809948164,0.559316809948164
"TMC8",0.558712941061861,0.558712941061861
"C15orf39",0.556529937124826,0.556529937124826
"PKN1",0.553752473177285,0.553752473177285
"CRY2",0.553110570719969,0.553110570719969
"PLEKHB1",0.552255991481638,0.552255991481638
"SOWAHD",0.552164182566641,0.552164182566641
"SNN",0.55127877116608,0.55127877116608
"NEURL1",0.549882457809696,0.549882457809696
"NSUN5P1",0.546360607034611,0.546360607034611
"LSM7",0.542602050657243,0.542602050657243
"DHX37",0.539039343648404,0.539039343648404
"MXD4",0.538996279947637,0.538996279947637
"PKD1P6",0.536470177735835,0.536470177735835
"PLAGL2",0.534572805555232,0.534572805555232
"TIGD3",0.534105835811788,0.534105835811788
"OPRL1",0.533453655967062,0.533453655967062
"TMEM106B",0.533418553622739,0.533418553622739
"NSUN5P2",0.532711114726693,0.532711114726693
"CHID1",0.529089385116215,0.529089385116215
"AC138932.1",0.528227857784987,0.528227857784987
"ITGAL",0.526058026274069,0.526058026274069
"ZNF217",0.520806100367663,0.520806100367663
"JMJD8",0.520670721120125,0.520670721120125
"ATP13A2",0.520393810667798,0.520393810667798
"LRRC25",0.519868397330456,0.519868397330456
"EFNB1",0.518180481200306,0.518180481200306
"SLC2A6",0.517349930783243,0.517349930783243
"AP3M2",0.516649150476223,0.516649150476223
"PLD4",0.514971656485419,0.514971656485419
"PPP1R37",0.514869533995028,0.514869533995028
"SETBP1",0.513389011200253,0.513389011200253
"SLC27A4",0.508100209738317,0.508100209738317
"EVI5",0.507587824075156,0.507587824075156
"DGKG",0.506024249857474,0.506024249857474
"GRK2",0.503963778433713,0.503963778433713
"AP003717.3",0.501780159300952,0.501780159300952
