"Contributeur","Value","Factor19_abs"
"SOS2",-1,1
"NRIP1",-0.767165993382019,0.767165993382019
"CCPG1",-0.69545286041943,0.69545286041943
"PSMD14",-0.687842880847792,0.687842880847792
"PAX6",-0.65056853183694,0.65056853183694
"C1QBP",-0.62736883732404,0.62736883732404
"RTN3",-0.613645308045065,0.613645308045065
"RAB32",-0.605783883651626,0.605783883651626
"GAB2",-0.605694991764921,0.605694991764921
"BRI3",-0.594267194052575,0.594267194052575
"ATP5F1E",-0.592767319117703,0.592767319117703
"PRAM1",-0.590316831354639,0.590316831354639
"ADGRE3",-0.579578682374738,0.579578682374738
"DTNA",-0.57496169852133,0.57496169852133
"MRPL19",-0.574876251705197,0.574876251705197
"PICALM",-0.571942774114066,0.571942774114066
"COX7A2",-0.569254304502354,0.569254304502354
"THSD7A",-0.553036544130039,0.553036544130039
"VPS13B",-0.552338826679678,0.552338826679678
"TKT",-0.542152795588641,0.542152795588641
"SINHCAF",-0.536461992304256,0.536461992304256
"NBEAL2",-0.525947999560844,0.525947999560844
"SNHG5",-0.525082969538414,0.525082969538414
"UQCR10",-0.521482462822929,0.521482462822929
"NAALADL2",-0.516114589574691,0.516114589574691
"POLR2B",-0.514131498162372,0.514131498162372
"SIGLEC9",-0.507011398559942,0.507011398559942
"TBL1X",-0.501644023940339,0.501644023940339
