"Contributeur","Factor19","abs_Value"
"NOC2L",0.657414521679602,0.657414521679602
"SHOC2",0.602148246282293,0.602148246282293
"B2M",0.599691638985978,0.599691638985978
"BACH1",0.595891454167008,0.595891454167008
"RAB8B",0.584016749207838,0.584016749207838
"NCOA1",0.579552028407689,0.579552028407689
"TP53",0.566682559321169,0.566682559321169
"MOCS2",0.559354984876594,0.559354984876594
"EVI2A",0.54035854843946,0.54035854843946
"GSPT1",0.529611152164869,0.529611152164869
"PIGX",0.521799499975205,0.521799499975205
"MYO9A",0.521339129755229,0.521339129755229
"BAZ2B",0.517991382427946,0.517991382427946
"CMPK1",0.514576546884283,0.514576546884283
"PPP4R2",0.513752585729448,0.513752585729448
"MTX3",0.509895375926554,0.509895375926554
"UBE3D",0.505949274236955,0.505949274236955
"POLR2A",0.503218013222362,0.503218013222362
