"Contributeur","Value","Factor19_abs"
"BCL2",-0.927619725954831,0.927619725954831
"CD1D",-0.899157341869116,0.899157341869116
"MS4A14",-0.840511464032551,0.840511464032551
"IL4R",-0.827511749857539,0.827511749857539
"TMEM170B",-0.826530678515314,0.826530678515314
"STAT4",-0.822717737010613,0.822717737010613
"PID1",-0.807943015509203,0.807943015509203
"BST1",-0.803844315969382,0.803844315969382
"LILRA1",-0.803222249918702,0.803222249918702
"SIRPB2",-0.792157763074317,0.792157763074317
"ZNF91",-0.791050350257802,0.791050350257802
"RRBP1",-0.776968063057987,0.776968063057987
"PRF1",-0.763711782624639,0.763711782624639
"GPRC5B",-0.740196601260348,0.740196601260348
"RASGRP4",-0.737423784187605,0.737423784187605
"ABLIM1",-0.736565304917147,0.736565304917147
"CTSS",-0.725691100250788,0.725691100250788
"PSAP",-0.724654859128587,0.724654859128587
"SCPEP1",-0.720893873630271,0.720893873630271
"CD300E",-0.705916349624554,0.705916349624554
"MS4A7",-0.704546679492301,0.704546679492301
"ITPR3",-0.704512332287049,0.704512332287049
"IRAK3",-0.704064546500057,0.704064546500057
"RIN2",-0.703273757335857,0.703273757335857
"SLC7A7",-0.700463312330653,0.700463312330653
"HHEX",-0.694687625558954,0.694687625558954
"LINC01550",-0.691866401021498,0.691866401021498
"CYP1B1",-0.687889757924513,0.687889757924513
"RBM47",-0.686732732478188,0.686732732478188
"IFI30",-0.684210723652764,0.684210723652764
"CD300LF",-0.678629269322462,0.678629269322462
"LYN",-0.677097571438337,0.677097571438337
"CD86",-0.675501598082395,0.675501598082395
"USP28",-0.670957255271308,0.670957255271308
"UBE2E2",-0.670771258124738,0.670771258124738
"DPP4",-0.666187345726314,0.666187345726314
"ADAMTSL4",-0.665703806708123,0.665703806708123
"THNSL1",-0.664979703345933,0.664979703345933
"ITGA6",-0.662724169914084,0.662724169914084
"PYGL",-0.662303232527299,0.662303232527299
"APOBEC3A",-0.660681950704329,0.660681950704329
"CDK6",-0.658835236054683,0.658835236054683
"ZNF185",-0.656377636608309,0.656377636608309
"GRN",-0.655836249665483,0.655836249665483
"CSTA",-0.654433102724992,0.654433102724992
"CCND2",-0.653744150011452,0.653744150011452
"HOOK1",-0.653491467062871,0.653491467062871
"CLEC12A",-0.649247277314448,0.649247277314448
"MEFV",-0.647520543545527,0.647520543545527
"CACNA2D2",-0.647386636312575,0.647386636312575
"LTBR",-0.646535187171848,0.646535187171848
"PLPPR2",-0.638954296992718,0.638954296992718
"LILRB2",-0.636363794617639,0.636363794617639
"SIGLEC1",-0.63471874426082,0.63471874426082
"IGFBP7",-0.631485152399487,0.631485152399487
"PDK1",-0.629195673484085,0.629195673484085
"SATB1",-0.623589647176536,0.623589647176536
"CUL9",-0.620528126109547,0.620528126109547
"CD33",-0.618574553488006,0.618574553488006
"STAB1",-0.616226490158187,0.616226490158187
"SLC8A1",-0.613859612862138,0.613859612862138
"MYCL",-0.610945858426712,0.610945858426712
"NFAM1",-0.610738837844568,0.610738837844568
"RTN1",-0.609783409737453,0.609783409737453
"PLA2G4A",-0.609747589552638,0.609747589552638
"FCER1G",-0.60936602089234,0.60936602089234
"EPHA1",-0.608837087322179,0.608837087322179
"ASGR2",-0.607514753396775,0.607514753396775
"DHRS3",-0.605444279760866,0.605444279760866
"MINDY1",-0.604716895671469,0.604716895671469
"ADAM9",-0.604580377247474,0.604580377247474
"CLEC4E",-0.604356283493128,0.604356283493128
"ZNF540",-0.601910601790487,0.601910601790487
"CAD",-0.599805847902942,0.599805847902942
"CD14",-0.599639334258766,0.599639334258766
"LINC00937",-0.599612753673025,0.599612753673025
"FLNA",-0.599232323224208,0.599232323224208
"SYNE1",-0.596361954732258,0.596361954732258
"TLR8",-0.595785885816097,0.595785885816097
"AL391244.1",-0.595223073715999,0.595223073715999
"TMTC1",-0.594759286014668,0.594759286014668
"PRKCA",-0.594667157838397,0.594667157838397
"SYNE2",-0.594366536100419,0.594366536100419
"LILRA5",-0.594049042051089,0.594049042051089
"CXXC1",-0.591583274263505,0.591583274263505
"ZNF516",-0.590383197641786,0.590383197641786
"RAB39A",-0.588372513585391,0.588372513585391
"AL365475.1",-0.587633278705878,0.587633278705878
"RNF40",-0.586368725751492,0.586368725751492
"ME3",-0.584630275099689,0.584630275099689
"CTBP2",-0.581884239473536,0.581884239473536
"ISY1-RAB43",-0.577335142955679,0.577335142955679
"PRKCQ-AS1",-0.573557619914094,0.573557619914094
"BACH2",-0.571460900460527,0.571460900460527
"SHTN1",-0.570839503946012,0.570839503946012
"GVINP1",-0.570606103638976,0.570606103638976
"SATB1-AS1",-0.566483769472539,0.566483769472539
"APEH",-0.565954501134295,0.565954501134295
"AL031283.1",-0.564749871666656,0.564749871666656
"SLC24A4",-0.564499197326569,0.564499197326569
"QTRT1",-0.563259551117513,0.563259551117513
"IRF4",-0.561373367310955,0.561373367310955
"CSF1R",-0.560896958852918,0.560896958852918
"C3orf18",-0.560117150081821,0.560117150081821
"TGFBR3",-0.558968627744789,0.558968627744789
"USP5",-0.557955050421764,0.557955050421764
"SCARNA12",-0.555764897196404,0.555764897196404
"RTEL1",-0.555498254418788,0.555498254418788
"NDST1",-0.555374155890649,0.555374155890649
"PPARGC1B",-0.554601109434816,0.554601109434816
"ACACB",-0.554399612526031,0.554399612526031
"ALDH5A1",-0.552169119746744,0.552169119746744
"LMO2",-0.551722806939314,0.551722806939314
"CD68",-0.550855590221906,0.550855590221906
"CSF2RA",-0.549974078907381,0.549974078907381
"LRRC25",-0.549718818244566,0.549718818244566
"CD300LB",-0.549174585773039,0.549174585773039
"RASSF4",-0.548962242378385,0.548962242378385
"FES",-0.548592825799478,0.548592825799478
"ACPP",-0.548180023277094,0.548180023277094
"TTC38",-0.548122945319048,0.548122945319048
"EPHA1-AS1",-0.547105417732652,0.547105417732652
"CPVL",-0.545577636635091,0.545577636635091
"PMM1",-0.545044451510283,0.545044451510283
"ADGRE2",-0.544487866096516,0.544487866096516
"SLC15A3",-0.542337014644028,0.542337014644028
"KCNE3",-0.541913867787899,0.541913867787899
"TGFBR1",-0.541454264687598,0.541454264687598
"RAB32",-0.541349013602498,0.541349013602498
"PLXDC2",-0.53968625401412,0.53968625401412
"PCDH1",-0.539675976633991,0.539675976633991
"NUMA1",-0.539477961313263,0.539477961313263
"IFNGR2",-0.538444465289337,0.538444465289337
"PIM1",-0.538334929172782,0.538334929172782
"AL138756.1",-0.538293317500142,0.538293317500142
"RASA4CP",-0.538110366743121,0.538110366743121
"MLC1",-0.53671424993236,0.53671424993236
"TRABD2A",-0.535862298639509,0.535862298639509
"PTAFR",-0.535598635297826,0.535598635297826
"FOXK1",-0.53534642102456,0.53534642102456
"ZNF28",-0.535137793555621,0.535137793555621
"PAK1",-0.534341581148486,0.534341581148486
"GSTO1",-0.534278879086656,0.534278879086656
"P2RY13",-0.533147764689908,0.533147764689908
"CYFIP2",-0.532666937293184,0.532666937293184
"C11orf21",-0.531049773117628,0.531049773117628
"GNS",-0.529440542945623,0.529440542945623
"TPPP3",-0.529432675895687,0.529432675895687
"MYOF",-0.528787778661789,0.528787778661789
"SIGLEC7",-0.528601513700752,0.528601513700752
"ADAMTS1",-0.528548754250969,0.528548754250969
"PI4KA",-0.528327539502132,0.528327539502132
"TXK",-0.527982360132389,0.527982360132389
"MRAS",-0.527536281662616,0.527536281662616
"KAT2A",-0.526780810531108,0.526780810531108
"PLEC",-0.52623564070895,0.52623564070895
"SPOCK2",-0.525584081590213,0.525584081590213
"CHST15",-0.524602909817563,0.524602909817563
"SCARNA17",-0.522592761390099,0.522592761390099
"CLMN",-0.522443253964508,0.522443253964508
"EMILIN2",-0.522316376861285,0.522316376861285
