"Contributeur","Factor12","abs_Value"
"KLRD1",1,1
"ZEB2",0.972501617215184,0.972501617215184
"CX3CR1",0.900095816421747,0.900095816421747
"PRSS23",0.857403482307952,0.857403482307952
"ADGRG1",0.847202414516582,0.847202414516582
"C1orf21",0.828141905623329,0.828141905623329
"FCRL6",0.818487452986267,0.818487452986267
"FGFBP2",0.813155025818196,0.813155025818196
"ITGAM",0.786949610150959,0.786949610150959
"GZMH",0.780534686403371,0.780534686403371
"B3GAT1",0.73936506593372,0.73936506593372
"GZMB",0.736984727334658,0.736984727334658
"SLCO4C1",0.726108731602388,0.726108731602388
"TGFBR3",0.720724558915292,0.720724558915292
"FCGR3A",0.706492528608966,0.706492528608966
"SETBP1",0.689245036008083,0.689245036008083
"F2R",0.673274901893716,0.673274901893716
"FGR",0.67239755371158,0.67239755371158
"PDGFD",0.670967865719618,0.670967865719618
"CMKLR1",0.668785296079183,0.668785296079183
"ZNF683",0.667900210667323,0.667900210667323
"S1PR5",0.660457979597328,0.660457979597328
"MYO6",0.658762587086322,0.658762587086322
"NKG7",0.653116511409238,0.653116511409238
"TBX21",0.643169832997487,0.643169832997487
"CD8A",0.630590305009646,0.630590305009646
"OSBPL5",0.629895430222174,0.629895430222174
"PRF1",0.61684876139922,0.61684876139922
"TRGC2",0.609700142543922,0.609700142543922
"LILRB1",0.609596651505871,0.609596651505871
"PLEK",0.605103691400995,0.605103691400995
"MYBL1",0.601167990731783,0.601167990731783
"ADRB2",0.601146076034875,0.601146076034875
"DOCK5",0.597314403090169,0.597314403090169
"SLAMF7",0.596778521664959,0.596778521664959
"PRR5L",0.59038555733815,0.59038555733815
"LINC02384",0.587775695831878,0.587775695831878
"GNLY",0.584634112220422,0.584634112220422
"PDGFRB",0.581768295999038,0.581768295999038
"GAS7",0.580201752961078,0.580201752961078
"KLRK1",0.573918541014295,0.573918541014295
"JAZF1",0.570290987817933,0.570290987817933
"TMCC3",0.568835359980651,0.568835359980651
"SPON2",0.566725958593567,0.566725958593567
"FAM49A",0.566588298517887,0.566588298517887
"CACNA2D2",0.556147197709565,0.556147197709565
"CD244",0.554276755966522,0.554276755966522
"GAB3",0.550812355452448,0.550812355452448
"MYO3B",0.548804521976953,0.548804521976953
"PPM1L",0.547071695585718,0.547071695585718
"KLRG1",0.544762110150959,0.544762110150959
"ADGRG5",0.543216945123452,0.543216945123452
"RAP2A",0.541948039448601,0.541948039448601
"HOPX",0.53835760706537,0.53835760706537
"PATL2",0.537802449651655,0.537802449651655
"A2M-AS1",0.534654873041452,0.534654873041452
"AGAP1",0.531073117089242,0.531073117089242
"RASSF4",0.51985145055615,0.51985145055615
"EFHD2",0.518713272756937,0.518713272756937
"DTHD1",0.516627843364838,0.516627843364838
"PIK3AP1",0.515644589055604,0.515644589055604
"KIF19",0.512958875863707,0.512958875863707
"PPP2R2B",0.511273188432761,0.511273188432761
"FRMPD3",0.509258735824322,0.509258735824322
"GZMA",0.507304973509157,0.507304973509157
"MXRA7",0.504287319744909,0.504287319744909
"MCTP2",0.501283530380747,0.501283530380747
