"Contributeur","Value","abs_Value"
"USP18",1,1
"OAS1",0.988878514674363,0.988878514674363
"XAF1",0.966288501273573,0.966288501273573
"LAMP3",0.928550353476688,0.928550353476688
"EIF2AK2",0.926728314052458,0.926728314052458
"OAS3",0.893207623848986,0.893207623848986
"IFI44",0.856311303845242,0.856311303845242
"CMPK2",0.844397382578454,0.844397382578454
"TYMP",0.824853200050432,0.824853200050432
"ISG15",0.824133898711176,0.824133898711176
"HERC6",0.822802744973837,0.822802744973837
"IFI6",0.813331207461809,0.813331207461809
"DDX60",0.81319992911836,0.81319992911836
"MX1",0.791997393496653,0.791997393496653
"SPATS2L",0.772898517507895,0.772898517507895
"IRF7",0.771308186526163,0.771308186526163
"HERC5",0.765035334670957,0.765035334670957
"IFI27",0.762676310497978,0.762676310497978
"PARP9",0.745665670019969,0.745665670019969
"OASL",0.744367357531586,0.744367357531586
"RSAD2",0.743818934669744,0.743818934669744
"HELZ2",0.741793695433377,0.741793695433377
"PGAP1",0.707970978387599,0.707970978387599
"EPSTI1",0.700889876533368,0.700889876533368
"LY6E",0.695514180010771,0.695514180010771
"IFIT1",0.693844822065853,0.693844822065853
"OAS2",0.682439593548384,0.682439593548384
"PLSCR1",0.680944580175757,0.680944580175757
"LGALS9",0.661951939994965,0.661951939994965
"IFIT3",0.661509016395929,0.661509016395929
"ODF3B",0.644538236009,0.644538236009
"SAMD9L",0.641105112359964,0.641105112359964
"HSH2D",0.616166863006499,0.616166863006499
"IFIT2",0.608098574005242,0.608098574005242
"DDX60L",0.594804540410984,0.594804540410984
"IFIT5",0.575731270198126,0.575731270198126
"LGALS3BP",0.544977736839346,0.544977736839346
"STAT1",0.523272357503424,0.523272357503424
