Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
EIF3L,1,0,0,0
RPL7,1,0,0,0
B2M,1,1,1,0
R3HCC1L,1,0,0,0
GOLGA5,1,0,0,0
RFC1,1,0,0,0
BRAT1,1,0,1,0
PWP1,1,0,0,0
GZMH,0,1,0,0
GZMA,0,1,0,0
GZMB,0,1,0,0
RPS17,0,1,0,0
KLRD1,0,1,0,0
NKG7,0,1,0,0
RPL21P16,0,1,0,0
HLA-DPA1,0,1,0,0
CD69,0,1,0,0
RPS27,0,1,0,0
LPAR6,0,1,0,0
RPL21P75,0,1,0,0
FGFBP2,0,1,0,0
E4F1,0,0,1,0
TECPR1,0,0,1,0
VPS16,0,0,1,0
RP2,0,0,1,0
ADRM1,0,0,1,0
CYBA,0,0,1,0
VPS18,0,0,1,0
GTF3C5,0,0,1,0
G6PD,0,0,1,0
DOK1,0,0,1,0
WAS,0,0,1,0
CLASRP,0,0,1,0
HGS,0,0,1,0
DGAT1,0,0,1,0
SCAF1,0,0,1,0
VRK2,0,0,1,0
GPSM3,0,0,1,0
TYK2,0,0,1,0
ABCC10,0,0,1,0
CUL9,0,0,1,0
ZNF101,0,0,1,0
ARHGAP45,0,0,1,0
UPF1,0,0,1,0
AP1G2,0,0,1,0
FBF1,0,0,1,0
PQLC1,0,0,1,0
SH2B1,0,0,1,0
MVP,0,0,1,1
ITPK1,0,0,1,0
MIIP,0,0,1,0
ZNF787,0,0,1,0
EEF1D,0,0,1,0
DTX3L,0,0,1,0
SIPA1,0,0,1,0
C9orf16,0,0,1,0
S100A6,0,0,1,0
1-Mar,0,0,1,0
RNPEP,0,0,1,0
ADAP2,0,0,1,0
AC073046.1,0,0,1,0
CACTIN,0,0,1,0
LRRK2,0,0,1,0
FBXW5,0,0,1,0
CTSS,0,0,1,0
GLI4,0,0,1,0
THAP4,0,0,1,0
CAMTA2,0,0,1,0
ZBTB17,0,0,1,0
METTL7A,0,0,1,0
RPTOR,0,0,1,0
TRIM69,0,0,1,0
BRI3,0,0,1,0
PPP1R12C,0,0,1,0
COQ8B,0,0,1,0
MTG2,0,0,1,0
C1orf162,0,0,1,0
ARFGAP1,0,0,1,0
IRAK1,0,0,1,0
RNF135,0,0,1,0
SLC43A3,0,0,1,0
LINS1,0,0,1,0
GSDMD,0,0,1,0
SHARPIN,0,0,1,0
MCM5,0,0,1,0
EPN1,0,0,1,0
INPPL1,0,0,1,0
CSNK1G2,0,0,1,0
SLC4A2,0,0,1,0
RBM42,0,0,1,0
PREX1,0,0,1,0
SEC61G,0,0,1,0
SLC38A10,0,0,1,0
NT5C,0,0,1,0
OGFR,0,0,1,0
NLRC5,0,0,1,0
C17orf62,0,0,1,0
BRMS1,0,0,1,0
PKN1,0,0,1,0
RILP,0,0,1,0
RANGAP1,0,0,1,0
SMARCD3,0,0,1,0
CAPS,0,0,1,0
CAPN10,0,0,1,0
MRFAP1L1,0,0,1,0
ARHGEF1,0,0,1,0
PTPN18,0,0,1,0
SSBP4,0,0,1,0
TSR3,0,0,1,0
SCAND1,0,0,1,0
C20orf24,0,0,1,1
SBNO2,0,0,1,0
PEMT,0,0,1,0
HSF1,0,0,1,0
ZNF316,0,0,1,1
GAB2,0,0,1,0
BAG6,0,0,1,0
MCTP1,0,0,1,0
MFSD1,0,0,1,0
AF111167.2,0,0,1,0
MYL12A,0,0,0,1
MYL12B,0,0,0,1
DNM1L,0,0,0,1
BAZ1A,0,0,0,1
ZNF394,0,0,0,1
PHC2,0,0,0,1
PSMB9,0,0,0,1
SRBD1,0,0,0,1
VASP,0,0,0,1
SQOR,0,0,0,1
OSTF1,0,0,0,1
IFT57,0,0,0,1
PPIA,0,0,0,1
KLHL2,0,0,0,1
UQCRB,0,0,0,1
COX7C,0,0,0,1
CAP1,0,0,0,1
ZMAT2,0,0,0,1
TRIM21,0,0,0,1
TAP1,0,0,0,1
ATP1B3,0,0,0,1
MUC12,0,0,0,1
RHOC,0,0,0,1
PIK3AP1,0,0,0,1
SLK,0,0,0,1
DNAJC15,0,0,0,1
SUMO1P1,0,0,0,1
CEBPB,0,0,0,1
EAF2,0,0,0,1
IRF2BPL,0,0,0,1
AGTRAP,0,0,0,1
ELP3,0,0,0,1
RF00100,0,0,0,1
FAR2P1,0,0,0,1
BATF2,0,0,0,1
C6orf48,0,0,0,1
LCP1,0,0,0,1
RPL21,0,0,0,1
SMAP2,0,0,0,1
MRPL11,0,0,0,1
TCF12,0,0,0,1
KCNMA1,0,0,0,1
RPL36A,0,0,0,1
ADGRF1,0,0,0,1
ZCCHC6,0,0,0,1
CHN2,0,0,0,1
LARS,0,0,0,1
PPP4R2,0,0,0,1
RPS23,0,0,0,1
ARPC3,0,0,0,1
RPS20,0,0,0,1
AP002472.1,0,0,0,1
GBP2,0,0,0,1
DGAT2,0,0,0,1
NCF1,0,0,0,1
TYMP,0,0,0,1
IFI30,0,0,0,1
PARP9,0,0,0,1
SNORA80B,0,0,0,1
SOD1,0,0,0,1
SUCLG2,0,0,0,1
CLECL1,0,0,0,1
HNRNPA1P54,0,0,0,1
HERC2P3,0,0,0,1
TRIM22,0,0,0,1
MITF,0,0,0,1
GLIPR2,0,0,0,1
NEIL1,0,0,0,1
RPL26,0,0,0,1
EHBP1L1,0,0,0,1
RTN2,0,0,0,1
DPP10,0,0,0,1
GRIN2B,0,0,0,1
SCARNA21,0,0,0,1
NPAP1,0,0,0,1
TMPO,0,0,0,1
PPP1R9B,0,0,0,1
TRMT9B,0,0,0,1
KPNA2P3,0,0,0,1
FAM214B,0,0,0,1
VPS9D1,0,0,0,1
THEMIS2,0,0,0,1
AC023055.1,0,0,0,1
KLF9,0,0,0,1
KYNU,0,0,0,1
SOCS1,0,0,0,1
HSPA8,0,0,0,1
XPO4,0,0,0,1
NCF2,0,0,0,1
FBXO6,0,0,0,1
REXO1L1P,0,0,0,1
PAK1,0,0,0,1
SAMD4A,0,0,0,1
SP140,0,0,0,1
RNASEL,0,0,0,1
AL353746.1,0,0,0,1
SUPT4H1,0,0,0,1
HERC2P9,0,0,0,1
TNFRSF1B,0,0,0,1
MUC16,0,0,0,1
CD53,0,0,0,1
PPP1R9A,0,0,0,1
RPL39,0,0,0,1
SKA3,0,0,0,1
TRAFD1,0,0,0,1
GLRA3,0,0,0,1
TAGLN,0,0,0,1
RPS24,0,0,0,1
CARD16,0,0,0,1
CAMKK1,0,0,0,1
ARL1,0,0,0,1
NCF4,0,0,0,1
THOC1,0,0,0,1
ECE1,0,0,0,1
POM121L10P,0,0,0,1
DYNC1I2,0,0,0,1
FGD6,0,0,0,1
RNF130,0,0,0,1
STK32A,0,0,0,1
