Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
SYNCRIP,1,0,0,0
ATF2,1,0,0,0
UBA3,1,0,0,0
CREBL2,1,0,0,0
SRRM2,0,1,0,0
KDM6B,0,1,0,0
BCL9L,0,1,0,0
KMT2D,0,1,0,0
PRR12,0,1,0,0
NPIPB5,0,1,0,1
EP400,0,1,1,1
NPIPB3,0,1,0,0
SRCAP,0,1,0,0
RIN3,0,1,0,0
ARID1A,0,1,0,0
NPIPB4,0,1,0,0
SETD1B,0,1,0,0
NFIC,0,1,0,0
UCP2,0,1,0,0
SPEN,0,1,0,1
MLXIP,0,1,0,0
MBD6,0,1,0,0
ATN1,0,1,0,0
BRD4,0,1,0,0
ATXN2L,0,1,0,0
MALAT1,0,1,0,1
FUS,0,1,0,0
NPIPB12,0,1,0,0
NCOR2,0,1,0,0
GATAD2B,0,1,0,0
TCF7,0,1,0,0
IGSF9B,0,1,0,0
SKI,0,1,0,0
SP2,0,1,0,0
SYNGAP1,0,1,0,0
CAMTA2,0,1,0,0
AP005131.6,0,1,0,0
HIPK2,0,1,0,0
AAK1,0,1,0,0
LENG8,0,1,0,0
BAZ2A,0,1,0,0
ARHGAP17,0,1,0,0
ANKRD11,0,1,0,0
NCOA6,0,1,0,0
CREBBP,0,1,0,1
SMG7,0,1,0,0
ATF7,0,1,0,0
POLR2A,0,1,0,0
CMIP,0,1,0,0
KMT2B,0,1,0,0
EP300,0,1,0,0
PACS1,0,1,0,0
TRRAP,0,1,1,0
AC004847.1,0,1,0,0
SNED1,0,1,0,0
NEAT1,0,1,0,0
RERE,0,1,0,1
KMT2A,0,1,0,0
AC004951.1,0,1,0,0
BICRA,0,1,0,0
SBK1,0,1,0,0
ANKRD52,0,1,0,0
BCL9,0,1,0,0
TPP1,0,1,0,0
ZMIZ1,0,1,0,0
POM121,0,1,0,0
SH3PXD2A,0,1,0,0
PTPN23,0,1,0,0
MNT,0,1,0,0
AHDC1,0,1,0,0
IQSEC1,0,1,0,0
ANP32B,0,1,0,0
PPARD,0,1,0,0
NFAT5,0,1,0,0
GATA3,0,1,0,0
FAM215B,0,1,0,0
