"","32140206_Monocytes","32150052_Monocytes","32150091_Monocytes","32150099_Monocytes","32150230_Monocytes","32150289_Monocytes","32150744_Monocytes","32150750_Monocytes","32150754_Monocytes","32150755_Monocytes","32150756_Monocytes","32150762_Monocytes","32150935_Monocytes","32150940_Monocytes","32150952_Monocytes","32151039_Monocytes","32151045_Monocytes","32151047_Monocytes","32151048_Monocytes","32151137_Monocytes","32151407_Monocytes","32151432_Monocytes","32151567_Monocytes","32151572_Monocytes","32151668_Monocytes","32151813_Monocytes","32151886_Monocytes","32151889_Monocytes","32152113_Monocytes","32152115_Monocytes","32152153_Monocytes","32152162_Monocytes","32152165_Monocytes","32152205_Monocytes","32152208_Monocytes","32152211_Monocytes","32152217_Monocytes","32152294_Monocytes","32152297_Monocytes","32152300_Monocytes","32161284_Monocytes"
"32140206_Monocytes",0,57.2833368684798,70.255160402313,59.1157477517911,66.6926336749725,65.8186785415603,65.3959123826581,61.835961631815,63.9334531204505,76.1801116467218,55.0020108302125,62.5136307303054,53.988787919355,52.4563095990412,53.3698591618748,57.1896938990807,59.6436990459235,58.7898210392487,59.8627945648827,62.1869793222622,71.0072408932821,73.7594093608683,61.0143726627788,55.3370430288355,54.4643814970464,63.2179375137583,58.1942498353894,54.6996225499498,67.2998427851881,70.7517411901723,61.9824793369096,66.9212835554079,68.8883883664911,61.4359175578768,62.6724847681489,52.4835621926236,56.8589550693522,60.5690216427358,65.9687635150895,74.1131174023259,65.2619751811168
"32150052_Monocytes",57.2833368684798,0,62.0428374502261,58.1850445627578,65.6107545430219,61.4276302099624,61.1606892992775,57.7182111037624,62.8317021353612,69.5426613126239,61.7610968502675,58.9141828104682,55.535992555179,57.8738751590022,52.3998481635852,54.9179923478055,54.670512242071,58.6380004709573,69.7383100156121,58.8321831889437,65.6832825804181,71.8425389004454,55.3579849817632,50.3682896394813,52.1614178608168,61.7505503717403,60.117452046896,55.4953705987555,65.0836212731524,64.2375566125525,61.8343065195265,63.8645283814285,63.3337188406744,59.0891042120969,64.6568499698476,51.5352746935001,57.6567406305804,59.9960896404304,62.0662175337902,69.9488125460318,53.1728083512776
"32150091_Monocytes",70.255160402313,62.0428374502261,0,62.2694695051248,68.1276599083782,60.3242992965213,68.9454322696331,62.9692156495501,66.7235238930557,72.1446491653324,69.2102439603463,63.4071022561746,62.5348018018435,70.2995106397605,67.8513337519284,63.9161493601811,60.7593651186696,67.2277125591045,82.4852902565138,68.563430352388,60.1734407732234,69.3044703492653,53.7481995771603,61.8065546029187,61.1597360979345,65.8372299502194,67.3930181964216,64.9343701278571,61.2338974385434,57.4932047729402,71.4416329976599,54.9017902148322,60.0165026345538,64.1603887038863,64.1647478538839,67.2674879715037,73.2004875721142,57.8245961189031,59.3062702634929,62.9404558729483,56.2224403091241
"32150099_Monocytes",59.1157477517911,58.1850445627578,62.2694695051248,0,61.4502001432091,64.3398145813971,69.8650079572192,59.9179247288121,72.29557803584,78.0205900493545,61.4522550187319,63.3029198457981,59.2617302149601,52.3844074431135,60.0128487576452,61.2330639924476,65.6380553145242,63.4031517589737,64.1381234135967,66.6205298491216,66.061862418007,72.0905175791286,58.8419183344664,57.4513398980448,54.0254634293235,60.3858563508206,61.8945665767131,60.8941250769145,64.878850340096,66.0588792028087,53.2835550307686,62.9486249280264,62.7114667266169,67.3460669325289,66.0674139799729,60.9243229846888,65.8633822077916,57.1627030223963,61.643112366182,68.2041512432265,61.5042255614783
"32150230_Monocytes",66.6926336749725,65.6107545430219,68.1276599083782,61.4502001432091,0,58.3480083452227,67.11080108902,58.2895237650558,72.6337802456671,75.575363522276,57.8532617789508,64.6158262291339,56.6613001037097,60.402171827996,67.1262994417056,58.4575394119708,61.9806426390716,68.1224424442175,73.804927146877,62.8218972255386,71.8241776726072,66.5407291573541,59.832766373061,66.0445992270179,61.3897711748029,46.7624251038664,56.7293753690023,61.5245975184366,57.5092528058795,70.8043317048351,65.4789967728782,62.2818679725936,64.0756150917629,61.9130387559788,59.1147483368241,62.2377749143854,74.8413222679724,61.1325034114106,68.2753227120771,65.833328157913,69.7413229486957
"32150289_Monocytes",65.8186785415603,61.4276302099624,60.3242992965213,64.3398145813971,58.3480083452227,0,63.0742925523872,54.4962667123317,59.9029826888632,67.002736057911,59.7031802645091,56.1109445184347,55.6476272266192,62.4883142536705,65.3137903516763,59.1308692440547,57.5216206223921,63.4824003646803,78.5889013976136,55.3901419229507,65.0262798260655,62.9140003895857,56.5524847191796,59.2576383931502,57.9345612239759,56.8519547798634,59.1250405113412,57.6664988334948,60.3200173422848,64.8606958956681,72.2911325692034,59.327259421857,62.3199320083797,54.0554449364402,55.5094461205278,56.4815701484996,70.3530575901844,58.4283600192243,60.9678960446938,65.3530972002093,63.6669357315643
"32150744_Monocytes",65.3959123826581,61.1606892992775,68.9454322696331,69.8650079572192,67.11080108902,63.0742925523872,0,57.8573610827572,58.2507271528363,68.5709731390349,57.1114178545146,58.8826201649134,59.7748649942628,61.4663501416863,60.8472460465961,64.4038734003504,59.7781112750317,69.5124975905734,80.8055945519966,58.7171114993436,73.7402567017278,64.6609552592413,65.177547764675,62.2545118300538,63.6627874958007,61.0258312315727,62.6295961938087,58.5980491656006,63.512461948722,73.3691454214626,69.8371752128594,66.8792196508093,67.881210296425,59.5322566814797,60.5591720384805,58.4708264409024,69.035650102352,63.9606710148208,68.0299452451447,70.9038411606907,69.0238671620972
"32150750_Monocytes",61.835961631815,57.7182111037624,62.9692156495501,59.9179247288121,58.2895237650558,54.4962667123317,57.8573610827572,0,59.3696784223269,67.125987478725,54.7281910282478,52.1722250779235,55.5903717863402,56.5728163359877,57.705556872994,59.0157911082461,55.3621168988785,66.080519722106,76.7627578671188,55.8356535661798,69.8169181670763,60.3086199242132,56.9751473378365,58.3148246751989,57.3280430256882,52.5172044573944,57.6679287042308,57.120483561831,59.4209842867061,69.3635078811099,65.8143954228966,61.386321989454,58.5371574610212,55.9763988035271,56.5173460569602,55.210158900069,66.6887170811703,56.5589160368015,58.5945433389985,65.0173881661688,64.7553839058236
"32150754_Monocytes",63.9334531204505,62.8317021353612,66.7235238930557,72.29557803584,72.6337802456671,59.9029826888632,58.2507271528363,59.3696784223269,0,65.4497676602781,58.1854244218073,54.7114189829248,58.4394302801517,63.4492044336195,61.0372969751399,65.4029007040484,55.4302790073712,67.7434769166115,83.1377251094409,59.444591570648,70.7400793927929,64.532725245585,62.3123862071206,60.8006172251723,60.7445213148952,65.2158830806697,60.5708226901397,54.9954229839052,63.0777805282778,71.2059383671096,75.2033337506479,64.1717196287646,70.0892528916374,52.1518625421544,58.896468013658,58.5798661203097,64.59166980413,61.8281144181411,67.3996844117261,71.1720124666612,67.8168188929447
"32150755_Monocytes",76.1801116467218,69.5426613126239,72.1446491653324,78.0205900493545,75.575363522276,67.002736057911,68.5709731390349,67.125987478725,65.4497676602781,0,72.4535363210666,63.6331326368441,67.7764023348863,74.7018732141515,71.2181341073241,69.6544924485532,64.0112964525413,72.4528896130749,88.9138675732992,70.2170407358126,75.2695906723793,72.1452551406983,68.2393221070754,68.7235272826221,70.2598537452522,70.4342499644091,70.7799119890667,66.3531524593378,73.3589630349167,75.6621406144931,83.1000932809647,69.5864576574133,75.0352623751049,63.8398240111997,68.8618439622893,68.4626243056811,74.4346247233158,71.8438295728204,71.9290485115367,78.3047735100876,73.0849902350539
"32150756_Monocytes",55.0020108302125,61.7610968502675,69.2102439603463,61.4522550187319,57.8532617789508,59.7031802645091,57.1114178545146,54.7281910282478,58.1854244218073,72.4535363210666,0,56.2073089364286,53.1731256017744,51.7395377262302,58.4647658225945,59.9056964019523,57.0816261129866,65.2376465614158,70.7171302033086,55.5873136112896,71.8905574109056,64.9786072815727,61.6778986480521,60.4093756052557,58.1412523398648,53.45065839456,52.1881725475618,54.2935029082993,59.2052048357523,73.4364628989541,64.6381334082757,65.1247576418719,66.667439094885,55.7401293895915,56.010093533325,55.2162435487936,63.8046228564557,59.2101188064146,67.8128613532509,70.5613891322812,71.2967746458317
"32150762_Monocytes",62.5136307303054,58.9141828104682,63.4071022561746,63.3029198457981,64.6158262291339,56.1109445184347,58.8826201649134,52.1722250779235,54.7114189829248,63.6331326368441,56.2073089364286,0,56.6054987681466,60.2033146127583,58.1815852342176,61.2976210321627,53.9141750451039,66.1941790621422,78.399354565363,54.9965926004913,70.2480911642975,61.5602628239168,59.4737692731891,59.1110301456636,57.9345437226351,56.7071987902988,57.5373575666017,56.9072961354743,62.5402584641202,69.2651455616171,71.4807799182314,62.4732072622275,63.2385095665207,51.292789290102,56.0024818979986,56.7921109369439,63.3416432280975,58.7583953502741,60.916842905349,70.62874618304,68.1299397171338
