"","ID","GROUPE","sizeFactor","replaceable"
"32150230_Monocytes","32150230_Monocytes","Adult",1.19148471483773,TRUE
"32150289_Monocytes","32150289_Monocytes","Adult",0.880453380921403,TRUE
"32150750_Monocytes","32150750_Monocytes","Old",1.09284212361146,TRUE
"32150756_Monocytes","32150756_Monocytes","Old",1.03473680380544,TRUE
"32150762_Monocytes","32150762_Monocytes","Adult",0.933437217903021,TRUE
"32150940_Monocytes","32150940_Monocytes","Old",1.46822101024349,TRUE
"32151045_Monocytes","32151045_Monocytes","Old",1.10814740284319,TRUE
"32151137_Monocytes","32151137_Monocytes","Adult",0.908809244449943,TRUE
"32151813_Monocytes","32151813_Monocytes","Old",1.1236406490335,TRUE
"32151886_Monocytes","32151886_Monocytes","Adult",1.13382484587995,TRUE
"32151889_Monocytes","32151889_Monocytes","Old",0.988519338911668,TRUE
"32152153_Monocytes","32152153_Monocytes","Old",1.0505204755113,TRUE
"32152162_Monocytes","32152162_Monocytes","Old",1.02454091020969,TRUE
"32152165_Monocytes","32152165_Monocytes","Adult",0.797691867379932,TRUE
"32152211_Monocytes","32152211_Monocytes","Adult",0.970374496878529,TRUE
"32152294_Monocytes","32152294_Monocytes","Old",0.833128723647144,TRUE
"32152297_Monocytes","32152297_Monocytes","Old",0.83135683015302,TRUE
"32152300_Monocytes","32152300_Monocytes","Old",0.903304923693776,TRUE
