"","32150230_Monocytes","32150289_Monocytes","32150750_Monocytes","32150756_Monocytes","32150762_Monocytes","32150940_Monocytes","32151045_Monocytes","32151137_Monocytes","32151813_Monocytes","32151886_Monocytes","32151889_Monocytes","32152153_Monocytes","32152162_Monocytes","32152165_Monocytes","32152211_Monocytes","32152294_Monocytes","32152297_Monocytes","32152300_Monocytes"
"ENSG00000000003",0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,3,0
"ENSG00000000005",1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,5,0
"ENSG00000000419",374,265,348,230,326,381,372,238,337,407,336,257,407,287,261,262,252,359
"ENSG00000000457",202,199,299,311,263,288,312,213,220,322,322,156,301,133,245,237,164,205
"ENSG00000000460",108,93,89,111,146,131,101,119,116,94,122,81,116,69,110,97,99,83
"ENSG00000000938",16337,9859,15761,16160,11475,18631,14394,11516,15861,16140,12472,14405,13971,9941,11863,12047,10417,11513
"ENSG00000000971",9,15,17,7,4,3,12,4,10,11,2,7,15,7,10,4,5,5
"ENSG00000001036",1334,970,1141,943,968,1245,1168,930,1492,1142,913,980,1271,938,864,736,983,1141
"ENSG00000001084",551,492,417,326,438,559,494,404,453,465,382,317,406,295,428,337,403,344
"ENSG00000001167",483,301,378,433,362,481,479,359,544,473,445,616,497,363,519,346,326,375
"ENSG00000001460",12,9,21,6,6,16,16,6,5,12,18,8,17,6,8,6,8,11
"ENSG00000001461",196,175,175,216,154,237,198,120,218,159,178,135,152,101,164,124,119,91
"ENSG00000001497",436,216,366,318,285,524,282,289,354,341,296,312,236,248,337,245,245,248
"ENSG00000001561",88,87,82,69,52,123,89,36,61,55,41,65,91,95,60,77,84,47
"ENSG00000001617",1,0,0,0,3,0,0,1,2,0,0,1,0,3,0,0,1,0
"ENSG00000001626",0,0,3,1,0,0,0,0,0,0,0,1,1,2,0,0,4,2
"ENSG00000001629",952,807,845,892,944,1217,1050,902,985,926,889,830,809,678,982,678,769,704
"ENSG00000001630",622,568,590,396,330,599,862,315,344,459,583,339,491,408,513,313,434,317
"ENSG00000001631",412,481,553,547,528,754,619,410,425,703,687,459,527,316,572,400,360,378
"ENSG00000002016",93,94,105,124,109,146,172,112,79,195,154,92,109,71,80,87,90,104
"ENSG00000002079",1,0,2,1,4,0,0,1,0,0,0,0,1,1,0,0,0,0
"ENSG00000002330",227,133,210,199,137,271,157,84,205,173,107,229,167,145,89,138,118,190
"ENSG00000002549",4704,3258,1857,1756,2031,1722,4569,1359,1824,2344,2759,1569,6293,2931,2523,1440,2401,4109
"ENSG00000002586",542,501,710,715,453,918,668,365,668,436,502,668,600,446,359,414,388,700
"ENSG00000002587",0,1,3,1,5,4,0,0,0,2,0,0,3,1,1,4,6,3
"ENSG00000002726",3,14,8,16,3,21,2,2,1,19,23,1,2,2,1,15,4,3
"ENSG00000002745",0,0,3,0,2,1,0,1,0,2,0,0,3,0,3,1,0,0
"ENSG00000002746",0,0,1,3,2,0,1,0,2,1,0,0,2,1,0,0,2,0
"ENSG00000002822",930,860,739,594,539,987,545,376,618,643,590,728,571,531,592,541,644,460
"ENSG00000002834",4317,2146,3647,4923,3385,5601,3691,3663,4078,3032,2773,4890,3082,3343,3412,2938,2918,2358
"ENSG00000002919",767,577,526,640,620,716,708,445,746,723,565,557,769,327,448,521,400,568
"ENSG00000002933",1416,1957,1703,833,65,1454,49,48,274,1028,2035,188,1171,103,1132,836,862,837
"ENSG00000003056",4969,4068,3875,3618,4194,4877,4890,4013,5396,4949,3662,3561,4965,3835,3419,3374,3442,3921
"ENSG00000003096",11,4,5,6,6,10,6,8,5,5,1,4,0,2,5,4,2,4
"ENSG00000003137",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,1
"ENSG00000003147",85,57,36,88,33,66,118,60,58,63,67,64,76,45,74,58,39,61
"ENSG00000003249",0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,1
"ENSG00000003393",332,287,350,262,226,514,396,346,377,359,390,287,328,188,339,265,261,253
"ENSG00000003400",1143,786,1160,1211,1092,1753,1710,999,1258,1397,1015,1079,1419,913,1004,775,967,691
"ENSG00000003402",5077,3800,5165,6345,4859,9319,6739,4723,4290,6082,5260,5849,5263,3440,5465,4399,4050,3902
"ENSG00000003436",0,6,2,1,2,0,1,3,3,2,0,2,5,5,0,1,4,4
"ENSG00000003509",228,238,257,227,233,318,291,216,217,361,253,202,239,143,210,202,183,184
"ENSG00000003756",2494,2138,2753,2793,2698,4171,3565,2531,2333,3567,3106,2701,2528,1630,2836,2175,2096,2052
