Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Defense Response To Virus (GO:0051607),21/189,4.14652778397336e-23,2.82793194866983e-20,0,0,32.8933333333333,1695.22983267971,IFITM3;GBP5;IFITM1;RSAD2;STAT1;MX2;EIF2AK2;DDX60L;IFIT1;DDX60;USP18;IFIT3;IFI44L;PML;IFIT2;IFIH1;CXCL10;IFI27;OAS2;OAS3;RIGI
Defense Response To Symbiont (GO:0140546),18/148,1.28118734948504e-20,4.36884886174399e-18,0,0,35.101775147929,1607.79871101336,IFITM3;GBP5;IFITM1;RSAD2;STAT1;MX2;EIF2AK2;DDX60L;IFIT1;DDX60;IFIT3;IFI44L;IFIT2;IFIH1;IFI27;OAS2;OAS3;RIGI
Negative Regulation Of Viral Process (GO:0048525),10/61,2.95696527737383e-13,6.72216773056317e-11,0,0,45.2644778841769,1305.85496154656,IFITM3;IFIH1;IFITM1;RSAD2;OAS2;STAT1;OAS3;TRIM14;EIF2AK2;IFIT1
Regulation Of Viral Genome Replication (GO:0045069),9/67,3.13390518962764e-11,5.34330834831512e-09,0,0,35.397146254459,856.120905925234,IFITM3;IFIH1;IFITM1;RSAD2;OAS2;OAS3;EIF2AK2;ADARB1;IFIT1
Antiviral Innate Immune Response (GO:0140374),8/46,4.70059981906607e-11,6.41161815320613e-09,0,0,47.5263157894737,1130.21123941363,IFIH1;CXCL10;EIF2AK2;IFIT1;USP18;IFIT3;IFIT2;RIGI
Negative Regulation Of Viral Genome Replication (GO:0045071),8/53,1.55350312697728e-10,1.76581522099751e-08,0,0,40.1191919191919,906.105528526788,IFITM3;IFIH1;IFITM1;RSAD2;OAS2;OAS3;EIF2AK2;IFIT1
Cellular Response To Type I Interferon (GO:0071357),6/38,2.54589234864338e-08,2.48042654539255e-06,0,0,41.4,723.928660428354,IFITM3;IFITM1;IFI27;STAT1;OAS2;IFIT1
Positive Regulation Of Defense Response To Virus By Host (GO:0002230),5/28,2.06513475959943e-07,1.76052738255852e-05,0,0,47.494027711419,731.070827128061,DTX3L;STAT1;PARP9;TRIM22;RIGI
Regulation Of Defense Response To Virus By Host (GO:0050691),5/37,8.85218957453941e-07,6.03719328983588e-05,0,0,34.1208791208791,475.557392025535,DTX3L;STAT1;PARP9;TRIM22;RIGI
Type I Interferon-Mediated Signaling Pathway (GO:0060337),5/37,8.85218957453941e-07,6.03719328983588e-05,0,0,34.1208791208791,475.557392025535,IFITM3;IFITM1;IFI27;STAT1;OAS2
Response To Interferon-Alpha (GO:0035455),4/17,1.13070325335394e-06,7.01036017079443e-05,0,0,66.5250836120401,910.906067894117,IFITM3;IFITM1;MX2;EIF2AK2
Response To Type II Interferon (GO:0034341),6/80,2.35683049297221e-06,0.000124061608806046,0,0,17.8648648648649,231.496364212191,IFITM3;GBP5;IFITM1;STAT1;CCL2;GBP4
Response To Cytokine (GO:0034097),7/125,2.36481072504193e-06,0.000124061608806046,0,0,13.188154637212,170.850071481362,IFITM3;IFITM1;STAT1;MX2;EIF2AK2;XAF1;PML
Interferon-Mediated Signaling Pathway (GO:0140888),5/49,3.70038052945878e-06,0.000180261394363635,0,0,24.8001998001998,310.17795638157,IFITM3;IFITM1;IFI27;OAS2;STAT1
Response To Interferon-Beta (GO:0035456),4/29,1.07966236629648e-05,0.000490886489209468,0,0,34.5721739130435,395.376960698322,IFITM3;IFITM1;STAT1;XAF1
Positive Regulation Of Type I Interferon Production (GO:0032481),5/64,1.39789215268878e-05,0.000595851530083594,0,0,18.4810951760104,206.580942044715,IFIH1;OAS2;STAT1;OAS3;RIGI
