Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Positive Regulation Of Podosome Assembly (GO:0071803),1/5,0.00399394544865564,0.060227961782087,0,0,333,1839.15090890099,FSCN1
Glyoxylate Metabolic Process (GO:0046487),1/5,0.00399394544865564,0.060227961782087,0,0,333,1839.15090890099,HYI
Parallel Actin Filament Bundle Assembly (GO:0030046),1/6,0.00479094227501427,0.060227961782087,0,0,266.386666666667,1422.77869072142,FSCN1
Regulation Of Microvillus Organization (GO:0032530),1/7,0.00558734170782148,0.060227961782087,0,0,221.977777777778,1151.45459385024,FSCN1
Folic Acid Transport (GO:0015884),1/7,0.00558734170782148,0.060227961782087,0,0,221.977777777778,1151.45459385024,FOLR3
Positive Regulation Of Extracellular Matrix Disassembly (GO:0090091),1/7,0.00558734170782148,0.060227961782087,0,0,221.977777777778,1151.45459385024,FSCN1
Regulation Of Epidermis Development (GO:0045682),1/8,0.00638314407085165,0.060227961782087,0,0,190.257142857143,961.577579668734,KRT10
Regulation Of Podosome Assembly (GO:0071801),1/8,0.00638314407085165,0.060227961782087,0,0,190.257142857143,961.577579668734,FSCN1
Positive Regulation Of Epidermis Development (GO:0045684),1/9,0.007178349711373,0.060227961782087,0,0,166.466666666667,821.793624105346,KRT10
Mast Cell Activation Involved In Immune Response (GO:0002279),1/10,0.00797295899684864,0.060227961782087,0,0,147.962962962963,714.912587220804,FCER1A
Mast Cell Degranulation (GO:0043303),1/10,0.00797295899684864,0.060227961782087,0,0,147.962962962963,714.912587220804,FCER1A
Neuron Projection Fasciculation (GO:0106030),1/10,0.00797295899684864,0.060227961782087,0,0,147.962962962963,714.912587220804,EPHB3
Urogenital System Development (GO:0001655),1/10,0.00797295899684864,0.060227961782087,0,0,147.962962962963,714.912587220804,EPHB3
Mast Cell Mediated Immunity (GO:0002448),1/11,0.00876697230095753,0.060227961782087,0,0,133.16,630.747463060205,FCER1A
Protein Heterotetramerization (GO:0051290),1/12,0.00956039001281181,0.060227961782087,0,0,121.048484848485,562.890798219462,KRT10
Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122),1/12,0.00956039001281181,0.060227961782087,0,0,121.048484848485,562.890798219462,UQCRFS1P1
Axonal Fasciculation (GO:0007413),1/12,0.00956039001281181,0.060227961782087,0,0,121.048484848485,562.890798219462,EPHB3
Thymus Development (GO:0048538),1/13,0.0103532125188837,0.060227961782087,0,0,110.955555555556,507.117753038502,EPHB3
Establishment Of Apical/Basal Cell Polarity (GO:0035089),1/14,0.011145440218903,0.060227961782087,0,0,102.415384615385,460.533801304194,FSCN1
Regulation Of Extracellular Matrix Disassembly (GO:0010715),1/14,0.011145440218903,0.060227961782087,0,0,102.415384615385,460.533801304194,FSCN1
Dendritic Spine Morphogenesis (GO:0060997),1/15,0.0119370735063596,0.060227961782087,0,0,95.0952380952381,421.091823007422,EPHB3
Digestive Tract Morphogenesis (GO:0048546),1/15,0.0119370735063596,0.060227961782087,0,0,95.0952380952381,421.091823007422,EPHB3
