Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Defense Response To Virus (GO:0051607),21/189,6.09047135590472e-25,3.66646375625464e-22,0,0,41.8474576271186,2333.3264349521,IFITM3;GBP5;IFITM1;RSAD2;STAT1;MX2;EIF2AK2;DDX60L;IFIT1;DDX60;USP18;IFIT3;IFI44L;PML;IFIT2;IFIH1;CXCL10;IFI27;OAS2;OAS3;RIGI
Defense Response To Symbiont (GO:0140546),18/148,3.67336836839964e-22,1.10568387888829e-19,0,0,44.1960297766749,2181.32877089714,IFITM3;GBP5;IFITM1;RSAD2;STAT1;MX2;EIF2AK2;DDX60L;IFIT1;DDX60;IFIT3;IFI44L;IFIT2;IFIH1;IFI27;OAS2;OAS3;RIGI
Negative Regulation Of Viral Process (GO:0048525),10/61,4.47965335543873e-14,8.98917106658039e-12,0,0,55.6554621848739,1710.66221880087,IFITM3;IFIH1;IFITM1;RSAD2;OAS2;STAT1;OAS3;TRIM14;EIF2AK2;IFIT1
Regulation Of Viral Genome Replication (GO:0045069),9/67,5.84490330927554e-12,8.79657948045969e-10,0,0,43.408936376882,1122.79171957956,IFITM3;IFIH1;IFITM1;RSAD2;OAS2;OAS3;EIF2AK2;ADARB1;IFIT1
Antiviral Innate Immune Response (GO:0140374),8/46,1.05578368729799e-11,1.27116355950678e-09,0,0,58.1345029239766,1469.30030405123,IFIH1;CXCL10;EIF2AK2;IFIT1;USP18;IFIT3;IFIT2;RIGI
Negative Regulation Of Viral Genome Replication (GO:0045071),8/53,3.50671827593762e-11,3.51840733685741e-09,0,0,49.0740740740741,1181.39725509928,IFITM3;IFIH1;IFITM1;RSAD2;OAS2;OAS3;EIF2AK2;IFIT1
Cellular Response To Type I Interferon (GO:0071357),6/38,8.43577099691856e-09,7.25476305734996e-07,0,0,50.3918918918919,936.824813827434,IFITM3;IFITM1;IFI27;STAT1;OAS2;IFIT1
Positive Regulation Of Defense Response To Virus By Host (GO:0002230),5/28,8.24778489633693e-08,6.20645813449354e-06,0,0,57.6724637681159,940.6803354362,DTX3L;STAT1;PARP9;TRIM22;RIGI
Regulation Of Defense Response To Virus By Host (GO:0050691),5/37,3.55667713313604e-07,2.14111963414789e-05,0,0,41.4333333333333,615.254709396899,DTX3L;STAT1;PARP9;TRIM22;RIGI
Type I Interferon-Mediated Signaling Pathway (GO:0060337),5/37,3.55667713313604e-07,2.14111963414789e-05,0,0,41.4333333333333,615.254709396899,IFITM3;IFITM1;IFI27;STAT1;OAS2
Response To Interferon-Alpha (GO:0035455),4/17,5.4282790032135e-07,2.97074905448593e-05,0,0,80.5951417004049,1162.70367674071,IFITM3;IFITM1;MX2;EIF2AK2
Response To Cytokine (GO:0034097),7/125,6.84507943229177e-07,3.43394818186637e-05,0,0,16.0917111678663,228.414849593175,IFITM3;IFITM1;STAT1;MX2;EIF2AK2;XAF1;PML
Response To Type II Interferon (GO:0034341),6/80,8.0371003742747e-07,3.72179571177952e-05,0,0,21.745069393718,305.170897137451,IFITM3;GBP5;IFITM1;STAT1;CCL2;GBP4
Interferon-Mediated Signaling Pathway (GO:0140888),5/49,1.49867334216499e-06,6.44429537130946e-05,0,0,30.1151515151515,403.872197334085,IFITM3;IFITM1;IFI27;OAS2;STAT1
Response To Interferon-Beta (GO:0035456),4/29,5.22317332313206e-06,0.000209623356035033,0,0,41.8842105263158,509.412749304788,IFITM3;IFITM1;STAT1;XAF1
Positive Regulation Of Type I Interferon Production (GO:0032481),5/64,5.71817975810286e-06,0.00021514651339862,0,0,22.4418079096045,270.91436384485,IFIH1;OAS2;STAT1;OAS3;RIGI
Positive Regulation Of Interferon-Beta Production (GO:0032728),4/36,1.26815918314685e-05,0.000449077546032003,0,0,32.7105263157895,368.822929843354,IFIH1;OAS2;OAS3;RIGI
Cellular Response To Exogenous dsRNA (GO:0071360),3/14,2.17299316203163e-05,0.000726745490857246,0,0,70.5159386068477,757.116933640751,IFIH1;IFIT1;RIGI
Regulation Of Viral Entry Into Host Cell (GO:0046596),4/44,2.85246824070428e-05,0.000903782042581041,0,0,26.1578947368421,273.735588193352,IFITM3;IFITM1;TRIM22;LY6E
Regulation Of Response To Cytokine Stimulus (GO:0060759),3/16,3.32383320424404e-05,0.00100047379447746,0,0,59.6613386613387,615.216195823655,IFIH1;PARP9;RIGI
Cellular Response To dsRNA (GO:0071359),3/17,4.02445794739155e-05,0.00115367794491891,0,0,55.3970315398887,560.647609593033,IFIH1;IFIT1;RIGI
Regulation Of Interferon-Beta Production (GO:0032648),4/50,4.75191054858011e-05,0.00126038931586241,0,0,22.7391304347826,226.353915816584,IFIH1;OAS2;OAS3;RIGI
Negative Regulation Of Viral Entry Into Host Cell (GO:0046597),3/18,4.81544090777995e-05,0.00126038931586241,0,0,51.7012987012987,513.96766958297,IFITM3;IFITM1;LY6E
Negative Regulation Of Viral Life Cycle (GO:1903901),3/20,6.68876617521441e-05,0.00167776551561628,0,0,45.6142093200917,438.466406277307,IFITM3;IFITM1;LY6E
Cytokine-Mediated Signaling Pathway (GO:0019221),7/257,7.61951913304844e-05,0.00180162253642683,0,0,7.54465753424657,71.5400437399117,CXCL10;CXCL9;OAS2;STAT1;IL31RA;CCL2;BIRC3
Positive Regulation Of Interferon-Alpha Production (GO:0032727),3/21,7.78109401114577e-05,0.00180162253642683,0,0,43.0779220779221,407.570064871301,IFIH1;STAT1;RIGI
Cytosolic Pattern Recognition Receptor Signaling Pathway (GO:0002753),3/23,0.000103015785317148,0.00229687047262678,0,0,38.7662337662338,355.89838380549,IFIH1;OAS3;RIGI
Cellular Response To Type II Interferon (GO:0071346),4/66,0.000141672205805129,0.00304443229017159,0,0,16.8573853989813,149.390058016348,GBP5;STAT1;CCL2;GBP4
Regulation Of Interferon-Alpha Production (GO:0032647),3/26,0.000149935373709333,0.00304443229017159,0,0,33.7046866177301,296.780085998481,IFIH1;STAT1;RIGI
Interleukin-27-Mediated Signaling Pathway (GO:0070106),2/5,0.000156773091354351,0.00304443229017159,0,0,170.230769230769,1491.34258548202,OAS2;STAT1
Regulation Of Ribonuclease Activity (GO:0060700),2/5,0.000156773091354351,0.00304443229017159,0,0,170.230769230769,1491.34258548202,OAS2;OAS3
RIG-I Signaling Pathway (GO:0039529),2/6,0.000234549448003858,0.0042787505363128,0,0,127.666666666667,1067.01810016501,OAS3;RIGI
Regulation Of Nuclease Activity (GO:0032069),2/6,0.000234549448003858,0.0042787505363128,0,0,127.666666666667,1067.01810016501,OAS2;OAS3
Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),4/78,0.000270392355380166,0.00478753523349588,0,0,14.1152204836415,115.965520409362,IFIH1;OAS2;OAS3;RIGI
Positive Regulation Of Apoptotic Cell Clearance (GO:2000427),2/7,0.000327517205344795,0.0054776018138456,0,0,102.128205128205,819.473650922797,CCL2;C2
Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),4/82,0.000327564228070501,0.0054776018138456,0,0,13.3886639676113,107.428315482659,IFIH1;OAS2;OAS3;RIGI
