Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Defense Response To Virus (GO:0051607),48/189,1.04740202920795e-33,2.2938104439654e-30,0,0,13.8279992848203,1050.08437171058,IFITM3;RTP4;MARCHF2;IFIT5;IFI6;NLRC5;DDX60L;IFIT1;DDX60;SAMHD1;USP18;IFI44L;IFIT3;IFIT2;OASL;IFIH1;TRIM6;TRIM28;IFI16;TRIM5;DHX58;AZI2;MICA;GBP5;APOBEC3D;RSAD2;APOBEC3G;STAT1;MX2;STAT2;MX1;EIF2AK2;ISG15;PML;BST2;NT5C3A;SLFN13;MOV10;PLSCR1;AIM2;OAS1;OAS2;OAS3;DDIT4;IRF7;MAP3K14;SHFL;RIGI
Defense Response To Symbiont (GO:0140546),42/148,8.96834421350138e-32,9.82033691378401e-29,0,0,15.9230407891646,1138.32261182431,IFITM3;RTP4;IFIT5;IFI6;NLRC5;DDX60L;IFIT1;DDX60;SAMHD1;IFI44L;IFIT3;IFIT2;OASL;IFIH1;IFI16;TRIM5;AZI2;MICA;GBP5;APOBEC3D;RSAD2;APOBEC3G;STAT1;MX2;STAT2;MX1;EIF2AK2;ISG15;BST2;NT5C3A;SLFN13;MOV10;PLSCR1;AIM2;OAS1;OAS2;OAS3;DDIT4;IRF7;MAP3K14;SHFL;RIGI
Negative Regulation Of Viral Genome Replication (GO:0045071),20/53,1.47229906512102e-18,1.03165889749628e-15,0,0,23.3802308802309,959.985417961006,IFITM3;APOBEC3D;RSAD2;APOBEC3G;MX1;IFIT5;EIF2AK2;ISG15;ZC3HAV1;IFIT1;OASL;IFIH1;BST2;TRIM6;PLSCR1;OAS1;IFI16;OAS2;OAS3;SHFL
Negative Regulation Of Viral Process (GO:0048525),21/61,1.88430848857768e-18,1.03165889749628e-15,0,0,20.286083499006,827.93533287986,IFITM3;RSAD2;APOBEC3G;STAT1;MX1;IFIT5;EIF2AK2;ISG15;ZC3HAV1;IFIT1;OASL;IFIH1;BST2;TRIM6;PLSCR1;OAS1;IFI16;OAS2;OAS3;TRIM14;SHFL
Regulation Of Viral Genome Replication (GO:0045069),21/67,1.73514744483178e-17,7.59994580836321e-15,0,0,17.6346270204858,680.570589270169,IFITM3;CXCL8;RSAD2;APOBEC3G;MX1;IFIT5;EIF2AK2;ISG15;ZC3HAV1;IFIT1;OASL;IFIH1;BST2;TRIM6;PLSCR1;LARP1;OAS1;IFI16;OAS2;OAS3;SHFL
Response To Interferon-Beta (GO:0035456),11/29,8.12162640288715e-11,2.96439363705381e-08,0,0,23.1793372319688,538.546532953449,IFITM3;BST2;TRIM6;PLSCR1;PNPT1;AIM2;IFI16;OAS1;STAT1;XAF1;SHFL
Antiviral Innate Immune Response (GO:0140374),12/46,1.59659591197065e-09,4.99506435316533e-07,0,0,13.4021139705882,271.465072494007,IFIH1;MARCHF2;TRIM6;OAS1;DHX58;MX1;EIF2AK2;IFIT1;USP18;IFIT3;IFIT2;RIGI
Negative Regulation Of Innate Immune Response (GO:0045824),12/52,7.34001617862231e-09,2.00932942889786e-06,0,0,11.38828125,213.30165130158,OAS1;IFI16;OAS3;STAT2;TREX1;DHX58;NLRC5;TRAFD1;SERPING1;ISG15;SAMHD1;USP18
Interleukin-27-Mediated Signaling Pathway (GO:0070106),5/5,1.21155439829644e-08,2.94811570252135e-06,0,0,97380,1775118.26356288,OAS1;OAS2;STAT1;MX1;OASL
Response To Cytokine (GO:0034097),17/125,2.92634848236609e-08,6.40870317638175e-06,0,0,6.01314924391848,104.30965105202,IFITM3;CD274;SP100;GCH1;STAT1;MX2;MX1;EIF2AK2;ISG15;ADAR;PML;BST2;NUB1;PLSCR1;LAMP3;XAF1;SHFL
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),7/15,4.36668227702633e-08,8.69366744244334e-06,0,0,32.9487427466151,558.371708379748,OAS1;STAT2;OAS3;NLRC5;ISG15;SAMHD1;USP18
Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),11/59,3.22703487826893e-07,5.8893386528408e-05,0,0,8.67884990253411,129.718707181149,IL1RN;OAS1;OAS3;STAT2;NLRC5;ISG15;SAMHD1;PARP14;ZNF675;USP18;NAIP
Cytosolic Pattern Recognition Receptor Signaling Pathway (GO:0002753),7/23,1.3863071049371e-06,0.00021882956224339,0,0,16.4676015473888,222.12928881588,IFIH1;OAS3;DHX58;TIFA;IRF7;MAP2K6;RIGI
Response To Type I Interferon (GO:0034340),5/9,1.39891044356505e-06,0.00021882956224339,0,0,46.897880539499,632.1748416827,SP100;MX1;ISG15;IFIT1;SHFL
Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),8/33,1.64048720610159e-06,0.000239511132090832,0,0,12.0626356589147,160.680546777395,TRIM6;OAS1;STAT2;OAS3;NLRC5;ISG15;SAMHD1;USP18
Regulation Of Ribonuclease Activity (GO:0060700),4/5,2.28116091817879e-06,0.000312233900675722,0,0,149.807692307692,1946.12567470885,OAS1;OAS2;OAS3;OASL
Regulation Of Innate Immune Response (GO:0045088),11/78,5.7267279021261e-06,0.000727055752739622,0,0,6.21160280469,74.9763207719828,GBP5;TASL;PLSCR1;IFI16;TREX1;DHX58;TRAFD1;IFI35;PARP9;SAMHD1;FCGR2B
Positive Regulation Of Defense Response To Virus By Host (GO:0002230),7/28,5.97580070744895e-06,0.000727055752739622,0,0,12.5435203094778,150.870858994051,TRIM6;APOBEC3G;DTX3L;STAT1;PARP9;TRIM22;RIGI
Regulation Of Nuclease Activity (GO:0032069),4/6,6.70131372942901e-06,0.000772414582497343,0,0,74.9,892.299202185504,OAS1;OAS2;OAS3;OASL
Response To Type II Interferon (GO:0034341),11/80,7.35852294631534e-06,0.00080575826262153,0,0,6.03093482498517,71.2835468373754,IFITM3;GBP6;BST2;GBP5;NUB1;SP100;GCH1;STAT1;GBP1;SHFL;GBP4
Cellular Response To Interferon-Beta (GO:0035458),6/22,1.6402841339624e-05,0.00171058202541793,0,0,14.0878378378378,155.220586015105,TRIM6;PNPT1;AIM2;IFI16;OAS1;STAT1
Defense Response To Protozoan (GO:0042832),5/15,2.92570752739338e-05,0.00291240885681432,0,0,18.7533718689788,195.773746324154,GBP6;BATF2;IRF4;GBP1;GBP4
Positive Regulation Of Interferon-Beta Production (GO:0032728),7/36,3.51367276817628e-05,0.00334562754882872,0,0,9.07950376842527,93.1217840230415,IFIH1;OAS1;OAS2;OAS3;IRF7;ISG15;RIGI
Positive Regulation Of Type I Interferon Production (GO:0032481),9/64,4.15281719663238e-05,0.0037111446630551,0,0,6.17083848190644,62.25844421909,IFIH1;OAS1;OAS2;STAT1;OAS3;DHX58;IRF7;ISG15;RIGI
Regulation Of Defense Response To Virus By Host (GO:0050691),7/37,4.23646651033688e-05,0.0037111446630551,0,0,8.77640232108317,88.3713143855936,TRIM6;APOBEC3G;DTX3L;STAT1;PARP9;TRIM22;RIGI
Response To Interferon-Alpha (GO:0035455),5/17,5.77239613882038e-05,0.00486213367077562,0,0,15.626204238921,152.509224978492,IFITM3;BST2;MX2;LAMP3;EIF2AK2
Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),7/39,6.04888569516423e-05,0.00490631839718876,0,0,8.22703094777563,79.9095744035039,TASL;RSAD2;DHX58;WDFY1;IFI35;DDX60;OASL
Modulation By Symbiont Of Entry Into Host (GO:0052372),5/21,0.000174052312241447,0.0136133772788846,0,0,11.7172447013487,101.426282310684,TRIM6;CXCL8;TRIM5;TRIM38;TRIM22
Suppression Of Viral Release By Host (GO:0044790),4/13,0.000275900467975624,0.0208352422367799,0,0,16.6384615384615,136.360018716616,MARCHF2;TRIM28;TRIM5;PML
Regulation Of Interferon-Beta Production (GO:0032648),7/50,0.000306410573457122,0.0223679718623699,0,0,6.11897800368854,49.5061092779386,IFIH1;OAS1;OAS2;OAS3;IRF7;ISG15;RIGI
Regulation Of Viral Life Cycle (GO:1903900),5/24,0.00034070434995322,0.0240691137547598,0,0,9.86563228881452,78.7720962761573,TRIM6;TRIM5;LAMP3;TRIM38;TRIM22
Negative Regulation Of Growth (GO:0045926),11/124,0.000422781782577188,0.0282294862868734,0,0,3.67425693042833,28.544032241607,BST2;DNAJB2;MT2A;PNPT1;SMAD3;BMPR2;HYAL2;SESN2;OSGIN1;INHBA;PML
Cellular Response To Type I Interferon (GO:0071357),6/38,0.000425375820761105,0.0282294862868734,0,0,7.03812741312741,54.6337279435282,IFITM3;SP100;STAT1;OAS2;STAT2;IFIT1
Regulation Of Cytokine Production (GO:0001817),13/167,0.000470867027562581,0.0303293761871192,0,0,3.19193331130709,24.4531930579486,BTN2A2;BTN3A1;EIF2AK2;ISG15;BTN3A3;BTN3A2;IFIH1;IFI16;IRF7;IGF2BP3;FCGR2B;BTN2A3P;RIGI
Negative Regulation Of Interleukin-10 Production (GO:0032693),4/16,0.000659732705126824,0.0412804178350784,0,0,12.4769230769231,91.3769395620799,CD274;MMP8;FCGR2B;TRIB2
Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),13/175,0.000732616790485145,0.0445675214211796,0,0,3.03305066318765,21.8952523954398,IFIT5;SHISA5;DDX21;NOD1;BST2;TRIM6;CASP10;TRIM5;TIFA;TNFSF10;TRIM38;MAP3K14;TRIM22
Regulation Of Immune Response (GO:0050776),8/77,0.000907567889321644,0.0523090744302845,0,0,4.36063363667004,30.54511439009,PLSCR1;RSAD2;IRF4;SPPL2B;DHX58;IRF7;SAMHD1;FCGR2B
Protein poly-ADP-ribosylation (GO:0070212),3/8,0.000907646040342835,0.0523090744302845,0,0,22.4234165067178,157.068320740682,PARP10;ZC3HAV1;PARP9
Regulation Of Viral Entry Into Host Cell (GO:0046596),6/44,0.000952663594631848,0.0534957249293269,0,0,5.92501524080471,41.2158796422685,IFITM3;TRIM6;TRIM5;TRIM38;TRIM22;LY6E
Positive Regulation Of Innate Immune Response (GO:0045089),6/45,0.00107525401610984,0.0588701573820138,0,0,5.77279477279477,39.4581973131685,GBP5;TASL;TRIM6;PLSCR1;NLRC5;IFI35
Regulation Of Response To Biotic Stimulus (GO:0002831),5/31,0.00117114669767797,0.0610669349503513,0,0,7.20690677338076,48.6449770169872,HERC5;TRIM5;DHX58;SAMHD1;FCGR2B
Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238),5/31,0.00117114669767797,0.0610669349503513,0,0,7.20690677338076,48.6449770169872,HYAL2;TNFSF10;G0S2;INHBA;PML
Regulation Of Interleukin-10 Production (GO:0032653),6/46,0.00120958829533421,0.0616046131809746,0,0,5.62818532818533,37.8071955266561,CD274;IRF4;ISG15;MMP8;FCGR2B;TRIB2
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),15/232,0.00124278493694941,0.0618567957254364,0,0,2.6154563479489,17.4984504600645,STAT1;IFIT5;SHISA5;RHOH;DDX21;NOD1;BST2;TRIM6;CASP10;TRIM5;TIFA;TNFSF10;TRIM38;MAP3K14;TRIM22
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:0042771),4/19,0.00132009075034585,0.0631868865351599,0,0,9.98,66.1679468489607,IFI16;DDIT4;CDIP1;PML
Positive Regulation Of RIG-I Signaling Pathway (GO:1900246),3/9,0.00133504163518478,0.0631868865351599,0,0,18.6852207293666,123.673604433902,DHX58;DDX60;OASL
Cellular Response To Cytokine Stimulus (GO:0071345),18/308,0.0013560656014395,0.0631868865351599,0,0,2.35346872018536,15.5403486643098,GBP6;CCR1;GBP5;PNPT1;CXCL8;STAT1;IFIT1;YBX3;MT2A;TRIM6;AIM2;OAS1;IFI16;HYAL2;ZNF675;GBP1;GBP4;GBP3
Negative Regulation Of Viral Life Cycle (GO:1903901),4/20,0.00161623595589436,0.0737407654876804,0,0,9.35576923076923,60.1356598429412,IFITM3;BST2;TRIM5;LY6E
Protein auto-ADP-ribosylation (GO:0070213),3/10,0.00187023009055703,0.0835878346595897,0,0,16.0150808884014,100.601834525059,PARP10;PARP11;PARP12
Positive Regulation Of Interferon-Alpha Production (GO:0032727),4/21,0.00195557478585508,0.0856541756204527,0,0,8.80497737556561,54.9172701070879,IFIH1;STAT1;IRF7;RIGI
Positive Regulation Of Cytokine Production (GO:0001819),18/320,0.00206545291654874,0.0877419045325948,0,0,2.25853990524304,13.9632100890337,GBP5;CD274;BTN3A1;EIF2AK2;ISG15;NOD1;BTN3A2;MMP8;IFIH1;C5;TRIM6;IFI16;IRF4;HYAL2;DHX58;IRF7;IL18R1;RIGI
RNA Modification (GO:0009451),6/51,0.00208336942269175,0.0877419045325948,0,0,5.0015444015444,30.8783786838401,SSB;APOBEC3G;MEPCE;TSR3;ADAR;ELP5
Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060334),3/11,0.00252178085182868,0.104201888028393,0,0,14.0124760076775,83.8337004905768,NLRC5;PARP14;PARP9
Type I Interferon-Mediated Signaling Pathway (GO:0060337),5/37,0.00264136625413507,0.107122075862144,0,0,5.85380539499037,34.7508755760814,IFITM3;SP100;STAT1;OAS2;STAT2
Positive Regulation Of Protein Localization To Nucleus (GO:1900182),7/72,0.00275882628402986,0.10985144658228,0,0,4.04335664335664,23.8272983257061,SMAD3;TRIM28;DTX3L;HYAL2;SESN2;MEPCE;PARP9
Defense Response To Bacterium (GO:0042742),13/204,0.00290560107257318,0.11303368501889,0,0,2.56867245212652,15.0039111912751,GBP6;MARCHF2;ISG15;NOD1;RNF213;OAS1;OAS2;OAS3;GBP1;NAIP;MICA;GBP4;GBP3
DNA Damage Response (GO:0006974),20/384,0.00294197262377933,0.11303368501889,0,0,2.08355136926565,12.144343698404,PLK3;RMI2;CBX5;DTX3L;TREX1;NSMCE1;FANCA;ALKBH7;SAMHD1;PML;TNFSF13B;HELB;RECQL5;AIM2;TRIM28;IRF7;ZNF668;FBXO6;MICA;MAP2K6
Positive Regulation Of mRNA Metabolic Process (GO:1903313),3/12,0.00329736558892129,0.124503976547201,0,0,12.4548944337812,71.1751312597781,MOV10;PNPT1;ZC3HAV1
Pattern Recognition Receptor Signaling Pathway (GO:0002221),6/56,0.00336571591248857,0.124930810988983,0,0,4.50023166023166,25.6248347365313,IFIH1;DHX58;TIFA;NOD1;NAIP;RIGI
Regulation Of ERBB Signaling Pathway (GO:1901184),3/13,0.00420380892148452,0.153439025634185,0,0,11.2088291746641,61.3320710828318,CEACAM1;RHBDF2;IFI6
Regulation Of Interferon-Alpha Production (GO:0032647),4/26,0.00440528918618002,0.155606182544101,0,0,6.8020979020979,36.9010367437565,IFIH1;STAT1;IRF7;RIGI
Positive Regulation Of Erythrocyte Differentiation (GO:0045648),4/26,0.00440528918618002,0.155606182544101,0,0,6.8020979020979,36.9010367437565,PRMT1;STAT1;INHBA;ACVR1B
Cellular Response To Glucose Starvation (GO:0042149),5/42,0.0046319504039654,0.161015418804512,0,0,5.06144873196896,27.2041594765348,IFI16;HSPA5;SESN2;PICK1;KPTN
Cellular Response To Exogenous dsRNA (GO:0071360),3/14,0.00524713686319165,0.171510891498354,0,0,10.1893212353865,53.494677356759,IFIH1;IFIT1;RIGI
Histone H2A Monoubiquitination (GO:0035518),3/14,0.00524713686319165,0.171510891498354,0,0,10.1893212353865,53.494677356759,RING1;PCGF5;BRCA2
Negative Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001911),3/14,0.00524713686319165,0.171510891498354,0,0,10.1893212353865,53.494677356759,CEACAM1;FCGR2B;MICA
Protein Localization To Vacuole (GO:0072665),3/14,0.00524713686319165,0.171510891498354,0,0,10.1893212353865,53.494677356759,GLMP;KPTN;GBP1
Protein Ubiquitination (GO:0016567),21/434,0.0054558784065048,0.175711378091846,0,0,1.92704788219834,10.0419653067847,MARCHF2;DTX3L;FANCA;FBXL15;UBE2L6;ISG15;BRCA2;TNFSF13B;HERC5;RNF144A;NUB1;RNF126;TRIM6;RNF213;TRIM5;TRIM69;TRIM14;TRIM38;ZNF598;TRIM22;HERC6
Negative Regulation Of Cell Growth (GO:0030308),9/125,0.00567703269724856,0.180184081260498,0,0,2.91663876799464,15.082891629552,BST2;DNAJB2;SMAD3;BMPR2;HYAL2;SESN2;OSGIN1;INHBA;PML
Cellular Response To Starvation (GO:0009267),9/126,0.00597617670038102,0.186968956769063,0,0,2.89156086631815,14.8047172161753,KLF10;BMPR2;MAP1LC3A;HSPA5;IFI16;SESN2;EIF2AK2;PICK1;KPTN
mRNA Methylation (GO:0080009),3/15,0.00643262307400005,0.187325926726488,0,0,9.33973128598848,47.13176667594,METTL14;METTL4;CMTR1
ISG15-protein Conjugation (GO:0032020),2/5,0.00650080841607905,0.187325926726488,0,0,24.8697318007663,125.239710111377,ISG15;UBE2L6
Regulation Of Interleukin-1-Mediated Signaling Pathway (GO:2000659),2/5,0.00650080841607905,0.187325926726488,0,0,24.8697318007663,125.239710111377,IL1RN;ZNF675
snRNA Modification (GO:0040031),2/5,0.00650080841607905,0.187325926726488,0,0,24.8697318007663,125.239710111377,MEPCE;METTL4
Positive Regulation Of Toll-Like Receptor 7 Signaling Pathway (GO:0034157),2/5,0.00650080841607905,0.187325926726488,0,0,24.8697318007663,125.239710111377,TASL;RSAD2
Radial Glial Cell Differentiation (GO:0060019),2/5,0.00650080841607905,0.187325926726488,0,0,24.8697318007663,125.239710111377,METTL14;HES1
Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),10/152,0.0068406596825144,0.194559022139046,0,0,2.64892859100126,13.2045675982815,TRIM6;AIM2;TRIM5;ANKRD42;TRIM14;EIF2AK2;NOD1;TRIM38;TRIM22;IL18R1
Negative Regulation Of Myeloid Leukocyte Differentiation (GO:0002762),4/30,0.00743730875185466,0.201501354081879,0,0,5.75443786982249,28.2039168719481,CEACAM1;GPR137;INHBA;ZNF675
Cellular Response To Type II Interferon (GO:0071346),6/66,0.0075698544246408,0.201501354081879,0,0,3.74826254826255,18.3049454214894,GBP6;GBP5;SP100;STAT1;GBP1;GBP4
Negative Regulation Of Immune Response (GO:0050777),6/66,0.0075698544246408,0.201501354081879,0,0,3.74826254826255,18.3049454214894,IFI16;TREX1;DHX58;RHBDF2;TRAFD1;FCGR2B
Activin Receptor Signaling Pathway (GO:0032924),3/16,0.00776483300647263,0.201501354081879,0,0,8.6208474826517,41.8813730301401,SMAD3;INHBA;ACVR1B
Regulation Of Response To Cytokine Stimulus (GO:0060759),3/16,0.00776483300647263,0.201501354081879,0,0,8.6208474826517,41.8813730301401,IFIH1;PARP9;RIGI
Negative Regulation Of RNA Biosynthetic Process (GO:1902679),3/16,0.00776483300647263,0.201501354081879,0,0,8.6208474826517,41.8813730301401,APOBEC3D;APOBEC3G;ZNF653
Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045953),3/16,0.00776483300647263,0.201501354081879,0,0,8.6208474826517,41.8813730301401,CEACAM1;SERPINB9;MICA
Protein Modification By Small Protein Conjugation (GO:0032446),18/364,0.00782082881139714,0.201501354081879,0,0,1.96680298841646,9.54089195506221,MARCHF2;GPS1;NSMCE1;UBE2L6;ISG15;FBXL15;PML;HERC5;IFIH1;RNF144A;NUB1;RNF126;RNF213;TRIM28;TRIM14;TRIM69;ZNF598;HERC6
Post-Translational Protein Modification (GO:0043687),5/48,0.00820497966039754,0.208940761119426,0,0,4.35385580499171,20.9116305306487,PARP10;PARP11;ZC3HAV1;PARP9;PARP12
Interferon-Mediated Signaling Pathway (GO:0140888),5/49,0.00894527532592596,0.216350611405349,0,0,4.25468558416535,20.0677767419855,IFITM3;SP100;OAS2;STAT1;STAT2
NAD Biosynthetic Process (GO:0009435),3/17,0.00924766603283025,0.216350611405349,0,0,8.00466136550589,37.4889036055709,PARP10;NAPRT;PARP9
Base Conversion Or Substitution Editing (GO:0016553),3/17,0.00924766603283025,0.216350611405349,0,0,8.00466136550589,37.4889036055709,APOBEC3D;APOBEC3G;ADAR
Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091),3/17,0.00924766603283025,0.216350611405349,0,0,8.00466136550589,37.4889036055709,APOBEC3D;CXCL8;APOBEC3G
Cellular Response To dsRNA (GO:0071359),3/17,0.00924766603283025,0.216350611405349,0,0,8.00466136550589,37.4889036055709,IFIH1;IFIT1;RIGI
