Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Regulation Of Cell Adhesion Molecule Production (GO:0060353),2/6,0.00139661368717992,0.384524154642484,0,0,51.0309278350515,335.462253586082,CXCL8;NOTCH4
Regulation Of Transcription By RNA Polymerase III (GO:0006359),3/26,0.00204092534218192,0.384524154642484,0,0,13.3685514755576,82.809513233667,NAB2;DDX21;MAF1
Glycosaminoglycan Metabolic Process (GO:0030203),3/28,0.0025348708918474,0.384524154642484,0,0,12.2978238341969,73.5116263776598,HYAL2;GUSB;CLN6
Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901029),2/10,0.00408297961837735,0.384524154642484,0,0,25.5103092783505,140.330381191905,SLC25A5;SLC25A6
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),9/319,0.00433757024389394,0.384524154642484,0,0,3.02649646368811,16.4654752636429,PSMB6;DNAJB2;KLHDC3;RNF126;HSPA5;UBXN11;DNAJB9;FBXL15;ZNF598
Positive Regulation Of Protein Localization To Nucleus (GO:1900182),4/72,0.00547655388034308,0.384524154642484,0,0,6.04656862745098,31.4861712251998,TRIM28;HYAL2;SESN2;MEPCE
Negative Regulation Of Mitochondrial Membrane Permeability (GO:0035795),2/12,0.0059116845123651,0.384524154642484,0,0,20.4061855670103,104.700556056877,SLC25A5;SLC25A6
Negative Regulation Of Mitochondrion Organization (GO:0010823),3/39,0.00653561128945496,0.384524154642484,0,0,8.53540587219344,42.9372687257651,GPX1;SLC25A5;SLC25A6
Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900102),2/13,0.00694171038039362,0.384524154642484,0,0,18.5501405810684,92.198040094087,HSPA5;DNAJB9
Suppression Of Viral Release By Host (GO:0044790),2/13,0.00694171038039362,0.384524154642484,0,0,18.5501405810684,92.198040094087,MARCHF2;TRIM28
Regulation Of IRE1-mediated Unfolded Protein Response (GO:1903894),2/13,0.00694171038039362,0.384524154642484,0,0,18.5501405810684,92.198040094087,HSPA5;DNAJB9
Fatty Acid Metabolic Process (GO:0006631),5/122,0.00706782958749475,0.384524154642484,0,0,4.40484181321878,21.8136657113788,GGT5;FAAH;GPX1;NAAA;ALKBH7
Cellular Response To Glucose Starvation (GO:0042149),3/42,0.00803575892328907,0.384524154642484,0,0,7.87764049422081,38.0005862857181,HSPA5;SESN2;PICK1
Negative Regulation Of Transcription Elongation By RNA Polymerase II (GO:0034244),2/14,0.00804674144004824,0.384524154642484,0,0,17.0034364261168,81.9988691363917,RECQL5;NELFA
Aminoglycan Catabolic Process (GO:0006026),2/14,0.00804674144004824,0.384524154642484,0,0,17.0034364261168,81.9988691363917,HYAL2;GUSB
Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane (GO:0006620),2/14,0.00804674144004824,0.384524154642484,0,0,17.0034364261168,81.9988691363917,UBL4A;HSPA5
Cellular Response To Starvation (GO:0009267),5/126,0.00807169918832231,0.384524154642484,0,0,4.25836181904721,20.5227117440903,KLF10;MAP1LC3A;HSPA5;SESN2;PICK1
Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),4/82,0.00863446524232799,0.384524154642484,0,0,5.26869658119658,25.0368118988297,NR4A2;GPX1;SLC25A5;SLC25A6
Embryonic Organ Morphogenesis (GO:0048562),3/44,0.00913923960790987,0.384524154642484,0,0,7.49260710223683,35.1791247098431,PPP1R35;HES1;FUZ
