Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Defense Response To Virus (GO:0051607),44/189,4.48703661638377e-38,7.50681225921004e-35,0,0,20.8642059252064,1794.25997334768,IFITM3;RTP4;IFIT5;IFI6;NLRC5;DDX60L;IFIT1;DDX60;SAMHD1;USP18;IFI44L;IFIT3;IFIT2;OASL;IFIH1;TRIM6;IFI16;TRIM5;DHX58;AZI2;MICA;GBP5;APOBEC3D;RSAD2;APOBEC3G;STAT1;MX2;STAT2;MX1;EIF2AK2;ISG15;PML;BST2;NT5C3A;SLFN13;MOV10;PLSCR1;AIM2;OAS1;OAS2;OAS3;IRF7;SHFL;RIGI
Defense Response To Symbiont (GO:0140546),40/148,1.7368637852612e-37,1.45288655637099e-34,0,0,25.1594650205761,2129.58687261663,IFITM3;RTP4;IFIT5;IFI6;NLRC5;DDX60L;IFIT1;DDX60;SAMHD1;IFI44L;IFIT3;IFIT2;OASL;IFIH1;IFI16;TRIM5;AZI2;MICA;GBP5;APOBEC3D;RSAD2;APOBEC3G;STAT1;MX2;STAT2;MX1;EIF2AK2;ISG15;BST2;NT5C3A;SLFN13;MOV10;PLSCR1;AIM2;OAS1;OAS2;OAS3;IRF7;SHFL;RIGI
Negative Regulation Of Viral Process (GO:0048525),21/61,1.14936417452341e-22,5.74513353164343e-20,0,0,33.5726384364821,1696.01123952761,IFITM3;RSAD2;APOBEC3G;STAT1;MX1;IFIT5;EIF2AK2;ISG15;ZC3HAV1;IFIT1;OASL;IFIH1;BST2;TRIM6;PLSCR1;OAS1;IFI16;OAS2;OAS3;TRIM14;SHFL
Negative Regulation Of Viral Genome Replication (GO:0045071),20/53,1.37361232077548e-22,5.74513353164343e-20,0,0,38.6442345533255,1945.32866467485,IFITM3;APOBEC3D;RSAD2;APOBEC3G;MX1;IFIT5;EIF2AK2;ISG15;ZC3HAV1;IFIT1;OASL;IFIH1;BST2;TRIM6;PLSCR1;OAS1;IFI16;OAS2;OAS3;SHFL
Regulation Of Viral Genome Replication (GO:0045069),20/67,3.19920133535159e-20,1.07045276680864e-17,0,0,27.1138436032053,1217.10792073722,IFITM3;RSAD2;APOBEC3G;MX1;IFIT5;EIF2AK2;ISG15;ZC3HAV1;IFIT1;OASL;IFIH1;BST2;TRIM6;PLSCR1;LARP1;OAS1;IFI16;OAS2;OAS3;SHFL
Response To Interferon-Beta (GO:0035456),11/29,5.1918231464146e-13,1.44765335399194e-10,0,0,37.8888888888889,1071.74486231647,IFITM3;BST2;TRIM6;PLSCR1;PNPT1;AIM2;IFI16;OAS1;STAT1;XAF1;SHFL
Response To Cytokine (GO:0034097),17/125,2.39403276114311e-11,5.72173829913203e-09,0,0,9.90198880552578,242.157658786406,IFITM3;CD274;SP100;GCH1;STAT1;MX2;MX1;EIF2AK2;ISG15;ADAR;PML;BST2;NUB1;PLSCR1;LAMP3;XAF1;SHFL
Negative Regulation Of Innate Immune Response (GO:0045824),12/52,3.55235252480036e-11,7.42885721748875e-09,0,0,18.6379746835443,448.445065030899,OAS1;IFI16;OAS3;STAT2;TREX1;DHX58;NLRC5;TRAFD1;SERPING1;ISG15;SAMHD1;USP18
Antiviral Innate Immune Response (GO:0140374),11/46,1.56161066139475e-10,2.90286070723714e-08,0,0,19.4688598467778,439.60944793164,IFIH1;TRIM6;OAS1;DHX58;MX1;EIF2AK2;IFIT1;USP18;IFIT3;IFIT2;RIGI
Interleukin-27-Mediated Signaling Pathway (GO:0070106),5/5,1.15092499307162e-09,1.92549751340882e-07,0,0,98360,2024514.35981117,OAS1;OAS2;STAT1;MX1;OASL
