pathway,pval,padj,log2err,ES,NES,size,leadingEdge,absNES
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,1.65620538780351e-17,8.67354761592696e-14,1.07686819261983,0.677749520017612,2.10781956297129,329,TRIM5|OAS2|IFI44L|OAS3|RTP4|EIF2AK2|OAS1|ZC3HAV1|OASL|TRIM38|IFIH1|STAT2|DDX60|ADAR|USP18|RSAD2|IFI27|GBP1|ISG15|IFIT5|DTX3L|MOV10|TRIM22|PML|IFIT3|RIGI|IFI16|IFIT2|MX1|ZBP1|IRF9|HERC5|GBP3|IFIT1|BST2|STAT1|PARP9|SAMHD1|TRIM6|DHX58|SLFN13|TRIM25|DDX60L|IFI6|NLRC5|SHFL|NT5C3A|IRF7|PLSCR1|AZI2|GBP5|ZNFX1|TREX1|MICB|MX2|TRIM21|AIM2|DHX36|CXCL10|CGAS|TLR3|APOBEC3D|APOBEC3G|IFITM3|MICA|IFNAR2|APOBEC3F|IRF5|MLKL|RNASEL|IFITM1|RNF185|TRIM26|APOBEC3A|TRAF3IP2|IL15|CASP1|GBP2|ZDHHC12|IFIT1B|APOBEC3C|TRIM34|GPAM|PTPN22|TRIM56|IRF2|NT5C2|SLFN11|DEFA3|FBXL2|RNASE2|EXOC1|APOBEC3B|MYD88|ZG16|VAMP8|ATG7|UNC93B1|KCNJ8|CARD8|TTC4|RNF125|TBK1|IRF3|TRAF6|BCL2L1|TRIM13|IL10RB|POLR3D,2.10781956297129
GOBP_RESPONSE_TO_VIRUS,2.13397881816786e-14,5.58782353537253e-11,0.97599468306432,0.611781646164843,1.93614823017116,419,TRIM5|OAS2|IFI44L|OAS3|RTP4|EIF2AK2|OAS1|ZC3HAV1|OASL|TRIM38|IFIH1|STAT2|DDX60|ADAR|USP18|RSAD2|IFI27|GBP1|ISG15|IFI44|IFIT5|DTX3L|MOV10|TRIM22|PML|IFIT3|RIGI|IFI16|IFIT2|MX1|ZBP1|IRF9|HERC5|GBP3|IFIT1|BST2|STAT1|PARP9|SAMHD1|TRIM6|DHX58|SLFN13|TRIM25|DDX60L|IFI6|NLRC5|SHFL|NT5C3A|IRF7|PLSCR1|AZI2|GBP5|ZNFX1|NMI|TREX1|MICB|MX2|TRIM21|AIM2|DHX36|SMAD3|CXCL10|CGAS|TLR3|APOBEC3D|APOBEC3G|IFITM3|MICA|LGALS9|IFNAR2|APOBEC3F|IRF5|MAPK14|MLKL|RNASEL|ACTA2|IFITM1|JAK2|RNF185|TRIM26|FMR1|APOBEC3A|TRAF3IP2|IL15|CASP1|GBP2|ZDHHC12|IFIT1B|APOBEC3C|TRIM34|GPAM|PTPN22|TRIM56|IRF2|NT5C2|SLFN11|DEFA3|FBXL2|TNFSF4|RNASE2|EXOC1|CHRM2|APOBEC3B|MYD88|LGALS8|VAMP8|ATG7|UNC93B1|KCNJ8|CARD8|TTC4|RNF125|TBK1|IRF3|APOB|TRAF6|DCLK1|BCL2L1|TRIM13|IL10RB|POLR3D,1.93614823017116
GOBP_CYTOPLASMIC_TRANSLATION,1.43282513174028e-12,2.50123507164128e-09,0.910119734774459,-0.697668811179799,-2.19882018895582,156,EIF3I|EIF3K|EIF4A1|FAU|YBX3|EIF3L|RPS3|RBM4|HNRNPU|ETF1|RPL7A|RPS10|RPL10|RPL38|RPL3|RPLP1|RPL13|SARS1|RPS28|RPS2|EIF5|PABPC1|EIF3F|RPS29|RPS14|RPL13A|RPS7|RPL27A|SLBP|UBA52|RPL18|EIF3C|RPL15|RPL29|RPL9|YBX1|RPL19|RPS21|RPL41|RPS18|RACK1|RPL35|EIF3D|FTSJ1|RPS11|DRG2|RPS13|EIF4G1|RPL23|YTHDF2|EIF2D|RPS15|RPL37|RPS16|RPS9|RPLP0P6|RPS5|RPL32|RPS3A|RPL27|RPL10A|RPL12|RPL8|RPS19|RPL30|RPL21|RPL39|DHX9|RPL14|RPL4|RPL34|RPS8|RPL31|RPS24|RPL24|EIF3J|RPL17|RPL28|RPL35A|HNRNPD|MTOR|RPS26|CSDE1,2.19882018895582
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,8.66046057860324e-12,9.98836766175153e-09,0.875325132024659,0.562214784801613,1.79709011688886,491,CEACAM1|PARP14|TRIM5|OAS3|EIF2AK2|OAS1|OASL|TRIM38|IFIH1|STAT2|SERPING1|DDX60|ADAR|USP18|RSAD2|ISG15|DTX3L|TRIM22|RIGI|IFI16|ZBP1|HERC5|STAT1|PARP9|CD274|SAMHD1|TRIM6|DHX58|TRIM25|NLRC5|MAP2K6|TRAFD1|IRF7|WDFY1|PLSCR1|NAGK|IFI35|GBP5|PRKCE|ZNFX1|NMI|FCGR2B|TREX1|TIFA|MICB|MR1|SERPINB9|NOD1|TRIM21|AIM2|CGAS|NAIP|TLR3|EPG5|IRF4|TASL|PIK3AP1|APOBEC3G|FOXP1|MICA|LGALS9|APOBEC3F|RNF185|XIAP|LTF|TRAF3IP2|IL15|CASP1|GBP2|ZDHHC12|ERAP1|OPTN|SLC15A2|PTPN22|CEP63|CLEC12B|TRIM56|SH2D1A|TLR10|TXK|GFI1|ANKRD17|NT5C2|PAK1|FFAR2|HMGB2|IRAK2|FBXL2|IL18RAP|TICAM2|KLRD1|INAVA|CARD16|MYD88|STMP1|CADM1|ALPK1|CLEC6A|RAB11FIP2|UNC93B1|CRTAM|KCNJ8|CARD8|RNF125|TBK1|PPP2R3C|OTUD4|IRF3|MED1|FCRL3|TRAF6|BIRC3|POLR3D|KLK3|BTK|CRK|APPL1|F2RL1|FBXO38|TLR1|GSDME|USP15|HPX|PIK3R1|GRN|PAK2|CLEC7A|CD160|CD40|RNF135,1.79709011688886
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,9.53634491288097e-12,9.98836766175153e-09,0.875325132024659,-0.519985539610281,-1.82403022010018,482,STRAP|DDX21|EIF3I|DDX27|TSSC4|TBL3|SNU13|EIF3K|TXNL4A|EIF4A3|TSR3|EIF3L|MRM3|PWP2|RNU6-7|RPL7A|RPL10|SNRPB|RPL38|TRMT112|XAB2|SRSF5|SF3B5|RPS28|LUC7L|NOC2L|SBDS|EIF5|AGO2|NOA1|EIF3F|UTP18|RPS14|RPL13A|RPS7|NSUN4|PUF60|EIF3C|NOLC1|ERI3|PRPF31|MRPL20|NOB1|SRSF9|SFSWAP|RNU6-9|GTF3A|SRSF6|XRN2|RPS21|DNTTIP2|ABT1|NOP2|DDX49|GLUL|CPSF6|SUV39H1|CPSF7|RPL35|EIF3D|PRPF6|AGO1|RPS11|NOP9|RPS13|ZNF593|RRP1|SLX9|SF3A3|WDR46|YTHDF2|EIF2D|RNU4-2|CD2BP2|AAR2|DDX28|RNU6ATAC|RPS15|RPP38|DDX18|WDR55|RPS16|EXOSC10|POP7|RPS9|SF1|RPLP0P6|RPS5|DHX37|NOP53|SNRPC|RNU4-1|PRKRA|WBP11|EXOSC4|YJU2|DHX30|RPS3A|RPL27|WDR18|SF3B4|RPL10A|NOC4L|IMP4|ISY1|WDR74|RRP12|LUC7L2|SF3B2|RPS19|FBL|PES1|RNU5B-1|DHX9|LYAR|SRFBP1|NOP56|NOPCHAP1|RPL14|NMD3|PRPF8|GEMIN4|LSM4|CLP1|RSRP1|PRPF19|LSG1|RPS8|MTREX|SF3A2|HTATSF1|RPS24|RPP25|PWP1|NUP88|PRKDC|HEATR3|ZNF622|EIF6|RPL24|HSP90AB1|RNU4ATAC|EIF3J|SF3B1|RUVBL2|RPL35A|RRP36|FRG1|EXOSC6|METTL25B|RRP9|DDX46|RNU5A-1|DDX51|USP39|LSM2|NGRN|FTSJ3|IMP3|DDX3X|SIRT7|RPS15A|RPS27|NOL6|NSUN5|HSP90AA1|RPL11,1.82403022010018
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,1.72624826521758e-11,1.50672702749075e-08,0.863415391606693,0.801870879543892,2.18831672758803,89,LY6E|TRIM5|OAS2|OAS3|EIF2AK2|OAS1|TRIM14|ZC3HAV1|OASL|IFIH1|RSAD2|ISG15|IFIT5|IFI16|MX1|IFIT1|BST2|STAT1|TRIM6|TRIM25|SHFL|PLSCR1|ZNFX1|TRIM21|APOBEC3D|APOBEC3G|IFITM3|FAM111A|APOBEC3F|MPHOSPH8|RNASEL|IFITM1|LTF|TRIM26|APOBEC3A|APOBEC3C|SETDB1,2.18831672758803
GOBP_REGULATION_OF_VIRAL_PROCESS,2.95060068191759e-11,2.20747082445749e-08,0.851339057116899,0.707420491466031,2.06486814371262,163,LY6E|TRIM5|OAS2|OAS3|EIF2AK2|OAS1|TRIM14|ZC3HAV1|OASL|TRIM38|IFIH1|ADAR|RSAD2|ISG15|IFIT5|TRIM22|LAMP3|IFI16|MX1|IFIT1|BST2|STAT1|STOM|TRIM6|TRIM25|SHFL|PLSCR1|LARP1|ZNFX1|TRIM21|APOBEC3D|APOBEC3G|IFITM3|FAM111A|LGALS9|APOBEC3F|MPHOSPH8|RNASEL|DYNLT1|IFITM1|LTF|TRIM26|FMR1|APOBEC3A|APOBEC3C|TRIM34|TOP2A|SETDB1|TRIM68|RSF1,2.06486814371262
GOBP_MRNA_PROCESSING,5.61080434799235e-10,3.67297279630449e-07,0.801215574617779,-0.488741595717845,-1.72279868573931,490,STRAP|ALKBH5|TSSC4|TRMT2A|RNPS1|SNU13|ALYREF|CDK9|HNRNPL|TXNL4A|EIF4A3|PTBP1|RBM4|RNU6-7|SRSF2|CIRBP|HNRNPU|HNRNPA0|U2AF2|PRPF4|EFTUD2|SNRPB|RBM14|XAB2|DDX41|CPSF4|SRSF5|AKAP8L|SF3B5|LUC7L|RBM3|JMJD6|RALY|WDR83|PABPC1|PRKRIP1|AKAP17A|ARL6IP4|SRRT|SNRNP70|CPSF1|SLBP|RBM15|PUF60|TRA2B|PABPN1|PQBP1|PRPF31|NONO|HNRNPH1|YJU2B|SRSF9|SFSWAP|RNU6-9|YBX1|KHSRP|TSEN34|SRSF6|UBL5|XRN2|SFPQ|PPIL2|CDK11B|U2AF1|FAM50A|MAGOH|LGALS3|SSU72|LSM7|DDX5|ZNF473|CPSF6|TBRG4|CPSF7|SNRPA|PRPF6|ERN1|SF3A3|CDK11A|PAF1|THOC6|RNU4-2|CD2BP2|AAR2|RNU6ATAC|RBM23|DUS3L|CACTIN|DDX39A|SF1|CASC3|U2AF1L4|SNRPC|RNU4-1|WBP11|TENT4A|ZPR1|YJU2|NCBP3|NUP98|AHCYL1|ZCCHC8|HNRNPM|RBM4B|RBM42|PDE12|SUPT6H|SF3B4|RBM17|AICDA|ISY1|CLASRP|THOC5|RNGTT|LUC7L2|CCAR2|SF3B2|FXR2|SUGP2|ZC3H3|CSTF1|RNU5B-1|RBM38|ECD|DHX9|PRPF8|RBM39|GEMIN4|LSM4|SRSF3|CLP1|RSRP1|SMU1|PRPF19|SRSF11|SNRNP25|MTREX|SF3A2|RNF113A|HTATSF1|HNRNPA2B1|HNRNPA3|HNRNPF|TUT1|TFIP11|DHX16|RNU4ATAC|SCAF1|HNRNPK|ZNF830|KHDRBS1|SF3B1|ESRP2|FRG1|BCAS2|SAFB2|DDX46|SREK1|SYMPK|RNU5A-1,1.72279868573931
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,8.93911149643138e-10,4.68141269068112e-07,0.801215574617779,0.840165678031082,2.11770898133242,54,OAS2|OAS3|EIF2AK2|OAS1|ZC3HAV1|OASL|IFIH1|RSAD2|ISG15|IFIT5|IFI16|MX1|IFIT1|BST2|TRIM6|SHFL|PLSCR1|ZNFX1|APOBEC3D|APOBEC3G|IFITM3|FAM111A|APOBEC3F|MPHOSPH8|RNASEL|IFITM1|LTF|APOBEC3A|APOBEC3C|SETDB1,2.11770898133242
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,8.61355301483411e-10,4.68141269068112e-07,0.801215574617779,-0.541157875680563,-1.84509988050689,316,STRAP|TSSC4|RNPS1|SNU13|ALYREF|HNRNPL|TXNL4A|EIF4A3|PTBP1|RBM4|RNU6-7|SRSF2|CIRBP|HNRNPU|U2AF2|PRPF4|EFTUD2|SNRPB|RBM14|XAB2|DDX41|SRSF5|SF3B5|LUC7L|RBM3|JMJD6|RALY|WDR83|PABPC1|SNRNP70|RBM15|PUF60|TRA2B|PQBP1|PRPF31|HNRNPH1|YJU2B|SRSF9|SFSWAP|RNU6-9|KHSRP|SRSF6|UBL5|SFPQ|U2AF1|MAGOH|LSM7|DDX5|SNRPA|PRPF6|SF3A3|RNU4-2|CD2BP2|AAR2|RNU6ATAC|RBM23|CACTIN|DDX39A|SF1|CASC3|U2AF1L4|SNRPC|RNU4-1|YJU2|NUP98|ZCCHC8|HNRNPM|RBM4B|RBM42|SF3B4|RBM17|ISY1|LUC7L2|SF3B2|FXR2|RNU5B-1|DHX9|PRPF8|RBM39|GEMIN4|LSM4|SRSF3|RSRP1|SMU1|PRPF19|SNRNP25|MTREX|SF3A2|RNF113A|HTATSF1|HNRNPA2B1|HNRNPA3|HNRNPF|TFIP11|DHX16|RNU4ATAC|HNRNPK|KHDRBS1|SF3B1|ESRP2|FRG1|BCAS2|DDX46|RNU5A-1,1.84509988050689
