"","ID","GROUPE","sizeFactor","replaceable"
"32150229_TLymphocytes","32150229_TLymphocytes","Adult",0.845260716641852,TRUE
"32150750_TLymphocytes","32150750_TLymphocytes","Old",0.508020100475588,TRUE
"32150756_TLymphocytes","32150756_TLymphocytes","Old",1.19149450933733,TRUE
"32151045_TLymphocytes","32151045_TLymphocytes","Old",1.19506014173391,TRUE
"32151137_TLymphocytes","32151137_TLymphocytes","Adult",0.94017125700794,TRUE
"32151577_TLymphocytes","32151577_TLymphocytes","Old",1.08874829485926,TRUE
"32151889_TLymphocytes","32151889_TLymphocytes","Old",1.21979802951112,TRUE
"32152155_TLymphocytes","32152155_TLymphocytes","Adult",1.14937667443107,TRUE
"32152160_TLymphocytes","32152160_TLymphocytes","Adult",1.30580251733176,TRUE
"32152162_TLymphocytes","32152162_TLymphocytes","Old",0.897771354410576,TRUE
"32152165_TLymphocytes","32152165_TLymphocytes","Adult",1.23004588837605,TRUE
"32152211_TLymphocytes","32152211_TLymphocytes","Adult",0.93511128272865,TRUE
"32152295_TLymphocytes","32152295_TLymphocytes","Old",0.717584559935628,TRUE
"32152297_TLymphocytes","32152297_TLymphocytes","Old",0.945227943255849,TRUE
"32152299_TLymphocytes","32152299_TLymphocytes","Adult",1.78888110852637,TRUE
