"","32150229_TLymphocytes","32150750_TLymphocytes","32150756_TLymphocytes","32151045_TLymphocytes","32151137_TLymphocytes","32151577_TLymphocytes","32151889_TLymphocytes","32152155_TLymphocytes","32152160_TLymphocytes","32152162_TLymphocytes","32152165_TLymphocytes","32152211_TLymphocytes","32152295_TLymphocytes","32152297_TLymphocytes","32152299_TLymphocytes"
"ENSG00000000003",9,7,22,14,19,28,30,16,27,8,37,7,22,7,25
"ENSG00000000005",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"ENSG00000000419",107,116,294,257,186,255,361,153,318,235,270,146,285,216,357
"ENSG00000000457",220,168,535,499,358,430,568,368,512,355,467,328,380,339,641
"ENSG00000000460",58,35,86,111,113,112,114,176,126,98,119,70,101,98,110
"ENSG00000000938",249,75,118,285,49,404,553,416,168,538,362,146,94,421,475
"ENSG00000000971",87,266,181,318,115,194,601,354,145,134,131,116,243,116,545
"ENSG00000001036",69,35,80,91,47,83,104,110,123,72,84,65,84,92,113
"ENSG00000001084",193,122,242,294,239,270,326,310,344,325,268,290,297,279,438
"ENSG00000001167",323,169,463,652,424,419,494,508,613,419,525,496,353,345,815
"ENSG00000001460",32,22,41,61,47,38,55,37,66,46,59,35,34,53,63
"ENSG00000001461",932,497,1623,1428,1003,1090,1079,1148,1469,828,1407,1026,616,852,2008
"ENSG00000001497",351,230,476,399,332,373,393,458,461,240,493,333,195,297,656
"ENSG00000001561",120,155,224,296,231,403,275,344,263,329,279,220,566,353,390
"ENSG00000001617",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000001626",0,2,0,2,3,3,0,2,2,3,3,0,0,4,0
"ENSG00000001629",608,408,1004,1064,859,932,1004,1117,1191,788,1171,882,1096,858,1423
"ENSG00000001630",138,91,209,224,153,190,218,282,238,145,247,125,229,237,296
"ENSG00000001631",400,293,737,848,555,689,659,637,839,565,762,684,705,502,986
"ENSG00000002016",130,74,189,195,190,183,169,166,196,100,173,111,92,110,252
"ENSG00000002079",0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000002330",93,46,97,96,84,101,216,110,140,75,101,84,3,96,129
"ENSG00000002549",207,159,330,345,227,286,467,364,379,363,326,227,202,289,493
"ENSG00000002586",346,212,380,511,261,336,592,403,426,280,433,253,70,392,686
"ENSG00000002587",1,3,1,1,4,2,1,0,1,1,0,1,1,1,1
"ENSG00000002726",0,2,0,0,0,1,2,0,0,0,0,0,0,0,0
"ENSG00000002745",0,1,2,1,7,3,1,2,0,1,1,0,1,2,7
"ENSG00000002746",1,3,4,3,3,8,1,4,1,1,2,0,0,11,10
"ENSG00000002822",639,364,663,565,476,733,992,627,765,483,717,543,47,649,928
"ENSG00000002834",1721,716,2324,1945,1427,1566,1772,1916,2078,1381,2006,1325,706,1658,3304
"ENSG00000002919",112,62,187,204,87,134,205,172,127,193,102,57,88,102,205
"ENSG00000002933",0,2,1,1,2,2,1,18,0,7,2,0,2,1,3
"ENSG00000003056",1320,889,2365,2273,1690,1724,3381,2306,2549,1814,2315,1114,1506,1903,3619
"ENSG00000003096",6,12,15,6,22,4,10,4,17,18,24,7,6,10,21
"ENSG00000003137",3,1,0,1,5,0,0,0,0,0,0,0,0,0,1
"ENSG00000003147",24,22,61,64,21,36,45,24,34,30,39,15,16,28,39
"ENSG00000003249",15,9,27,26,18,12,37,24,39,36,49,22,2,13,28
"ENSG00000003393",146,106,183,271,198,142,258,230,254,195,210,190,157,136,172
"ENSG00000003400",442,225,851,714,484,500,585,707,871,625,673,718,393,478,940
"ENSG00000003402",2939,1660,4257,4828,2876,3859,3821,4159,4098,2858,4088,4396,3062,3634,5614
"ENSG00000003436",2,2,0,2,6,8,0,3,1,5,2,1,0,5,0
"ENSG00000003509",125,90,322,264,259,241,284,258,259,222,288,223,224,218,295
"ENSG00000003756",1671,1058,2684,2792,1971,2140,3184,2312,2653,1901,2442,2390,1376,1921,3818
"ENSG00000003987",0,0,0,1,4,4,3,3,0,1,3,0,0,0,0
"ENSG00000003989",1,2,1,0,6,6,0,0,2,2,1,0,1,3,0
"ENSG00000004059",486,345,657,624,503,620,885,689,668,526,638,364,147,556,1112
"ENSG00000004139",499,226,634,637,396,460,518,509,537,301,494,545,142,400,934
"ENSG00000004142",328,201,385,403,291,417,492,421,470,293,435,277,151,306,583
"ENSG00000004399",507,124,126,257,191,292,270,435,266,187,270,513,58,204,387
"ENSG00000004455",697,459,1110,982,837,852,1164,1027,1183,738,1087,666,881,934,1412
"ENSG00000004468",96,49,150,85,120,170,50,188,191,162,245,214,120,109,171
"ENSG00000004478",361,169,553,484,455,360,584,467,539,349,458,307,195,432,857
"ENSG00000004487",604,380,955,763,691,708,929,884,1006,583,937,597,547,670,1495
"ENSG00000004534",1322,706,2312,1832,1378,1353,1947,2339,2100,1091,2471,1617,1254,1233,3443
"ENSG00000004660",86,43,93,80,71,103,87,103,81,57,88,83,7,86,113
"ENSG00000004700",556,420,1083,939,789,1209,1424,1066,1179,927,1016,696,1277,1150,1551
"ENSG00000004766",224,194,536,590,403,487,577,492,527,414,503,447,565,409,690
"ENSG00000004776",1,0,2,0,2,0,0,0,0,0,1,0,0,0,0
"ENSG00000004777",66,36,44,75,34,44,50,60,69,66,53,80,3,33,77
"ENSG00000004779",139,136,278,235,194,234,326,272,270,296,218,145,203,243,474
"ENSG00000004799",0,1,3,1,3,2,0,1,2,12,0,0,0,2,0
"ENSG00000004809",0,2,0,0,0,1,0,2,0,7,0,0,0,2,0
"ENSG00000004838",11,6,11,8,12,10,16,17,6,19,17,11,2,8,34
"ENSG00000004846",0,2,2,1,9,2,0,4,0,2,2,0,2,0,0
"ENSG00000004848",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004864",95,46,93,114,72,107,141,86,122,50,132,101,92,85,125
"ENSG00000004866",25,21,30,50,29,54,54,37,41,45,45,45,24,52,33
"ENSG00000004897",346,371,848,895,738,874,833,873,910,768,984,681,1067,866,1390
"ENSG00000004939",0,0,2,2,3,1,2,0,0,0,0,0,2,2,0
"ENSG00000004948",0,0,1,0,3,1,0,0,0,0,0,1,0,1,6
"ENSG00000004961",28,35,69,78,43,67,71,66,75,55,83,38,41,56,104
"ENSG00000004975",409,161,412,361,299,352,463,348,476,273,407,271,37,306,647
"ENSG00000005001",5,5,1,3,3,0,3,3,0,0,0,3,0,0,8
"ENSG00000005007",1044,405,1246,1099,826,867,1249,1103,1136,759,935,787,105,754,1757
"ENSG00000005020",54,82,59,195,129,135,93,110,73,98,104,107,208,92,193
"ENSG00000005022",676,383,907,758,732,900,697,971,1158,850,917,429,467,906,1493
"ENSG00000005059",732,626,1203,1101,1320,1462,1396,1236,1708,1000,1630,1051,1410,1332,2214
"ENSG00000005073",2,3,0,0,0,0,0,0,0,3,0,0,3,0,0
"ENSG00000005075",146,100,165,179,152,183,294,175,213,160,178,76,67,188,337
"ENSG00000005100",131,52,158,143,86,88,122,149,189,112,134,143,58,79,157
"ENSG00000005102",24,37,87,85,37,70,101,77,77,72,95,16,28,73,54
"ENSG00000005108",3,1,0,1,2,0,0,0,0,0,6,1,1,3,4
"ENSG00000005156",322,154,345,371,326,284,421,437,426,273,388,355,132,291,590
"ENSG00000005175",177,117,339,348,305,329,246,289,390,254,354,322,347,289,536
"ENSG00000005187",68,41,108,89,79,50,107,97,89,96,112,83,120,81,125
"ENSG00000005189",4,2,4,7,1,4,5,13,6,2,7,6,6,3,6
"ENSG00000005194",231,151,445,340,301,287,571,339,406,363,406,236,150,300,542
"ENSG00000005206",808,267,623,490,459,510,670,616,706,428,588,510,29,400,1108
"ENSG00000005238",72,21,109,105,40,96,156,76,83,103,82,39,17,102,156
"ENSG00000005243",5,4,5,4,0,7,12,11,5,15,7,5,7,6,7
"ENSG00000005249",5,4,9,2,10,10,5,4,9,11,9,13,5,14,15
"ENSG00000005302",743,469,1301,1081,1121,1043,806,1113,1368,883,1289,1260,738,882,1556
"ENSG00000005339",1894,512,1313,1459,1130,1296,944,1790,1542,780,1647,2388,478,993,1605
"ENSG00000005379",726,296,517,651,514,448,590,634,639,451,672,486,80,555,985
"ENSG00000005381",1,0,0,1,3,1,0,4,0,2,0,0,0,2,3
"ENSG00000005421",1,0,0,2,0,0,0,0,1,0,0,0,0,1,1
"ENSG00000005436",171,126,333,362,281,294,275,323,407,239,418,329,472,306,452
"ENSG00000005448",84,75,151,153,92,163,275,136,157,170,136,84,32,118,250
"ENSG00000005469",93,93,177,178,142,174,211,179,185,157,164,146,188,135,279
"ENSG00000005471",0,3,4,5,9,4,1,0,0,7,3,0,3,5,3
"ENSG00000005483",1426,740,1714,2365,1673,1901,1636,2131,2429,1375,2285,2867,1925,1690,2957
"ENSG00000005486",299,151,337,253,188,296,247,270,322,182,356,197,43,255,522
"ENSG00000005513",58,19,59,31,26,21,55,42,85,24,70,33,10,28,158
"ENSG00000005700",493,459,997,1241,921,959,910,1003,1269,708,1233,923,1308,886,1628
"ENSG00000005801",177,133,308,377,259,251,361,346,400,258,352,286,348,230,483
"ENSG00000005810",4993,2014,6642,6478,5093,5589,4941,7112,8020,4232,7292,6657,4688,4714,8880
"ENSG00000005812",541,566,1128,1149,1023,1157,1027,800,1307,869,1216,873,1257,1028,1511
"ENSG00000005844",4099,1801,4408,5936,3254,4426,5905,5559,4587,3847,5382,3907,1184,4987,7348
"ENSG00000005882",158,67,212,166,146,168,186,185,168,158,190,169,15,115,286
"ENSG00000005884",119,51,161,120,100,102,239,161,121,126,115,93,14,75,235
"ENSG00000005889",1052,768,1950,1555,1541,1746,1512,1560,2027,1333,1870,1533,1481,1394,2680
"ENSG00000005893",318,290,607,655,568,787,490,595,790,518,691,489,639,568,919
"ENSG00000005955",907,729,1643,1448,1365,1240,1070,1472,1694,1005,1624,1199,1224,1099,2369
"ENSG00000005961",1,7,2,4,5,10,2,0,2,7,5,2,0,1,5
"ENSG00000005981",0,3,2,0,3,3,0,3,1,0,1,0,1,1,2
"ENSG00000006007",211,155,327,350,259,297,509,387,410,331,377,208,274,379,594
"ENSG00000006015",687,286,515,444,425,491,1131,615,698,447,603,319,33,451,916
"ENSG00000006016",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"ENSG00000006025",462,206,398,502,319,392,548,541,468,286,529,293,38,365,751
"ENSG00000006042",2,1,1,0,2,2,1,0,0,0,2,0,0,0,0
"ENSG00000006047",0,2,6,0,2,4,4,0,1,2,3,5,3,1,3
"ENSG00000006059",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000006062",483,248,470,628,411,415,379,496,555,272,489,468,47,388,714
"ENSG00000006071",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000006074",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"ENSG00000006075",13,6,2,7,6,42,42,18,5,34,16,9,4,2,15
"ENSG00000006114",1472,710,2002,2548,1547,2049,1920,2255,2647,1410,2442,2662,1497,1456,3399
"ENSG00000006116",0,0,0,1,0,3,1,0,1,0,0,0,1,0,0
"ENSG00000006118",1,1,3,0,3,3,0,1,1,2,2,0,0,2,0
"ENSG00000006125",1249,630,1692,1862,1179,1575,1407,1865,1806,1323,1674,1595,990,1411,2621
"ENSG00000006128",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000006194",605,310,857,848,683,675,1134,733,1141,638,892,639,404,675,1331
"ENSG00000006210",1,1,0,0,2,0,0,0,0,3,0,0,0,2,0
"ENSG00000006282",310,52,311,110,140,204,500,331,379,279,263,223,30,286,557
"ENSG00000006283",0,0,0,0,2,2,0,0,1,0,1,0,0,1,0
"ENSG00000006327",3,2,5,4,1,7,5,4,5,1,2,3,1,0,6
"ENSG00000006377",0,0,1,1,2,0,0,0,0,0,0,0,0,1,1
"ENSG00000006432",181,65,186,156,106,178,140,145,188,136,190,180,61,119,291
"ENSG00000006451",141,140,324,355,229,291,300,229,386,243,305,271,284,278,463
"ENSG00000006453",7,11,23,11,3,25,29,16,20,9,18,3,4,6,21
"ENSG00000006459",809,471,1064,1274,1099,1120,674,1261,1713,841,1629,1543,1283,1100,1574
"ENSG00000006468",0,6,1,6,5,9,4,0,3,9,4,2,4,6,2
"ENSG00000006530",193,109,324,359,243,353,469,325,411,241,400,258,262,348,509
"ENSG00000006534",1,0,1,1,3,2,2,4,0,20,2,0,0,10,3
"ENSG00000006555",145,77,117,212,109,140,193,130,127,159,128,147,45,150,397
"ENSG00000006576",276,281,451,749,426,621,456,654,610,436,551,532,431,533,634
"ENSG00000006606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
