Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Defense Response To Virus (GO:0051607),12/189,6.70270151918576e-11,2.20251668514178e-08,0,0,16.721186440678,391.709265590073,PLSCR1;RSAD2;OAS1;IFI27;STAT1;EIF2AK2;DDX60;USP18;IFIT3;IFI44L;IFIT2;OASL
Defense Response To Symbiont (GO:0140546),11/148,8.05307745938494e-11,2.20251668514178e-08,0,0,19.598179688204,455.508373163179,PLSCR1;RSAD2;OAS1;IFI27;STAT1;EIF2AK2;DDX60;IFIT3;IFI44L;IFIT2;OASL
Negative Regulation Of Viral Process (GO:0048525),6/61,3.63839603068305e-07,6.63400876261209e-05,0,0,25.1835095137421,373.384631413031,PLSCR1;RSAD2;OAS1;STAT1;EIF2AK2;OASL
Interleukin-27-Mediated Signaling Pathway (GO:0070106),3/5,9.35627415155112e-07,0.000127947049022462,0,0,335.494382022472,4657.3492828637,OAS1;STAT1;OASL
Antiviral Innate Immune Response (GO:0140374),5/46,2.17939249323768e-06,0.000238425538760202,0,0,27.8483319315952,363.043787625854,OAS1;EIF2AK2;USP18;IFIT3;IFIT2
Negative Regulation Of Viral Genome Replication (GO:0045071),5/53,4.44837716542134e-06,0.000405543718247579,0,0,23.7787356321839,293.02467461099,PLSCR1;RSAD2;OAS1;EIF2AK2;OASL
Response To Interferon-Beta (GO:0035456),4/29,9.11762135380468e-06,0.000712476982933023,0,0,36.1509090909091,419.542203271993,PLSCR1;OAS1;STAT1;XAF1
Regulation Of Viral Genome Replication (GO:0045069),5/67,1.42309908991162e-05,0.000973044002727072,0,0,18.3963663329626,205.305076607677,PLSCR1;RSAD2;OAS1;EIF2AK2;OASL
Positive Regulation Of Chemokine Production (GO:0032722),4/53,0.000103324220411391,0.00627981650722564,0,0,18.4220779220779,169.07117605703,IFNG;OAS1;IL7;EIF2AK2
Regulation Of Ribonuclease Activity (GO:0060700),2/5,0.000207425588749956,0.0113461797046226,0,0,147.444444444444,1250.43768682376,OAS1;OASL
Response To Cytokine (GO:0034097),5/125,0.000280299126682161,0.0129407876658527,0,0,9.47701149425287,77.5186675418455,PLSCR1;STAT1;LAMP3;EIF2AK2;XAF1
Regulation Of Chromosome Segregation (GO:0051983),3/28,0.000283892965247226,0.0129407876658527,0,0,26.8085393258427,218.943015670706,CDCA2;KIF2C;MKI67
Regulation Of Nuclease Activity (GO:0032069),2/6,0.000310206790338265,0.0130525472550024,0,0,110.577777777778,893.27730160714,OAS1;OASL
Type II Interferon-Mediated Signaling Pathway (GO:0060333),2/9,0.000737831096106234,0.0261033448811871,0,0,63.1777777777778,455.625221477512,IFNG;STAT1
Positive Regulation Of RIG-I Signaling Pathway (GO:1900246),2/9,0.000737831096106234,0.0261033448811871,0,0,63.1777777777778,455.625221477512,DDX60;OASL
Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),3/39,0.000763534768005473,0.0261033448811871,0,0,18.6067415730337,133.550853268557,RSAD2;DDX60;OASL
Regulation Of Chemokine Production (GO:0032642),3/41,0.000884715061161177,0.0284670081444214,0,0,17.6256652868125,123.912744013225,IFNG;IL7;EIF2AK2
Interferon-Mediated Signaling Pathway (GO:0140888),3/49,0.00148903640025724,0.0452501617189283,0,0,14.5544699560332,94.7441571986482,IFI27;IFNG;STAT1
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),2/15,0.00211369377453996,0.0608521312985977,0,0,34.008547008547,209.46946451671,OAS1;USP18
Response To Interferon-Alpha (GO:0035455),2/17,0.00272141238101344,0.0744306286207176,0,0,29.4711111111111,174.074190899,LAMP3;EIF2AK2
Regulation Of RIG-I Signaling Pathway (GO:0039535),2/18,0.00305245206854329,0.0761577681099846,0,0,27.6277777777778,160.01484111582,DDX60;OASL
Regulation Of Cell Cycle Process (GO:0010564),4/130,0.00306301809583119,0.0761577681099846,0,0,7.13636363636364,41.307802876977,CDCA2;KIF2C;KIF11;MKI67
Regulation Of Nuclear Division (GO:0051783),2/19,0.00340138611911276,0.0808938350936817,0,0,26.0013071895425,147.78030796325,CDCA2;MKI67
Apoptotic Process (GO:0006915),5/228,0.00405697933185454,0.0924653206051846,0,0,5.07319210349982,27.9396750318608,PLSCR1;IFNG;IFI27;RFK;IFIT2
Positive Regulation Of Phosphatase Activity (GO:0010922),2/22,0.00455388024490729,0.0958066343832418,0,0,22.0977777777778,119.14625922138,IFNG;ITGA1
