Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Kidney Morphogenesis (GO:0060993),1/5,0.0136758198325556,0.220222492661337,0,0,92.3194444444444,396.246686077218,SOX4
Lymphoid Progenitor Cell Differentiation (GO:0002320),1/6,0.0163888762191804,0.220222492661337,0,0,73.8518518518518,303.616221944068,SOX4
Noradrenergic Neuron Differentiation (GO:0003357),1/6,0.0163888762191804,0.220222492661337,0,0,73.8518518518518,303.616221944068,SOX4
Neuroepithelial Cell Differentiation (GO:0060563),1/7,0.0190946063765727,0.220222492661337,0,0,61.5401234567901,243.597309066903,SOX4
Cellular Response To Potassium Ion (GO:0035865),1/7,0.0190946063765727,0.220222492661337,0,0,61.5401234567901,243.597309066903,DLG2
Mitral Valve Development (GO:0003174),1/7,0.0190946063765727,0.220222492661337,0,0,61.5401234567901,243.597309066903,SOX4
Response To Potassium Ion (GO:0035864),1/7,0.0190946063765727,0.220222492661337,0,0,61.5401234567901,243.597309066903,DLG2
Mitral Valve Morphogenesis (GO:0003183),1/9,0.024484164739852,0.220222492661337,0,0,46.150462962963,171.205697320254,SOX4
Atrial Septum Morphogenesis (GO:0060413),1/10,0.0271680313352526,0.220222492661337,0,0,41.0205761316872,147.908478586671,SOX4
Columnar/Cuboidal Epithelial Cell Differentiation (GO:0002065),1/10,0.0271680313352526,0.220222492661337,0,0,41.0205761316872,147.908478586671,SOX4
Positive Regulation Of Protein Maturation (GO:1903319),1/11,0.0298446484475958,0.220222492661337,0,0,36.9166666666667,129.642094446654,SOX4
Spinal Cord Development (GO:0021510),1/12,0.0325140352140578,0.220222492661337,0,0,33.5589225589226,114.975668512065,SOX4
Cardiac Right Ventricle Morphogenesis (GO:0003215),1/12,0.0325140352140578,0.220222492661337,0,0,33.5589225589226,114.975668512065,SOX4
Negative Regulation Of Myoblast Differentiation (GO:0045662),1/13,0.0351762107497116,0.220222492661337,0,0,30.7608024691358,102.96825664265,SOX4
