pathway,pval,padj,log2err,ES,NES,size,leadingEdge,absNES
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,3.43361205750283e-28,1.79303221642798e-24,1.38026491759359,0.655367534883598,2.19838988523443,492,PLSCR1|USP18|GBP5|RSAD2|EIF2AK2|OASL|PARP9|HERC5|STAT1|CGAS|OAS1|DDX60|IFIH1|PYHIN1|ZMPSTE24|HAVCR2|PARP14|CD274|SYT11|DTX3L|OPTN|RIGI|IL15|XIAP|OAS3|TBK1|WDFY1|SLAMF8|TLR3|YTHDF3|FCRL3|LY86|SH2D1A|AHR|CASP1|BIRC3|APOBEC3G|TRIM22|AURKB|HLA-DRB1|KLRD1|SLAMF6|IFI16|TIGAR|RNF135|TRIM25|LAG3|ADAR|PLCG2|UBE2K|BCL10|NMI|ELMOD2|AIM2|GFI1|MNDA|IRAK3|SERPINB9|USP38|IFNLR1|FCGR2B|N4BP1|FGR|ZNFX1|NEK7|CTSS|PPARG|RASGRP1|MICB|TIFA|GBP2|TASL|LGALS9|HCK|FGL2|PTPN22|IL12A|LACC1|MR1|TRIM38|OTULIN|PIK3AP1|TICAM2|BIRC2|ATG12|RAB11FIP2|SLC15A4|OTUD4|LYN|LYAR|NLRP10|LRRC19|ZBP1|TNF|PPP2R3C|PPP6C|PPM1B|NOD2|CLEC7A|CD160|CASP8|MAP3K7|RIOK3|ISG15|IRF7|CHUK|HSPA1A|CSNK1A1|MEFV|TRAFD1|TIRAP|TLR1|DCST1|CD300LF|SPN|TRAF6|GIGYF2|LRP8|TLR6|YWHAZ|IFI35|KLRC4|TNIP3|GSDME|TLR8|SPI1|USP15|RNF185|CD300A|CD14|STAT2|NCR1|PTPN11|LILRB1|TRIM21|HRG|FPR2|CD1D|KLRK1|CXCL6|LTF|AP1G1|TLR4|KLRC3|POLR3G|PARP1|TRAF3|TYROBP|CD36|FYN|PAK3|GRAMD4|CARD8|FCN1|COLEC12|PAK2|RNF125|IRF1|FADD|IRAK2|RBM47|CD226|IRF4|IL21|TRAF3IP1|LILRA2|CARD16|HLA-B|TRIM6|ERBIN|HEXIM1|APPL1|CAV1|RFTN1|FBXO38|SAMHD1,2.19838988523443
GOBP_RESPONSE_TO_VIRUS,3.95610522524503e-24,1.03293907431148e-20,1.27091304449619,0.657467395028252,2.17477387033034,417,IFI27|PLSCR1|USP18|IFIT2|GBP5|RSAD2|IFI44L|IFI44|EIF2AK2|IFIT3|OASL|PARP9|HERC5|LYST|STAT1|GBP1|CGAS|IFNG|OAS1|DDX60|IFIH1|OAS2|ZMPSTE24|MX1|IFIT1|DTX3L|RIGI|IL15|OAS3|JAK2|TBK1|TLR3|IRF9|TBX21|APOBEC3A|CASP1|DDX60L|APOBEC3G|TRIM22|UBE2W|GBP3|IFI6|APOBEC3H|IFI16|RNF135|TRIM25|IFIT5|ADAR|G3BP1|NMI|AZI2|ELMOD2|AIM2|IRAK3|IFNLR1|RTP4|FGR|ZNFX1|TRIM13|RNASE2|AICDA|MICB|GBP2|IRF2|LGALS9|FGL2|PTPN22|TANK|IL12A|TRIM38|PTPRC|SLFN11|ATG12|MX2|TBKBP1|PDE12|ITGAX|PRF1|HMGA2|ZBP1|TNF|PPM1B|RIOK3|IL10RB|ISG15|IRF7|FMR1|CHUK|CSNK1A1|MEFV|DNAJC3|NCK1|BATF3|SPN|NT5C3A|TRAF6|APOBEC3C|NCBP3|APOBEC3B|POU2AF1|GSDME|TLR8|RNF185|STAT2|PML|SPON2|CREBZF|ATF2|SLFN13|BST2|LILRB1|TRIM21|DDX21|GATA3|POLR3G|CXCL10|TRAF3|XPR1|SERINC3|GRAMD4|CARD8|BCL2L1|EXOC1|IFNA16|SENP7|DHX36|RNF125|IRF1|IFITM2|FADD|RRP1B|IL21|TRAF3IP1|MAPK14|IFNA5|TRIM6|ERBIN|APOBEC3D|UBE2N|IFITM1|SAMHD1|CALR,2.17477387033034
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,9.39545932662068e-24,1.63543628678711e-20,1.26273988547916,0.689012493298666,2.23767483165979,328,IFI27|PLSCR1|USP18|IFIT2|GBP5|RSAD2|IFI44L|EIF2AK2|IFIT3|OASL|PARP9|HERC5|LYST|STAT1|GBP1|CGAS|IFNG|OAS1|DDX60|IFIH1|OAS2|ZMPSTE24|MX1|IFIT1|DTX3L|RIGI|IL15|OAS3|TBK1|TLR3|IRF9|APOBEC3A|CASP1|DDX60L|APOBEC3G|TRIM22|UBE2W|GBP3|IFI6|APOBEC3H|IFI16|RNF135|TRIM25|IFIT5|ADAR|G3BP1|ZG16|AZI2|ELMOD2|AIM2|IFNLR1|RTP4|ZNFX1|TRIM13|RNASE2|AICDA|MICB|GBP2|IRF2|FGL2|PTPN22|TANK|TRIM38|PTPRC|SLFN11|ATG12|MX2|TBKBP1|PDE12|ITGAX|PRF1|ZBP1|TNF|PPM1B|RIOK3|IL10RB|ISG15|IRF7|CSNK1A1|MEFV|DNAJC3|NCK1|SPN|NT5C3A|TRAF6|APOBEC3C|NCBP3|APOBEC3B|TLR8|RNF185|STAT2|PML|SPON2|SLFN13|BST2|LILRB1|TRIM21|DDX21|POLR3G|CXCL10|TRAF3|SERINC3|GRAMD4|CARD8|BCL2L1|EXOC1|IFNA16|SENP7|DHX36|RNF125|IRF1|IFITM2,2.23767483165979
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,2.13406666467016e-23,2.7860240307269e-20,1.25451347943706,0.657626761333608,2.17494681167301,408,PLSCR1|USP18|GBP5|RSAD2|EIF2AK2|OASL|PARP9|CGAS|OAS1|DDX60|IFIH1|PYHIN1|HAVCR2|PARP14|RIGI|XIAP|OAS3|TBK1|WDFY1|SLAMF8|TLR3|YTHDF3|FCRL3|SH2D1A|CASP1|BIRC3|AURKB|KLRD1|SLAMF6|IFI16|RNF135|TRIM25|LAG3|ADAR|PLCG2|UBE2K|BCL10|NMI|AIM2|GFI1|MNDA|IRAK3|SERPINB9|USP38|FCGR2B|N4BP1|FGR|ZNFX1|NEK7|CTSS|PPARG|RASGRP1|TIFA|GBP2|TASL|LGALS9|HCK|PTPN22|IL12A|LACC1|OTULIN|PIK3AP1|TICAM2|BIRC2|ATG12|RAB11FIP2|SLC15A4|OTUD4|LYN|LYAR|NLRP10|LRRC19|ZBP1|TNF|PPP6C|NOD2|CLEC7A|CD160|CASP8|MAP3K7|RIOK3|ISG15|IRF7|CHUK|HSPA1A|CSNK1A1|MEFV|TRAFD1|TIRAP|TLR1|DCST1|CD300LF|TRAF6|GIGYF2|LRP8|TLR6|YWHAZ|IFI35|KLRC4|TNIP3|TLR8|SPI1|USP15|RNF185|CD300A|CD14|STAT2|NCR1|PTPN11|LILRB1|TRIM21|FPR2|CD1D|KLRK1|LTF|AP1G1|TLR4|KLRC3|POLR3G|PARP1|TRAF3|TYROBP|CD36|FYN|PAK3|GRAMD4|CARD8|FCN1|COLEC12|PAK2|RNF125|IRF1|FADD|IRAK2|RBM47|CD226|IRF4|IL21|LILRA2|HLA-B|TRIM6|ERBIN|HEXIM1|APPL1|CAV1|RFTN1|SAMHD1,2.17494681167301
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,1.21946887794147e-20,1.27361329612208e-17,1.1778932614942,0.61429940253683,2.0543282557241,476,GBP5|IL7|RSAD2|MCOLN2|EIF2AK2|STAT1|TIGIT|CGAS|IFNG|OAS1|IFIH1|OAS2|HAVCR2|CD274|RIGI|IL15|XIAP|OAS3|IL1RL1|JAK2|HMOX1|TBK1|TLR3|HLA-DPA1|C3AR1|TWIST1|TBX21|KCNQ1OT1|CASP1|CD84|PIK3CG|MBP|CEBPG|ADAM17|SLAMF6|IFI16|RNF135|CD58|PLCG2|PTPRJ|BCL10|G3BP1|DENND1B|AIM2|LRRK2|RIPK1|IRAK3|CLEC5A|FGR|RASGRP1|F2R|LGALS9|CSF1R|PTPN22|TANK|SULF2|IL12A|LACC1|PTPRC|TMF1|SASH3|CYBB|TICAM2|CD2|RORA|TMED10|NLRP10|TNFRSF8|IRF8|TNF|NOD2|CLEC7A|CD160|PSEN1|CASP8|MAP3K7|RIOK3|CD74|ISG15|IRF7|BMPR1A|CHUK|HSPA1A|BRCA1|MEFV|TIRAP|TLR1|CD244|HLA-DPB1|MAPK9|SPN|TRAF6|BATF|TLR6|POU2AF1|SEMA7A|TLR8|SCAMP5|CLECL1P|PNP|CD14|SPON2|GLMN|PTPN11|ATF2|IL1RAP|LILRB1|KLRK1|MMP8|DDX21|GATA3|B2M|TLR4|EGR1|POLR3G|TRAF3|TYROBP|ROCK2|CD36|CARD8|FCN1|FCGR3A|P2RX7|IL12RB2|BTN3A1|RUNX1|DHX36|IRF1|CD86|FADD|KPNA6|RBM47|CD226|IRF4|AKAP12|IL21|LILRA5|CYRIB|CYP1B1|PANX1|CHIA|LILRA2|IL20RB|MAPK14|TRIM6|FCER1G|APPL1|C1QTNF3|ADCYAP1|RFTN1|IL10|LILRB2|TLR5,2.0543282557241
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,1.73893985404963e-19,1.5134573196412e-16,1.14219120216838,0.649478185950327,2.11466155190634,355,PLSCR1|GBP5|RSAD2|EIF2AK2|OASL|PARP9|CGAS|OAS1|DDX60|IFIH1|PYHIN1|HAVCR2|CD274|RIGI|XIAP|OAS3|TBK1|WDFY1|TLR3|FCRL3|LY86|SH2D1A|CASP1|BIRC3|HLA-DRB1|KLRD1|SLAMF6|IFI16|RNF135|TRIM25|LAG3|PLCG2|UBE2K|BCL10|NMI|AIM2|GFI1|MNDA|IRAK3|ZNFX1|NEK7|CTSS|RASGRP1|TIFA|GBP2|TASL|LGALS9|HCK|PTPN22|IL12A|LACC1|MR1|OTULIN|PIK3AP1|TICAM2|BIRC2|RAB11FIP2|SLC15A4|OTUD4|LYN|NLRP10|LRRC19|ZBP1|TNF|NOD2|CLEC7A|CD160|MAP3K7|RIOK3|IRF7|CHUK|HSPA1A|CSNK1A1|MEFV|TIRAP|TLR1|CD300LF|TRAF6|TLR6|IFI35|KLRC4|TNIP3|GSDME|TLR8|SPI1|USP15|RNF185|CD300A|CD14|HRG|FPR2|CD1D|KLRK1|LTF|AP1G1|TLR4|KLRC3|POLR3G|TRAF3|TYROBP|CD36|FYN|PAK3|GRAMD4|CARD8|FCN1|COLEC12|PAK2|RNF125|IRF1|FADD|IRAK2|RBM47|CD226|IRF4|IL21|LILRA2|TRIM6|ERBIN|HEXIM1|APPL1|CAV1|RFTN1|FBXO38,2.11466155190634
GOBP_CHROMOSOME_SEGREGATION,1.44952160003174e-18,1.08134311362368e-15,1.11466447751729,0.609892128399328,2.02538509310328,435,PLSCR1|SKA1|CDCA2|KIF11|KIF2C|MKI67|NCAPG|CDC6|DLGAP5|KIF4A|CDK1|CEP97|TPX2|NUSAP1|ASPM|BIRC5|STIL|BRIP1|KIF18B|CDCA8|CENPI|KIFC1|KNL1|KIF23|TOP2A|CHMP2B|NCAPH|CEP55|RACGAP1|MZT1|AURKB|CENPE|UBE2C|CDT1|MAP3K20|ESCO2|VPS4B|SGO2|ACTR2|GEN1|MYBL2|PTTG1|GPSM2|ACTR3|BUB1B|SKA2|WASHC5|SGO1|NEK7|CCNB2|TTK|CENPL|CENPU|ARL8B|BUB1|ECT2|KIF14|HAUS6|RB1|FBXO5|CIAO2A|PCID2|PDCD6IP|CCNB1|ESPL1|CHMP5|ABRAXAS2|CENPN|RCC2|CCNE2|RHOA|MEI4|CCSAP|LATS1|MND1|SMC4|SRPK1|NUF2|PRC1|SKA3|DYNC1LI1|SMC2|MAEL|REC8|SPC24|CHAMP1|TTL|RIOK3|TERF1|HJURP|NDC80|PBRM1|HASPIN|ZWILCH|GOLGA8N|HSPA1A|BRCA1|TRIP13|CENPO|CENPF|PLK1|NEK2|SMC5|ITGB3BP|RAD18|CENPH|NR3C1|MAD2L1|SMC6|SASS6|CDCA5|SPAG5|CENPQ|CDC20|AURKA|M1AP|MIS12|PSRC1|MRE11|KIF2A|OIP5|CDC27|CUL3|HECW2|EML4|RIOK2|ACTB|CDC23|KAT2B|AGO4|NUP37|MIS18A|NSL1|CTCF|TERB1|CHMP1B|RAB11A|KIF18A|ZNF207|TERB2|CENPW|TUBB|GOLGA8H|PTEN|FAM83D|TEX12|KIF4B|KIF2B|ANAPC4|CCNE1,2.02538509310328
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,4.57777394849769e-18,2.88408125958562e-15,1.0959292864312,0.59622523722004,1.99826884748594,485,USP18|TIGIT|GBP1|CGAS|OAS1|HAVCR2|GPR137B|PARP14|CD274|SYT11|OAS3|IL1RL1|HMOX1|CASP3|CX3CR1|SLAMF8|TLR3|CBFB|YTHDF3|FCRL3|TWIST1|SH2D1A|NF1|TBX21|AHR|CD84|AURKB|HLA-DRB1|KLRD1|IFI16|BMP4|TWSG1|LAG3|ADAR|PTPRJ|CBLB|NMI|PRKAR1A|MNDA|ZNF675|IRAK3|SERPINB9|USP38|ASCL2|SOX11|TNFRSF13B|FCGR2B|FGR|PPARG|CST7|LGALS9|CUL4A|HCK|FGL2|RC3H2|PTPN22|PTPRC|LDLR|LAX1|ATG12|OTUD4|AXL|SMAD7|BMP5|LYN|ADGRF5|PPP3CB|LYAR|ELF1|ID2|TNF|PPP6C|EZR|NOD2|CD160|RIOK3|CD74|ISG15|SDC4|PDCD1LG2|CSNK1A1|MEFV|WASL|TRAFD1|DCST1|RC3H1|LRFN5|CD300LF|SPN|GIGYF2|HLX|LILRB4|IL31RA|TLR6|YWHAZ|MAFB|SPI1|USP15|SOX9|PDCD1|CD300A|CD200R1|STAP1|STAT2|GLMN|CTSG|YES1|PAG1|BST2|LILRB1|FBN1|RAG2|TRIM21|KLRK1|DLG5|LTF|LPXN|SVEP1|TLR4|NCKAP1L|RHBDF2|TAPBPL|PARP1|TYROBP|FYN|NPY5R|GRAMD4|CARD8|LILRB3|FCRLB|RUNX1|RNF125|IRF1|CD86|INHBA|FADD|IRF4|LILRA2|MARCHF7|IL20RB|MAPK14|HLA-B|ERBIN|APPL1|SAMHD1|IL10|LILRB2|ATG5|TNFRSF21|THY1|TRIM31|PARP3|MIA3|SOCS6|TREX1|PHPT1|CLEC12B|GPR68|RUNX3|PTPN2|CEACAM1|SAMSN1|CD200|ZC3H8|CNR1|TNFAIP8L2|HMGB1|CRTAM|PADI2|GRN|PRKDC,1.99826884748594
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,4.9706494324532e-18,2.88408125958562e-15,1.0959292864312,0.610674248780107,2.03706617265277,454,PLSCR1|GBP5|RSAD2|EIF2AK2|OASL|PARP9|CGAS|IFNG|OAS1|DDX60|IFIH1|PYHIN1|HAVCR2|OPTN|RIGI|IL15|XIAP|CTSC|OAS3|IL1RL1|TBK1|WDFY1|TLR3|FCRL3|SH2D1A|CASP1|BIRC3|PIK3CG|KLRD1|SLAMF6|IFI16|RNF135|TRIM25|LAG3|PLCG2|UBE2K|BCL10|NMI|AIM2|GFI1|MNDA|LRRK2|RIPK1|IRAK3|ZNFX1|NEK7|CTSS|MEF2C|RASGRP1|TIFA|CREB3L3|GBP2|TASL|LGALS9|HCK|PTPN22|IL12A|LACC1|LDLR|OTULIN|NKG7|PIK3AP1|TICAM2|BIRC2|RAB11FIP2|SLC15A4|OTUD4|LYN|NLRP10|LRRC19|ZBP1|TNF|NOD2|CLEC7A|CD160|MAP3K7|RIOK3|IRF7|CHUK|HSPA1A|CSNK1A1|MEFV|TIRAP|TLR1|CD300LF|TRAF6|TLR6|IFI35|KLRC4|TNIP3|TLR8|SPI1|USP15|RNF185|CD300A|STAP1|CD14|GPR4|FPR2|CD1D|KLRK1|MMP8|NAPEPLD|LTF|AP1G1|TLR4|KLRC3|POLR3G|TRAF3|TYROBP|CD36|FYN|NPY5R|PAK3|GRAMD4|CARD8|FCN1|SNX4|COLEC12|CCN4|PAK2|RNF125|IRF1|FADD|IRAK2|RBM47|CD226|NEAT1|VAMP7|LGALS1|IRF4|IL21|LILRA5|LILRA2|TRIM6|ERBIN|HEXIM1|APPL1|CASP4|CAV1|RFTN1|SUCNR1|TLR5|FFAR3|TRIM31|CARD9|IRAK4|NAIP|PPP2CA|TLR2|FCGR1A|S100A8|S100A9|CNR1|LPL|ALOX5AP|HMGB1|TLR9|PJA2|CRTAM|GRN|PRKDC|MARK4|IL18RAP|TNIP1|SH2D1B,2.03706617265277
GOBP_CYTOPLASMIC_TRANSLATION,1.24858307746725e-17,6.52010083053396e-15,1.0864405425825,-0.752485263482831,-2.37433774350797,156,EIF3L|EIF3F|EIF2D|RPL21|RPS21|RPL4|RPL5|RPL34|RPL7|RPS4X|RPL6|RPS23|RPL38|RPS3|RPS27A|RPS13|RPL35A|RPS3A|RPL15|RPL3|RPS20|RPL17|RPS6|RPS14|RPL9|RPL23A|EIF2S3|RPL31|RPL30|RPL23|RPS29|RPL37|RPL27A|RPL39|RPL22|RPL24|EIF3H|RPS12|RPS15A|RPL19|EIF3D|RPL37A|RPL10A|RPL32|RPS27|RPS16|RPS24|RPSA|EIF2AK4|RPL13A|RPL26|MCTS2|RPL27|RPL36A|RPS25|RPS7|RPL41|RPS18|RPL11|RPL12|RPL14|METTL3|RPL10|RPS11|UBA52|PABPC1|EIF3E|RPL29|RPL18|EIF3C|RPS8|RPS10|RPS5|RACK1|RPL7A|CPEB1|RPLP0|RPS2|RPL13|PARP16|DHX9|RPL8,2.37433774350797
