"","padj.MM.purple","padj.MM.darkgrey","padj.MM.darkturquoise","padj.MM.salmon","padj.MM.orange"
"B_HLA-DQB1",0.707206431147016,0.149701137274227,0.175476818425252,0.515528252523965,0.11622682045618
"B_LYZ",0.767056537458459,0.494139317398235,0.0286915502965903,0.174852800257448,0.000134777227083104
"B_S100A9",0.855137733736227,0.750647277820497,0.000575832183187835,0.388145984782804,3.38717146018224e-05
"B_IL7R",0.848630225779637,0.370776079657781,0.463796944466649,0.355826776399991,2.6504111278538e-05
"B_S100A8",0.879784994626176,0.575968595641641,0.000835427075094264,0.369222659581868,9.33186930364141e-07
"B_VCAN",0.882709287579514,0.114605513160081,0.947119616868504,0.138167685136086,0.00675947300549624
"B_GIMAP4",0.685059165453973,0.995864512831939,0.00138356028815774,0.471294296040272,3.57980965139401e-08
"B_ANXA1",0.590897061253953,0.73712836743188,0.0228807976551329,0.413424633440553,8.01614346743629e-09
"B_FCN1",0.894298671816512,0.62057571956076,0.0394363052311534,0.25726048471295,0.00153214046453536
"B_HLA-DRB5",0.699711745699946,0.353585037732732,0.523003175164652,0.685101633081173,0.830160128947583
"B_XIST",0.586825802096103,0.934145411707149,0.554227257108497,0.267756720798888,0.717934473285631
"B_FYB1",0.800301990193505,0.966688350278781,0.00115729137165603,0.4400115587259,2.30648066694109e-08
"B_HLA-DQA1",0.406518174116771,0.0960419740200406,0.030544606952361,0.271104080036492,0.00460782518192041
"B_ITK",0.834317615289698,0.589426543079048,0.270340237509566,0.376763901999098,1.07745016304647e-05
"B_CXCL8",0.856935589015825,0.520928339995425,0.00209418059139686,0.420637619276998,2.52633287806109e-06
"B_FCGR3B",0.814594952510354,0.976504145499394,1.92152341736048e-06,0.710134672064649,6.65829311893334e-07
"B_RPS4Y1",0.542668296154909,0.53204476702369,0.200755263495635,0.172068692424211,0.322087626528613
"B_GIMAP5",0.650312858264029,0.45368893010577,0.163626334759284,0.329335594840765,5.42413480725674e-06
"B_JAML",0.865570321734832,0.820745333536353,0.00116866401981099,0.58125670344649,1.99556202844491e-11
"B_SERPINA1",0.916861914667528,0.815152608204016,0.00150515812335837,0.393498937450857,2.9149328993202e-06
"B_TNFAIP2",0.880944160044439,0.997814565239382,0.000756943039500037,0.433374846120862,2.2734540593701e-07
"B_MTCO1P12",0.618427390059693,0.216829447787745,0.580720512913991,0.417277221166236,0.0416965607914046
"B_CSF3R",0.904166701942396,0.734158969421603,0.000711122919223924,0.352867947026955,6.37856054893478e-06
"B_CD14",0.917000896263586,0.825014608196367,0.00356726753055824,0.293566394483397,3.82620753703741e-05
"B_FPR1",0.893976439359358,0.880475029627378,3.9112802460446e-05,0.601320786341309,7.82978896148223e-09
"B_FCGR3A",0.678189228634037,0.633726143209398,4.98287031613116e-06,0.626316832530298,7.65490755792589e-09
"B_CD2",0.821287263758217,0.302000972379696,0.660989058134366,0.270037792954833,0.00274130110531704
"B_CLEC7A",0.703174594110639,0.825446468314017,2.07776087628923e-05,0.630402090612864,8.68326366230512e-13
"B_GIMAP6",0.729112031989061,0.670488035599522,0.0595954004738117,0.39699948391984,2.64698549357412e-08
"B_AL591846.1",0.358419247149265,0.48524415823243,0.131497961128817,0.924394847971421,0.458777630263388
"B_INPP4B",0.710904632124272,0.305500684773494,0.430348047611348,0.316848938983451,5.95235773498107e-06
"B_GIMAP7",0.892128068402786,0.31575527135678,0.258179348136767,0.158575116722519,2.72059724738381e-05
"B_CD28",0.936325443589883,0.252522517598705,0.62931098786651,0.140982380111238,0.000963196118381389
"B_CD4",0.500518455919392,0.413675061668202,0.253476620592636,0.330085432344391,1.06805654313506e-05
"B_CD36",0.501621947892611,0.102003252505919,0.533958600345947,0.383315479932754,0.000167231320125117
"B_CD93",0.925085744328859,0.438849481161402,0.0268037656004099,0.266503472492868,4.61804051342496e-09
"B_DDX3Y",0.535234721525416,0.54948526165264,0.202111198201592,0.17004036800534,0.350636043868773
"B_KDM5D",0.504009272377489,0.600395208121047,0.178672178865817,0.141055513110815,0.315186833630649
"B_TXLNGY",0.568729031877371,0.555774313927933,0.208935047288324,0.160208889955425,0.347437043172994
"B_FOS",0.809149116989521,0.834628272338956,0.00531318277121995,0.526939545874314,0.000793718363337879
"B_PRF1",0.994913078746899,0.789569983193659,0.0215951851569803,0.436548135226983,0.000289694328450092
"B_BCL11B",0.91927669459919,0.658121440200322,0.525956741642319,0.261560805461586,3.71853795224897e-05
"B_IGLC2",0.834724047615102,0.913588847190148,0.696057169842974,0.77569685980965,1.24053275330127e-05
"B_CST3",0.625187531131963,0.875040423973796,0.0247789753980797,0.427439962901814,0.00305518002405479
"B_NELL2",0.998765929895829,0.431139321946,0.831751309490463,0.267800721688809,0.00164448929562813
"B_AQP9",0.908785460392891,0.736872673836659,0.000213998170282134,0.390097413938016,2.8220662043956e-08
"B_PLBD1",0.889572742573866,0.459319615627274,0.0507906516616824,0.235426943295056,2.64789481904865e-06
"B_HK3",0.98267913720459,0.761846173840775,0.0253121656881284,0.340615154163997,0.000597684336763622
"B_MS4A6A",0.726561368416523,0.520390902352664,0.0387799716304593,0.309595458381893,4.35736970034145e-08
"B_MEFV",0.779433551057244,0.956938679298376,8.13658937886274e-05,0.502286274302923,5.60067887892386e-10
"B_LPAR6",0.555909150949599,0.631069648933197,0.0156893904302618,0.301638609073849,3.08669357792503e-06
"B_CPVL",0.798557754231056,0.286778780254603,0.363876821756688,0.139283801385701,0.00380230460776496
"B_PLXDC2",0.793700644329263,0.814518192436656,0.00114215211724566,0.582854240963697,6.12179959920237e-13
"B_STAB1",0.94253245530776,0.138748917999987,0.953764648037635,0.152810907990373,0.350338820892136
"B_TLR8",0.915133735707277,0.874838950732912,0.000423644702938885,0.383953889873093,7.28758297476289e-12
"B_AIF1",0.898635597775457,0.693849883285131,0.00506645228602239,0.422920923024778,1.54660625504767e-06
"B_TYROBP",0.574830779804618,0.947442205772799,4.31125044998738e-05,0.719170580683425,1.59373788038155e-08
"B_TRAT1",0.932073762802879,0.423276709832804,0.60585758413809,0.288871058014053,0.000879220957004591
