"","MM.purple","MM.darkgrey","MM.darkturquoise","MM.salmon","MM.orange"
"B_HLA-DQB1",-0.0858967018543152,-0.175676368287313,-0.160328084014875,0.101041121379404,0.180109464194904
"B_LYZ",0.0723162449315527,-0.0903716857716606,0.244567275883038,0.193008804069236,-0.398230178255886
"B_S100A9",0.0515889317173994,-0.0454156671939604,0.364917097604449,0.131226139354458,-0.427779810834981
"B_IL7R",0.0529793477290935,-0.115158937234494,0.093396025749854,0.139572668177679,-0.432802704284705
"B_S100A8",0.0439451047801755,-0.0755943189246803,0.355375105730288,0.135758937319482,-0.494266844866354
"B_VCAN",0.0429619857765285,-0.190370426093833,0.00997362370077142,0.206848436874836,-0.29416360687965
"B_GIMAP4",0.0904088736822506,0.00084724153561398,0.341890648717769,0.111084552500533,-0.545815134126558
"B_ANXA1",0.110456731978301,-0.0477386896432101,0.253167832621744,0.125087035804049,-0.566670665509911
"B_FCN1",0.0395562219551438,-0.0676530748543175,0.231741547834567,0.166946648097862,-0.338266980907792
"B_HLA-DRB5",0.0872077773995923,0.118921513899253,0.0827366939911833,0.0647503003894235,0.0281809227116003
"B_XIST",0.11144456567433,0.0128627427318684,0.0772364174385895,-0.163906846571823,-0.0462248903216912
"B_FYB1",0.0646533377712732,-0.00651477920554868,0.346763473358423,0.118342212442055,-0.552103739242279
"B_HLA-DQA1",-0.151229384519546,-0.19938833864104,-0.242161940373666,0.162977957358056,0.306254576047375
"B_ITK",0.0565252698975497,-0.0732330277358621,0.133733528363119,0.133952024967336,-0.450359269666216
"B_CXCL8",-0.0511305477989133,-0.0854647808925292,0.330501748331935,0.123436473993509,-0.477044360421503
"B_FCGR3B",0.0611278976962626,-0.00460135495736025,0.483414708811941,0.059838138483538,-0.499932697609792
"B_RPS4Y1",-0.120563090732215,-0.0834170691603801,-0.152363533399149,0.194124839635757,0.117786541316419
"B_GIMAP5",0.0982205505560606,-0.098202752006181,0.164237551888357,0.146778017053429,-0.463226768382836
"B_JAML",0.0483755419682506,-0.0334625454978671,0.346498195357758,0.0860252373387455,-0.638421453388654
"B_SERPINA1",0.0320004544432831,-0.0344733998948508,0.339644645040962,0.129999768251624,-0.474516798171166
"B_TNFAIP2",0.0435919590663846,-0.0004737001021711,0.357941529928029,0.12010676179738,-0.5175252460891
"B_MTCO1P12",0.105010123154911,0.153223354641792,0.0726163127270086,-0.124240932513759,-0.22785983902768
"B_CSF3R",-0.0362247231877477,-0.0481962408815672,0.359566777866257,0.140389863036429,-0.460249802367552
"B_CD14",0.0319092489800984,-0.0326847232332202,0.315135500636306,0.156726537029175,-0.425244605186763
"B_FPR1",0.0397935137199016,-0.0229598685110322,0.426332046495809,0.0818340635154522,-0.566988543074078
"B_FCGR3A",0.0920909889955585,0.0652912603110288,0.46648503326685,0.0767378747396474,-0.56730109072462
"B_CD2",0.059503873083377,-0.130786851623747,0.0593237970784551,0.163294764062857,-0.321732973377734
"B_CLEC7A",0.086548754792702,0.0325979425615643,0.439086906160608,0.0758767872972851,-0.669657633283535
"B_GIMAP6",0.0813613782947143,-0.0588604582399972,0.214141262109053,0.12923621873506,-0.550118387569126
"B_AL591846.1",-0.162674998222333,-0.0920614783726113,-0.176235795634196,0.0167807282386628,0.089894033726408
"B_INPP4B",0.0850644292444622,-0.129929178095602,0.0996631153680345,0.150408087396267,-0.461519158910091
"B_GIMAP7",0.0403501226461651,-0.127498014313273,0.136762773633175,0.199257498017614,-0.432260687930074
"B_CD28",0.025718222939692,-0.143341199352905,0.0646897483870444,0.205812074202567,-0.350654114257759
"B_CD4",0.12927537302078,-0.106065819987675,0.137939758639912,0.146563799030311,-0.450524268175904
"B_CD36",0.129030965505318,-0.196352572049833,0.0808464936987815,0.132396338467439,-0.393368998423737
"B_CD93",0.0292611766028388,-0.101055032025949,0.247165537288415,0.164202912996174,-0.574156612130153
"B_DDX3Y",-0.122307664676003,-0.0803729856302593,-0.15195915845117,0.194826181835308,0.111486814720783
"B_KDM5D",-0.12846299594075,-0.0712797178705884,-0.159270841750599,0.205721483331697,0.119367682271115
"B_TXLNGY",-0.115110444002139,-0.0792173679307702,-0.1499105928037,0.19858476378211,0.112166607306826
"B_FOS",0.0625459740395789,0.0309390613603026,0.302973641417604,0.0984875116510417,-0.3557023126899
"B_PRF1",0.00268959659924865,0.0386798809846141,0.255310176257953,0.119298005365852,-0.38051377058666
"B_BCL11B",0.0310714488178596,-0.0610829357420882,0.0822007149843643,0.165640227421074,-0.425842005917222
"B_IGLC2",-0.0563739910646305,0.0167479922387192,-0.0534991608267526,-0.046852996074237,0.447661288939075
"B_CST3",0.103525777083377,-0.0239928564505884,0.250171293302675,0.121623545644653,-0.318579012652171
"B_NELL2",0.000740912444585096,-0.102632182604455,0.0306360585191972,0.163876832411175,-0.336316396441365
"B_AQP9",-0.0349591746255484,-0.047780429574979,0.388947786602598,0.13079224480612,-0.549208145507226
"B_PLBD1",-0.0411883774279422,-0.0971181169636979,0.221110256628653,0.173395285652829,-0.476205901130051
"B_HK3",0.0072256124213726,-0.0435643274922227,0.249361033462257,0.143881735884317,-0.362886681121075
"B_MS4A6A",0.0818544727540512,-0.08557176906877,0.232438816851303,0.152440012944349,-0.542866123058318
"B_MEFV",0.0697195997125909,0.00847548592943387,0.410723352823178,0.103991752365798,-0.600924776982646
"B_LPAR6",0.117773077508127,-0.0657831089641282,0.266981167814902,0.154595755408108,-0.473445433849761
"B_CPVL",0.0651541079493308,-0.13447923165871,0.112928010909111,0.206419077874743,-0.312093032915051
"B_PLXDC2",0.0665585995274545,-0.0346135795667495,0.347103947316588,0.0856758174715594,-0.672983345189112
"B_STAB1",0.0229446255958552,-0.1799257015438,-0.00886982741505124,0.201249030621333,-0.111551841077634
"B_TLR8",0.0328552259574281,-0.0240293103130615,0.372569761163039,0.132243132902584,-0.649085609117967
"B_AIF1",0.0381183609086203,-0.0548725727109835,0.304440407859612,0.122850962425629,-0.485625089454881
"B_TYROBP",0.113894823331118,0.0103384442378967,0.424312417217973,0.0580842063249122,-0.557286657808577
"B_TRAT1",0.0273111647571085,-0.104133914463141,0.0684569089724325,0.157973923795611,-0.353051448493787
"B_UTY",-0.113781321939646,-0.0849018645913062,-0.150287629811853,0.189362200217551,0.116673520707708
"B_CXCR2",-0.00146898108428264,-0.0211958199961021,0.442289230729664,0.0755305471152382,-0.65075901740475
"B_IPCEF1",0.0383816927182084,-0.0062809737828596,0.282342275924387,0.110227452632805,-0.669399980285586
"B_THEMIS",0.0452436160671859,-0.136860985292262,0.0575375298710362,0.17888054683788,-0.344569798905896
"B_CX3CR1",0.0949637158333846,-0.00889173768709999,0.307175451229031,0.125391111602888,-0.506848724214467
"B_CD3D",0.0491687029858249,-0.107578421113151,0.0896997630136841,0.160204778044698,-0.317585180286321
"B_DSP",0.174676680942827,0.148009251027993,-0.0120628844459784,-0.060232973042213,0.335515628135385
"B_MNDA",-0.0210762572791577,0.00757592624483424,0.407918496884388,0.104317223573985,-0.474132303486134
"B_LY75-CD302",-0.111361421017396,0.0726444567910067,0.102500775954079,0.139406943263085,-0.0201054529221989
"B_S100A12",-0.0197727927308507,-0.108120715325811,0.286998454671323,0.18138973026556,-0.504455012442373
"B_USP9Y",-0.116869611986355,-0.0847730942699341,-0.149679889761172,0.198478738677386,0.111050752518751
