"","p.MM.purple","p.MM.darkgrey","p.MM.darkturquoise","p.MM.salmon","p.MM.orange"
"B_HLA-DQB1",0.395469836297412,0.0804119658868512,0.111059278381342,0.317179599562619,0.0729497638593213
"B_LYZ",0.474604448344334,0.371222162195424,0.0141951445092381,0.0543603664848808,4.0729678024514e-05
"B_S100A9",0.61023156047448,0.653663649526089,0.000189304830223001,0.193122034728684,9.02342476992549e-06
"B_IL7R",0.600625975748518,0.253906785840161,0.355361218850346,0.16606218107862,6.88444290460025e-06
"B_S100A8",0.664189764901601,0.454756004688858,0.000285340117498446,0.178055828914484,1.72919538196475e-07
"B_VCAN",0.671263533203715,0.0578070208379448,0.921547387213055,0.038935653671349,0.00297146433321615
"B_GIMAP4",0.371024544389256,0.993325058324217,0.000498704305866459,0.271206302656374,4.28145234306724e-09
"B_ANXA1",0.273941028147865,0.637173760808117,0.0110411289084844,0.214967738741851,7.96403853489795e-10
"B_FCN1",0.6959879413412,0.503628225209535,0.0203432180534905,0.096884298542897,0.000577004098944016
"B_HLA-DRB5",0.3882700476889,0.238616862713935,0.413146358221317,0.522150209652816,0.780765601275201
"B_XIST",0.269646456063159,0.89892812968579,0.444989064732412,0.103206828031931,0.647899965416618
"B_FYB1",0.522774803446262,0.948707946963596,0.000408755312468911,0.240928328980367,2.60978287464384e-09
"B_HLA-DQA1",0.133114376114537,0.0467196182620488,0.0152066325712329,0.105201938258161,0.00194265909669764
"B_ITK",0.57643953373354,0.469006700327998,0.18467786029282,0.18395497515106,2.5831867659039e-06
"B_CXCL8",0.613412923708218,0.397859019671506,0.000784061213418984,0.221129196453918,5.22445639183034e-07
"B_FCGR3B",0.545737888434311,0.963760361321426,3.49525109617871e-07,0.554260111546458,1.18584200448203e-07
"B_RPS4Y1",0.232150676509637,0.409302039271325,0.130195891241734,0.0529541400935509,0.243160053647776
"B_GIMAP5",0.330946067208913,0.331034127851675,0.102503717409954,0.145052479854696,1.21554861030624e-06
"B_JAML",0.632683372835944,0.741013908458996,0.000413239597405168,0.394760490145684,8.97005131785986e-13
"B_SERPINA1",0.751955255668429,0.73347921472393,0.000545996109248247,0.197352329838497,6.11407175632411e-07
"B_TNFAIP2",0.666727381874778,0.996267952663261,0.000255846747351012,0.233935741936042,3.51589670281586e-08
"B_MTCO1P12",0.298443577473635,0.128016105973885,0.472768309599291,0.218110803503592,0.02260579043306
"B_CSF3R",0.720485236442798,0.633946270095554,0.000238652851691549,0.163571936844345,1.45112252488266e-06
"B_CD14",0.752639433407028,0.746828367380331,0.00140550340703995,0.119422809275846,1.0326934142464e-05
"B_FPR1",0.694254583800497,0.820624413691703,9.74750512946736e-06,0.418278846185025,7.75540596634815e-10
"B_FCGR3A",0.362153048090576,0.518672511052974,9.99392021096086e-07,0.447941798625669,7.55539375967285e-10
"B_CD2",0.556479220927346,0.194629727060957,0.557676468347964,0.104518127763168,0.00109802815773474
"B_CLEC7A",0.391879201297859,0.747477966947118,4.87754365708897e-06,0.453067509041733,2.58327093953577e-14
"B_GIMAP6",0.420981282600072,0.56076266857366,0.0324054704135794,0.200019651143653,3.05462125958453e-09
"B_AL591846.1",0.105859124645536,0.362307550744243,0.0794379183179185,0.86838582070631,0.373766135375582
"B_INPP4B",0.400081207021346,0.197597842911496,0.32385842322992,0.135258740882456,1.34582808387922e-06
"B_GIMAP7",0.690194880119816,0.206188192195978,0.174839054558218,0.0468668757473406,7.08987642668222e-06
"B_CD28",0.799502652791685,0.154808929413886,0.52254021676112,0.0399473574045194,0.000347926512497751
"B_CD4",0.199882245452344,0.293585191265923,0.171122066562089,0.145646714457891,2.55883113886681e-06
"B_CD36",0.200741065652048,0.050236601859165,0.423936430744665,0.189147023572818,5.14988850325298e-05
"B_CD93",0.772585359376247,0.317112635087229,0.0131686900394814,0.102577186562505,4.23012511029726e-10
"B_DDX3Y",0.225414102970429,0.426664615122019,0.131230800992294,0.05208584866442,0.269463799713152
"B_KDM5D",0.202747078518205,0.480976601225771,0.113465767188737,0.0400368269275604,0.236847146131751
"B_TXLNGY",0.254108131442809,0.433365021285306,0.136570393660013,0.0476301029837479,0.266536327670162
"B_FOS",0.536442271579641,0.75992904196462,0.00218398377810996,0.329627032921677,0.000281412845721445
"B_PRF1",0.97881238332225,0.702402895423756,0.0103581305605456,0.237122914431809,9.41216873134349e-05
"B_BCL11B",0.758933080646042,0.546033899483658,0.416189569661567,0.0995631205989525,1.00047263605259e-05
"B_IGLC2",0.577462096140127,0.868640275908393,0.59705224740808,0.643440545212105,3.01387432414544e-06
"B_CST3",0.305363550892478,0.812698553282561,0.0120624052237852,0.228039220208118,0.00123643135573498
"B_NELL2",0.994162749925815,0.309579590123325,0.762210029451216,0.10327082737692,0.00062367256536697
