"","MM.darkgrey","padj.MM.darkgrey"
"B_IFI44L",0.410027308422191,0.000158497247479581
"B_RSAD2",0.382026770008872,0.000499779369139874
"B_IFIT1",0.319587294525367,0.00460013820538804
"B_IFIT3",0.3400319554925,0.00236029918465316
"B_OASL",0.309855304547385,0.00620669877012122
"B_CMPK2",0.391506892236018,0.000344050492025313
"B_IFI44",0.358887673765702,0.00121125532357633
"B_HLA-C",0.275176993675859,0.0168261381964356
"B_ISG15",0.43908980290552,4.30315541466068e-05
"B_OAS3",0.320760727927554,0.00443233047241337
"B_LINC00926",-0.231541985849497,0.0490753482621705
"B_IFIT2",0.267135112885478,0.0208270744838589
"B_IFITM1",0.327104773334156,0.00361222457508269
"B_IFI6",0.369128455323575,0.00082593813664553
"B_AL669918.1",0.345036237009985,0.00198386826091145
"B_SNORD3B-1",-0.287946986447847,0.0118886385156365
"B_OTOF",0.357658786923434,0.00126534196301299
"B_LGALS3BP",0.359331630879086,0.00119107045399686
"B_AC008758.1",0.258987030440506,0.0256130333168148
"B_SPATS2L",0.255210530145117,0.0281813589114567
"B_USP18",0.420301147510448,0.000100853586911335
"B_ODF3B",0.232310859546247,0.0482879218352757
"B_LY6E",0.440837851618712,3.96021571359092e-05
"B_APOL6",0.240371755491319,0.0401794359339516
"B_SNORD3B-2",-0.244120225533522,0.0367785902088206
"B_HERC5",0.41013192668305,0.000157826471180806
"B_APOBEC3B",0.273621912803676,0.0175679947672799
"B_HSPA7",0.238055464739647,0.0423513469183349
"B_IRF7",0.393258273880545,0.000320474237754076
"B_FAM177B",-0.286268328453386,0.0124528743942961
"B_SERPING1",0.24737914572243,0.0340636455386038
"B_MX1",0.444864057241057,3.26686536962934e-05
"B_ZNF860",-0.240034895709999,0.0405009812294962
"B_ATF3",0.352908317894165,0.00150268054867645
"B_XAF1",0.403590611683041,0.00020930269361423
"B_LAP3",0.234783902559816,0.0457086009711549
"B_DDX60",0.279173381686257,0.0151376015844214
"B_EPSTI1",0.433820867422057,5.47822309874796e-05
"B_CD86",-0.244632526775763,0.0363342475339856
"B_HLA-A",0.289112668607241,0.0114859074624976
"B_DUSP5",0.246708420913453,0.0345979970304395
"B_STAT1",0.295482021653045,0.00955368163605601
"B_RHOB",0.244574548845237,0.0363855325317422
"B_TMED7-TICAM2",0.30081752595346,0.00817684567719924
"B_NTNG2",0.244246099051472,0.0366834748081359
"B_MYO1E",-0.247645269632074,0.0338408015805831
"B_MOV10",0.243462360589888,0.0373782776123201
"B_GBP6",0.277883557372727,0.0156734161511753
"B_HES4",0.31450713035839,0.00537567038279359
"B_HELZ2",0.369562263262505,0.000813643338215617
"B_IFI27",0.379115148221475,0.000559385818776532
"B_OAS1",0.339048295388096,0.0024379673366257
"B_RPL5",-0.244898299360909,0.0361130696600902
"B_SBNO2",0.243298343179575,0.0375245547787716
"B_TCIRG1",0.24643781158436,0.0348210042872911
"B_PARP9",0.347891528234364,0.00179105739551603
"B_ABCC3",-0.234529824427984,0.0459862784074311
"B_MX2",0.23249234715273,0.0481088492019745
"B_EIF2AK2",0.397824068392053,0.000266548858137132
"B_CSRNP1",0.309573961761524,0.00626196443060799
"B_FLT3",-0.269021355246459,0.0198099317100005
"B_AP5B1",0.234046751370395,0.0464796799534094
"B_FBXO6",0.342268176779623,0.00218573477103195
"B_BMS1P1",-0.313079973882994,0.00562481679634071
"B_PARP10",0.29792976852552,0.00890392190468471
"B_TBKBP1",0.35195870046444,0.00155375837577628
"B_HECW2",0.242376882326022,0.0383459754507074
"B_U62317.5",0.232379768147255,0.0482198749128759
"B_RPL9P7",-0.307380426494095,0.00670227356773479
"B_IRF8",-0.243788970578879,0.0370680376845111
"B_ZNF709",-0.294326285549414,0.00987755316829917
"B_MTRNR2L9",-0.243693073792769,0.0371510708851677
"B_MIDN",0.232372676461262,0.0482198749128759
"B_CCDC88A",-0.244766487331653,0.0362131005614572
"B_ZNF594",-0.257194820324571,0.0267692874824609
"B_ZNF33B",-0.276299415439469,0.0163288969854522
"B_TRAF5",-0.245583553245967,0.0355195535784608
"B_CD180",-0.373442987189467,0.000700512354293413
"B_OLFM4",0.239246804465825,0.0412326989325287
"B_SAMD9L",0.266672672280905,0.0210510049094952
"B_MAP3K4",-0.238483391734706,0.0419376128408931
"B_ABCA1",0.244147149854862,0.0367548825285766
"B_NFE2L3",-0.257396334606088,0.0266399482367015
"B_AP000295.1",-0.275568553486621,0.0166561442512535
"B_APOL1",0.241312941973831,0.0393113427048241
"B_USP45",-0.263307644436104,0.0229764542063043
"B_IDO1",0.295239777604926,0.00962105045489997
"B_OAS2",0.282867769997223,0.0136836121307887
"B_WDR36",-0.242460507307322,0.0382733226841729
"B_CRYBG3",-0.262740119821303,0.0232957940535698
"B_HERC6",0.398639934079218,0.000256755443297439
"B_RAB43",0.235833317563664,0.0446410177347665
"B_FKBP8",0.270160398097817,0.0192268857305806
"B_FRMD3",0.28931184027882,0.0114236614664191
"B_SCIMP",-0.248998409965868,0.032749342141166
"B_GBP1P1",0.265923454700143,0.0214525642863938
"B_UTP20",-0.231241549779528,0.0494156348124877
"B_AC090527.2",0.235916707771841,0.0445605283235446
"B_LAMP3",0.369807130308056,0.000806116114192193
"B_GCSAM",-0.300905718029824,0.00815815150025361
"B_CMTR2",-0.240743079522148,0.0398392656545424
"B_AL136295.5",0.242462177100999,0.0382733226841729
"B_RNASEK-C17orf49",0.287362192326064,0.0120817787365913
"B_CHKB-CPT1B",0.264503478786485,0.022272412163634
"B_IFI35",0.374146986500325,0.000682372600745814
"B_DNM1L",-0.238965480180432,0.0414932794411901
"B_MYC",-0.246524068443669,0.0347517290582097
"B_DYNC1I2",-0.244953955318736,0.0360645225522416
"B_METAP2",-0.254885175503639,0.0284028782566103
"B_RAB11FIP1",0.236964159648393,0.0434653695458901
"B_UBE2L6",0.341092511901879,0.00227400115294419
"B_CRISP3",0.237143255698793,0.0432858324734692
"B_QRSL1",-0.290952355115167,0.0109028131085061
"B_LY86",-0.276658596299888,0.016172239613758
"B_TRIM6",0.272107065991907,0.0183093799418745
"B_RPL7",-0.236241806126974,0.0442515880264065
"B_RPS13",-0.234322602801421,0.0461972754475394
"B_RPL7P9",-0.365494527062855,0.000946351650352423
"B_AC243772.2",0.28967383195841,0.011312154791044
"B_ZFP90",-0.234886981412143,0.0456005539483
"B_MLH3",-0.289268189456491,0.0114368179739599
"B_HLA-B",0.311478648912353,0.00591318091304078
"B_AC091132.4",-0.245582506139473,0.0355195535784608
