"","MM.darkturquoise","padj.MM.darkturquoise"
"B_LYZ",0.244567275883038,0.0286915502965903
"B_S100A9",0.364917097604449,0.000575832183187835
"B_S100A8",0.355375105730288,0.000835427075094264
"B_GIMAP4",0.341890648717769,0.00138356028815774
"B_ANXA1",0.253167832621744,0.0228807976551329
"B_FCN1",0.231741547834567,0.0394363052311534
"B_FYB1",0.346763473358423,0.00115729137165603
"B_HLA-DQA1",-0.242161940373666,0.030544606952361
"B_CXCL8",0.330501748331935,0.00209418059139686
"B_FCGR3B",0.483414708811941,1.92152341736048e-06
"B_JAML",0.346498195357758,0.00116866401981099
"B_SERPINA1",0.339644645040962,0.00150515812335837
"B_TNFAIP2",0.357941529928029,0.000756943039500037
"B_CSF3R",0.359566777866257,0.000711122919223924
"B_CD14",0.315135500636306,0.00356726753055824
"B_FPR1",0.426332046495809,3.9112802460446e-05
"B_FCGR3A",0.46648503326685,4.98287031613116e-06
"B_CLEC7A",0.439086906160608,2.07776087628923e-05
"B_CD93",0.247165537288415,0.0268037656004099
"B_FOS",0.302973641417604,0.00531318277121995
"B_PRF1",0.255310176257953,0.0215951851569803
"B_CST3",0.250171293302675,0.0247789753980797
"B_AQP9",0.388947786602598,0.000213998170282134
"B_HK3",0.249361033462257,0.0253121656881284
"B_MS4A6A",0.232438816851303,0.0387799716304593
"B_MEFV",0.410723352823178,8.13658937886274e-05
"B_LPAR6",0.266981167814902,0.0156893904302618
"B_PLXDC2",0.347103947316588,0.00114215211724566
"B_TLR8",0.372569761163039,0.000423644702938885
"B_AIF1",0.304440407859612,0.00506645228602239
"B_TYROBP",0.424312417217973,4.31125044998738e-05
"B_CXCR2",0.442289230729664,1.77440070827493e-05
"B_IPCEF1",0.282342275924387,0.0100595607482726
"B_CX3CR1",0.307175451229031,0.00463649211919423
"B_MNDA",0.407918496884388,9.25069408612616e-05
"B_S100A12",0.286998454671323,0.00875971753222954
"B_NFAM1",0.337727996101967,0.00161614197435272
"B_LILRA5",0.384838713033118,0.000255606761894381
"B_FOSL2",0.341146879248963,0.00142284503024194
"B_PYGL",0.320317152132147,0.00299537669590848
"B_FPR2",0.450955678379358,1.14188994920419e-05
"B_ACTN1",0.349352315742551,0.00105148445345124
"B_SULF2",0.292865737044478,0.00731892292542213
"B_P2RY13",0.387295200096766,0.000229690403007879
"B_IFI44L",0.924335794004306,7.81007416558133e-40
"B_HLA-DQA2",-0.286691059089555,0.00884232611551772
"B_CFP",0.331976127302296,0.00198649559768101
"B_FCER1G",0.31776111275241,0.00326668324564419
"B_SECTM1",0.461997413692042,6.35909536218562e-06
"B_DOCK5",0.355666012493055,0.000826649254326802
"B_TNFRSF1A",0.366506606535413,0.00054098213813425
"B_SLC40A1",0.358534555658551,0.00073986257896846
"B_WDFY3",0.390875481471336,0.000197253969547361
"B_BST1",0.417658290759999,5.91645824422097e-05
"B_STEAP4",0.425270507715644,4.1185158301516e-05
"B_PTGS2",0.390697899754794,0.00019882309436522
"B_CSTA",0.326415140243999,0.00242014491086679
"B_RSAD2",0.9523883246683,5.22940411725734e-49
"B_ID2",0.294723627951606,0.00690275416244777
"B_IGSF6",0.41149448742749,7.85097698919758e-05
"B_CXCR1",0.439551437899503,2.03056797032313e-05
"B_CEBPD",0.36925354229706,0.000484981857483957
"B_TNFRSF10C",0.461664281521757,6.46914783777687e-06
"B_GNLY",0.222483999532944,0.0492311751616396
"B_CLEC4E",0.395451974564005,0.000161338220942441
"B_GNAQ",0.321432124018721,0.00288653314560533
"B_SIRPB2",0.344739974638845,0.00124666060462245
"B_DMXL2",0.323455868110195,0.00268966647283212
"B_KCNE3",0.368353088694808,0.000502352146930261
"B_SLFN5",0.457576334032323,8.04993274202543e-06
"B_NCF2",0.319727523083622,0.00305348542005289
"B_CCR1",0.496602958731223,8.85181970039172e-07
"B_DYSF",0.361929708135666,0.000647789633431125
"B_LILRA6",0.395978076637011,0.000157731460644384
"B_NKG7",0.265660773445733,0.0162954736979982
"B_APOBEC3A",0.510286252737595,3.81757659909029e-07
"B_RGS2",0.318689090497245,0.00316500555701712
"B_PLEKHG3",0.359783033032911,0.000705076117880445
"B_TLR2",0.401407099054952,0.000124123274469118
"B_SRGN",0.416261399479266,6.31034891608339e-05
"B_AOAH",0.291170545355028,0.0077044037829441
"B_C5AR1",0.384117592431198,0.000262977739723954
"B_NLRP12",0.346522971163751,0.00116763930898984
"B_FFAR2",0.550466842291059,2.69046342963702e-08
"B_IFIT1",0.918507940930877,2.09347118112705e-38
"B_FCGR2A",0.376753854305785,0.000357895267134923
"B_CFD",0.414189975030814,6.94292760494692e-05
"B_SLC8A1",0.302656635040033,0.00536607806244062
"B_ANPEP",0.314885084122048,0.00359589721671876
"B_RGS18",0.379760765326287,0.000315565434441004
"B_TREM1",0.328091180331935,0.00228223797260285
"B_IGHM",-0.291503065270614,0.00763278249664417
"B_MMP25",0.378575828894811,0.00033140453910682
"B_IFIT3",0.920551480724334,6.5845393560733e-39
"B_CRISPLD2",0.34750777012737,0.00112536967533951
"B_MICAL2",0.236199410588944,0.0354047220472017
"B_CD300LB",0.388703808608768,0.000216148771392302
"B_KCNJ15",0.519351612429201,2.14727299711871e-07
"B_FGL2",0.34099799949939,0.00143083008126927
"B_TLR4",0.329606359667722,0.00216324340339587
"B_LILRB3",0.390208142847045,0.000202979108606841
"B_NFE2",0.426881555873241,3.81097820580066e-05
"B_MGAM",0.315219212109414,0.0035566849372475
"B_G0S2",0.328099130389637,0.00228183901159405
"B_NAMPT",0.494129960992632,1.02579597688124e-06
"B_PADI2",0.339777996530302,0.00149791139675887
"B_OASL",0.811095450834275,3.43124919016034e-22
"B_FAM105A",0.283311329374516,0.00977454349400063
"B_CD302",0.340765211221382,0.0014435351935864
"B_SORT1",0.366148954659697,0.000548530351615859
"B_SIRPA",0.294255246553384,0.00700427101392823
"B_ARHGEF40",0.328662205406603,0.00223710112088337
"B_FCGR1A",0.504617113701449,5.41124789691543e-07
"B_TNFSF13B",0.515509066029763,2.7505778281636e-07
"B_SLC11A1",0.317907664024746,0.00325052023708141
"B_SOCS3",0.252093428439805,0.0235452529350636
"B_GLT1D1",0.412538645433215,7.485623938879e-05
"B_TCL1A",-0.320150526029578,0.00301111213044777
"B_CMPK2",0.95838934799573,1.4771584632716e-51
"B_PTAFR",0.300174906612465,0.00580583469212654
"B_VNN1",0.413820072496637,7.05965405176824e-05
"B_ITGA5",0.399815720791103,0.000132931623707394
"B_LILRB2",0.327050049818644,0.00236671413479739
"B_ADGRE2",0.278917334681834,0.0111131885597183
"B_RFLNB",0.224703432329046,0.0467173405158192
"B_ADGRE3",0.339201427359927,0.00153049985088136
"B_CD300LF",0.349808247130164,0.00103368434386528
"B_IGHD",-0.359263725744297,0.000719356295852978
"B_IL6R",0.340111016172994,0.00148024996684319
"B_LILRA2",0.33918234520394,0.00153146134777446
"B_LPCAT2",0.42768948563927,3.66791163959195e-05
