"","MM.orange","padj.MM.orange"
"B_LYZ",-0.398230178255886,0.000134777227083104
"B_S100A9",-0.427779810834981,3.38717146018224e-05
"B_IL7R",-0.432802704284705,2.6504111278538e-05
"B_S100A8",-0.494266844866354,9.33186930364141e-07
"B_VCAN",-0.29416360687965,0.00675947300549624
"B_GIMAP4",-0.545815134126558,3.57980965139401e-08
"B_ANXA1",-0.566670665509911,8.01614346743629e-09
"B_FCN1",-0.338266980907792,0.00153214046453536
"B_FYB1",-0.552103739242279,2.30648066694109e-08
"B_HLA-DQA1",0.306254576047375,0.00460782518192041
"B_ITK",-0.450359269666216,1.07745016304647e-05
"B_CXCL8",-0.477044360421503,2.52633287806109e-06
"B_FCGR3B",-0.499932697609792,6.65829311893334e-07
"B_GIMAP5",-0.463226768382836,5.42413480725674e-06
"B_JAML",-0.638421453388654,1.99556202844491e-11
"B_SERPINA1",-0.474516798171166,2.9149328993202e-06
"B_TNFAIP2",-0.5175252460891,2.2734540593701e-07
"B_MTCO1P12",-0.22785983902768,0.0416965607914046
"B_CSF3R",-0.460249802367552,6.37856054893478e-06
"B_CD14",-0.425244605186763,3.82620753703741e-05
"B_FPR1",-0.566988543074078,7.82978896148223e-09
"B_FCGR3A",-0.56730109072462,7.65490755792589e-09
"B_CD2",-0.321732973377734,0.00274130110531704
"B_CLEC7A",-0.669657633283535,8.68326366230512e-13
"B_GIMAP6",-0.550118387569126,2.64698549357412e-08
"B_INPP4B",-0.461519158910091,5.95235773498107e-06
"B_GIMAP7",-0.432260687930074,2.72059724738381e-05
"B_CD28",-0.350654114257759,0.000963196118381389
"B_CD4",-0.450524268175904,1.06805654313506e-05
"B_CD36",-0.393368998423737,0.000167231320125117
"B_CD93",-0.574156612130153,4.61804051342496e-09
"B_FOS",-0.3557023126899,0.000793718363337879
"B_PRF1",-0.38051377058666,0.000289694328450092
"B_BCL11B",-0.425842005917222,3.71853795224897e-05
"B_IGLC2",0.447661288939075,1.24053275330127e-05
"B_CST3",-0.318579012652171,0.00305518002405479
"B_NELL2",-0.336316396441365,0.00164448929562813
"B_AQP9",-0.549208145507226,2.8220662043956e-08
"B_PLBD1",-0.476205901130051,2.64789481904865e-06
"B_HK3",-0.362886681121075,0.000597684336763622
"B_MS4A6A",-0.542866123058318,4.35736970034145e-08
"B_MEFV",-0.600924776982646,5.60067887892386e-10
"B_LPAR6",-0.473445433849761,3.08669357792503e-06
"B_CPVL",-0.312093032915051,0.00380230460776496
"B_PLXDC2",-0.672983345189112,6.12179959920237e-13
"B_TLR8",-0.649085609117967,7.28758297476289e-12
"B_AIF1",-0.485625089454881,1.54660625504767e-06
"B_TYROBP",-0.557286657808577,1.59373788038155e-08
"B_TRAT1",-0.353051448493787,0.000879220957004591
"B_CXCR2",-0.65075901740475,6.21464163429533e-12
"B_IPCEF1",-0.669399980285586,8.94171862505268e-13
"B_THEMIS",-0.344569798905896,0.00121461672204248
"B_CX3CR1",-0.506848724214467,4.39299160361724e-07
"B_CD3D",-0.317585180286321,0.00316025512106558
"B_DSP",0.335515628135385,0.00169335360707875
"B_MNDA",-0.474132303486134,2.97453299500507e-06
"B_S100A12",-0.504455012442373,5.0710348007543e-07
"B_NFAM1",-0.478292090794636,2.35077033435758e-06
"B_LILRA5",-0.478438996960193,2.32977560019574e-06
"B_FOSL2",-0.513003052392237,3.01021883130044e-07
"B_PYGL",-0.535047315022218,7.41031616962254e-08
"B_FPR2",-0.592640156343203,1.09096386759e-09
"B_ACTN1",-0.5993210188673,6.39034616256822e-10
"B_IL32",-0.332602677588549,0.00187634529724172
"B_SULF2",-0.508049051089869,4.08833158524611e-07
"B_P2RY13",-0.604912459658593,4.04704244442669e-10
"B_IFI44L",-0.364296614146119,0.00056458599433993
"B_CD3G",-0.351750116996278,0.000923486488108888
"B_CFP",-0.426422366633097,3.62036956909499e-05
"B_FCER1G",-0.5003549841678,6.49747490895336e-07
"B_SECTM1",-0.523739738958521,1.52731456540564e-07
"B_IGKC",0.621882126849917,9.22043075025089e-11
"B_TGFBI",-0.293544543886317,0.00688365015107406
"B_PRKCH",-0.494658484338776,9.12323026760636e-07
"B_DOCK5",-0.584654710014644,2.06456391620902e-09
"B_ITGA6",-0.492017198639452,1.06355693647775e-06
"B_TNFRSF1A",-0.549060086656752,2.85026622172992e-08
"B_TIAM1",-0.390193242021335,0.00019194006322214
"B_GZMK",-0.323105321369672,0.00261367982790497
"B_LEF1",-0.416932323137407,5.68616766841963e-05
"B_SLC40A1",-0.608194201005889,3.09978915601264e-10
"B_CLEC12A",-0.548352138438169,2.99803176202377e-08
"B_WDFY3",-0.709135712472337,8.02000886675349e-15
