"","MM.purple","padj.MM.purple"
"B_IFI44L",0.756983164447569,7.53907625951425e-18
"B_RSAD2",0.608968192089666,9.46881156657203e-10
"B_IFIT1",0.544692030959603,2.02259879053391e-07
"B_IFIT3",0.550618558288157,1.30012479973413e-07
"B_OASL",0.399247273342836,0.000973887654799953
"B_CMPK2",0.669326579409635,1.72878514978241e-12
"B_IFI44",0.679756444580204,4.93335748676207e-13
"B_HLA-C",0.30916939541797,0.024204457137626
"B_ISG15",0.505734752903733,3.07750373540155e-06
"B_SIGLEC1",0.342319037535923,0.0087588757807407
"B_TYMP",0.337432218783021,0.0103212743216414
"B_OAS3",0.611828002962349,7.2928137716486e-10
"B_IFIT2",0.304772562136303,0.0276079740969237
"B_IFITM1",0.447485815347995,9.52774471705815e-05
"B_IFI6",0.551509865525425,1.21594786598913e-07
"B_RNY3",-0.489702025900698,8.43329292274186e-06
"B_COCH",-0.346137874057402,0.0076603281579523
"B_SNORD3B-1",0.289708370545966,0.0410650573368011
"B_LGALS3BP",0.416307299701564,0.000448914871554807
"B_LINC01781",-0.352953801999532,0.00606402165636972
"B_BTNL9",-0.597502465885333,2.7194996845624e-09
"B_SNORD118",-0.318694963188037,0.0184430653235457
"B_SPATS2L",0.397005944581709,0.00107185267690571
"B_USP18",0.690150944730478,1.34589900734058e-13
"B_AC010733.2",-0.339038535840088,0.0098062211055562
"B_AC011462.1",0.295099528088034,0.0357629202022506
"B_CD27",-0.342174288404855,0.00878800734445382
"B_CD1C",-0.404540955079551,0.000772866953680559
"B_COL4A3",-0.41377708224087,0.000502262865473082
"B_ODF3B",0.414925541746293,0.000477758676828885
"B_LY6E",0.342299153245089,0.0087588757807407
"B_SNORA8",-0.325529878744462,0.0150466011073986
"B_BAIAP3",-0.307677006347717,0.02531876905653
"B_LILRA4",-0.439317335630698,0.000146372813004568
"B_SNORD3B-2",0.282356717151757,0.0491020779632013
"B_RNU5A-1",-0.320390056963915,0.0175686066688396
"B_AL928742.1",-0.323191783840884,0.0161573001852021
"B_CARMIL1",-0.309313950701454,0.0241447481461293
"B_HERC5",0.519763394957619,1.21094904097829e-06
"B_LINC00494",-0.297517611914903,0.0335114630537752
"B_SNORA81",-0.40665551871285,0.000701065213522253
"B_CRIP2",-0.290777437607013,0.040052149548165
"B_IRF7",0.400964020910223,0.000903366177773562
"B_COL4A4",-0.352744687877998,0.00609554765336411
"B_TNFRSF13B",-0.350389827809621,0.00661237958572872
"B_TBC1D27P",-0.28986249018065,0.0409239890109653
"B_HAPLN3",0.410594087943968,0.00058503038235708
"B_JAM3",-0.359718324543545,0.00478034783344023
"B_SCO2",0.285178327935114,0.045911563154089
"B_MX1",0.618154810722129,3.96445524731801e-10
"B_ATF3",0.281675470494206,0.049828577492466
"B_XAF1",0.682630059787833,3.50452966578242e-13
"B_FBLN2",-0.389205104220954,0.00147889622520353
"B_LAP3",0.340637048997664,0.00926062987901506
"B_DDX60",0.303422749016314,0.0285638001734669
"B_GPR155",0.289844887456931,0.0409240852145701
"B_SLC22A15",-0.315752883557991,0.0200425020788629
"B_RNY4",-0.352182976145665,0.00621112574268231
"B_EPSTI1",0.556202285026595,8.50482807421072e-08
"B_RNY1",-0.497927644484698,5.05118837816516e-06
"B_FPR3",0.317510933076617,0.0190634219281839
"B_OR2A20P",-0.430248095449272,0.000229776291464859
"B_MMRN1",-0.404198238438015,0.000784088768486818
"B_STAT1",0.530838754032069,5.55012289773307e-07
"B_EML6",-0.288845180388676,0.0419334858505748
"B_C10orf128",-0.460808035049529,4.60924182044463e-05
"B_REXO1L1P",0.291938942106576,0.0388956599943461
"B_SMPD3",-0.365758680591701,0.00382122808678284
"B_HLA-DRB6",-0.330755941707176,0.0127058594536608
"B_HELZ2",0.352570982787231,0.00612841656104367
"B_EPHA4",-0.366296747921823,0.00374391610748805
"B_IFI27",0.406555213685092,0.000703669588135777
"B_LINC01857",-0.28422654212764,0.0469347930576681
"B_OAS1",0.401489681979423,0.000881532762165344
"B_SLC6A6",-0.282923160826523,0.0483601430233052
"B_PARP9",0.396345074121773,0.00110465987884134
"B_SNORA23",-0.296144253548412,0.0347963506549904
"B_SNORD89",-0.361461614725584,0.00446613495621587
"B_CARNS1",-0.294654449924475,0.036203819347836
"B_EIF2AK2",0.610514119997491,8.26363250587536e-10
"B_LINC02422",-0.313040668380049,0.0216599206354727
"B_EHD3",-0.35865427282446,0.00496340658762088
"B_ASPM",0.312999321582401,0.0216773826874993
"B_GUSBP9",-0.331401999986714,0.0124504275575361
"B_GALNTL6",-0.434523553856772,0.00018629232576368
"B_GATM",-0.423694926346343,0.000314854538652251
"B_TNFSF9",-0.315091692097919,0.0204174530377079
"B_CPED1",-0.356932292365696,0.00528371698736459
"B_VCL",-0.294562899320911,0.0362957579079154
"B_WEE1",-0.310122061468576,0.0235279896655236
"B_EPHB2",0.352993204912815,0.00606125026818087
"B_LDLR",0.378802534712969,0.00227991594898361
"B_AL031733.2",-0.415732505665242,0.000460514208572976
"B_XRRA1",-0.292654454288757,0.0381639592928847
"B_SSPN",-0.338273956313628,0.0100582931745853
"B_XKR4",0.305228080733201,0.0271988492428757
"B_CCDC191",-0.394626854111422,0.00118106279031921
"B_DUS2",-0.343383672385493,0.00845730013308541
"B_CLECL1",-0.282222684237383,0.0492924084821751
"B_OAS2",0.363898616284687,0.00410583490875718
