"","MM.salmon","padj.MM.salmon"
"B_IFI44L",-0.2981676236717,0.0147376250207706
"B_RSAD2",-0.255045519137808,0.0487757568350569
"B_FAM69B",-0.317894116096163,0.00794555072737898
"B_ISG15",-0.273084685822496,0.0304238005458479
"B_RNU1-2",0.346867824077023,0.00304415597882766
"B_RNU1-27P",0.346867824077023,0.00304415597882766
"B_RNU1-4",0.346867824077023,0.00304415597882766
"B_RNVU1-7",0.292590104588176,0.0174845296678238
"B_RNY3",0.589770488058739,7.15073137738556e-09
"B_SNORA54",0.570127520070708,3.72375036262772e-08
"B_AC008758.1",-0.28027966467523,0.0248084676455087
"B_BTNL9",0.26308106784817,0.0397347345912934
"B_SNORD118",0.709635091023031,1.44464056826442e-14
"B_USP18",-0.287616914110889,0.0201182226331874
"B_MT-RNR1",-0.270046422141052,0.0330931233578186
"B_SNORA53",0.402426824219722,0.000391407901279194
"B_LY6E",-0.264421282401777,0.0383947698366319
"B_SNORA8",0.639499501266611,6.19385580869782e-11
"B_RF00019",0.460334933103648,3.61860571982322e-05
"B_SNORA63",0.445039222922902,6.93111815241412e-05
"B_SNORA7A",0.449669187756001,5.73627416078081e-05
"B_RNU5A-1",0.673988148327028,1.27770037069847e-12
"B_SNORA57",0.404239845862519,0.000364871592123729
"B_RNU2-64P",0.504170148415703,3.88394388533674e-06
"B_SNORA68",0.420791795757027,0.000192119614431341
"B_SNORA81",0.642195948732715,4.70114382281806e-11
"B_SNORD15A",0.587201344421522,8.91792572247427e-09
"B_IRF7",-0.265129089110502,0.0376609216663408
"B_SNORD10",0.396641932141004,0.000487114092792838
"B_SNORA3A",0.647111166559691,2.77613686675135e-11
"B_SCARNA5",0.277892971093217,0.0265724239423114
"B_MX1",-0.33147175937424,0.00512856029228434
"B_XAF1",-0.294251181824972,0.0166293614069893
"B_RNU6ATAC",0.584503920299815,1.12275603216404e-08
"B_TSIX",-0.295709877679964,0.0158711974659235
"B_HERC2P3",-0.275568320712205,0.0283538173366905
"B_RNY4",0.669247493172001,2.25223803207981e-12
"B_RNY1",0.696644954799251,7.94383998030604e-14
"B_SNORA70",0.39237297769742,0.000572752079794834
"B_SNORA37",0.640348807473394,5.67446249998012e-11
"B_SNORA20",0.57295067545848,2.96775580381158e-08
"B_AL137247.1",0.275255766778581,0.0286039052200704
"B_SNORA46",0.631427927807081,1.41300914266797e-10
"B_RNU5B-1",0.566819982804758,4.78138282647916e-08
"B_SNORD94",0.354734400406402,0.00231303290527281
"B_SNORA38",0.440234148891733,8.47975048375605e-05
"B_SNORD13",0.496770505641363,5.8715110078531e-06
"B_RNU6-1",0.693931179040612,1.10902651002655e-13
"B_RNU6-3P",0.693931179040612,1.10902651002655e-13
"B_RNU6-5P",0.693931179040612,1.10902651002655e-13
"B_SNORA23",0.476116373167844,1.78285238521424e-05
"B_SNORD89",0.634117951055582,1.0859281322558e-10
"B_EIF2AK2",-0.272090440486949,0.0312602747797733
"B_FAM153A",0.344570141409735,0.00329683464711093
"B_SNORD3C",0.463541249988496,3.13920280592536e-05
"B_SNORD3A",0.254613658034469,0.049305406474613
"B_SNORA64",0.522472032482131,1.22417746362263e-06
"B_SNORA21",0.546793811057816,2.24104701365284e-07
"B_RNU2-61P",0.460340431611276,3.61860571982322e-05
"B_SNORA10",0.594265253403106,4.8487665566929e-09
"B_SNORA80A",0.320312387814258,0.00737441129219735
"B_SNORA62",0.584678098467322,1.10917720212861e-08
"B_RNU2-6P",0.474814855551302,1.90479523758717e-05
"B_SNORA2C",0.479671197380046,1.48437135474132e-05
"B_KRT73",0.266575807348604,0.036314518455603
"B_RNU2-59P",0.569246810262728,3.98586501954662e-08
"B_SNORA49",0.504316093907383,3.85793220476766e-06
"B_SNORA48",0.589561325039485,7.26270783004427e-09
"B_SNORD33",0.620666024274149,4.17629254435935e-10
"B_NFE2L3",0.286088463881476,0.0210510357783827
"B_SNHG20",0.330821387741995,0.00524093601545253
"B_AP000295.1",0.309636342380834,0.0103272653389151
"B_LINC01619",0.260497957927057,0.0424924125205769
"B_SNHG3",0.25417322485566,0.0498759338573545
"B_SNORA73B",0.331964794697937,0.00505631198276213
"B_SNORA71B",0.674817267042486,1.15900700790904e-12
"B_AC092068.3",-0.311426126083064,0.0097866487005427
"B_SNORA31",0.718235176842834,4.46091816124037e-15
"B_RPL21P75",0.299271251578186,0.0142283737723068
"B_SNORA50B",0.360088585627941,0.00191202823563661
"B_SNORA38B",0.486903869868869,1.03780762273763e-05
"B_SNORA12",0.270646640099508,0.0325364116038138
"B_SNORA26",0.694958634945204,9.85714675210134e-14
"B_LSAMP",-0.281798234273261,0.0237738558490427
"B_SNORA6",0.644186342373868,3.81435618655375e-11
"B_SNORA13",0.357368409602828,0.00211178217088945
"B_RNU4-2",0.590479138383673,6.75231353566963e-09
"B_AC078927.1",0.302914718289172,0.0126946333765443
"B_RNU5E-1",0.474471509914387,1.93110287690639e-05
"B_RPL7P9",0.279394892199477,0.0254621440030415
"B_EEF1A1P6",0.284600614481312,0.0219450504768339
"B_SNORA74D",0.619851197600285,4.4988437398634e-10
"B_SNHG25",0.374225701339854,0.00113789705027137
"B_SNORA71D",0.527123738028884,8.93066652716202e-07
"B_SNORA28",0.777820163806904,2.70187993314893e-19
"B_AL360012.1",0.609584347822298,1.1917165029256e-09
"B_IGHV2-26",-0.26632580008199,0.0364933582722084
"B_AGRN",-0.265528288038724,0.0372568792052813
"B_SNORA72",0.569297145727184,3.98137338476798e-08
"B_RETREG1",0.288384978102534,0.0197005778978519
"B_HSPA1B",-0.262464222637338,0.0403586352586845
"B_RNU4-1",0.557487277805275,9.99586652451076e-08
"B_TNP2",-0.261830989519848,0.041021538595735
"B_RPS3AP6",0.334232905867587,0.00468895555725894
"B_SNORA79B",0.3738070375705,0.00115429033257545
"B_AC096644.4",-0.256021019179295,0.0476608004442196
"B_BTG1P1",0.255687587640358,0.0480719203684353
"B_EEF1E1-BLOC1S5",0.318191072914756,0.00787265784831626
"B_TMPRSS11A",-0.271559737494445,0.0317117920932762
"B_AC022893.2",-0.287302411956917,0.0203100205004643
"B_AC005912.1",0.291530919998787,0.0180161222284138
"B_SNORA50A",0.58507139372704,1.0746580509253e-08
"B_SNORD46",0.694194277191195,1.08601073764559e-13
"B_LINC01016",-0.283347883512483,0.0226891290017256
"B_SNORA74A",0.312837385564478,0.00934191298327029
"B_LINC02197",-0.275463256403876,0.0284246717534437
"B_SNORA14B",0.717353537427957,4.99341751165972e-15
"B_EEF1A1P5",0.535286058205668,5.1279494639936e-07
"B_WDR87",-0.310948521985507,0.00992861599396896
"B_RF00322",0.56021358314143,8.07150323336536e-08
"B_ZFHX4",-0.257760105476892,0.0456484506837658
"B_AC105342.1",-0.257050155947135,0.0465030628697174
"B_PTGER3",-0.287158261047917,0.0203755036222465
"B_RAB15",0.273867462443084,0.0297625671061318
"B_RN7SKP255",0.28138216205898,0.0240523202676044
"B_RGS13",-0.291976660706182,0.0177884975238823
"B_AP3M2",0.254190420076184,0.0498619869941592
"B_HHLA1",-0.28081536057733,0.0244388558744905
"B_RNU2-2P",0.480621756586678,1.41457059566223e-05
"B_ZNF385D",-0.262371098754412,0.0404546726413158
"B_MTCO2P12",0.260371686024238,0.0426052494286369
"B_PCLO",-0.259260808035449,0.0438337393696849
"B_SNORA7B",0.562703915468612,6.64605380765488e-08
"B_TRDV2",0.275152781637784,0.0286914921930324
"B_KLK15",-0.3134363344879,0.00916371497065337
"B_AC024293.1",0.361039358270787,0.00184744053188994
"B_ANKRD20A8P",-0.260040801364261,0.0429649101992521
"B_SNORA84",0.437461743114556,9.57284218556441e-05
"B_FIGN",-0.336720123502387,0.00431754206647484
"B_RPL10P16",0.318172215771697,0.00787573901316076
"B_FHIT",0.266156053822142,0.0366506850166737
"B_Z93241.1",0.439413863112731,8.77548761646355e-05
"B_WNT2B",-0.263159829949476,0.0396673634492256
"B_HNRNPA1P66",-0.272160821831066,0.0312061467977088
"B_RN7SKP71",0.404094295070032,0.000365838920989141
"B_SAXO2",0.325114929383099,0.00633410368358178
"B_SCARNA21",0.451585172128479,5.25899365646781e-05
"B_L3MBTL4-AS1",-0.290124679583579,0.0187585309305132
"B_AC006326.1",-0.259200979102595,0.0438976156285058
"B_SNORD32A",0.718070269142671,4.54516008969373e-15
"B_STXBP5L",-0.272290716770723,0.0311246976277914
"B_DLGAP1",-0.36354782533015,0.00168648513375454
"B_PALMD",-0.276681312955958,0.0274801171437516
"B_DNAJA1P1",-0.297333085334054,0.0151294259216167
"B_RUNX1T1",-0.313675676877478,0.0090943763467175
"B_FSBP",0.321318802561633,0.00714516672367217
"B_SNHG9",0.318929743275356,0.00769172821467134
"B_SNORD14C",0.571990951484219,3.21015589136763e-08
"B_GP5",0.309105133701335,0.0104992539246228
"B_PCSK2",-0.266771385536792,0.0361144377820748
"B_SNORD95",0.562438530788672,6.77253366953557e-08
"B_BMPR1B",-0.293650816742098,0.0169513436782601
"B_MTND5P19",-0.265525877679851,0.0372568792052813
"T_AC008695.1",0.285306814572292,0.0215312680491006
"T_IFI44L",-0.319442723441291,0.00757376145032163
"T_AL356488.2",-0.443969435342827,7.24684229550504e-05
"T_RNU5A-1",0.872094356063209,1.89575254023186e-29
"T_NKG7",-0.258132980872263,0.0451798530899035
"T_IFIT3",-0.284324056242043,0.0221064896467367
"T_SNORA81",0.958951773860118,3.84292779145896e-51
"T_RNY1",0.904595218728003,6.0535907535896e-35
"T_AL355075.4",-0.531049326919156,6.9277317412589e-07
"T_TYMP",-0.283903679595055,0.0223577286270508
"T_SNORA54",0.809888247752768,3.86926474605449e-22
"T_TRDC",0.255432540265017,0.0483497892805492
"T_SNORA57",0.339115943264178,0.0039765460430357
"T_PTPRCAP",-0.388626306895291,0.000660767212201944
"T_RNY4",0.892737611826188,8.43027324472416e-33
"T_SNORD15A",0.871180898839872,2.55678603909648e-29
"T_RNU2-59P",0.819978146766535,3.89306246873919e-23
"T_PLEC",-0.442251954320325,7.76023130942713e-05
"T_RF00019",0.758134757805704,9.03107649225214e-18
"T_CTSW",-0.274968658661057,0.0288323242624121
"T_RSAD2",-0.281561518428123,0.0239386953367109
"T_HIST2H2AA3",-0.492618647998467,7.45564205668839e-06
"T_SNORA7A",0.570798122058409,3.52956691778737e-08
"T_GOLGA8B",0.299974784245669,0.0139253379121737
"T_COL18A1",-0.282484182702698,0.0232972847169674
"T_S1PR4",-0.453080621510139,4.94541967811686e-05
"T_RNY3",0.840664997889281,2.11638523208311e-25
"T_RMRP",-0.353467157687598,0.00241896654394855
"T_RNU5B-1",0.835613942217414,8.23805016400631e-25
"T_SNORA8",0.946536121909041,5.98966103432456e-46
"T_IFI27",-0.324005162625427,0.00655107730909666
"T_RPS17",-0.541749441554344,3.26722441676514e-07
"T_GZMM",-0.317484348357822,0.00803556221513795
"T_JUNB",-0.292645087248462,0.0174627603527065
"T_FLNA",-0.496354134478421,6.01215922147655e-06
"T_SNORD118",0.920524235580005,1.73982601535931e-38
"T_AC079594.2",0.378322364345801,0.000973837575476519
"T_ISG15",-0.46773555635247,2.56576812342813e-05
"T_RNU2-64P",0.687377361216079,2.56648116204223e-13
"T_IFI44",-0.273923476631973,0.029724395814972
"T_PKD1P1",-0.331125199351798,0.00518792137821673
"T_RNU1-2",0.815057927151493,1.19262861428046e-22
"T_RNU1-27P",0.815057927151493,1.19262861428046e-22
"T_RNU1-4",0.815057927151493,1.19262861428046e-22
"T_RNU4-2",0.944355778723867,2.68572366498178e-45
"T_LIME1",-0.309837854245828,0.0102637065196792
"T_RNVU1-7",0.773537540776091,6.01230398746247e-19
"T_HELZ2",-0.483618560888852,1.23218469306378e-05
"T_GRN",-0.354422612613591,0.00233814976199889
"T_SNORA20",0.877663016328068,2.93676676401749e-30
"T_OAS1",-0.30489035188233,0.0119589145310993
"T_SNORA46",0.922618801686772,6.18420933342819e-39
"T_HIST1H1E",-0.434858973470808,0.000107322278098235
"T_SNORD89",0.881822768283398,6.62201800608555e-31
"T_CMPK2",-0.303865104343711,0.0123338444119492
"T_PGGHG",-0.372351723870927,0.00121946810353184
"T_PARP10",-0.501096927710308,4.65592589970538e-06
"T_CD7",-0.315962835773757,0.00845052726254153
"T_ARHGAP45",-0.439002451435462,8.93420190881661e-05
"T_SBF1",-0.453669943792027,4.84244083693252e-05
"T_RNU4-1",0.924996296674856,1.62330052692642e-39
"T_KLRB1",0.288414498352048,0.0196863339772884
"T_HSPA1B",-0.346197026336209,0.00311345083905497
"T_MEGF6",-0.318087456388207,0.00789330422037414
"T_LGALS1",-0.471614821364158,2.16987171019212e-05
"T_LY6E",-0.520584931377034,1.37503392629392e-06
"T_HIST1H4J",-0.574656167816563,2.58148929046778e-08
"T_CORO1A",-0.510067348942966,2.73554819954629e-06
"T_IRF7",-0.473413358793848,2.02907040036313e-05
"T_SNORA62",0.832898174917524,1.64864213194338e-24
"T_FBXW5",-0.472607275101623,2.08873537457749e-05
"T_COMMD3-BMI1",0.411576402134215,0.000274847502581031
"T_ARHGAP4",-0.476928225052951,1.70859896430176e-05
"T_MX1",-0.305755257270549,0.0116441408399712
"T_HIST1H2BD",-0.372049663650833,0.00123219482428307
"T_BCL9L",-0.26698588703428,0.0359089142039283
"T_DPP7",-0.471231669216505,2.19865338985021e-05
"T_RPL36",-0.47001601329239,2.32600753778532e-05
"T_AC136475.3",-0.266570519546869,0.036314518455603
"T_TERC",-0.39378571185049,0.000541929816845985
"T_LTB",-0.255514136416831,0.048276035470108
"T_TCIRG1",-0.462032366050685,3.35996356480871e-05
"T_SNORA68",0.536095238086352,4.85046819360134e-07
"T_NPDC1",-0.260267442045385,0.0427203776169417
"T_SNORA6",0.915551630303169,2.73974964953155e-37
"T_RPS15",-0.430452425950341,0.000128667455804382
"T_HIST2H3C",-0.354069287151458,0.0023676628018153
"T_SNORA38",0.707676963233422,1.87451491258462e-14
"T_NBEAL2",-0.480181269518858,1.44954498818166e-05
"T_SLC12A7",-0.326514114275695,0.00605730773826357
"T_SNORD94",0.697286711057918,7.42915017899073e-14
"T_LRP1",-0.270744749072089,0.0324436796359057
"T_AC008878.3",-0.500108574197981,4.90087422533057e-06
"T_AC126755.1",-0.418669409286451,0.000209943103304267
"T_H1FX",-0.390282600964859,0.000621434706085125
"T_ABCA2",-0.368867594111784,0.00137891347739075
"T_RNU2-61P",0.638565457357175,6.79440584364714e-11
"T_PER1",-0.277599137434285,0.0267785400991385
"T_HNRNPUL2-BSCL2",-0.286192815057625,0.0209833199607101
"T_INTS1",-0.411774649092233,0.000272988854655391
"T_PKD1",-0.381873372722417,0.000850505247352802
"T_SNORA48",0.808705889575855,4.89112372052817e-22
"T_ARHGEF1",-0.436674181087984,9.89710242507771e-05
"T_SNORA3A",0.819140362871847,4.73075273065077e-23
"T_RNU6ATAC",0.764059754055117,3.22229899939519e-18
"T_RPS28",-0.446437178141214,6.58088893200159e-05
"T_HIST1H3D",-0.461478416912069,3.44156190690504e-05
"T_RNU2-2P",0.809756867526087,3.91144567515013e-22
"T_SNORA26",0.932083222404557,1.95319680074966e-41
"T_OAS3",-0.36640692243289,0.00151517227964767
"T_SNORD3C",0.499276216048487,5.0998039230376e-06
"T_RPL39P3",0.423926199145355,0.000169180462448583
"T_RNU6-1",0.849554303666492,1.73932880845924e-26
"T_RNU6-3P",0.849554303666492,1.73932880845924e-26
"T_RNU6-5P",0.849554303666492,1.73932880845924e-26
"T_ODF3B",-0.291127458116771,0.0182251278696009
"T_NAPRT",-0.34399501670277,0.00336768375849444
"T_EFHD2",-0.330539921040492,0.00528983398386911
"T_CPSF1",-0.391788135608847,0.000584919088947337
"T_SYTL1",-0.396457969968649,0.000489903998082152
"T_CRIP1",-0.533960597508471,5.61969873292193e-07
"T_HLA-DPB1",-0.304891370434285,0.0119589145310993
"T_SNORA31",0.9112046060054,2.64090141257515e-36
"T_SIGIRR",-0.430793065595979,0.000127182842504426
"T_CYBA",-0.462724617529083,3.26550038164201e-05
"T_CSRNP1",-0.259941713642836,0.043063819454725
"T_CCDC88B",-0.438976713896517,8.93879461913366e-05
"T_PKN1",-0.463150142698642,3.20086295131564e-05
"T_USP18",-0.331595730202707,0.00511457760545144
"T_HIST1H1C",-0.436386079149643,0.000100194115430351
"T_MYO15B",-0.324331358210521,0.00648269856829222
"T_RNU5E-1",0.747496958992816,5.31640778208496e-17
