"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002764","immune response-regulating signaling pathway","259/4541","500/18870",6.1912840237137e-42,3.89988980653726e-38,NA,"RSAD2/OASL/OAS3/IRF7/DDX60/HLA-A/OAS1/EIF2AK2/SCIMP/GCSAM/IFI35/HSPA1B/NMI/UNC93B1/CTSH/IFIH1/FLOT1/DHX58/MNDA/ZAP70/CD36/CLEC7A/TLR4/MEFV/LIME1/TLR8/IRAK3/LYN/ITK/CD8B/TRBC2/LCK/CCR7/FCGR1A/PIK3AP1/FCER1G/CARD11/BTK/RABGEF1/CD247/TLR2/PLCG1/CYBA/IGHM/CD3E/NLRC4/NLRC3/MEF2C/LAT/FPR2/PVRIG/CD3D/CD300LF/CD33/TICAM2/LRCH4/LAT2/TLR7/DGKZ/CTSS/PLSCR1/PDE4D/LILRB4/UBASH3A/BCL2/NFATC2/CSK/PTPN6/PRKCH/NAIP/CLEC4D/PLA2G6/PRKCQ/TMIGD2/TXK/NOP53/TESPA1/PRKD2/NCR3/SLA2/MYO1G/LGALS3/C3AR1/RNF31/SKAP1/TLR6/GBP1/FCHO1/HAVCR2/TLR1/ZC3H12A/NLRP6/PAK1/NR1D1/TLR5/GBP5/LRRC14/FPR3/BLK/PELI1/NECTIN2/LAX1/STK11/CD81/KCNN4/PAWR/IRF3/PHPT1/NAGLU/TNIP1/SLC46A2/YES1/CASP1/ZDHHC12/AIM2/CACTIN/ECSIT/LIMK1/LY96/CD79B/PIK3R1/BAX/CLEC6A/MAP2K7/GPR108/IRAK1/SIRT2/CLEC12B/CD38/BAG6/PLD2/CD79A/VAV3/BIRC3/CPTP/TRBC1/CGAS/RELA/NLRX1/LACC1/HRAS/PTPRS/TNIP2/WDFY1/PTPN22/SARM1/PIK3CD/NEK7/VAV1/SOS1/NLRP1/RPS3/FCN1/CD14/NFAM1/CD28/THEMIS/HCK/FPR1/TRAT1/LILRB2/KLRK1/CD8A/PRAM1/SYK/CD3G/NINJ1/LILRA2/TYROBP/CLEC4E/C5AR1/LILRB1/PYCARD/SH2D1A/HLA-DPB1/SRC/FGR/SLC15A3/CD226/FCRL3/HSPA1A/BTLA/PRKCD/KLRD1/NLRP3/TRGC2/CTLA4/VAV2/TRGC1/TICAM1/KLRC4-KLRK1/MYD88/CR1/SH2B2/F2RL1/PDE4B/THEMIS2/C5AR2/GATA3/NOD2/STAP1/PLCG2/GRAMD4/CREBBP/DUSP3/CD160/TRDC/CBLB/GFI1/NAGK/NFKBIL1/MAVS/RNF135/MAPKAPK3/CD300A/PLEKHA1/FOSL2/SEC14L1/IGKC/IGHG1/IGHA1/MS4A1/IGHG2/IGHA2/HLA-DRB1/IGLC1/BANK1/CD22/IRF4/IGHD/IGHG3/FCGR3A/CD19/FYN/IGHG4/RFTN1/IPO5/CD40/BTN3A3/BLNK/CR2/FCER2/PRNP/LIPA/MFHAS1/TIFA/BMX/PTK2/ARRB2/ICOSLG/NOD1/BTN2A2/SLC39A10/ALPK1/PRKCE/PTPRC/USP15/PTPRJ/FER",259
"GO:0002757","immune response-activating signaling pathway","246/4541","473/18870",3.03425077336873e-40,9.55637281072482e-37,NA,"RSAD2/OASL/OAS3/IRF7/DDX60/HLA-A/OAS1/EIF2AK2/SCIMP/GCSAM/IFI35/HSPA1B/NMI/UNC93B1/IFIH1/FLOT1/DHX58/MNDA/ZAP70/CD36/CLEC7A/TLR4/MEFV/LIME1/TLR8/IRAK3/LYN/ITK/CD8B/TRBC2/LCK/CCR7/PIK3AP1/FCER1G/CARD11/BTK/RABGEF1/CD247/TLR2/PLCG1/CYBA/IGHM/CD3E/NLRC4/NLRC3/MEF2C/LAT/FPR2/PVRIG/CD3D/CD300LF/TICAM2/LRCH4/LAT2/TLR7/DGKZ/CTSS/PLSCR1/PDE4D/LILRB4/UBASH3A/BCL2/NFATC2/CSK/PTPN6/PRKCH/NAIP/PLA2G6/TMIGD2/TXK/NOP53/TESPA1/PRKD2/NCR3/SLA2/MYO1G/LGALS3/C3AR1/RNF31/SKAP1/TLR6/GBP1/FCHO1/HAVCR2/TLR1/ZC3H12A/NLRP6/PAK1/NR1D1/TLR5/GBP5/LRRC14/FPR3/BLK/PELI1/NECTIN2/LAX1/STK11/CD81/KCNN4/PAWR/IRF3/PHPT1/NAGLU/TNIP1/SLC46A2/YES1/CASP1/ZDHHC12/AIM2/CACTIN/ECSIT/LIMK1/LY96/CD79B/PIK3R1/BAX/CLEC6A/GPR108/IRAK1/SIRT2/CD38/BAG6/PLD2/CD79A/VAV3/BIRC3/CPTP/TRBC1/CGAS/RELA/NLRX1/LACC1/HRAS/PTPRS/TNIP2/WDFY1/PTPN22/SARM1/PIK3CD/NEK7/VAV1/SOS1/NLRP1/RPS3/FCN1/CD14/NFAM1/CD28/THEMIS/HCK/FPR1/TRAT1/KLRK1/CD8A/PRAM1/SYK/CD3G/NINJ1/LILRA2/TYROBP/CLEC4E/C5AR1/PYCARD/SH2D1A/HLA-DPB1/SRC/FGR/SLC15A3/CD226/FCRL3/HSPA1A/PRKCD/KLRD1/NLRP3/TRGC2/CTLA4/VAV2/TRGC1/TICAM1/KLRC4-KLRK1/MYD88/CR1/SH2B2/F2RL1/PDE4B/THEMIS2/C5AR2/GATA3/NOD2/STAP1/PLCG2/GRAMD4/CREBBP/DUSP3/CD160/TRDC/CBLB/GFI1/NAGK/NFKBIL1/MAVS/RNF135/MAPKAPK3/CD300A/PLEKHA1/FOSL2/SEC14L1/IGKC/IGHG1/IGHA1/MS4A1/IGHG2/IGHA2/HLA-DRB1/IGLC1/BANK1/CD22/IRF4/IGHD/IGHG3/CD19/FYN/IGHG4/RFTN1/IPO5/CD40/BTN3A3/BLNK/CR2/PRNP/LIPA/MFHAS1/TIFA/BMX/PTK2/ARRB2/ICOSLG/NOD1/BTN2A2/SLC39A10/ALPK1/PRKCE/PTPRC/USP15/PTPRJ",246
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","192/4541","346/18870",1.15512986632698e-36,2.42538767599788e-33,NA,"HLA-A/OAS1/SCIMP/GCSAM/IFI35/NMI/MNDA/ZAP70/CLEC7A/TLR4/LIME1/LYN/ITK/CD8B/TRBC2/LCK/CCR7/FCGR1A/PIK3AP1/FCER1G/CARD11/BTK/RABGEF1/CD247/TLR2/PLCG1/CYBA/IGHM/CD3E/MEF2C/LAT/FPR2/PVRIG/CD3D/TICAM2/LAT2/DGKZ/PLSCR1/PDE4D/LILRB4/UBASH3A/BCL2/NFATC2/CSK/PTPN6/PRKCH/CLEC4D/PLA2G6/PRKCQ/TMIGD2/TXK/TESPA1/PRKD2/NCR3/SLA2/MYO1G/LGALS3/C3AR1/RNF31/SKAP1/TLR6/GBP1/FCHO1/TLR1/ZC3H12A/PAK1/NR1D1/TLR5/FPR3/BLK/PELI1/NECTIN2/LAX1/STK11/CD81/KCNN4/PAWR/PHPT1/NAGLU/YES1/ECSIT/LIMK1/LY96/CD79B/PIK3R1/BAX/CLEC6A/MAP2K7/IRAK1/CLEC12B/CD38/BAG6/PLD2/CD79A/VAV3/TRBC1/RELA/HRAS/TNIP2/WDFY1/PTPN22/PIK3CD/VAV1/SOS1/RPS3/FCN1/CD14/NFAM1/CD28/THEMIS/HCK/FPR1/TRAT1/LILRB2/KLRK1/CD8A/PRAM1/SYK/CD3G/NINJ1/LILRA2/TYROBP/CLEC4E/C5AR1/LILRB1/SH2D1A/HLA-DPB1/SRC/FGR/CD226/FCRL3/BTLA/PRKCD/KLRD1/TRGC2/CTLA4/VAV2/TRGC1/KLRC4-KLRK1/MYD88/CR1/SH2B2/F2RL1/PDE4B/THEMIS2/C5AR2/GATA3/NOD2/STAP1/PLCG2/CREBBP/DUSP3/CD160/TRDC/CBLB/CD300A/PLEKHA1/FOSL2/IGKC/IGHG1/IGHA1/MS4A1/IGHG2/IGHA2/HLA-DRB1/IGLC1/BANK1/CD22/IGHD/IGHG3/FCGR3A/CD19/FYN/IGHG4/RFTN1/CD40/BTN3A3/BLNK/CR2/FCER2/PRNP/LIPA/MFHAS1/BMX/PTK2/ICOSLG/BTN2A2/SLC39A10/PRKCE/PTPRC/PTPRJ/FER",192
"GO:0002429","immune response-activating cell surface receptor signaling pathway","179/4541","318/18870",2.41377726149901e-35,3.80109574254557e-32,NA,"HLA-A/OAS1/SCIMP/GCSAM/IFI35/NMI/MNDA/ZAP70/CLEC7A/TLR4/LIME1/LYN/ITK/CD8B/TRBC2/LCK/CCR7/PIK3AP1/FCER1G/CARD11/BTK/RABGEF1/CD247/TLR2/PLCG1/CYBA/IGHM/CD3E/MEF2C/LAT/FPR2/PVRIG/CD3D/TICAM2/LAT2/DGKZ/PLSCR1/PDE4D/LILRB4/UBASH3A/BCL2/NFATC2/CSK/PTPN6/PRKCH/PLA2G6/TMIGD2/TXK/TESPA1/PRKD2/NCR3/SLA2/MYO1G/LGALS3/C3AR1/RNF31/SKAP1/TLR6/GBP1/FCHO1/TLR1/ZC3H12A/PAK1/NR1D1/TLR5/FPR3/BLK/PELI1/NECTIN2/LAX1/STK11/CD81/KCNN4/PAWR/PHPT1/NAGLU/YES1/ECSIT/LIMK1/LY96/CD79B/PIK3R1/BAX/CLEC6A/IRAK1/CD38/BAG6/PLD2/CD79A/VAV3/TRBC1/RELA/HRAS/TNIP2/WDFY1/PTPN22/PIK3CD/VAV1/SOS1/RPS3/FCN1/CD14/NFAM1/CD28/THEMIS/HCK/FPR1/TRAT1/KLRK1/CD8A/PRAM1/SYK/CD3G/NINJ1/LILRA2/TYROBP/C5AR1/SH2D1A/HLA-DPB1/SRC/FGR/CD226/FCRL3/PRKCD/KLRD1/TRGC2/CTLA4/VAV2/TRGC1/KLRC4-KLRK1/MYD88/CR1/SH2B2/F2RL1/PDE4B/THEMIS2/C5AR2/GATA3/NOD2/STAP1/PLCG2/CREBBP/DUSP3/CD160/TRDC/CBLB/CD300A/PLEKHA1/FOSL2/IGKC/IGHG1/IGHA1/MS4A1/IGHG2/IGHA2/HLA-DRB1/IGLC1/BANK1/CD22/IGHD/IGHG3/CD19/FYN/IGHG4/RFTN1/BTN3A3/BLNK/CR2/PRNP/LIPA/MFHAS1/BMX/PTK2/ICOSLG/BTN2A2/SLC39A10/PRKCE/PTPRC/PTPRJ",179
"GO:0002696","positive regulation of leukocyte activation","200/4541","380/18870",8.24640202381844e-34,1.03888172696065e-30,NA,"CD86/HLA-A/PDCD1LG2/MSH2/HLA-DRB5/ZAP70/LRRK2/IL7R/HLA-DRA/CLEC7A/TLR4/CD6/LYN/TBX21/CORO1A/LCK/CCR7/LEF1/TNFSF13B/HLA-DPA1/CD5/CARD11/BTK/BST1/CCDC88B/CD3E/CD27/MEF2C/MIF/TNFSF13/TICAM2/RASAL3/CD2/VNN1/TNFRSF4/LILRB4/CDKN1A/CD320/BCL2/NFATC2/RHOH/THBS1/CSK/TGFB1/PTPN6/MAP3K8/CLEC4D/PRKCQ/GAB2/TMIGD2/ITGB2/EPHB2/TESPA1/SOX13/IL1B/SART1/VSIR/RUNX3/AKT1/CD40LG/TNFRSF14/TLR6/ADAM8/FCHO1/ZBTB7B/HAVCR2/ZNF335/TYK2/SIRPG/JAK2/SOCS1/SLAMF1/IL2RA/PELI1/BCL6/IL15/NECTIN2/CCL2/SMARCA4/DUSP10/CD81/HLX/IL6ST/YES1/IL12RB1/PLA2G4A/ITPKB/GAS6/SOX12/ANXA1/IL4R/PRLR/FLOT2/BMI1/CD38/BAD/CTSC/VAV3/CD4/HLA-F/WNT10B/SPHK2/CD83/KLHL25/ACTB/PRKCZ/MAD2L2/IL18/NCK2/SASH3/B2M/TNIP2/AGER/SELENOK/PTPN22/STX4/VAV1/SMARCD2/AP3D1/RPS3/DHPS/ZBTB16/SPI1/CD28/RASGRP1/LILRB2/KLRK1/CEBPA/SYK/GPR183/TYROBP/SIRPA/PTAFR/LILRB1/DPP4/PYCARD/CD1D/SIRPB1/HLA-DPB1/SRC/ITGAM/FGR/LGALS1/ICOS/CD226/FCRL3/CD74/HLA-DMB/RARA/AXL/LGALS9/ZMIZ1/NLRP3/IRS2/SMARCD3/SOX4/TICAM1/KLRC4-KLRK1/HLA-DMA/CD274/ARID1A/MYD88/CR1/F2RL1/MMP14/GATA3/NOD2/STAP1/CD160/TOX/ZP3/HSPH1/EFNB1/KMT5C/PLPP6/HLA-DRB1/FCGR3A/AIF1/FYN/HLA-DOB/CD40/CCR2/TNFSF14/GPAM/TFRC/ICOSLG/BTN2A2/SLC39A10/DNAJA3/PTPRC/SLC7A1/CD46/TNFRSF13C/IGF1/SMARCB1/FOXO3/VAMP8/CLCF1/STAT5B/MDK",200
"GO:0050867","positive regulation of cell activation","205/4541","396/18870",2.66365829577929e-33,2.79639726751895e-30,NA,"CD86/HLA-A/PDCD1LG2/MSH2/HLA-DRB5/ZAP70/LRRK2/IL7R/HLA-DRA/FLNA/CLEC7A/LILRA5/TLR4/CD6/LYN/TBX21/CORO1A/LCK/CCR7/LEF1/TNFSF13B/HLA-DPA1/CD5/CARD11/BTK/BST1/CCDC88B/CD3E/CD27/MEF2C/MIF/TNFSF13/TICAM2/RASAL3/CD2/VNN1/TNFRSF4/LILRB4/CDKN1A/CD320/BCL2/NFATC2/RHOH/THBS1/CSK/TGFB1/PTPN6/MAP3K8/CLEC4D/PRKCQ/GAB2/TMIGD2/ITGB2/EPHB2/TESPA1/SOX13/IL1B/SART1/VSIR/RUNX3/AKT1/CD40LG/TNFRSF14/TLR6/ADAM8/FCHO1/ZBTB7B/HAVCR2/ZNF335/TYK2/SIRPG/JAK2/SOCS1/SLAMF1/IL2RA/PELI1/BCL6/IL15/NECTIN2/CCL2/SMARCA4/DUSP10/CD81/HLX/RPS6KA1/IL6ST/YES1/IL12RB1/PLA2G4A/ITPKB/GAS6/SOX12/ANXA1/IL4R/GP5/PRLR/FLOT2/BMI1/CD38/BAD/CTSC/VAV3/CD4/HLA-F/WNT10B/SPHK2/CD83/KLHL25/ACTB/PRKCZ/MAD2L2/IL18/NCK2/SASH3/B2M/TNIP2/AGER/SELENOK/PTPN22/STX4/VAV1/SMARCD2/AP3D1/RPS3/DHPS/ZBTB16/SPI1/CD28/RASGRP1/LILRB2/KLRK1/CEBPA/SYK/GPR183/LILRA2/TYROBP/SIRPA/PTAFR/LILRB1/DPP4/PYCARD/CD1D/SIRPB1/HLA-DPB1/SRC/ITGAM/FGR/LGALS1/ICOS/CD226/FCRL3/CD74/HLA-DMB/RARA/AXL/LGALS9/ZMIZ1/NLRP3/IRS2/SMARCD3/SOX4/TICAM1/KLRC4-KLRK1/HLA-DMA/CD274/ARID1A/MYD88/CR1/F2RL1/MMP14/GATA3/NOD2/STAP1/CD160/TOX/ZP3/HSPH1/EFNB1/KMT5C/PLPP6/HLA-DRB1/FCGR3A/AIF1/FYN/HLA-DOB/CD40/CCR2/TNFSF14/GPAM/TFRC/ICOSLG/BTN2A2/SLC39A10/DNAJA3/PTPRC/SLC7A1/CD46/TNFRSF13C/IGF1/SMARCB1/FOXO3/VAMP8/CLCF1/STAT5B/MDK",205
"GO:0050863","regulation of T cell activation","199/4541","381/18870",4.78592402459012e-33,4.30664791869902e-30,NA,"CD86/HLA-A/IDO1/PDCD1LG2/CYP26B1/HLA-DRB5/FGL2/ZAP70/IL7R/HLA-DRA/JUNB/CD6/LYN/TCF7/TBX21/CORO1A/LCK/CCR7/LEF1/TNFSF13B/HLA-DPA1/CD5/CARD11/CCDC88B/CD3E/CD27/LAT/RAC2/ADORA2A/RASAL3/CD2/VNN1/LILRB4/RHOH/SIT1/CSK/PTPN6/MAP3K8/PRKCQ/SCRIB/TMIGD2/TESPA1/SOX13/TSPAN32/DTX1/IL1B/LGALS3/SART1/PRDX2/VSIR/ERBB2/SLC4A2/RUNX3/AKT1/CD40LG/TNFRSF14/ADAM8/FCHO1/ZBTB7B/HAVCR2/TYK2/SIRPG/JAK2/SOCS1/ZC3H12A/SLAMF1/KAT2A/IL2RA/PELI1/BCL6/IL15/LOXL3/LAX1/CCL2/SMARCA4/BATF/DUSP10/CD81/PAWR/HLX/JAK3/LAG3/CLPTM1/IL6ST/SLC46A2/YES1/IL12RB1/MAD1L1/ITPKB/SOX12/ANXA1/IL4R/FLOT2/BMI1/BAD/CD4/WNT10B/SOCS6/CD83/KLHL25/ACTB/PRKCZ/CGAS/IL18/NCK2/RIPK3/SASH3/B2M/AGER/SELENOK/PTPN22/VAV1/SMARCD2/SOS1/TNFSF8/AP3D1/RPS3/VSIG4/DHPS/ZBTB16/CAMK4/CD28/RASGRP1/LILRB2/KLRK1/SYK/SIRPA/LILRB1/DPP4/TIGIT/PYCARD/CD1D/SIRPB1/HLA-DPB1/TREX1/SRC/LGALS1/ICOS/CD74/HLA-DMB/ZEB1/RARA/LGALS9/ZMIZ1/NLRP3/CEBPB/CTLA4/PRDM1/SMARCD3/TNFRSF1B/SOX4/KLRC4-KLRK1/HLA-DMA/CD274/ARID1A/CR1/SH3RF1/GATA3/NOD2/TNFAIP8L2/PAG1/PDE5A/DUSP3/CD160/PRELID1/CBLB/TOX/ZP3/HSPH1/EFNB1/CD300A/ASCL2/HLA-DRB1/IRF4/ARG1/AIF1/FYN/HLA-DOB/FANCA/CCR2/TNFSF14/LGALS9C/GPAM/PRNP/TFRC/ICOSLG/BTN2A2/DNAJA3/PTPRC/SLC7A1/CD46/BID/TNFRSF13C/IGF1/SMARCB1/FOXO3/STAT5B/TNFRSF9/MDK",199
"GO:0051251","positive regulation of lymphocyte activation","179/4541","330/18870",1.50857952303994e-32,1.18781780195357e-29,NA,"CD86/HLA-A/PDCD1LG2/MSH2/HLA-DRB5/ZAP70/IL7R/HLA-DRA/CLEC7A/TLR4/CD6/LYN/TBX21/CORO1A/LCK/CCR7/LEF1/TNFSF13B/HLA-DPA1/CD5/CARD11/BTK/BST1/CCDC88B/CD3E/CD27/MEF2C/MIF/TNFSF13/TICAM2/RASAL3/VNN1/TNFRSF4/LILRB4/CDKN1A/CD320/BCL2/NFATC2/RHOH/CSK/TGFB1/PTPN6/MAP3K8/PRKCQ/TMIGD2/EPHB2/TESPA1/SOX13/IL1B/SART1/VSIR/RUNX3/AKT1/CD40LG/TNFRSF14/ADAM8/FCHO1/ZBTB7B/HAVCR2/ZNF335/TYK2/SIRPG/JAK2/SOCS1/SLAMF1/IL2RA/PELI1/BCL6/IL15/CCL2/SMARCA4/DUSP10/CD81/HLX/IL6ST/YES1/IL12RB1/ITPKB/GAS6/SOX12/ANXA1/IL4R/PRLR/FLOT2/BMI1/CD38/BAD/VAV3/CD4/HLA-F/WNT10B/CD83/KLHL25/ACTB/PRKCZ/MAD2L2/IL18/NCK2/SASH3/B2M/TNIP2/AGER/SELENOK/PTPN22/VAV1/SMARCD2/AP3D1/RPS3/DHPS/ZBTB16/SPI1/CD28/RASGRP1/LILRB2/KLRK1/SYK/GPR183/TYROBP/SIRPA/LILRB1/DPP4/PYCARD/CD1D/SIRPB1/HLA-DPB1/SRC/LGALS1/ICOS/FCRL3/CD74/HLA-DMB/RARA/AXL/LGALS9/ZMIZ1/NLRP3/IRS2/SMARCD3/SOX4/TICAM1/KLRC4-KLRK1/HLA-DMA/CD274/ARID1A/MYD88/CR1/MMP14/GATA3/NOD2/CD160/TOX/ZP3/HSPH1/EFNB1/KMT5C/HLA-DRB1/FCGR3A/AIF1/FYN/HLA-DOB/CD40/CCR2/TNFSF14/GPAM/TFRC/ICOSLG/BTN2A2/SLC39A10/DNAJA3/PTPRC/SLC7A1/CD46/TNFRSF13C/IGF1/SMARCB1/FOXO3/CLCF1/STAT5B/MDK",179
"GO:0001819","positive regulation of cytokine production","236/4541","499/18870",2.12263731994997e-30,1.48561027537387e-27,NA,"RSAD2/ISG15/OAS3/IRF7/CD86/HLA-A/STAT1/OAS1/EIF2AK2/IRF8/IDO1/OAS2/SCIMP/TRIM6/BCL3/HSPA1B/ARID5A/UNC93B1/IFIH1/FLOT1/DHX58/CD84/CYBB/LRRK2/CD36/CLEC7A/LILRA5/TLR4/MEFV/TLR8/CD6/IRAK3/ITK/SULF2/TBX21/SPON2/CCR7/LTB/FCER1G/HLA-DPA1/CARD11/BTK/TLR2/CYBA/CCDC88B/CD3E/NLRC4/MIF/TICAM2/GSDMD/CD2/CYP1B1/TLR7/NLRP2/PDE4D/SLAMF6/THBS1/RBM47/TGFB1/FLT4/NAIP/PRKCQ/SCRIB/TMIGD2/TXK/EPHB2/LY9/ARRDC4/PRKD2/IL1B/SPTBN1/GAPDH/C3AR1/ZFPM1/CD40LG/TNFRSF14/TLR6/SLC7A5/TNXB/ADAM8/ZBTB7B/HAVCR2/EREG/TYK2/JAK2/TLR1/SLAMF1/TLR5/KAT2A/GBP5/HPSE/HGF/PELI1/IFNGR1/IL15/BATF/TRAF2/CD81/TNFRSF8/TRIM56/IRF3/IL6ST/CASP1/AIM2/IL12RB1/LY96/FRMD8/MAPK11/ANXA1/IL4R/PIK3R1/CLEC6A/IL27RA/GPSM3/IRAK1/RGCC/PQBP1/CD58/CLEC5A/CD4/GPRC5B/MAPK13/HLA-F/SPHK2/AKAP12/CD83/PRKCZ/CGAS/RELA/LACC1/IL18/ZNF580/HRAS/SASH3/B2M/HSPB1/AGER/SELENOK/PTPN22/PIK3CD/NLRP1/ATP6AP2/RPS3/FCN1/CD14/RORA/NFAM1/CD28/SLC11A1/RASGRP1/CSF1R/LILRB2/KLRK1/CARD9/SYK/NLRP12/LILRA2/TYROBP/CHI3L1/PTAFR/CLEC4E/C5AR1/HMOX1/LILRB1/TIGIT/PYCARD/ALOX15B/HLA-DPB1/SRC/FGR/CD226/SPHK1/AGPAT2/CD74/HSPA1A/RARA/LGALS9/IRF5/NLRP3/CEBPB/MCOLN2/HEG1/POU2F2/TICAM1/KLRC4-KLRK1/CD274/MYD88/HIF1A/IL17RC/HYAL2/SIGLEC16/F2RL1/C3/PDE4B/GATA3/NOD2/PLCG2/PANX2/P2RX7/CD160/IL12RB2/LPL/CD244/TRPV4/IL17RA/ZP3/MAVS/RNF135/SERPINF2/BMPR1A/PTGS2/ORM1/IRF4/IGHD/FCGR3A/POU2AF1/AIF1/SORL1/SMAD3/RFTN1/EIF2AK3/CD40/IL1RAP/IL6R/CCR2/IL1R1/NOD1/TOMM70/PTPRC/CD46/POLR3D/PTPRJ/PANX1/STAT5B/MAPK14/MDK",236
"GO:1903131","mononuclear cell differentiation","229/4541","481/18870",4.76318924514384e-30,3.00033290551611e-27,NA,"RSAD2/IRF7/CD86/TCIRG1/FLT3/IRF8/MYC/HLA-B/MSH2/BCL3/CYP26B1/FGL2/ZAP70/IL7R/HLA-DRA/JUNB/LYN/ITK/TCF7/TBX21/LCK/CCR7/BCL11B/LEF1/TNFSF13B/TMEM176B/FCER1G/CARD11/BTK/CD3E/CD27/MAFB/CD3D/EOMES/CD2/VNN1/LTBR/TMEM176A/LILRB4/FASN/HHEX/SLAMF6/IKZF3/BCL2/RHOH/TGFB1/PTPN6/RORC/CLEC4D/STAT4/TESPA1/LY9/SOX13/CCR6/NFIL3/FUT7/DTX1/IL1B/SART1/PRDX2/VSIR/ERBB2/SLC4A2/RUNX3/ZFPM1/CD40LG/ADAM8/VEGFA/NCAPH2/ID2/ZBTB7B/SOCS1/ZC3H12A/SLAMF1/KAT2A/IL2RA/GPR68/HDAC5/BCL6/IL15/BATF2/LOXL3/STK11/SMARCA4/BATF/DUSP10/HLX/JAK3/LAG3/MFNG/PREX1/CLPTM1/SLC46A2/IL12RB1/ITPKB/CDK6/LFNG/GAS6/HDAC9/SOX12/ANXA1/IL4R/MYH9/CD79B/PIK3R1/BAX/BMI1/ARMC5/BAD/LRRC8A/CD79A/MEN1/NFATC1/MIR17HG/CD4/WNT10B/ZBTB7A/PRR7/PIK3R3/ITGB1/CD83/KLHL25/PTK2B/ACTB/PRKCZ/BATF3/IL18/RIPK3/SASH3/B2M/MERTK/DLL1/AGER/PTPN22/CHD7/DNAJB9/PIK3CD/VAV1/SMARCD2/SOS1/TNFSF8/AP3D1/CSF1/FES/ZBTB16/RORA/SPI1/CAMK4/NFAM1/CD28/RASGRP1/CSF1R/THEMIS/LILRB2/CD8A/SYK/CD3G/GPR183/CLEC4E/ITM2A/ADGRG3/TRPM2/LILRB1/CD1D/LGALS1/LYL1/FCRL3/SEMA4A/CD74/ZEB1/RARA/AXL/LGALS9/ZMIZ1/NLRP3/CEBPB/TPD52/CTLA4/PRDM1/SMARCD3/SOX4/SLAMF8/ARID1A/CR1/RELB/F2RL1/MMP14/SH3RF1/GATA3/PLCG2/PRELID1/SRF/TOX/ZBTB46/PGLYRP1/ASCL2/NOTCH2/FOSL2/MS4A1/HLA-DRB1/PAX5/IRF4/RPL22/POU2AF1/CD19/DOCK10/TCF3/RPS6/BLNK/IL6R/CR2/FANCA/CCR2/PHF14/KMT2A/LIPA/BTN2A2/DNAJA3/PTPRC/HDAC4/CD46/TP53/SMARCB1/PTPRJ/FOXO3/CLCF1/STAT5B/TNFRSF9/MDK",229
