"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002764","immune response-regulating signaling pathway","281/4803","500/18870",1.33700242830253e-49,8.43782232501726e-46,NA,"FCN1/FYB1/CD14/FPR1/FCGR3A/CLEC7A/MEFV/TLR8/TYROBP/MNDA/NFAM1/FOSL2/FPR2/FCER1G/RSAD2/CLEC4E/TLR2/C5AR1/FFAR2/IGHM/TLR4/OASL/FCGR1A/LILRB2/CD300LF/IGHD/LILRA2/KLRD1/CD33/NLRP3/CD300A/NINJ1/MS4A1/LCP2/CLEC4D/CD79A/GBP1/GBP5/C3AR1/NOD2/GBP2/TLR5/OAS3/CD22/BLK/IRAK3/PRAM1/NLRC4/BANK1/CD79B/CD19/HSPA1A/F2RL1/LTF/PLSCR1/BTNL9/FCER2/CASP1/NECTIN2/FCRL3/CMTM3/BTLA/BLNK/C5AR2/TREML4/BTNL8/LILRA4/CCR7/HAVCR2/LY96/CR2/HCK/THEMIS2/IRF7/NAIP/ICOSLG/TRBC2/STAP1/PAK1/CARD11/DDX60/HLA-DPB1/TICAM2/HLA-A/GFI1/ALPK1/IGHE/CTSS/PVRIG/ARRB2/NEK7/OAS1/MAPKAPK3/NCR3/KCNN4/EIF2AK2/BIRC2/VAV2/BIRC3/PELI1/DUSP3/PYCARD/PLCG1/DGKZ/PAWR/MEF2C/NLRP6/C1QBP/TLR10/TLR1/SCIMP/KLRC1/GCSAM/NLRC3/IFI35/CLEC6A/BCL2/CEACAM1/SEC14L1/YES1/TRIM25/CD81/LAX1/NOP53/HSPA1B/PRKD1/NFATC2/PIK3AP1/NMI/WDFY1/UNC93B1/CACNB4/USP15/CD38/ZDHHC12/CTSH/RIPK2/PJA2/LYN/ZNRF1/BMX/SLC15A2/CD40/PRKCD/IRF4/DDX3X/PRNP/NFKBIZ/IFIH1/EZR/ZCCHC3/BTN3A1/FLOT1/DHX58/HLA-DRB1/ZAP70/TRDC/FGR/CD36/CMKLR1/KLRK1/TRGC1/SYK/CD8A/ITK/LILRB1/CD8B/TRGC2/KLRC4-KLRK1/LCK/CD28/TRAT1/BTK/CD247/CYBA/THEMIS/CD3E/LAT/CD3D/CR1/CD160/LAT2/TLR7/CD3G/PDE4D/LILRB4/UBASH3A/PLCG2/SH2D1A/KLRC4/PTPN6/CTLA4/PRKCH/PLA2G6/PRKCQ/SLC15A3/TMIGD2/TXK/FCGR2B/TESPA1/GATA3/NFKBIA/SLA2/MYO1G/LGALS3/SRC/RNF31/SKAP1/TLR6/MYD88/FPR3/KLRC3/CD226/PHPT1/GRAMD4/SLC46A2/AIM2/LIMK1/IRF1/RNF135/CD200R1/PIK3R1/BAX/NAGK/TNF/TICAM1/IRAK1/SIRT2/CLEC12B/BTN3A2/PLD2/VAV3/SLC15A4/CBLB/TRBC1/CGAS/NLRX1/LACC1/PTPRS/SARM1/RPS3/FCER1A/LIME1/LIPA/PRKD2/TNFAIP3/ADA/PDE4B/TIFA/COLEC12/LGR4/MAVS/PLEKHA1/SOS1/BTN3A3/HRAS/IGKC/IGHG1/IGLC3/IGHA1/IGHG2/IGHA2/IGLC1/IGHG3/FYN/IGHG4/RFTN1/IPO5/PTPN22/MFHAS1/HSPA8/PTK2/NOD1/BTN2A2/SLC39A10/PRKCE/PTPRC/CREBBP/PTPRJ/FER/LRCH4",281
"GO:0002757","immune response-activating signaling pathway","267/4803","473/18870",1.21461508951694e-47,3.83271791497072e-44,NA,"FCN1/FYB1/CD14/FPR1/CLEC7A/MEFV/TLR8/TYROBP/MNDA/NFAM1/FOSL2/FPR2/FCER1G/RSAD2/CLEC4E/TLR2/C5AR1/FFAR2/IGHM/TLR4/OASL/CD300LF/IGHD/LILRA2/KLRD1/NLRP3/CD300A/NINJ1/MS4A1/LCP2/CD79A/GBP1/GBP5/C3AR1/NOD2/GBP2/TLR5/OAS3/CD22/BLK/IRAK3/PRAM1/NLRC4/BANK1/CD79B/CD19/HSPA1A/F2RL1/LTF/PLSCR1/BTNL9/CASP1/NECTIN2/FCRL3/CMTM3/BLNK/C5AR2/TREML4/BTNL8/LILRA4/CCR7/HAVCR2/LY96/CR2/HCK/THEMIS2/IRF7/NAIP/ICOSLG/TRBC2/STAP1/PAK1/CARD11/DDX60/HLA-DPB1/TICAM2/HLA-A/GFI1/ALPK1/IGHE/CTSS/PVRIG/ARRB2/NEK7/OAS1/MAPKAPK3/NCR3/KCNN4/EIF2AK2/BIRC2/VAV2/BIRC3/PELI1/DUSP3/PYCARD/PLCG1/DGKZ/PAWR/MEF2C/NLRP6/C1QBP/TLR10/TLR1/SCIMP/KLRC1/GCSAM/NLRC3/IFI35/CLEC6A/BCL2/CEACAM1/SEC14L1/YES1/TRIM25/CD81/LAX1/NOP53/HSPA1B/PRKD1/NFATC2/PIK3AP1/NMI/WDFY1/UNC93B1/CACNB4/USP15/CD38/ZDHHC12/RIPK2/PJA2/LYN/ZNRF1/BMX/SLC15A2/CD40/PRKCD/IRF4/DDX3X/PRNP/NFKBIZ/IFIH1/EZR/ZCCHC3/BTN3A1/FLOT1/DHX58/HLA-DRB1/ZAP70/TRDC/FGR/CD36/CMKLR1/KLRK1/TRGC1/SYK/CD8A/ITK/CD8B/TRGC2/KLRC4-KLRK1/LCK/CD28/TRAT1/BTK/CD247/CYBA/THEMIS/CD3E/LAT/CD3D/CR1/CD160/LAT2/TLR7/CD3G/PDE4D/LILRB4/UBASH3A/PLCG2/SH2D1A/KLRC4/PTPN6/CTLA4/PRKCH/PLA2G6/SLC15A3/TMIGD2/TXK/FCGR2B/TESPA1/GATA3/NFKBIA/SLA2/MYO1G/LGALS3/SRC/RNF31/SKAP1/TLR6/MYD88/FPR3/KLRC3/CD226/PHPT1/GRAMD4/SLC46A2/AIM2/LIMK1/IRF1/RNF135/PIK3R1/BAX/NAGK/TNF/TICAM1/IRAK1/SIRT2/BTN3A2/PLD2/VAV3/SLC15A4/CBLB/TRBC1/CGAS/NLRX1/LACC1/PTPRS/SARM1/RPS3/LIME1/LIPA/PRKD2/TNFAIP3/ADA/PDE4B/TIFA/COLEC12/LGR4/MAVS/PLEKHA1/SOS1/BTN3A3/HRAS/IGKC/IGHG1/IGLC3/IGHA1/IGHG2/IGHA2/IGLC1/IGHG3/FYN/IGHG4/RFTN1/IPO5/PTPN22/MFHAS1/HSPA8/PTK2/NOD1/BTN2A2/SLC39A10/PRKCE/PTPRC/CREBBP/PTPRJ/LRCH4",267
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","206/4803","346/18870",1.0507960179859e-41,2.21052455650301e-38,NA,"FCN1/FYB1/CD14/FPR1/FCGR3A/CLEC7A/TYROBP/MNDA/NFAM1/FOSL2/FPR2/FCER1G/CLEC4E/TLR2/C5AR1/FFAR2/IGHM/TLR4/FCGR1A/LILRB2/IGHD/LILRA2/KLRD1/CD300A/NINJ1/MS4A1/LCP2/CLEC4D/CD79A/GBP1/C3AR1/NOD2/TLR5/CD22/BLK/PRAM1/BANK1/CD79B/CD19/F2RL1/LTF/PLSCR1/BTNL9/FCER2/NECTIN2/FCRL3/CMTM3/BTLA/BLNK/C5AR2/BTNL8/LILRA4/CCR7/LY96/CR2/HCK/THEMIS2/ICOSLG/TRBC2/STAP1/PAK1/CARD11/HLA-DPB1/TICAM2/HLA-A/IGHE/PVRIG/OAS1/NCR3/KCNN4/VAV2/PELI1/DUSP3/PLCG1/DGKZ/PAWR/MEF2C/TLR1/SCIMP/KLRC1/GCSAM/IFI35/CLEC6A/BCL2/CEACAM1/YES1/CD81/LAX1/NFATC2/PIK3AP1/NMI/WDFY1/CACNB4/CD38/RIPK2/PJA2/LYN/ZNRF1/BMX/CD40/PRKCD/PRNP/NFKBIZ/EZR/BTN3A1/HLA-DRB1/ZAP70/TRDC/FGR/CMKLR1/KLRK1/TRGC1/SYK/CD8A/ITK/LILRB1/CD8B/TRGC2/KLRC4-KLRK1/LCK/CD28/TRAT1/BTK/CD247/CYBA/THEMIS/CD3E/LAT/CD3D/CR1/CD160/LAT2/CD3G/PDE4D/LILRB4/UBASH3A/PLCG2/SH2D1A/KLRC4/PTPN6/CTLA4/PRKCH/PLA2G6/PRKCQ/TMIGD2/TXK/FCGR2B/TESPA1/GATA3/NFKBIA/SLA2/MYO1G/LGALS3/SRC/RNF31/SKAP1/TLR6/MYD88/FPR3/KLRC3/CD226/PHPT1/LIMK1/CD200R1/PIK3R1/BAX/IRAK1/CLEC12B/BTN3A2/PLD2/VAV3/CBLB/TRBC1/RPS3/FCER1A/LIME1/LIPA/PRKD2/TNFAIP3/ADA/PDE4B/PLEKHA1/SOS1/BTN3A3/HRAS/IGKC/IGHG1/IGLC3/IGHA1/IGHG2/IGHA2/IGLC1/IGHG3/FYN/IGHG4/RFTN1/PTPN22/MFHAS1/PTK2/BTN2A2/SLC39A10/PRKCE/PTPRC/CREBBP/PTPRJ/FER",206
"GO:0002429","immune response-activating cell surface receptor signaling pathway","191/4803","318/18870",1.69260247602918e-39,2.67050355655504e-36,NA,"FCN1/FYB1/CD14/FPR1/CLEC7A/TYROBP/MNDA/NFAM1/FOSL2/FPR2/FCER1G/TLR2/C5AR1/FFAR2/IGHM/TLR4/IGHD/LILRA2/KLRD1/CD300A/NINJ1/MS4A1/LCP2/CD79A/GBP1/C3AR1/NOD2/TLR5/CD22/BLK/PRAM1/BANK1/CD79B/CD19/F2RL1/LTF/PLSCR1/BTNL9/NECTIN2/FCRL3/CMTM3/BLNK/C5AR2/BTNL8/CCR7/LY96/CR2/HCK/THEMIS2/ICOSLG/TRBC2/STAP1/PAK1/CARD11/HLA-DPB1/TICAM2/HLA-A/IGHE/PVRIG/OAS1/NCR3/KCNN4/VAV2/PELI1/DUSP3/PLCG1/DGKZ/PAWR/MEF2C/TLR1/SCIMP/KLRC1/GCSAM/IFI35/CLEC6A/BCL2/CEACAM1/YES1/CD81/LAX1/NFATC2/PIK3AP1/NMI/WDFY1/CACNB4/CD38/RIPK2/PJA2/LYN/ZNRF1/BMX/PRKCD/PRNP/NFKBIZ/EZR/BTN3A1/HLA-DRB1/ZAP70/TRDC/FGR/CMKLR1/KLRK1/TRGC1/SYK/CD8A/ITK/CD8B/TRGC2/KLRC4-KLRK1/LCK/CD28/TRAT1/BTK/CD247/CYBA/THEMIS/CD3E/LAT/CD3D/CR1/CD160/LAT2/CD3G/PDE4D/LILRB4/UBASH3A/PLCG2/SH2D1A/KLRC4/PTPN6/CTLA4/PRKCH/PLA2G6/TMIGD2/TXK/FCGR2B/TESPA1/GATA3/NFKBIA/SLA2/MYO1G/LGALS3/SRC/RNF31/SKAP1/TLR6/MYD88/FPR3/KLRC3/CD226/PHPT1/LIMK1/PIK3R1/BAX/IRAK1/BTN3A2/PLD2/VAV3/CBLB/TRBC1/RPS3/LIME1/LIPA/PRKD2/TNFAIP3/ADA/PDE4B/PLEKHA1/SOS1/BTN3A3/HRAS/IGKC/IGHG1/IGLC3/IGHA1/IGHG2/IGHA2/IGLC1/IGHG3/FYN/IGHG4/RFTN1/PTPN22/MFHAS1/PTK2/BTN2A2/SLC39A10/PRKCE/PTPRC/CREBBP/PTPRJ",191
"GO:0001819","positive regulation of cytokine production","256/4803","499/18870",4.91243979736759e-36,6.20048151223737e-33,NA,"ANXA1/FCN1/CD14/FCGR3A/CLEC7A/MEFV/TLR8/AIF1/TYROBP/NFAM1/LILRA5/SULF2/FCER1G/PTGS2/RSAD2/CLEC4E/TLR2/C5AR1/NLRP12/FFAR2/TLR4/SLC11A1/PTAFR/LILRB2/IGHD/IL6R/LILRA2/SPN/NLRP3/ISG15/GBP5/C3AR1/NOD2/TLR5/OAS3/IL1B/IRAK3/NLRC4/CD200/CHI3L1/HSPA1A/F2RL1/HPSE/CEBPB/CASP1/OSM/IL17RA/CCR7/HAVCR2/LY96/RBM47/IL6ST/IL1R1/POU2AF1/SORL1/IFNGR1/HGF/IRF7/NAIP/CD274/IL18R1/LRRK2/CARD11/HLA-DPB1/B2M/CD86/TICAM2/HLA-A/STAT1/PTGER4/CLEC5A/TNFRSF8/CD58/OAS1/EIF2AK2/SPON2/SLAMF6/RARA/LY9/HLA-DPA1/PELI1/PYCARD/IRF8/EPHB2/IL1RAP/IDO1/DDIT3/OAS2/TOMM70/RAB1A/TLR1/IL18/IFI16/SCIMP/SOD1/CLEC6A/CCDC88B/ADAM8/TRIM6/CD81/PANX2/MYB/BCL3/SPHK1/MMP8/HSPA1B/ARID5A/DDX1/CD80/GSDMD/BMPR1A/UNC93B1/MCOLN2/MAPK11/IL7/CD74/RIPK2/TGFB1/SPTBN1/SCRIB/MAPK14/CD40/IRF4/HYAL2/DDX3X/EBI3/IFIH1/CHIA/CD55/ZCCHC3/BTN3A1/FLOT1/DHX58/KCNQ1OT1/CD84/CYBB/FGR/CD36/KLRK1/SYK/CD6/ITK/LILRB1/CSF1R/TBX21/RORA/KLRC4-KLRK1/LTB/CD28/BTK/CYBA/CD3E/HMOX1/RASGRP1/TIGIT/F2R/CD2/CYP1B1/CD160/TLR7/CCR2/PDE4D/PLCG2/LGALS9/IRF5/THBS1/FLT4/CARD9/PRKCQ/TMIGD2/TXK/GATA3/ARRDC4/GAPDH/SRC/CD40LG/TLR6/MYD88/ZBTB7B/EREG/EGR1/JAK2/SLAMF1/IL15/IL12RB2/CD226/POU2F2/AIM2/IRF1/CADM1/AGPAT2/RNF135/PIK3R1/TNF/TICAM1/IRAK1/RGCC/BTN3A2/P2RX7/MAPK13/IL23R/AKAP12/CD83/PRKCZ/CGAS/LACC1/ZNF580/SASH3/SELENOK/ATP6AP2/RPS3/ALOX15B/CLU/NLRP2/TRIM56/HEG1/PRKD2/IL17RC/SIGLEC16/C3/HLA-F/PDE4B/PLCB1/LPL/TRAF2/CD244/IL12RB1/TRPV4/MAVS/SERPINF2/F3/TRIM32/HRAS/ORM1/SMAD3/RFTN1/EIF2AK3/ZC3HAV1/XBP1/PTPN22/IL27RA/PNP/NOD1/PTPRC/CD46/POLR3D/IL4R/CLEC9A/KAT2A/ARFGEF2/PTPRJ/PANX1/STAT5B/MIF/G3BP1/MDK",256
"GO:1903131","mononuclear cell differentiation","244/4803","481/18870",2.24282497224456e-33,2.35907806663924e-30,NA,"ANXA1/FOS/NFAM1/FOSL2/FCER1G/RSAD2/ID2/CLEC4E/FGL2/TNFSF13B/SOCS3/VNN1/LILRB2/IL6R/SPN/NLRP3/LTBR/MS4A1/CLEC4D/CD79A/ADGRG3/PAX5/IL1B/SMARCD3/VSIR/CD79B/CD19/F2RL1/ITGB1/CEBPB/FCRL3/CD27/BLNK/FES/TPD52/GPR183/CCR7/NFIL3/CR2/CCR6/DTX1/POU2AF1/IKZF3/IRF7/RUNX2/CSF1/HLA-DOA/HLA-DRA/IL18R1/CARD11/SEMA4A/B2M/VEGFA/CD86/PTGER4/SPI1/BATF2/HLX/BCL6/GPR18/PRDM1/TCIRG1/RHOH/SLAMF6/ZMIZ1/RARA/LY9/SLC25A5/MERTK/TNFSF9/IRF8/LOXL3/METTL3/IL18/IFI16/FUT7/KLRC1/IL2RA/AZI2/SOD1/SMAD7/HDAC4/MYC/BCL2/ATP7A/ADAM8/TCF3/PRDX2/HLA-B/MSH2/PGLYRP1/MYB/BCL3/CYP26B1/DCAF1/PPP2R3C/ASCL2/FNIP1/CD80/IL7/CD74/SOX12/PREX1/RIPK3/RIPK2/LYN/TGFB1/IRF4/SMARCB1/NFKBIZ/GPR89B/FASN/DOCK10/CLCF1/PRELID1/HLA-DRB1/ZAP70/IL7R/SYK/CD8A/ITK/TCF7/LILRB1/CSF1R/TBX21/RORA/LGALS1/LCK/BCL11B/LEF1/TMEM176B/CD28/BTK/CAMK4/THEMIS/CD3E/RASGRP1/MAFB/CD3D/CD1D/EOMES/CR1/CD2/CD3G/CCR2/TMEM176A/LILRB4/HHEX/PLCG2/LGALS9/ITM2A/PTPN6/SOX4/CTLA4/RORC/FCGR2B/STAT4/TESPA1/SOX13/GATA3/TRPM2/CD40LG/ZEB1/LYL1/ZBTB7B/CTSL/EGR1/SLAMF1/GPR68/IL15/DUSP10/FLT3/SLC46A2/ITPKB/IRF1/LFNG/GAS6/HDAC9/RELB/PIK3R1/BAX/TOX/SLAMF8/USP44/KMT2A/ZFP36L2/FANCA/CCR9/WNT10B/IL23R/KLF6/BAK1/CD83/KLHL25/ACTB/PRKCZ/BATF3/SASH3/CHD7/AXL/RUNX3/LIPA/ADA/JAK3/IL4I1/IL2RG/MMP14/SH3RF1/CLEC4G/BMI1/MIR17HG/IL12RB1/CDK6/SOCS1/NOTCH2/SOS1/EGR3/RPL22/ITGA4/JUNB/JMJD6/RPS6/XBP1/PHF14/PTPN22/PNP/PHF10/PRKDC/BTN2A2/DNAJA3/ZFP36L1/PTPRC/CD46/TP53/RBPJ/IL4R/KAT2A/PTPRJ/FOXO3/STAT5B/GPR89A/TNFRSF9/MDK/MEN1",244
"GO:0030098","lymphocyte differentiation","222/4803","429/18870",4.50751421091191e-32,4.06384602643787e-29,NA,"ANXA1/NFAM1/FOSL2/FCER1G/RSAD2/ID2/CLEC4E/FGL2/TNFSF13B/SOCS3/VNN1/LILRB2/IL6R/SPN/NLRP3/MS4A1/CLEC4D/CD79A/ADGRG3/PAX5/IL1B/SMARCD3/VSIR/CD79B/CD19/ITGB1/FCRL3/CD27/BLNK/TPD52/GPR183/CCR7/NFIL3/CR2/CCR6/DTX1/POU2AF1/IKZF3/RUNX2/HLA-DOA/HLA-DRA/IL18R1/CARD11/SEMA4A/B2M/CD86/PTGER4/SPI1/HLX/BCL6/GPR18/PRDM1/TCIRG1/RHOH/SLAMF6/ZMIZ1/RARA/LY9/SLC25A5/MERTK/TNFSF9/IRF8/LOXL3/METTL3/IL18/FUT7/KLRC1/IL2RA/SOD1/SMAD7/HDAC4/BCL2/ATP7A/ADAM8/TCF3/PRDX2/MSH2/PGLYRP1/MYB/BCL3/CYP26B1/DCAF1/PPP2R3C/ASCL2/FNIP1/CD80/IL7/CD74/SOX12/PREX1/RIPK3/RIPK2/TGFB1/IRF4/SMARCB1/NFKBIZ/GPR89B/DOCK10/CLCF1/PRELID1/HLA-DRB1/ZAP70/IL7R/SYK/CD8A/ITK/TCF7/TBX21/RORA/LGALS1/LCK/BCL11B/LEF1/CD28/BTK/CAMK4/THEMIS/CD3E/RASGRP1/MAFB/CD3D/CD1D/EOMES/CR1/CD2/CD3G/CCR2/LILRB4/HHEX/PLCG2/LGALS9/ITM2A/PTPN6/SOX4/CTLA4/RORC/FCGR2B/STAT4/TESPA1/SOX13/GATA3/CD40LG/ZEB1/LYL1/ZBTB7B/CTSL/EGR1/SLAMF1/IL15/DUSP10/FLT3/SLC46A2/ITPKB/IRF1/LFNG/GAS6/HDAC9/RELB/PIK3R1/BAX/TOX/SLAMF8/USP44/KMT2A/ZFP36L2/FANCA/CCR9/WNT10B/IL23R/KLF6/BAK1/CD83/KLHL25/ACTB/PRKCZ/SASH3/CHD7/AXL/RUNX3/LIPA/ADA/JAK3/IL4I1/IL2RG/MMP14/SH3RF1/CLEC4G/BMI1/MIR17HG/IL12RB1/CDK6/SOCS1/NOTCH2/SOS1/EGR3/RPL22/ITGA4/JUNB/JMJD6/RPS6/XBP1/PHF14/PTPN22/PNP/PHF10/PRKDC/BTN2A2/DNAJA3/ZFP36L1/PTPRC/CD46/TP53/RBPJ/IL4R/KAT2A/PTPRJ/FOXO3/STAT5B/GPR89A/TNFRSF9/MDK/MEN1",222
"GO:0050867","positive regulation of cell activation","208/4803","396/18870",2.80369857124864e-31,2.21176771039377e-28,NA,"ANXA1/HLA-DQA1/FCGR3A/CLEC7A/AIF1/TYROBP/LILRA5/HLA-DQA2/BST1/TLR4/SIRPA/TNFSF13B/PTAFR/VNN1/LILRB2/LILRA2/SPN/NLRP3/CLEC4D/NOD2/SIRPB1/IL1B/SMARCD3/VSIR/F2RL1/TNFSF14/TNFRSF13C/NECTIN2/FCRL3/CD27/GPR183/CCR7/HAVCR2/IL6ST/HLA-DOA/HLA-DRA/ICOSLG/STAP1/CD274/LRRK2/CARD11/HLA-DPB1/B2M/CD86/TICAM2/HLA-A/PLA2G4A/ITGB2/SPI1/HLX/BCL6/GAB2/RHOH/HLA-DOB/ZMIZ1/RARA/HLA-DPA1/PELI1/TNFSF9/PYCARD/EPHB2/MEF2C/CTSC/IL18/IL2RA/CCDC88B/BCL2/ADAM8/YES1/PDCD1LG2/CD81/MSH2/IRS2/HLA-DMB/MYB/MMP8/PPP2R3C/NFATC2/CD80/ACTA2/IL7/CD38/CD74/SOX12/RIPK2/LYN/TGFB1/CD70/CD40/DDR2/EBI3/SMARCB1/NFKBIZ/HLA-DMA/CD55/CLCF1/SLC7A1/HLA-DRB5/HLA-DRB1/ZAP70/IL7R/FGR/ITGAM/KLRK1/SYK/CD6/LILRB1/TBX21/KLRC4-KLRK1/LGALS1/LCK/LEF1/PLEK/CD28/CD5/BTK/CD3E/RASGRP1/CD1D/TNFSF13/CR1/CD2/CD160/CCR2/DPP4/LILRB4/CEBPA/CDKN1A/LGALS9/THBS1/PTPN6/SOX4/MAP3K8/ICOS/PRKCQ/TMIGD2/TESPA1/SOX13/GATA3/SRC/CD40LG/TLR6/MYD88/ZBTB7B/SIRPG/JAK2/SLAMF1/IL15/CCL2/DUSP10/CD226/RPS6KA1/ITPKB/GAS6/GP5/PRLR/TNF/TOX/TICAM1/VAV3/WNT10B/IL23R/CD83/KLHL25/ACTB/PRKCZ/MAD2L2/NCK2/SASH3/SELENOK/RPS3/AXL/RASAL3/RUNX3/ADA/IL4I1/IL2RG/HLA-F/MMP14/TNFRSF4/CD320/BMI1/IL12RB1/SOCS1/PLPP6/EGR3/HSPH1/FYN/XBP1/PTPN22/GPAM/PNP/PHF10/TFRC/PRKDC/BTN2A2/SLC39A10/DNAJA3/NSD2/PTPRC/CD46/IL4R/FLOT2/FOXO3/VAMP8/STAT5B/MIF/MDK",208
"GO:0002443","leukocyte mediated immunity","234/4803","466/18870",3.46441505329033e-31,2.42932482236837e-28,NA,"FCGR3A/CLEC7A/PRF1/TLR8/TYROBP/CX3CR1/FCER1G/RSAD2/NKG7/TREM1/IGHM/TLR4/FCGR1A/PTAFR/ADGRE2/IGHD/SPN/KLRD1/NLRP3/IL18RAP/CD300A/HLA-C/NOD2/IL1B/IGHV3-23/GZMB/PRAM1/CD19/F2RL1/CLC/FCER2/NECTIN2/CD27/CD1C/FES/ANXA3/IGHV1-18/IGHV3-11/HAVCR2/IGHV4-39/CR2/CCR6/IL1R1/CSF2RB/IGHV3-48/PTGDR/PVR/IGHV3-21/IRF7/ICAM1/HLA-DRA/SERPING1/C4BPA/TNFRSF1B/STAP1/IGHV3-53/IL18R1/B2M/RAB27A/TICAM2/HLA-A/IGHE/ITGB2/SPI1/ARRB2/BCL6/SLAMF7/NCR3/GAB2/TCIRG1/C2/SPON2/SLAMF6/C1QA/IGHV3-66/NLRP6/CTSC/IGHV2-70D/C1QBP/IGHV3-72/IL18/SH2D1B/SCIMP/FUT7/KLRC1/SMAD7/CEACAM1/HLA-B/ARG1/CD81/MSH2/UNC13D/BCL3/JAG1/C1RL/ARID5A/DDX1/CD80/C1QB/UNC93B1/RNF19B/LYST/CD74/CTSH/SWAP70/RIPK3/LYN/TGFB1/CD70/NCR1/PTGDS/CD40/TAP2/PRKCD/WAS/TREX1/NFKBIZ/STXBP2/CD55/CLCF1/IGHV3-20/CD84/HLA-DRB1/IL7R/FGR/GZMM/ITGAM/KLRK1/SYK/CD8A/LILRB1/KLRB1/TBX21/KLRC4-KLRK1/CD28/BTK/RASGRP1/LAT/CD96/CD1D/TNFSF13/IL2RB/CR1/CD2/CD160/LAT2/CCR2/LILRB4/GAPT/PLCG2/SH2D1A/LGALS9/KLRC4/PTPN6/CARD9/SCART1/FCGR2B/GATA3/SLA2/MYO1G/CD40LG/MYD88/SLAMF1/AHR/KLRC3/BST2/IL21R/CD226/TUBB4B/CADM1/STX7/TNF/TICAM1/RAB44/CLEC12B/BTN3A2/P2RX7/SLC15A4/MILR1/IL23R/DNASE1/PRKCZ/MAD2L2/SASH3/FCER1A/CLU/JAK3/IL4I1/TRPM4/C3/HLA-F/BCR/CLEC4G/TRAF2/IL12RB1/MAVS/ACE/BTN3A3/IGKC/IGHG1/IGLC2/IGLC3/IGHA1/IGHG2/IGHA2/IGLC1/SERPINB9/IGLL5/IGHG3/PRDX1/IGHG4/RFTN1/IGHV3-7/IGHV3-33/IGHV4-34/IGHV1-69/IL27RA/IGHV5-51/IGHV4-59/IGHV3-74/TFRC/NSD2/PTPRC/CD46/IGHV4-61/IL4R/IGHV2-5/RNF8/THOC1/FER/IGHV3-15/VAMP8/MICA/STAT5B",234
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","201/4803","380/18870",8.46046496319143e-31,5.33939943827011e-28,NA,"ANXA1/FCGR3A/CLEC7A/PRF1/TLR8/FCER1G/RSAD2/IGHM/TLR4/FCGR1A/TNFSF13B/SLC11A1/SOCS3/IGHD/IL6R/SPN/KLRD1/NLRP3/HLA-C/NOD2/IL1B/IGHV3-23/CD19/CLC/FCER2/BACH2/NECTIN2/CD27/CD1C/IL17RA/IGHV1-18/IGHV3-11/HAVCR2/IGHV4-39/CR2/CCR6/IL1R1/CSF2RB/IGHV3-48/PVR/IGHV3-21/IRF7/ICAM1/HLA-DRA/SERPING1/C4BPA/TNFRSF1B/IGHV3-53/CD274/IL18R1/SEMA4A/B2M/RAB27A/HLA-A/PLA2G4A/IGHE/HLX/BCL6/TCIRG1/C2/SLAMF6/LY9/EPHB2/LOXL3/C1QA/IGHV3-66/MEF2C/CTSC/IGHV2-70D/C1QBP/IGHV3-72/IL18/FUT7/KLRC1/SMAD7/CLEC6A/CEACAM1/HLA-B/ARG1/CD81/MSH2/UNC13D/BCL3/JAG1/C1RL/ASCL2/ARID5A/CD80/C1QB/UNC93B1/CD74/CTSH/SWAP70/RIPK3/RIPK2/TGFB1/CD70/CD40/TAP2/PRKCD/WAS/IRF4/TREX1/EBI3/NOTCH1/NFKBIZ/CD55/CLCF1/IGHV3-20/HLA-DRB1/IL7R/GZMM/CD8A/LILRB1/TBX21/RORA/LEF1/CD28/BTK/CD1D/TNFSF13/IL2RB/CR1/CCR2/LILRB4/GAPT/PTPN6/CARD9/RORC/PRKCQ/SCART1/FCGR2B/STAT4/GATA3/SLA2/MYO1G/CD40LG/MYD88/ZBTB7B/JAK2/SLAMF1/AHR/IL21R/CD226/RELB/STX7/TNF/BTN3A2/NFKB2/P2RX7/SLC15A4/IL23R/PRKCZ/MAD2L2/SASH3/FCER1A/CLU/TNFAIP3/ADA/JAK3/IL4I1/TRPM4/C3/HLA-F/CLEC4G/TRAF2/IL12RB1/BTN3A3/HRAS/IGKC/IGHG1/IGLC2/IGLC3/IGHA1/IGHG2/IGHA2/IGLC1/IGLL5/IGHG3/IGHG4/JUNB/RFTN1/IGHV3-7/IGHV3-33/IGHV4-34/IGHV1-69/IL27RA/IGHV5-51/IGHV4-59/IGHV3-74/TFRC/NSD2/PTPRC/CD46/IGHV4-61/IL4R/IGHV2-5/RNF8/THOC1/IGHV3-15/MICA",201
