"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","105/1062","436/18870",1.85630394387963e-38,9.79757221579666e-35,NA,"IFI44L/RSAD2/IFIT1/IFIT3/OASL/IFI44/ISG15/OAS3/IFIT2/IFITM1/IFI6/USP18/LILRA4/HERC5/IRF7/MX1/DDX60/STAT1/IFI27/OAS1/PARP9/EIF2AK2/DUS2/OAS2/AIM2/CXCL10/MID2/ZCCHC3/DHX58/PLSCR1/LGALS9/IFNG/GBP1/GBP5/CDK6/MX2/MAPK11/RTP4/DDX60L/TRIM25/TLR3/IFIH1/IFIT5/IFNLR1/APOBEC3H/STAT2/SLFN13/ZBP1/IFITM3/APOBEC3B/APOBEC3A/IFITM2/CLU/ISG20/TLR7/CD40/MOV10/IRF1/NLRC5/PML/MYD88/GBP2/CCL8/BST2/GBP3/NPC2/TRIM22/IL15/JAK2/BATF3/NT5C3A/CXCL9/DTX3L/ADARB1/IL12RB1/MAVS/CALR/TRIM21/TREX1/IFI16/SAMHD1/TRIM5/TNFAIP3/SMAD3/ZC3HAV1/IRF5/PTPN22/TRIM6/NMI/CASP1/APOBEC3C/HIF1A/APOBEC3G/ZC3H12A/APOBEC3F/TRIM38/IRF9/TICAM1/TRIM56/APOBEC3D/UNC93B1/ENO1/PIM2/MICA/DNAJC3",105
"GO:0051607","defense response to virus","90/1062","334/18870",3.59966707181649e-37,8.21125104568921e-34,NA,"IFI44L/RSAD2/IFIT1/IFIT3/OASL/ISG15/OAS3/IFIT2/IFITM1/IFI6/USP18/LILRA4/HERC5/IRF7/MX1/DDX60/STAT1/IFI27/OAS1/PARP9/EIF2AK2/DUS2/OAS2/AIM2/CXCL10/MID2/ZCCHC3/DHX58/PLSCR1/IFNG/GBP1/GBP5/MX2/RTP4/DDX60L/TRIM25/TLR3/IFIH1/IFIT5/IFNLR1/APOBEC3H/STAT2/SLFN13/ZBP1/IFITM3/APOBEC3B/APOBEC3A/IFITM2/ISG20/TLR7/CD40/MOV10/IRF1/NLRC5/PML/MYD88/GBP2/BST2/GBP3/TRIM22/IL15/NT5C3A/CXCL9/DTX3L/ADARB1/IL12RB1/MAVS/TRIM21/TREX1/IFI16/SAMHD1/TRIM5/TNFAIP3/ZC3HAV1/IRF5/PTPN22/TRIM6/CASP1/APOBEC3C/APOBEC3G/ZC3H12A/APOBEC3F/TRIM38/IRF9/TICAM1/TRIM56/APOBEC3D/UNC93B1/MICA/DNAJC3",90
"GO:0140546","defense response to symbiont","90/1062","335/18870",4.66725144696242e-37,8.21125104568921e-34,NA,"IFI44L/RSAD2/IFIT1/IFIT3/OASL/ISG15/OAS3/IFIT2/IFITM1/IFI6/USP18/LILRA4/HERC5/IRF7/MX1/DDX60/STAT1/IFI27/OAS1/PARP9/EIF2AK2/DUS2/OAS2/AIM2/CXCL10/MID2/ZCCHC3/DHX58/PLSCR1/IFNG/GBP1/GBP5/MX2/RTP4/DDX60L/TRIM25/TLR3/IFIH1/IFIT5/IFNLR1/APOBEC3H/STAT2/SLFN13/ZBP1/IFITM3/APOBEC3B/APOBEC3A/IFITM2/ISG20/TLR7/CD40/MOV10/IRF1/NLRC5/PML/MYD88/GBP2/BST2/GBP3/TRIM22/IL15/NT5C3A/CXCL9/DTX3L/ADARB1/IL12RB1/MAVS/TRIM21/TREX1/IFI16/SAMHD1/TRIM5/TNFAIP3/ZC3HAV1/IRF5/PTPN22/TRIM6/CASP1/APOBEC3C/APOBEC3G/ZC3H12A/APOBEC3F/TRIM38/IRF9/TICAM1/TRIM56/APOBEC3D/UNC93B1/MICA/DNAJC3",90
"GO:0050792","regulation of viral process","50/1062","168/18870",3.20175419798895e-23,4.22471466424642e-20,NA,"RSAD2/IFIT1/OASL/ISG15/OAS3/IFITM1/LY6E/MX1/STAT1/OAS1/EIF2AK2/OAS2/LAMP3/MID2/PLSCR1/LGALS9/TOP2A/TRIM25/IFIH1/IFIT5/APOBEC3H/TRIM59/KPNA2/IFITM3/APOBEC3B/APOBEC3A/HLA-DRB1/IFITM2/NECTIN2/ISG20/AXL/BST2/TRIM22/ADARB1/TRIM14/MAVS/TRIM21/IFI16/TRIM5/CD74/ZC3HAV1/TRIM6/APOBEC3C/APOBEC3G/STOM/APOBEC3F/TRIM38/DYNLT1/LARP1/APOBEC3D",50
"GO:1903900","regulation of viral life cycle","46/1062","143/18870",4.82846862959394e-23,5.09693148539936e-20,NA,"RSAD2/IFIT1/OASL/ISG15/OAS3/IFITM1/LY6E/MX1/OAS1/EIF2AK2/OAS2/LAMP3/MID2/PLSCR1/LGALS9/TOP2A/TRIM25/IFIH1/IFIT5/APOBEC3H/TRIM59/KPNA2/IFITM3/APOBEC3B/APOBEC3A/HLA-DRB1/IFITM2/NECTIN2/ISG20/AXL/BST2/TRIM22/ADARB1/MAVS/TRIM21/IFI16/TRIM5/CD74/ZC3HAV1/TRIM6/APOBEC3C/APOBEC3G/APOBEC3F/TRIM38/LARP1/APOBEC3D",46
"GO:0048525","negative regulation of viral process","36/1062","93/18870",2.009788988036e-21,1.767944379809e-18,NA,"RSAD2/IFIT1/OASL/ISG15/OAS3/IFITM1/LY6E/MX1/STAT1/OAS1/EIF2AK2/OAS2/MID2/PLSCR1/TRIM25/IFIH1/IFIT5/APOBEC3H/TRIM59/IFITM3/APOBEC3B/APOBEC3A/IFITM2/ISG20/BST2/TRIM14/MAVS/TRIM21/IFI16/TRIM5/ZC3HAV1/TRIM6/APOBEC3C/APOBEC3G/APOBEC3F/APOBEC3D",36
"GO:0019058","viral life cycle","67/1062","321/18870",4.12872356524561e-21,3.11305756819519e-18,NA,"RSAD2/IFIT1/OASL/ISG15/SIGLEC1/OAS3/IFITM1/LY6E/MX1/IFI27/OAS1/EIF2AK2/LDLR/OAS2/LAMP3/MID2/CDK1/HSPA1B/PLSCR1/LGALS9/TOP2A/TRIM25/IFIH1/IFIT5/APOBEC3H/ITGB1/TRIM59/CHMP5/KPNA2/IFITM3/APOBEC3B/APOBEC3A/HLA-DRB1/CCL2/IFITM2/NECTIN2/ISG20/AXL/CTSL/ITGB7/CCR5/GAS6/CCL8/BST2/PC/TRIM22/ADARB1/MAVS/SCARB2/TRIM21/IFI16/TRIM5/CD74/ZC3HAV1/TRIM6/APOBEC3C/APOBEC3G/STOM/ZC3H12A/APOBEC3F/TRIM38/DYNLT1/NECTIN1/VPS37C/LARP1/APOBEC3D/SLC3A2",67
"GO:0045071","negative regulation of viral genome replication","28/1062","55/18870",6.41190027601393e-21,4.23025120710019e-18,NA,"RSAD2/IFIT1/OASL/ISG15/OAS3/IFITM1/MX1/OAS1/EIF2AK2/OAS2/PLSCR1/IFIH1/IFIT5/APOBEC3H/IFITM3/APOBEC3B/APOBEC3A/IFITM2/ISG20/BST2/MAVS/IFI16/ZC3HAV1/TRIM6/APOBEC3C/APOBEC3G/APOBEC3F/APOBEC3D",28
"GO:0016032","viral process","76/1062","432/18870",3.87394811382331e-19,2.27185534941771e-16,NA,"RSAD2/IFIT1/OASL/ISG15/SIGLEC1/OAS3/IFITM1/LY6E/IRF7/MX1/STAT1/IFI27/OAS1/PARP9/EIF2AK2/LDLR/OAS2/LAMP3/MID2/CDK1/HSPA1B/PLSCR1/LGALS9/TOP2A/TRIM25/IFIH1/IFIT5/APOBEC3H/ITGB1/TRIM59/SPCS3/CHMP5/KPNA2/IFITM3/APOBEC3B/APOBEC3A/HLA-DRB1/PARP10/CCL2/IFITM2/NECTIN2/ISG20/AXL/CTSL/ITGB7/CCR5/GAS6/CCL8/BST2/PC/TRIM22/ADARB1/TRIM14/MAVS/SCARB2/TRIM21/IFI16/TRIM5/CD74/ZC3HAV1/SSB/TRIM6/APOBEC3C/APOBEC3G/STOM/ZC3H12A/GTF2B/APOBEC3F/TRIM38/DYNLT1/NECTIN1/VPS37C/LARP1/APOBEC3D/SLC3A2/CHD1",76
"GO:0045088","regulation of innate immune response","75/1062","425/18870",5.57633271987217e-19,2.94318840954853e-16,NA,"RSAD2/OASL/ISG15/OAS3/USP18/LILRA4/IRF7/DDX60/OAS1/PARP9/EIF2AK2/TLR10/AIM2/IFI35/ZCCHC3/DHX58/HSPA1B/PLSCR1/LGALS9/GBP5/DUSP10/IRF4/LAG3/TRIM25/TLR3/IFIH1/PARP14/STAT2/ZBP1/SERPING1/FFAR2/FCGR2B/HLA-A/SRC/NECTIN2/TLR7/CD40/HLA-B/IRF1/NLRC5/MYD88/BIRC3/GBP2/NFKBIZ/HLA-F/RIPK2/TIFA/COLEC12/LGR4/MAVS/CD300A/TRIM21/TREX1/SERPINB9/IFI16/SAMHD1/TRIM5/LY96/TNFAIP3/PTPN22/TRIM6/NMI/TRAFD1/CEACAM1/CASP1/TICAM2/NOD1/PRKDC/PRKCE/NCF1/TICAM1/TRIM56/UNC93B1/MICA/PIK3AP1",75
