"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","90/2086","334/18870",3.64582883281018e-16,1.30746158919223e-12,NA,"IFI44L/RSAD2/ISG15/USP18/IRF7/MX1/EIF2AK2/IFIT3/IFI27/OAS1/OAS3/OASL/UNC13D/IFITM1/IRF5/USP20/UNC93B1/TRIM28/TSPAN32/PYCARD/TREX1/ATAD3A/TBKBP1/ZC3H12A/NLRP6/MAP3K14/NLRC5/BST2/OAS2/TRIM56/IRF3/GRAMD4/PML/ISG20/ZDHHC12/IL12RB1/IRF1/DHX58/TNF/UBE2W/TICAM1/TRIM25/USP44/PQBP1/ARMC5/SIRT2/IFITM2/MOV10/EXOSC5/HYAL2/CPTP/RNF26/RELA/NLRX1/RIPK3/PTPRS/MICA/ZBP1/NLRP1/IFIT1/IFITM3/IFI6/IFIT2/APOBEC3A/CARD9/DDX60/MX2/ZDHHC1/TRIM22/STAT2/ADARB1/MAVS/HERC5/IFIT5/RTP4/GBP1/IFIH1/GBP3/NT5C3A/SAMHD1/TRIM5/ZC3HAV1/AIM2/TLR7/STAT1/PMAIP1/APOBEC3G/DTX3L/TRIM38/AIMP1",90
"GO:0140546","defense response to symbiont","90/2086","335/18870",4.45700217894061e-16,1.30746158919223e-12,NA,"IFI44L/RSAD2/ISG15/USP18/IRF7/MX1/EIF2AK2/IFIT3/IFI27/OAS1/OAS3/OASL/UNC13D/IFITM1/IRF5/USP20/UNC93B1/TRIM28/TSPAN32/PYCARD/TREX1/ATAD3A/TBKBP1/ZC3H12A/NLRP6/MAP3K14/NLRC5/BST2/OAS2/TRIM56/IRF3/GRAMD4/PML/ISG20/ZDHHC12/IL12RB1/IRF1/DHX58/TNF/UBE2W/TICAM1/TRIM25/USP44/PQBP1/ARMC5/SIRT2/IFITM2/MOV10/EXOSC5/HYAL2/CPTP/RNF26/RELA/NLRX1/RIPK3/PTPRS/MICA/ZBP1/NLRP1/IFIT1/IFITM3/IFI6/IFIT2/APOBEC3A/CARD9/DDX60/MX2/ZDHHC1/TRIM22/STAT2/ADARB1/MAVS/HERC5/IFIT5/RTP4/GBP1/IFIH1/GBP3/NT5C3A/SAMHD1/TRIM5/ZC3HAV1/AIM2/TLR7/STAT1/PMAIP1/APOBEC3G/DTX3L/TRIM38/AIMP1",90
"GO:0009615","response to virus","106/2086","436/18870",2.01935182561736e-15,3.94917905363234e-12,NA,"IFI44L/RSAD2/ISG15/USP18/IRF7/MX1/EIF2AK2/IFIT3/IFI27/IFI44/OAS1/OAS3/OASL/UNC13D/IFITM1/LGALS9/IRF5/USP20/UNC93B1/TRIM28/TSPAN32/PYCARD/TREX1/ATAD3A/TBKBP1/TYK2/ZC3H12A/NLRP6/MAP3K14/NLRC5/BST2/OAS2/TRIM56/IRF3/GRAMD4/PML/ISG20/GTF2F1/ZDHHC12/IL12RB1/IRF1/MAPK11/DHX58/BAX/TNF/EIF5A/UBE2W/TICAM1/TRIM25/SMPD1/USP44/PQBP1/ARMC5/SIRT2/BCL3/IFITM2/MOV10/EXOSC5/HYAL2/ENO1/CPTP/RNF26/RELA/NLRX1/CALR/RIPK3/PTPRS/HSPB1/MICA/CFL1/ZBP1/NLRP1/IFIT1/IFITM3/IFI6/IFIT2/APOBEC3A/CARD9/DDX60/MX2/CCL8/ZDHHC1/TRIM22/BATF3/STAT2/ADARB1/MAVS/HERC5/IFIT5/RTP4/GBP1/IFIH1/GBP3/NT5C3A/SAMHD1/TRIM5/SMAD3/ZC3HAV1/AIM2/TLR7/STAT1/PMAIP1/APOBEC3G/DTX3L/TRIM38/AIMP1",106
"GO:0016032","viral process","101/2086","432/18870",1.33247801145543e-13,1.95441212330226e-10,NA,"RSAD2/ISG15/LY6E/IRF7/MX1/EIF2AK2/HSPA1B/IFI27/OAS1/PARP10/LGALS1/OAS3/OASL/CD74/RAB43/IFITM1/HSPA1A/TNFRSF4/LGALS9/HCFC1/VPS28/GRK2/TRIM28/FURIN/SLC52A2/SELPLG/RAB1B/LAMP3/AKT1/TNFRSF14/CHMP1A/ZDHHC8/NOTCH1/CTSL/ZC3H12A/EIF3G/SLC1A5/ITGB7/BSG/BST2/SMARCA4/CD81/OAS2/TMEM250/PRMT1/TNIP1/ISG20/LDLR/ATG16L2/TPCN1/ST3GAL2/VPS18/RAD23A/GAS6/USF2/TNF/SIVA1/ICAM1/TRIM25/SMPD1/IFITM2/MGAT1/MAN1B1/PTBP1/MGAT4B/CD4/EP300/ST6GALNAC4/P4HB/HYAL2/MOGS/TPCN2/PCBP1/CHMP6/CFL1/CHMP2A/TRIM62/ITGA5/SIGLEC1/IFIT1/IFITM3/APOBEC3A/AXL/CCL8/TRIM22/ADARB1/TRIM14/MVB12A/MAVS/RNASEK/IFIT5/IFIH1/TRIM5/ZC3HAV1/SCARB2/SSB/CHMP5/STAT1/APOBEC3G/TRIM59/TRIM38",101
"GO:0019058","viral life cycle","79/2086","321/18870",4.07505927524528e-12,4.78167455357281e-09,NA,"RSAD2/ISG15/LY6E/MX1/EIF2AK2/HSPA1B/IFI27/OAS1/LGALS1/OAS3/OASL/CD74/RAB43/IFITM1/HSPA1A/TNFRSF4/LGALS9/VPS28/GRK2/TRIM28/FURIN/SLC52A2/SELPLG/RAB1B/LAMP3/TNFRSF14/CHMP1A/NOTCH1/CTSL/ZC3H12A/SLC1A5/ITGB7/BSG/BST2/CD81/OAS2/TNIP1/ISG20/LDLR/ATG16L2/TPCN1/VPS18/RAD23A/GAS6/TNF/SIVA1/ICAM1/TRIM25/SMPD1/IFITM2/CD4/P4HB/HYAL2/TPCN2/PCBP1/CHMP6/CHMP2A/TRIM62/ITGA5/SIGLEC1/IFIT1/IFITM3/APOBEC3A/AXL/CCL8/TRIM22/ADARB1/MVB12A/MAVS/RNASEK/IFIT5/IFIH1/TRIM5/ZC3HAV1/SCARB2/CHMP5/APOBEC3G/TRIM59/TRIM38",79
"GO:0007249","canonical NF-kappaB signal transduction","74/2086","300/18870",1.73535206719612e-11,1.69688509637327e-08,NA,"FLNA/LIME1/LGALS1/LTB/PER1/CD74/NOD2/GSTP1/LGALS9/USP20/GAPDH/PIDD1/PYCARD/MIB2/RHOC/SHARPIN/RNF31/AKT1/S100A4/TBKBP1/ZC3H12A/NLRP6/TNFRSF1A/MAP3K14/JMJD8/BST2/CC2D1A/TRAF2/IRF3/GOLT1B/TRADD/TNIP1/CACTIN/CCDC22/RELB/TNF/TICAM1/TRIM25/IRAK1/BCL3/NFKB2/CARD19/CD4/MAPKBP1/SPHK2/SHISA5/RELA/NLRX1/RIPK3/HSPB1/TNIP2/DDRGK1/TRIM62/CARD9/NR1D1/TRIM22/NFKBIB/SLC44A2/NFKBIL1/MAVS/SLC35B2/EDA/ANGPT1/PPP5C/IFIT5/TRIM5/TLR7/APOL3/STAT1/TIFA/NOD1/TRIM59/PRKCE/TRIM38",74
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","10/2086","10/18870",2.67347955974488e-10,1.74281161966924e-07,NA,"RNU5A-1/RNU5B-1/RNU6-1/RNU4-2/RNU5E-1/RNU4-1/RNU6-9/RNU5D-1/RNU6-7/RNU5F-1",10
"GO:0000365","mRNA trans splicing, via spliceosome","10/2086","10/18870",2.67347955974488e-10,1.74281161966924e-07,NA,"RNU5A-1/RNU5B-1/RNU6-1/RNU4-2/RNU5E-1/RNU4-1/RNU6-9/RNU5D-1/RNU6-7/RNU5F-1",10
"GO:0045291","mRNA trans splicing, SL addition","10/2086","10/18870",2.67347955974488e-10,1.74281161966924e-07,NA,"RNU5A-1/RNU5B-1/RNU6-1/RNU4-2/RNU5E-1/RNU4-1/RNU6-9/RNU5D-1/RNU6-7/RNU5F-1",10
"GO:0043122","regulation of canonical NF-kappaB signal transduction","65/2086","265/18870",3.76962883935742e-10,2.211641240051e-07,NA,"FLNA/LIME1/LGALS1/LTB/PER1/CD74/NOD2/GSTP1/LGALS9/USP20/GAPDH/PIDD1/PYCARD/MIB2/RHOC/SHARPIN/RNF31/S100A4/ZC3H12A/NLRP6/TNFRSF1A/MAP3K14/JMJD8/BST2/CC2D1A/TRAF2/IRF3/GOLT1B/TRADD/TNIP1/CACTIN/CCDC22/TNF/TICAM1/TRIM25/IRAK1/CARD19/CD4/MAPKBP1/SPHK2/SHISA5/RELA/NLRX1/HSPB1/TNIP2/TRIM62/CARD9/NR1D1/TRIM22/NFKBIB/SLC44A2/MAVS/SLC35B2/EDA/ANGPT1/PPP5C/IFIT5/TRIM5/APOL3/STAT1/TIFA/NOD1/TRIM59/PRKCE/TRIM38",65
