"Variable","Pvalue","Cor","Padjusted","Significativite"
"ENA_(pos≥1)",0.124848755431494,-0.227043073529936,0.87663199385394,"Non significatif"
"ENA_scale",0.185295702520291,-0.196618568809457,0.87663199385394,"Non significatif"
"SSA_(pos≥10)",0.130733323921379,-0.22365307933294,0.87663199385394,"Non significatif"
"SSA_scale",0.199694250481429,-0.190471615072854,0.87663199385394,"Non significatif"
"SSA_52_(pos10)",0.270173172992106,-0.164166427597105,0.918840731246738,"Non significatif"
"52_scale",0.299662044202631,-0.154535203771091,0.918840731246738,"Non significatif"
"SSA_60_(pos10)",0.0729769908519763,-0.26397963449744,0.868795441052297,"Non significatif"
"60_scale",0.0804744128824311,-0.257577530543071,0.868795441052297,"Non significatif"
"SSB_(pos≥10)",0.095030382687875,-0.246377200898312,0.868795441052297,"Non significatif"
"SSB_scale",0.120841010217229,-0.22942137692246,0.87663199385394,"Non significatif"
"Sm_(pos≥10)",0.281412913682814,-0.160417976674536,0.918840731246738,"Non significatif"
"U1_RNP_(pos≥10)",0.504898376469325,-0.0997051422727933,0.918840731246738,"Non significatif"
"SCL70_(pos≥15)",0.568339841310364,0.085362186144001,0.918840731246738,"Non significatif"
"Jo1_(pos≥10)",0.223347180307973,-0.181018905732025,0.87663199385394,"Non significatif"
"DNA_(pos≥40)",0.142167168561169,0.217379927895041,0.87663199385394,"Non significatif"
"DNA_scale",0.65189528529529,0.0675478452624329,0.931372396565991,"Non significatif"
"CLG_(pos≥20)",0.364825652210358,0.135216639437134,0.918840731246738,"Non significatif"
"CLM_(pos≥20)",0.0100715080439071,0.371812215352727,0.840970921666247,"Significatif"
"B2M_(pos≥20)",0.706864667427353,0.0563286934394689,0.944371195682943,"Non significatif"
"B2M_scale",0.414786206105765,-0.121788624092971,0.918840731246738,"Non significatif"
"CCP2_(pos≥10)",0.315801164602088,-0.14952228010868,0.918840731246738,"Non significatif"
"CCP2_scale",0.414786206105765,-0.121788624092971,0.918840731246738,"Non significatif"
"MPO_(pos≥40)",0.434866879152827,-0.116656160179437,0.918840731246738,"Non significatif"
"MPO_scale",0.627928276531992,-0.0725531141984193,0.928000196290643,"Non significatif"
"PR3_(pos≥40)",0.695712776673355,-0.058578217929282,0.944371195682943,"Non significatif"
"Centro_(pos>10)",0.891734199845793,-0.0206340859911146,0.964884682535466,"Non significatif"
"Cent_scale",0.891734199845793,-0.0206340859911146,0.964884682535466,"Non significatif"
"C3_SPA_g/L",0.107915738264188,-0.23752356026547,0.87663199385394,"Non significatif"
"C3_sclae",0.65251838561809,-0.067418710408834,0.931372396565991,"Non significatif"
"C4_SPA_g/L",0.391616945639099,-0.12789039680043,0.918840731246738,"Non significatif"
"C4_sclae",0.837516367952783,-0.0307332530141749,0.964884682535466,"Non significatif"
"RF_UI/mL",0.480614690237509,-0.105432414122754,0.918840731246738,"Non significatif"
"RF_scale",0.421033865561071,-0.120177000988257,0.918840731246738,"Non significatif"
"Lambda_5,7-26,30mg/L",0.0872319204139604,-0.254983267341356,0.868795441052297,"Non significatif"
"Kappa_3,3-19,40mg/L",0.324887637038963,-0.148430024011252,0.918840731246738,"Non significatif"
"ratio_0,26-1,65",0.779501839995166,0.0424281302215174,0.95704758743514,"Non significatif"
"somme_7,93-35,98mg/L",0.162751822853108,-0.206970333948437,0.87663199385394,"Non significatif"
"scale",0.145747277402264,-0.215493061203932,0.87663199385394,"Non significatif"
"Anti-DNA_NcX_(UI/mL)",0.902195511833827,0.0184195955605227,0.964884682535466,"Non significatif"
"DNA_NCX_scale",0.894164471254965,0.0199404071123137,0.964884682535466,"Non significatif"
"MDA_IGM",0.0693344785073586,0.276403138228467,0.868795441052297,"Non significatif"
"PC_IGM",0.582266685481947,-0.0852296812957666,0.918840731246738,"Non significatif"
"Age",0.898649209555637,0.0190909121821453,0.964884682535466,"Non significatif"
"Age_at_onset",0.754141200374179,-0.0727036450170444,0.954574266368331,"Non significatif"
"Average_Weekly_Dose",0.529450467061418,-0.470549532938582,0.918840731246738,"Non significatif"
"Disease_duration_in_years",0.00129006649348395,0.654348675735217,0.215441104411819,"Significatif"
"Disease_activity",0.347617240224485,0.215737388114856,0.918840731246738,"Non significatif"
"IFN_ALPHA_KIROU",0.0548058112095765,-0.322833088157184,0.868795441052297,"Non significatif"
"IFN_GAMMA_KIROU",0.157004770691525,-0.240881120496758,0.87663199385394,"Non significatif"
"M1_2_BODEWES",0.0648211882156722,-0.311041820943508,0.868795441052297,"Non significatif"
"M3_4_BODEWES",0.0681043652491034,-0.307490649365411,0.868795441052297,"Non significatif"
"M5_12_BODEWES",0.237397649569811,-0.202010521354226,0.87663199385394,"Non significatif"
