"Variable","Pvalue","Cor","Padjusted","Significativite"
"ENA_(pos≥1)",0.588311567483474,-0.0947278565862588,0.949247003689761,"Non significatif"
"ENA_scale",0.96549108484905,0.00758845005848452,0.996648367856698,"Non significatif"
"SSA_(pos≥10)",0.703749259002935,-0.0666245180949136,0.949247003689761,"Non significatif"
"SSA_scale",0.970807954989949,-0.0064187363262024,0.996648367856698,"Non significatif"
"SSA_52_(pos10)",0.89998413779202,0.0220419847577215,0.9805433723903,"Non significatif"
"52_scale",0.91489218733524,0.0187434624392522,0.981825314534212,"Non significatif"
"SSA_60_(pos10)",0.345429016538959,-0.164360290030798,0.949247003689761,"Non significatif"
"60_scale",0.470532666366275,-0.126065216741033,0.949247003689761,"Non significatif"
"SSB_(pos≥10)",0.66887527790406,-0.0749120374059093,0.949247003689761,"Non significatif"
"SSB_scale",0.994690484024621,0.00116721420465122,0.996648367856698,"Non significatif"
"Sm_(pos≥10)",0.443166758565956,-0.133899959070066,0.949247003689761,"Non significatif"
"U1_RNP_(pos≥10)",0.468802299528287,0.12655329821157,0.949247003689761,"Non significatif"
"SCL70_(pos≥15)",0.224286073807744,0.210745080764657,0.949247003689761,"Non significatif"
"Jo1_(pos≥10)",0.856726933265411,0.0316593650784521,0.974086787137385,"Non significatif"
"DNA_(pos≥40)",0.00432180973268451,0.470695777992501,0.671563699831791,"Significatif"
"DNA_scale",0.184845066391303,0.229461379334667,0.949247003689761,"Non significatif"
"CLG_(pos≥20)",0.264774870488437,0.19374249221117,0.949247003689761,"Non significatif"
"CLM_(pos≥20)",0.547861441043542,0.105117608597896,0.949247003689761,"Non significatif"
"B2M_(pos≥20)",0.749338475260212,-0.0559986676124928,0.949247003689761,"Non significatif"
"B2M_scale",0.749338475260212,-0.0559986676124928,0.949247003689761,"Non significatif"
"CCP2_(pos≥10)",0.560263821854563,-0.101895721804197,0.949247003689761,"Non significatif"
"CCP2_scale",0.749338475260212,-0.0559986676124928,0.949247003689761,"Non significatif"
"MPO_(pos≥40)",0.458526312029243,-0.129471692623044,0.949247003689761,"Non significatif"
"MPO_scale",0.647607148806826,-0.0800449625490336,0.949247003689761,"Non significatif"
"PR3_(pos≥40)",0.571300913615622,-0.0990561442884395,0.949247003689761,"Non significatif"
"Centro_(pos>10)",0.819249346538208,-0.0406952061950414,0.949247003689761,"Non significatif"
"Cent_scale",0.819249346538208,-0.0406952061950414,0.949247003689761,"Non significatif"
"C3_SPA_g/L",0.326373714492581,-0.170875806261979,0.949247003689761,"Non significatif"
"C3_sclae",0.403679627596622,-0.145687807816483,0.949247003689761,"Non significatif"
"C4_SPA_g/L",0.372884213900768,-0.155345095687057,0.949247003689761,"Non significatif"
"C4_sclae",0.238910326771296,-0.204382892996261,0.949247003689761,"Non significatif"
"RF_UI/mL",0.897396209046692,-0.0226153113088601,0.9805433723903,"Non significatif"
"RF_scale",0.803647047350822,-0.0435892178268616,0.949247003689761,"Non significatif"
"Lambda_5,7-26,30mg/L",0.947823995711496,-0.0116585146020755,0.995815084101952,"Non significatif"
"Kappa_3,3-19,40mg/L",0.754762276133409,-0.055608896008482,0.949247003689761,"Non significatif"
"ratio_0,26-1,65",0.544742676064505,-0.107591434166118,0.949247003689761,"Non significatif"
"somme_7,93-35,98mg/L",0.922679211249019,-0.0170231041384242,0.981825314534212,"Non significatif"
"scale",0.364417259602146,-0.158081661725975,0.949247003689761,"Non significatif"
"Anti-DNA_NcX_(UI/mL)",0.388253316938206,0.150469777419525,0.949247003689761,"Non significatif"
