"Variable","Pvalue","Cor","Padjusted","Significativite"
"ENA_(pos≥1)",0.717823784102124,0.055386891073742,0.994345438998613,"Non significatif"
"ENA_scale",0.555041090207394,0.0903474064306059,0.994345438998613,"Non significatif"
"SSA_(pos≥10)",0.729732436601653,0.0529553510038539,0.994345438998613,"Non significatif"
"SSA_scale",0.54776910368198,0.0920063330629312,0.994345438998613,"Non significatif"
"SSA_52_(pos10)",0.483158400975307,0.107249365795802,0.994345438998613,"Non significatif"
"52_scale",0.417419775429002,0.123902496329226,0.994345438998613,"Non significatif"
"SSA_60_(pos10)",0.962338801644812,0.00724269573091103,0.994345438998613,"Non significatif"
"60_scale",0.858594809779367,0.0273229304825173,0.994345438998613,"Non significatif"
"SSB_(pos≥10)",0.770737184126216,-0.0446764630073056,0.994345438998613,"Non significatif"
"SSB_scale",0.98617908999016,0.00265710087501873,0.994345438998613,"Non significatif"
"Sm_(pos≥10)",0.457775354677496,-0.113523603681581,0.994345438998613,"Non significatif"
"U1_RNP_(pos≥10)",0.59397017065593,0.0816329305896603,0.994345438998613,"Non significatif"
"SCL70_(pos≥15)",0.173421457153786,0.20654568281335,0.994345438998613,"Non significatif"
"Jo1_(pos≥10)",0.829763728667105,-0.0329700773545207,0.994345438998613,"Non significatif"
"DNA_(pos≥40)",0.038561097433513,0.309496193466222,0.994345438998613,"Significatif"
"DNA_scale",0.268901793806145,0.168370351967802,0.994345438998613,"Non significatif"
"CLG_(pos≥20)",0.785866442483187,0.0416545737289449,0.994345438998613,"Non significatif"
"CLM_(pos≥20)",0.416352831314225,0.124184364474254,0.994345438998613,"Non significatif"
"B2M_(pos≥20)",0.489384646860528,0.105737120584849,0.994345438998613,"Non significatif"
"B2M_scale",0.98679552897443,0.00253857841894495,0.994345438998613,"Non significatif"
"CCP2_(pos≥10)",0.839132434725578,-0.0311306501457019,0.994345438998613,"Non significatif"
"CCP2_scale",0.98679552897443,0.00253857841894495,0.994345438998613,"Non significatif"
"MPO_(pos≥40)",0.309316354899714,-0.154997660291123,0.994345438998613,"Non significatif"
"MPO_scale",0.329149835223752,-0.14884388813588,0.994345438998613,"Non significatif"
"PR3_(pos≥40)",0.863511291147376,-0.026363699872222,0.994345438998613,"Non significatif"
"Centro_(pos>10)",0.788079189329525,-0.0417070362452473,0.994345438998613,"Non significatif"
"Cent_scale",0.788079189329525,-0.0417070362452473,0.994345438998613,"Non significatif"
"C3_SPA_g/L",0.532305587882252,-0.0955693996371876,0.994345438998613,"Non significatif"
